{'短评内容': '底下广场舞挺吵的', '短评打分': 5}
{'短评内容': '住过很多次了，性价比很高，房间够大，网速200KB上下，ip电视，卫浴也还可以，周边的老城墙面皮和旁边的肉夹馍都非常棒，缺点就是中央空调，而且这个季节吹只吹冷风，室内比较冷，没有独立空调，适合夏天住。另外洗手间的毛巾架支出太多，容易撞头。', '短评打分': 5}
{'短评内容': '整体感觉是比较老的但经过装修的一家酒店。服务还算不错 。早餐也比较好。但走的时候他们说我们把“请勿打扰”的牌子弄掉了一块，赔了5块钱。感觉有点不舒服。钱不是问题，问题是真的没有动过那个牌子，心里很不爽\n但前台和餐厅的服务态度都很好，还是推荐一下吧', '短评打分': 5}
{'短评内容': '都很好，就是上网费劲。都很好，就是上网费劲。', '短评打分': 5}
{'短评内容': '性价比不错!热水很大!就是房间隔音效果很差.隔壁晚上打呼噜,小声说话的声音清晰可听见!', '短评打分': 3}
{'短评内容': '湖店服务在汉中来说不错!较实惠!\n就是看电视比较麻烦!隔音效果不好,隔壁房间聊天都能听得见!', '短评打分': 5}
{'短评内容': '不错，是我从内蒙回来住的最好的酒店！就是没有免费的早餐！', '短评打分': 3}
{'短评内容': '除了上网麻烦其他都还可以，服务员态度不错', '短评打分': 5}
{'短评内容': '比较安静，离闹市区也不是很远的。离机场和市政府很近。经常能看到穿空军制服的人。设备有些陈旧，但服务态度特别好，而且比较便宜，很推荐的', '短评打分': 5}
{'短评内容': '除了位置偏了一点，其它的都还不错！推荐！', '短评打分': 5}
{'短评内容': '环境很好，很卫生很干净，服务也很好，很不错，强烈推荐 ....', '短评打分': 5}
{'短评内容': '位置比较偏，酒店设施相对成就，上网还是用拨号的，比较落后', '短评打分': 5}
{'短评内容': '+性价比还可以', '短评打分': 5}
{'短评内容': '由于地震把一个可以直接到达的桥损坏了，所以饶了一大圈到3号桥，又陆续问了很多人才找到，外面大环境一般，不过酒店服务比较好，晚上还送了蛋糕，觉得挺贴心的，这个价位而言，性价比很高', '短评打分': 3}
{'短评内容': '酒店外围环境不是特别好，不过内部住宿环境还是很不错的，房间挺大！', '短评打分': 5}
{'短评内容': '酒店的位置稍偏，好在城市很小，就无所谓了，酒店内部的装修及客房的洁净度还是不错的，服务员不知道是人少的原因吗？叫了半天才过来，不过服务还是不错的，积极帮助解决上不去网的问题，其实只要把路由器从客人的房间挪到一个公共的地方就可以解决被客人误关电源、误拔网线的问题了，不知道为什么非要设在客人的房间内呢？希望下次入住的时候有所改进。', '短评打分': 3}
{'短评内容': '标注的快带覆盖整个楼层，可是我们住的803和501都收不到信号，找了服务员，态度还是很不错的，帮着解决问题，发现路由器的电源和网线被拔掉，不知道什么原因路由器一定要设在客人的房间里面呢？虽然当时解决了问题，但是第二天又不能上网啦！最终只得用自己的付费天翼上网了，希望酒店能尽早解决这个问题', '短评打分': 5}
{'短评内容': '很一般，只住了一天就退了', '短评打分': 5}
{'短评内容': '酒店旁边在修桥绕了很多路,酒店给我感觉还不错\r\n\r\n', '短评打分': 5}
{'短评内容': '室内是中央空调.是晚上12点以后就不再运作了.睡的有点热.酒店距离闹市区比较近.挺方便购物的.', '短评打分': 5}
{'短评内容': '酒店现在可以无线上网，电视是ＩＰ电视，这些非常先进。其它设施较陈旧，不过性价比已经很高了。', '短评打分': 5}
{'短评内容': '服务态度很好，环境不错。电视是联网的，网速也好', '短评打分': 5}
{'短评内容': '酒店无服务生比如叫出租车服务等。宽带上网不方便。', '短评打分': 5}
{'短评内容': '客房服务比较人性化和细心，生日当天入住居然还送了两块小蛋糕，呵呵，印像还不错，以后还会来。', '短评打分': 5}
{'短评内容': '位置相对有点偏，不过汉中也不大，去市中心还是很方便的。因为办事的地方就在附近，所以还是很方便。酒店整体感觉还不错，服务也好，网速很快，下次去还会住这里。', '短评打分': 5}
{'短评内容': '房间挺干净，隔音也不错，住的还比较舒适。', '短评打分': 5}
{'短评内容': '档次还可以，卫生打扫的很干净，有宽带能上网，也挺方便的。', '短评打分': 5}
{'短评内容': '这家酒店的卫生还是不错的，打扫的很干净，让人住的很放心。', '短评打分': 5}
{'短评内容': '在汉中讲的话位置稍微有点偏僻，但是本身城市不大，所以也还算可以。酒店设施一般，中规中矩的准三星，挂了个政府会议定点酒店的招牌，比较有意思。', '短评打分': 5}
