{'短评内容': '安静，舒服，', '短评打分': 5}
{'短评内容': '四星宾馆感觉好象三星级，什么都要钱，一个一次性剃须要5元，而且商务中心中日常生活用的东西都没有卖的，有的都是纪念本和土特产，赚钱呀。\n厦门打的真难，这个宾馆好象在弄堂里的感觉，打的很难 很难。', '短评打分': 1}
{'短评内容': '总体来说还不错，就是订房时信用卡出了点问题，差点没住上。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '该酒店价格偏贵，但环境很好，早餐很好，交通很是便利', '短评打分': 5}
{'短评内容': '新，乾淨，服務態度好，親切，有回家的感覺，什麼都很好的酒店，值得。', '短评打分': 5}
{'短评内容': '还算可以吧，晚饭不怎么样，早饭也不怎么样，没什么吃的', '短评打分': 5}
{'短评内容': '厦门闽侨宾馆房间宽敞。但服务标准距离四星差距还是很大。', '短评打分': 5}
{'短评内容': '厦门闽侨宾馆房间还行，挺干净的！这次推荐朋友入住', '短评打分': 5}
{'短评内容': '以前自己住过几天，这次推荐朋友入住', '短评打分': 3}
{'短评内容': '房间还行，挺干净的！', '短评打分': 3}
{'短评内容': '离机场打的30分钟左右，位置比较居中，到鼓浪屿、厦大和南普陀寺到不远', '短评打分': 5}
{'短评内容': '交通比较便利。房间宽敞。但服务标准距离四星差距还是很大。另外,不管住几天只提供一次免费的矿泉水。', '短评打分': 3}
{'短评内容': '已下午登记住房', '短评打分': 3}
{'短评内容': '服务员打扫卫生、更换用具特别是厕所保洁方面和四星级标准不符，感觉还不如一般的二星水平。门的隔音效果差，中央空调效果一般。宾馆地理位置较好，总体性价比一般。不过因为是国庆去的，也就不计较了。', '短评打分': 1}
{'短评内容': '闽侨宾馆环境很好，房间也很舒适，交通也很便利，是出游住所的好地方', '短评打分': 3}
{'短评内容': '闹中取静，停车场节假日略小，周边餐饮及购物挺方便！', '短评打分': 5}
{'短评内容': '房间很舒适，宾馆环境很好，谢谢贵公司对我完美之旅的支持。另外，请问房费差价什么时候返回到本人信用卡上。', '短评打分': 5}
{'短评内容': '其实还是不错的一家酒店！地理位置，还有酒店房间的设施都还可以！', '短评打分': 5}
{'短评内容': '酒店不错，服务也很好。还给我们免费加床。', '短评打分': 3}
{'短评内容': '酒店服务很好，还给我们加床，免费的。属于南京军区的内部宾馆，就是位置相对差一 点 点，不过还行，到哪里打车都很近。酒店很安静。', '短评打分': 5}
{'短评内容': '酒店总体不错，很干净，地理位置也不错！周边排挡很多，吃东西很方便！边上是厦门少体校，游泳也很方便！唯一不足的是，早餐太小气，对1.2米以下的儿童还要收费，在其他同等、或者更高档的酒店也不是这样！希望能改进！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 1}
{'短评内容': '预定下的房间&#183;晚上12点到了酒店说没有客房了&#183;最后和店方吵起来，没有房间就不走&#183;店方没有办法才很不情愿的情况下，安排的房间&#183;', '短评打分': 5}
{'短评内容': '酒店不错，但服务一般，', '短评打分': 3}
{'短评内容': '总体感觉还不错.不过一般的4星的酒店都会提供免费矿泉水，不过这家酒店没有提供.', '短评打分': 5}
{'短评内容': '这家酒店还可以，房间卫生打扫的蛮干净的，设施方面一般了，服务人员态度还不错，位置有点偏了，不是位于繁华地带，交通不是很便利，价格方面我觉得还比较合适的。', '短评打分': 5}
{'短评内容': '酒店挺普通的不过交通挺方便的.卫生条件一般.入住没感觉有什么特别之处.是一个简单朴实的酒店.总体感觉还好.', '短评打分': 5}
{'短评内容': '春节住闽侨报房468/天,地点在巷里离中山路较远，设施缺少没有健身房，含早餐一般需要向前台索要餐券,打扫完房间缺少毛巾,马桶坏报修理,卫生不错.性价一般.\r\n\r\n', '短评打分': 5}
{'短评内容': '酒店不错，房间挺大的。', '短评打分': 3}
{'短评内容': '位置还可以，房间稍小，早餐一般', '短评打分': 5}
{'短评内容': '该酒店新装修过，但没有什么装修的味道。酒店很干净。虽说在巷子里，但出酒店不远就是厦门有名的百家村“吴记煸豆干”店，每晚都有很多游客慕名前来。这里离中山公园及万石植物园都很迟，步行约10分钟即可到达，十分方便。', '短评打分': 5}
{'短评内容': '条件感觉一般。位置在巷子里，出行不方便，很一般的商务酒店，如果要求不高的话，还可以选择', '短评打分': 5}
{'短评内容': '酒店的隔音效果不是很好的,服务卫生以及设施方便都很一般的,酒店的位置不错的,出行方便的,性价比一般的酒店', '短评打分': 5}
