{'短评内容': '很乱 很差 住了一晚第二天就换锦江之星了 房间味道很大', '短评打分': 1}
{'短评内容': '是一家性价比较高的酒店，离长途汽车总站和火车站比较近，早餐有改善．\r\n', '短评打分': 5}
{'短评内容': '房间很大，设施稍显陈旧，早餐的主食一般般，菜还不错', '短评打分': 3}
{'短评内容': '房间很大，设施稍显陈旧了，早餐的主食一般般，菜还不错', '短评打分': 5}
{'短评内容': '下面是个大市场，比较噪杂，卫生、设施、大床很不错，如果是来这里有商务需求的还不错。前台有点儿心不在焉。', '短评打分': 5}
{'短评内容': '中豪酒店设备装修比较老旧，房内有一部健身车是别的酒店没有的，办公室桌大，如果是商务出差比较方便，总体来说性价比一般！', '短评打分': 5}
{'短评内容': '酒店不错，挺大，还有健身器材～只是我住的房间灯光比较暗', '短评打分': 5}
{'短评内容': '还可以  就是服务水平要跟上  早餐太简单  不符合三星级标准', '短评打分': 3}
{'短评内容': '酒店设施比较陈旧 看了有人点评早餐好才住进去的 结果真正吃过之后就后悔了', '短评打分': 3}
{'短评内容': '刚住进来  房间很大 还没吃饭骚扰电话已经来了', '短评打分': 5}
{'短评内容': '该酒店位置很不错，交通方便，但就是酒店时间长了，卫生条件有点差，服务也不是很好，所有的用品都该换了（如毛巾等）', '短评打分': 3}
{'短评内容': '这个酒店有点老了，设施陈旧,但地理位置还算不错，价格也还好，但是卫生有点差。', '短评打分': 1}
{'短评内容': '毛巾等都已发黄，也不更换。走廊里的灯，昏暗，省电不是这么省的呀。\r\n我在e-龙订的价格是160元，可结帐时收了我168元，不知何故？看见有三星标志，应该说该酒店已经和三星级酒店不符了。', '短评打分': 1}
{'短评内容': '还可以，就这价格不错了！', '短评打分': 5}
{'短评内容': '非常好，房间很大，性价比很高!', '短评打分': 5}
{'短评内容': '装修有点老，淋浴的不行，要换换了，其他还可以，价钱也满便宜的...', '短评打分': 5}
{'短评内容': '整体还好啦。', '短评打分': 5}
{'短评内容': '整体还可以啦。房间挺大，有点空旷的感觉，卫生间比较小。', '短评打分': 5}
{'短评内容': '还不错吧。', '短评打分': 5}
{'短评内容': '性價比很好！', '短评打分': 5}
{'短评内容': '设施较旧。比较安静。', '短评打分': 1}
{'短评内容': '总体感觉还好，交通比较方便，性价比适中', '短评打分': 5}
{'短评内容': '性价比极高', '短评打分': 5}
{'短评内容': '同等酒店性价比还是不错，离火车站汽车站较近，打车也只是起步价。', '短评打分': 3}
{'短评内容': '距离火车站1.3公里，交通还算方便。入住房160欧式房间，感觉装修老旧了，但隔音还好，客房服务不错，总台服务人员素质参差不齐，其中一班态度不生硬友善。', '短评打分': 5}
{'短评内容': '在性价比方便中豪应该是很不错的酒店，距离车站都比较近，交通很便利。除了设施有一点点旧，其他方便都比较满意。', '短评打分': 5}
{'短评内容': '就是卫生间太小了，住着还行吧。', '短评打分': 5}
{'短评内容': '位置很好,比较方便,但是房间里有蚂蚁,而且中央空调不管用,房间里又闷又热', '短评打分': 1}
{'短评内容': '离火车站、汽车站都不远，步行大约15到20分钟，有送早餐，服务也可以。就是设施有些老。', '短评打分': 5}
{'短评内容': '价格还好，其他一般', '短评打分': 5}
{'短评内容': '酒店设施较差，在徐州这个地方268元已经很贵了', '短评打分': 1}
{'短评内容': '性价比不错！位置一般,在徐州算不错的，早餐较差。周边有一家茶楼，里面的牛排套餐超值，可以一试', '短评打分': 5}
{'短评内容': '在徐州算是不错的酒店了 早餐单调', '短评打分': 5}
{'短评内容': '我住198的房间，地毯旧，整体一般，早餐还算不错，', '短评打分': 5}
{'短评内容': '浴室用的毛巾颜色发灰白色，相比卧室的床单和被单则洁白、平整。早餐的品种还好，盛豆浆、牛奶、果汁的容器太小，去的不迟，却没喝到。下次还会考虑入住。', '短评打分': 3}
{'短评内容': '浴室用的毛巾颜色发灰白色，相比卧室的床单和被单则洁白、平整。早餐的品种还好，盛豆浆、牛奶、果汁的容器太小，去的不迟，却没喝到。下次还会考虑入住。', '短评打分': 5}
{'短评内容': '酒店早餐还可以,性价比高', '短评打分': 5}
{'短评内容': '商务房里没有无线网络，酒店提供的台式机根本不能上网，系统软件有问题，好象无人维护，插座很少', '短评打分': 5}
{'短评内容': '离火车站近，酒店周围是小商品和上海服装城，性价比比较高，除设施有些成旧，其他一般。', '短评打分': 1}
{'短评内容': '环境不太好，卫生方面不太干净，服务方面还不错，位置也不错，可能下次会选择其他酒店', '短评打分': 3}
{'短评内容': '有骚扰电话', '短评打分': 5}
{'短评内容': '大厅服务需要改进', '短评打分': 5}
{'短评内容': '住的是豪华标间，不错。大的液晶电视。唯一不好的就是上网需要指定IP，公司里的笔记本网卡权限不开，不能指定ip。导致两天不能上网。因为这一点以后不会住这里了。如果没用这点的话住着不错的。', '短评打分': 5}
{'短评内容': '位置不错，不过从外面看很旧，里面设施也是很好。', '短评打分': 1}
{'短评内容': '酒店位置好，房间也还不错 ', '短评打分': 5}
{'短评内容': '酒店舒适度不错,就是卫生间的毛巾什么的该换新的了,地理位置不太好离高速远了些.', '短评打分': 3}
{'短评内容': '酒店的位置很不错，交通上特别的方便，房间里的硬件设施和环境也还不错，觉得挺舒服的。', '短评打分': 3}
{'短评内容': '服务总台的服务基本还是可以的，房间较大,但酒店地理位置和不错,就在黄河边,交通也较方便，路过入住一天总体来说还是比较满意的。', '短评打分': 5}
{'短评内容': '入住之后，说实在的和想象中有很大差距，但是第二天的停电停水让我们充分体会到了服务真的不行。我们来回来去上下11层两趟，服务员似乎还蛮不在乎，虽然停电不是他们造成的，但是我们作为客户连最起码的一句道歉都没有收到，很失望，以后不住了。', '短评打分': 1}
{'短评内容': '屋里的环境很不错，欧式风格，设施也不错，就是床有点硬，总台的电话太忙，很难打通。 总体来说还是物有所值', '短评打分': 5}
{'短评内容': '房间面积比较大,但设施不太新,临街的房间比较吵,房间隔音效果不好，隔壁打电话的声音都能听到,最不能接受的是房间灯光非常暗,符合节能的要求,但我们不太适应,评价一般.', '短评打分': 1}
{'短评内容': '除了不隔音和电话骚扰外其他还不错，欧式风格装修', '短评打分': 5}
{'短评内容': '最好能改进淋浴笼头，其它方面尚可。', '短评打分': 5}
{'短评内容': '服务总台的服务还是可以的，请求帮助时能及时回复，地理位置交通也较方便，入住三天总体来说还是满意的。', '短评打分': 5}
{'短评内容': '酒店的环境卫生挺好的，而且我就在附近办事，很方便，但是房间里配备的硬件不是特别新，比较一般。', '短评打分': 5}
{'短评内容': '酒店环境还不错,服务也很好,卫生条件一般,价格蛮实惠的,但是房间的隔音效果比较差', '短评打分': 5}
