{'短评内容': '给我20豆豆吧 东东 用得非常好 顶一下 顶一下', '短评打分': 5}
{'短评内容': '我是五一前晚入住该酒店的，实际位置是在华池东路和华池中路的交界处，也就是华家池新宇培训宾馆一号楼。酒店里的房间还是挺干净的，周边环境也不错，很幽静。就是离西湖景区远点。吃饭建议去凯旋路上去，推荐一家实在的饭馆---杭州农鲜土菜馆，那里的价格很实在，就是距离远点。学校食堂是需要饭卡。由于酒店服务员把房号跟钥匙给搞错了，闹了些不愉快。不过酒店态度很好、很忠肯，懂得换位思考，素质很好。适当弥补了一下精神', '短评打分': 5}
{'短评内容': '我是五一前晚入住该酒店的，实际位置是在华池东路和华池中路的交界处，也就是华家池新宇培训宾馆一号楼。酒店里房间的环境挺好的，周边环境也不错，很幽静。就是离西湖景区远点。吃饭建议去凯旋路上去，推荐一家实在的饭馆---杭州农鲜土菜馆，那里的价格很实在，就是距离远点。学校食堂是需要饭卡。', '短评打分': 5}
{'短评内容': '在学校里面，进出需要点时间，房间还算干净。', '短评打分': 5}
{'短评内容': '位置在学校里面，非常安静。不过因为是五一期间去的，早上睡懒觉的时候会有游客开门稍显嘈杂的声音。客房还是挺不错的，干净。不过学校食堂的饭需要饭卡，所以没吃到。交通也够方便。五一期间出租车一般情况下很少载客去西湖，太拥堵了。所以要研究好公交路线。总体还是满意的。', '短评打分': 5}
{'短评内容': '优点：\n1.环境挺好的，窗户外边是个湖\n2.在学校里边，周边游小卖店，学生食堂。\n\n我说说缺点：\n1.因为在学校里边，并且比较隐蔽，不好找。\n2.离西湖较远，打车的话，如果不堵车，遇到红灯少的话，得20分钟，关键的问题就是堵车和红灯多。', '短评打分': 5}
{'短评内容': '酒店在华家池校区里面。酒店装修简洁舒适，环境清幽。旁边就有篮球场，还可与校区内的同学们切磋切磋篮球技艺。校区内有校园超市，饮料什么的都比街边小店里来的便宜。', '短评打分': 5}
{'短评内容': '环境挺好的，在学校里面，挺安静的。设施也还可以。', '短评打分': 5}
{'短评内容': '很安静，很干净，能感受大学的气氛，唯一不足是，吃早饭不方便', '短评打分': 5}
{'短评内容': '卫生还很干净的，就是在学校里面，还要走出来打的士，很不方便', '短评打分': 5}
{'短评内容': '房间干净,就是以这个价格来说小了点,在学校里,环境蛮好的,走出学校不远就有好多小吃店服装店超市,还不错.', '短评打分': 3}
{'短评内容': '这一间酒店算是新开的，住起来算乾净，除了有一些的霉斑外，房价在十一长假中，算相当实惠。', '短评打分': 5}
{'短评内容': '在浙大的校园里，学校里很安静，四周的生活设施也很周全了，出学校就有车站。房间里设备都很新，有IP电视，有网线。住起来蛮好的~~~回忆校园生活好去处。', '短评打分': 5}
{'短评内容': '酒店比较干净，就是离西湖稍远一点，边上球场晚上会有打球声，不怎么清净。', '短评打分': 5}
{'短评内容': '酒店不错，交通便利，比较满意。环境优美，不愧为浙江大学校区，安静，休息好，设施新，床也宽。洗澡，上网，电视，空调，停车，安全方便。服务热情。美中不足：不能刷银联卡结帐。', '短评打分': 5}
{'短评内容': '很好的环境，适合休息。就是离景区远了点，但是对得起那个价格…', '短评打分': 3}
{'短评内容': '酒店硬件不错，环境也听安静，就是早餐不太方便。', '短评打分': 5}
{'短评内容': '酒店刚装修的，硬件还不错。就是早餐不方便', '短评打分': 5}
{'短评内容': '房间挺干净的，比较满意，国庆期间价格稍高了些~', '短评打分': 5}
{'短评内容': '外部环境是浙大校园，恬静、安逸，仿佛回到校园那段青葱的岁月！哈哈…服务一流，房内配套也非常新，值得推荐！其实坐车去西湖边也很方便的', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店房间很好，环境很好，但是办理入驻手续好慢', '短评打分': 3}
{'短评内容': '在学校内，环境不错，干净又安静。服务也挺好的。', '短评打分': 3}
{'短评内容': '环境好，房间干净，非常好。\n', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '地址比较难找', '短评打分': 3}
{'短评内容': '  满意  ', '短评打分': 3}
{'短评内容': ' 房间很大', '短评打分': 3}
{'短评内容': '酒店地处校园内安全安静，房间设施不错，为新建宾馆，服务也不错，交通方便，是个不错的选择。好评！', '短评打分': 3}
{'短评内容': '又一次入住，除了总台服务有点不利索外，其他很满意.', '短评打分': 3}
{'短评内容': '酒店环境卫生都很好！前台服务也蛮好的！就是交通不是很便利！', '短评打分': 5}
{'短评内容': '第一:酒店附近没有一家像样的早餐.\n第二:走出去要么就打黑车(价格比较高),要么就11路走出去(大概10-15分钟).\n第三:酒店结帐时居然以毛巾上有痕迹让客人交洗涤费10元或全额赔偿15元钱,酒店又不是第一天开东西都用过无数次了还让全额赔偿,真是太无理了,更何况上面只是沾了点孩子吃的药,一经漂洗什么痕迹也不会留下,和前台理论时，又说床单也脏了，我住房间床上一向用自己从家里带的床单罩在上面，我的床', '短评打分': 1}
{'短评内容': '没有吃饭的地方,在大学里，每天吹哨睡觉，哈哈，都是军人生活', '短评打分': 1}
{'短评内容': '因为宾馆在校园里，一面是球场，一面是学生公寓楼，早上很早就有学生在打篮球了，我们住在一楼，声音有点吵。不过环境还算幽静。房间紧凑，虽然小，不过还算精致，至少性价比不错，表扬一下，卫生间的水很大，淋浴比较舒服，还很特别的设计了上下两个高度的插口。', '短评打分': 1}
{'短评内容': '\r环境很好，住的很舒适', '短评打分': 3}
{'短评内容': '环境很好，在校园里面，可以感受到大学的气息。很舒服，服务也很好', '短评打分': 5}
{'短评内容': '酒店环境很好，交通便利，房间很干净。住在校园里，生活方便，可以吃留学生食堂，不贵，适合自驾游。推荐！', '短评打分': 5}
{'短评内容': '还不错，住的很开心，推荐！', '短评打分': 3}
{'短评内容': '性价不错的酒店，浙大里面的环境很美，有机会可以来住下哦', '短评打分': 3}
{'短评内容': '非常满意!', '短评打分': 3}
{'短评内容': '环境很好,就是房间、卫生间、床都小了点', '短评打分': 3}
{'短评内容': '处于大学校园里，环境比较幽静，房间很干净，值得一提的是，机顶盒很完善，支持节目回访，白天游玩，晚上回来可以看赛事回放。另有一点，不自驾车，要打的的话，宾馆离校外马路有点距离。', '短评打分': 5}
{'短评内容': '距离：校区离城站火车站不远，有多路公交车直达，校门口离宾馆有一段距离，大概5分钟。\n环境：校园内环境还好，有个大运动场，还有个湖叫做华家池，湖虽不大，但湖边风景很美，还可划船。入住的宾馆应该装修不久，有液晶电视，无电脑但有免费网络接入线，服务人员态度很好\n饮食：门口有很多小饭店，当然地道特色的小吃还是要到其它地方去\n', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
