{'短评内容': '被子太薄', '短评打分': 4}
{'短评内容': '楼下就是菜场,面对高架,非常嘈杂吵闹\n窗户很小,不通风,房间里一直有股味道,\n房间也小,洗澡水会溅到床边的地板上,很滑.\n走道像迷宫,电梯很破.\n', '短评打分': 1}
{'短评内容': '靠近杭州城站，有公交车直达，打的也只用起步价（11元，含起步价）。\n房间隔音效果还可以，住宿条件也ok，只是少了座椅（凳子），卫生间可以更清爽洁净些。\n楼层格局有点复杂，一开始会找不到楼梯、电梯。\n一句话，在经济酒店里是有特色的可优先考虑的。', '短评打分': 5}
{'短评内容': '卫生间没门！  其它都可以…哈哈', '短评打分': 3}
{'短评内容': '价格不贵能接受~还挺不错的~床挺好~地理位置挺方便的。半夜想吃点东西，解放路边上都是的呢~离夜市也挺近的~', '短评打分': 5}
{'短评内容': '第一次住布丁，开始还觉得挺特别的，但是比想象中房间还小，而且洗手间没有门或者能遮挡的，这个感觉不是很方便，', '短评打分': 5}
{'短评内容': '房间小，但在寸土寸金的杭州近西湖地带，能理解，但是卫生间没门是最不能忍受的，房间谈不上装修。', '短评打分': 1}
{'短评内容': '有些失望，大床房的窗户很小。而且房间有小虫。不过价格到是挺实惠。', '短评打分': 5}
{'短评内容': '酒店很精致，房间不是很大，但给人的感觉很温馨，交通方便，离市中心很近！！', '短评打分': 5}
{'短评内容': '离西湖很近，走路也就10分钟吧。到杭州火车站打车10块钱，挺近的。屋子里感觉很紧凑，小小的，但是很干净！因为环保不提供一次性用品，所以要自带啊', '短评打分': 5}
{'短评内容': '房間太袖珍 大床房B面積說是17平可看起來也就13平 衛生間沒有門 不方便還不防潮 價格倒是很經濟了 充分體現杭州的寸土寸金啊', '短评打分': 3}
{'短评内容': ' 服务态度 房间还行 设施太差 连杯子都没有', '短评打分': 3}
{'短评内容': '太绿色了', '短评打分': 3}
{'短评内容': '本就听说布丁的隔音很差，没想到是那样的差。服务人员包括前台，良莠不齐，有些态度还好，有些很不耐烦。', '短评打分': 1}
{'短评内容': '很温馨', '短评打分': 3}
{'短评内容': ' \n   交通很方便，房间稍微小了点，但还是比较干净', '短评打分': 5}
