{'descr': '位置不错！', 'star': 5}
{'descr': '实在是太差了，性价比很低，尤其是在携程上订，别人订的二百多块钱的，我们在携程上订的含早餐四百八十八。实在是太不值了，这个酒店说是早先挂的四星，现在应该是一颗星都没有的。什么豪华房严重的是欺骗。两百块钱一晚还差不多不如一般的快捷酒店。大家自己看看图片里的豪华间的设置吧就知道了。简直就是五星级的价格快捷酒店都没有的品质，除了位置还可以再就没有什么值得说的了。', 'star': 2}
{'descr': '设施陈旧了，性价比还可以，早餐不太好', 'star': 4}
{'descr': '该酒店是我每次来京的首选，地理位置好，停车位充足，周边的饮食和交通也很方便，这次最满意的就是酒店给了我一个超大的房间，很赞', 'star': 4}
{'descr': '网络提前预定价格比较低，性价比啊高，但设施过于陈旧，尤其是窗户应该加强密封性了，靠着5环的房间很吵！', 'star': 5}
{'descr': '网络提前预定价格比较低，性价比啊高，但设施过于陈旧，尤其是窗户应该加强密封性了，靠着5环的房间很吵！', 'star': 5}
{'descr': '酒店的位置离市区很远，离开机场很近。里面的设施一般，离开5星级标准有距离，客观来讲，这个价格在市区也能住到很不错的酒店了。\n只是这次离开要办事的地方近，所以尝试的选择了一下。很一般的酒店。\n但是离开机场很近，20分钟的车程。', 'star': 1}
{'descr': '  外观挺好的，房间大条件一般，洗脸池是破的。', 'star': 3}
{'descr': '酒店房间听干净的，就是路很难找，早餐一般', 'star': 5}
{'descr': '博雅从装饰到配套到早餐离五星级差距太远，', 'star': 3}
{'descr': '视野不错，早餐差点儿', 'star': 3}
{'descr': '酒店不错，就是在哪里订价格会更便宜。。。推辞了  ', 'star': 5}
{'descr': '房间还不错，对得起这个价格。\n就是酒店窗子密封不好，露风，冬天住有点冷', 'star': 5}
{'descr': '一般吧，就是出门不方便，没有车的朋友请不要选择哟，不然你出门会气出病来。', 'star': 5}
{'descr': '住在该酒店还是比较舒适和安心的  尤其是房间的设计色调很舒服 早餐一般 另淋浴一般 我住的是套房', 'star': 5}
{'descr': '别的还都不错。就是前台的服务员明显是招待所的层次，叽歪歪的，非常没耐心，要盒火柴没有是可以的，但是口气就像是“我不欠你的”这种感觉。这种水平照比五星级就不用说了，20年前国营招待所无非就这样吧。', 'star': 5}
{'descr': '性价比很高........................................', 'star': 5}
{'descr': '酒店位置和装修都不错，但早餐太简单，靠街房间晚上太吵，即使二十层以上。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '交通很方便，在望京办事方便，酒店条件也不错，服务也很好，服务很专业，设施很齐全，房间卫生很不错。--------------------------------------------------------------------------------------------------------------------', 'star': 5}
{'descr': '服务很专业，设施很齐全，房间卫生很不错，服务也很好，但由于地理位置关系晚上比较吵，晚上睡觉时有点噪音。', 'star': 5}
{'descr': '地方挺不错 早点开到10点 所以晚起也可以\n', 'star': 5}
{'descr': '估计没有这么差的所谓四星的酒店！回头客差不多以后很少有了！', 'star': 3}
{'descr': '好', 'star': 3}
{'descr': '博雅国际酒店环境安静，紧邻五环，离机场近方便出行。设施齐全，客房干净，优雅', 'star': 5}
{'descr': '酒店位置一般，打车挺方便的，另外早餐也可以，服务态度一般。', 'star': 5}
{'descr': '非常好，卫生也干净，服务态度也非常好，就是有点贵。', 'star': 5}
{'descr': '交通比较便捷（主要是针对前往机场人士），酒店客房总体来说还是比较不错的', 'star': 5}
{'descr': '酒店交通方便，装修高雅，值得续住。', 'star': 5}
{'descr': '环境不错，要是有公寓就好了', 'star': 5}
{'descr': '硬件还可以 地段一般 离机场较近离 离城区较远', 'star': 3}
{'descr': '离机场较近，去很方便。早餐一般 其他还可以', 'star': 5}
{'descr': '感觉不错。很好。', 'star': 5}
{'descr': '为了看车展方便 没想到更麻烦了出行不方便 打车费劲 \r\n设施也就是准四星 离五星差远了', 'star': 1}
{'descr': '酒店挺好找，在五环边上，在望京办事，住这里挺方便的。服务、设施都不错。走的时候，去机场 也很快，没“感受”北京的堵车', 'star': 5}
{'descr': '很舒适', 'star': 5}
{'descr': '酒店硬件还可以，软件一般。', 'star': 5}
{'descr': '实在算不上4星酒店，服务极不到位。大堂的服务生俨然在国营企业混日子的职工，对顾客爱搭不理。早餐种类很有限，又干又硬的面包像是放了N天的。下次不会去住的了。', 'star': 1}
{'descr': '总的来说还是可以的，设施也比较新，可能是才开不久的酒店．让我比较不满意的是洗澡的水太小了，水温也不太够．前台的人比较少，退房的时候要等很久．其他的都还是满意的，下次来北京应该还会选择这个酒店．', 'star': 3}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '我与朋友一起在今年4月20至24日入住了这家酒店。&lt;br /&gt;\n如果不是一直打电话询问酒店前台，谁也找不到酒店在哪里！&lt;br /&gt;\n靠着道路没有正门只有一条只能通过一辆轿车的窄l道才能到达酒店门口，而且正门非常的小，就像路边的小饭店。并且没有挂任何星级标志。如果不是事先知道这是一家酒店，我相信大家没有人会认为它是一家酒店。整个是写字楼！前台的服务员见到客人连招呼都不打！爱理', 'star': 1}
{'descr': '该用户未发表文字评论', 'star': 5}
