{'短评内容': '舒服，还不错', '短评打分': 5}
{'短评内容': '住的无窗房 有异味 可能是刚装修 其他还不错 不过刚住进来时床上居然有头发淋浴喷头挺好', '短评打分': 5}
{'短评内容': '已入住。位置不好找，房间还可以。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '入住。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '位置很偏很难找，那次如果不是预授权预订了的话，根本就不会去住。向前台问路，态度也不好。唯一的亮点就是房间确实很宽敞很新很干净，价格也还划算', '短评打分': 1}
{'短评内容': '前台的效率太低，而且普通话不标准，身为北方人的我很难听得懂。房间还不错，空调声音稍有点大。', '短评打分': 5}
{'短评内容': '中规中矩的经济型连锁酒店，位置不太好找，而且前面那条路是单行线，司机绕了很多弯路。早餐几乎什么都没有。', '短评打分': 5}
{'短评内容': '性价比还可以。.性价比还可以。.性价比还可以。.性价比还可以。.', '短评打分': 5}
{'短评内容': '还行，就是床太矮了。还行，就是床太矮了。还行，就是床太矮了。还行，就是床太矮了。', '短评打分': 5}
{'短评内容': '酒店电视不错，环境也不错，就是6楼一群人晚上还在开会，很奇怪。', '短评打分': 5}
{'短评内容': '，别的都满好的，就是房间有点小', '短评打分': 3}
{'短评内容': '酒店环境很好，房间也很干净，服务也不错。', '短评打分': 3}
{'短评内容': '酒店里面的设施挺新的，位置也不难找，有公交车去新街口这些地方，但就是有点吵，隔音不好，希望能改进一下', '短评打分': 5}
{'短评内容': '内部干净，服务热情，住宿感觉不错。就是离夫子庙没有传说中的那么近，我们全家老老少少因为听说很近，于是决定步行前往，累了个半死，几近崩溃，还没走到。。。', '短评打分': 5}
{'短评内容': '除了在结账时发生的意外，酒店的环境总体不错，就是隔音效果差', '短评打分': 5}
{'短评内容': '附近叫这个名字的酒店好多，不大好找，不过设备蛮新的', '短评打分': 5}
{'短评内容': '很卫生，性价比不错', '短评打分': 3}
{'短评内容': '房间里面还不错，挺卫生的。但是前台的服务不是很好。工作效率不是很高。', '短评打分': 5}
{'短评内容': '很干净 位置也很好交通方便！极力推荐！前台也很好说话！', '短评打分': 5}
{'短评内容': '服务不错，酒店的环境也挺好的，给个好评！', '短评打分': 3}
{'短评内容': '酒店很不错，就是位置偏了些，环境也很好，性价比高。是个不错的选择。', '短评打分': 3}
{'短评内容': '房间设置不错，有雅兴，住的很有感觉.....', '短评打分': 5}
{'短评内容': '新装修很干净！价格也挺好！交通也很方便！', '短评打分': 5}
{'短评内容': '世纪缘商务酒店（原南京世纪之星快捷酒店水西门店----haixing', '短评打分': 1}
{'短评内容': '房间环境很好，位置很方便，下次会继续选择', '短评打分': 5}
{'短评内容': '环境不错，就是在巷子里不太好找，尤其是晚上，白天应该还可以，周围宣传牌蛮多的，建议这个价格包含早餐！房间干净整洁。机场巴士水西门下，走两分钟就到！', '短评打分': 5}
{'短评内容': '酒店很不错，新装修的，实用实惠，服务也好，餐厅要是有正餐就好了。', '短评打分': 5}
{'短评内容': '房间装修卫生都还行，服务态度也可以，但是唯一不好就是位置偏了些在一个小巷子标志也不清楚，价格还是蛮不错。', '短评打分': 5}
{'短评内容': '旁边一很大的棋牌室,太吵了,影响酒店客人休息.', '短评打分': 1}
{'短评内容': '感觉蛮整洁的，其他一般般，早餐供应很不及时，好像是临时准备伧促上阵一样。', '短评打分': 1}
{'短评内容': '我住的是特价房，但是刚刚装修完成，非常新，很好。除了比较难发现的缺点外，都很好。', '短评打分': 5}
{'短评内容': '总体感觉不错\u3000睡的很舒服\u3000我要的是高级商务大床\u3000值得推荐', '短评打分': 5}
{'短评内容': '房间窗户太小了采光不是太好，空调效果也不是太好，位置的话也不好找，价格还是偏高了。', '短评打分': 3}
{'短评内容': '整体来说还不错，就是地方不太好找。头天晚上订的，结果到店里却说没订上，不知道当时的工作人员怎么回事。不过有房间，还送了早餐。', '短评打分': 5}
{'短评内容': '清清爽爽的店，电视是液晶的，卫生间比较大，下次还会来~', '短评打分': 5}
{'短评内容': '不错。卫生、干净、舒适，房间大小对得起价格，性价比高。就是在小巷子里，周遭环境一般。', '短评打分': 5}
{'短评内容': '房间很大，但没有橱柜，行李不好放，其他都很好，热水很足，可能是新建的酒店，有的房间还是稍有些味道。\n需要提醒住店的人，这条街是单行线，自驾朋友需注意。\n不过总体来说还是可以的。', '短评打分': 5}
{'短评内容': '房间环境质量还不错，服务也还好，就是餐厅不能提供午晚餐。', '短评打分': 3}
{'短评内容': '酒店很新，所以新装修的味道很大。房间的电话不能用，更糟糕的是房间里居然没有信号，手机也用不了，房间的热水要放很久才能热，第二天还停电，摸黑退的房....', '短评打分': 1}
{'短评内容': '酒店不错，交通很方便。服务态度很好，就是网络不知道是怎么回事自己的电脑上不了网，好在酒店免费给解决了一台可以上网的电脑，望改进，下次还住。', '短评打分': 5}
{'短评内容': '房间布置温馨，干净，电视机很爽，比起同类型的好多了', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
{'短评内容': '位置还可以，离新街口不远。档次和一般的连锁差不多，比想象中的要差一些。如果出差什么的可以住住。', '短评打分': 5}
