{'短评内容': '毛巾真的不行，脱毛发黄不敢用', '短评打分': 3}
{'短评内容': '很差的一家酒店，除了离北京站近外，无其他一项让我满意的，酒店房间不仅小，而且非常旧，床也非常小，卫生间还没有灯！！！！房间内还有异味，真想象不到388的价格居然是这样的房间，想想还赶不上价格在200元左右的快捷酒店，真的很让人失望。强烈建议大家不要入住，要不你会失望的！！！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '为起早赶车在此住了一宿。在北京站前的邮通街，到车站步行很近。与其设施条件相比，价格显得略高。网上预订不提供早餐，但周边有便利店，还有许多可24小时吃饭的地方。', '短评打分': 1}
{'短评内容': '酒店房间比想象的要旧，内装饰一般，卫生一般。门的下面竟然有很宽的缝，刚看到的时候还吓了一跳，这算什么设计啊。所幸环境还算安静，但是走廊上的动静可以听得很清楚。浴室倒是热水很足。关键是地段好，距离北京站，地铁二号线都很近，去哪都方便。来得时候还是比较好找的。', '短评打分': 5}
{'短评内容': '该酒店地点很好交通便利只是打车困难一些', '短评打分': 3}
{'短评内容': '靠近长安街，北京站，中粮广场，国贸中心，到天安门广场也很近便，向北步行就可以到王府井商业街，交通还是很便利的。就是稍稍有点贵，还不带早餐。', '短评打分': 5}
{'短评内容': '蛮好的。价格、卫生、服务都很好。但是对外宾的待遇明显高于国人。没有替国人考虑一些实际的需求。例如去长城的服务。只有针对外国人的。', '短评打分': 5}
{'短评内容': '这已经是第二次入住了，因为出差，地点很方便的，总的来说还可以，但是房间入住了504比上次的差，浴室的门有一扇已经没有了，酒店也没有维修，毛巾和浴巾已经破了也还在使用，服务人员还是很不错的，特别是门口的两位保安大叔，一直都很热心的帮我们叫出租车，帮我们把行李拧上拧下的，很感谢他们。', '短评打分': 5}
{'短评内容': '离北京火车站很近，早上赶火车的话，会很从容很方便', '短评打分': 5}
{'短评内容': '地理位置与住宿条件都不错，紧邻北京站而且还不吵，很好。', '短评打分': 5}
{'短评内容': '火车站附件，乘坐火车很方便。每次我都给客户定这里', '短评打分': 5}
{'短评内容': '卫生挺好，服务业还行，可能是因为开的时间长了，设施旧了点，总体感觉还可以。', '短评打分': 5}
{'短评内容': '靠近地铁很方便，服务态度很好，只是设施旧了些，毛巾也旧，但生意极好。', '短评打分': 5}
{'短评内容': '还不错的，地址就在北京站边上，很方便的，服务还可以的。不过就是房间太小拉', '短评打分': 5}
{'短评内容': '我觉得一切都很好，很方便！离北京站很近，一楼的餐厅，也很干净。菜做的也很好！', '短评打分': 5}
{'短评内容': '闹中取静，卫生尚可，淋浴的防滑垫该更新了，值不了几元。服务不错，尤其引停车位的一位，谢啦！', '短评打分': 5}
{'短评内容': '就在火车站边上，出行比较方便。房间设备比较老，但卫生还可以。一楼有餐厅，总体来说不错。', '短评打分': 5}
{'短评内容': '干净，房间大，餐厅点餐可计入房费中，水饺很好吃，\n服务很好，3星级以上……\n上网无线方便。', '短评打分': 5}
{'短评内容': '交通方便，卫生也算干净，只是房间小了一点', '短评打分': 5}
{'短评内容': '火车站附近的酒店，闹中取静，去哪里都特别方便，服务不错，但是不知道为什么冰箱没开，也没有任何的东西提供。 打车特别难。', '短评打分': 5}
{'短评内容': '离北京火车站很近，这是最大的优点，且价格适中，适合出差办事的人。', '短评打分': 5}
{'短评内容': '离北京站很近，替朋友定的，坐火车方便，硬件一般了，毕竟3星', '短评打分': 5}
{'短评内容': '虽然价格稍高，但位置方便且闹中取静，前台服务和房间卫生也不错。', '短评打分': 5}
{'短评内容': '房间太小了 没有图片中大 性价比低 服务还不错', '短评打分': 1}
{'短评内容': '不错，位置好。坐火车很方便。设施有点旧，价格再便宜点性价比就高了。', '短评打分': 5}
{'短评内容': '环境还可以，房间设施差些，交通方便，价格比2月份入住时贵了不少啊', '短评打分': 5}
{'短评内容': '酒店位置不错,就是硬件设施太陈旧了', '短评打分': 3}
{'短评内容': '性价比较高,交通便利,虽说旧了点但还卫生,相对价格值得推荐', '短评打分': 5}
{'短评内容': '交通非常便利,位置闹中取静,前临长安街,后临火车站,离地铁站约200米', '短评打分': 5}
{'短评内容': '房间和餐厅不错', '短评打分': 3}
{'短评内容': '干净卫生地理位置也不错！就是酒店设施陈旧了些，建议有所改进就好！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '地点很好临近北京站,地铁站,性价比还是很高的', '短评打分': 3}
{'短评内容': '酒店位置比较而言是很不错的,设备虽然陈旧但还可以使用.但服务质量需要提高', '短评打分': 5}
{'短评内容': '不错 嘿嘿 离火车站很近~~推荐~~  就是有点不好找', '短评打分': 5}
{'短评内容': '整体环境不错，地理位置很好，这个是最关键的地方。', '短评打分': 5}
{'短评内容': '地点很好，北京站、地铁、长安街都很近。装璜有点老，洗澡水不大，毛巾太旧了。', '短评打分': 5}
{'短评内容': '位置好,交通便利,比较温馨,价格合理,下次还住', '短评打分': 5}
{'短评内容': '酒店位置很好，火车站、地铁站、长安街都很近。房间装璜时间太长了，洗澡水太小，毛巾也旧了。不知是否是因为网上的订单分配的房间就差点。这个价格有早餐的话就好了。', '短评打分': 5}
{'短评内容': '出行方便，房间安静，算不豪华，但也对得起这个价格了．很不错,只是不含早餐．', '短评打分': 5}
{'短评内容': '随在北京站附近但周围环境安静，住在七楼水压低，淋浴不尽人意。', '短评打分': 5}
{'短评内容': '离车站很近，交通方便。但不知为什么从3月1日起房价涨了。', '短评打分': 5}
{'短评内容': '商务式酒店，室内温度很高，环境整洁，价格也不错', '短评打分': 5}
{'短评内容': '除了价格便高、早餐自助餐价45元太高，其他都好，很满意充电器坏了，宾馆可免费使用。\n\n ', '短评打分': 5}
{'短评内容': '酒店环境很好，离车站也很近。交通方便，附近吃饭的地方也很多。下次来北京还住这里。', '短评打分': 5}
{'短评内容': '环境还可以，服务也不错，离北京站很近，很方便。', '短评打分': 5}
{'短评内容': '在这种地段还是非常不错的，地理位置啥都很好，价格也还行', '短评打分': 5}
{'短评内容': '不错，离北京站挺近，站对面超市后头就是，可能是我住那天人少吧，还算安静，', '短评打分': 5}
{'短评内容': '房间有冰箱还有保险箱，考虑的很周到，另外位置特别好，离北京站特别近，下次还会去', '短评打分': 5}
{'短评内容': '餐厅中晚餐时间有现包的饺子供应，有特色，味道好！', '短评打分': 5}
{'短评内容': '房间、家具、浴室都很整洁干净，超值！离北京站步行5分钟，很方便。就是得拐几个弯才能找到，不怎么好找。性价比挺高的，早饭有点贵。\n', '短评打分': 5}
{'短评内容': '地理位置好，便利，离火车站近，干净不错的酒店。', '短评打分': 5}
{'短评内容': '首次入住感觉很干净，服务也很不错，出行方便，价格公道，只是前面楼下的风太大了，差点儿把我们刮趴下．呵呵．．．', '短评打分': 5}
{'短评内容': '房间干净，在北京站附近，对得起这个价格．', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好，最重要的是位置好，离北京站和长安街都很近，无论是坐地铁还是乘公交都很方便．', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '虽然设备比较旧，但位置不错，房间内也挺干净。', '短评打分': 5}
{'短评内容': '酒店还行，主要是距离北京站近，坐车方便。', '短评打分': 5}
{'短评内容': '环境和服务都不错，价格合理。就是浴巾有点旧。', '短评打分': 5}
{'短评内容': '房间、家具、浴室都很整洁干净，超值！离北京站步行5分钟，很方便。就是得拐几个弯才能找到，不怎么好找。性价比挺高的，早饭有点贵。', '短评打分': 5}
{'短评内容': '前台服务态度很好，感觉很温馨舒适，解决问题迅速，早饭质量有待提高，价格偏贵。', '短评打分': 5}
{'短评内容': '入住手续挺快就办好了。不过，我预定时就特意说明要不吸烟的房间，入住时又做了强调，可惜还是被分到了吸烟的房间里。桌子上有烟缸为证。 ', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境还可以，距离火车站近，价格也合适，下次还会入住。', '短评打分': 5}
{'短评内容': '三星酒店四星的配置，房间、家具、浴室都非常好，超值！离北京站步行5分钟，很方便。就是不怎么好找。性价比很高。', '短评打分': 5}
{'短评内容': '酒店位置便利，离北京站很近，酒店内部卫生干净，推荐大家入住！', '短评打分': 5}
{'短评内容': '这个地方非常的不错 在火车站附近这个价位 实在是非常的不错', '短评打分': 5}
{'短评内容': '综合上还是不错了 黄金位置\n空调有点吵\n结账后有点小误会 说开了冰箱里的水 还好很快澄清', '短评打分': 5}
{'短评内容': '环境不错  离火车站也很近  很满意', '短评打分': 3}
{'短评内容': '在车站不远，很方便。三星的，环境还可以！', '短评打分': 5}
{'短评内容': '  房间环境很好,床单被褥很干净,条件很好,值得选择', '短评打分': 3}
{'短评内容': '位置好，离地铁站很近，出行方便，价格实惠。\n标准间有点挤，大床房不算挤。', '短评打分': 5}
{'短评内容': '酒店距离车站很近，很容易找到，房间很好，服务员态度比较好', '短评打分': 3}
{'短评内容': '环境上总体可以，离北京站很近。就是家具旧了些，洗澡水小，洗澡地方小，希望改进。', '短评打分': 3}
{'短评内容': '位置超级好，离北京站走路5分钟不到。而且不吵，房间也不错，唯一有点遗憾的是前台的服务质量一般，没有感觉到亲切。', '短评打分': 5}
{'短评内容': ' 除较干 其他可以', '短评打分': 3}
{'短评内容': '很好的酒店，干净，卫生。 交通方便。距离北京站地铁很近，距离长安街很近。', '短评打分': 5}
{'短评内容': '很不错，安静，整洁', '短评打分': 3}
{'短评内容': '很不错的酒店 ，距离火车站地铁站很近，离长安街也很近，附近也有小吃。下次来北京还会选择这里。', '短评打分': 5}
{'短评内容': '帮客户订的，他们很喜欢。距离长安街和北京站都近 ', '短评打分': 5}
{'短评内容': '感谢帮助', '短评打分': 3}
{'短评内容': '基于切身经历：酒店的管理水平低，服务意识很差！！！', '短评打分': 1}
{'短评内容': '位置不错，就是旧了点，但住着还可以\n方便赶路出差的人', '短评打分': 5}
{'短评内容': '设施较陈旧，服务态度也不好，毛巾很脏，不推荐！！！！', '短评打分': 1}
{'短评内容': ' 总体还不错，房间打扫的较干净，服务人员的态度很好，地理位置也很好。不太满意的地方是淋浴的空间很小而且洗澡水也很小', '短评打分': 3}
{'短评内容': '很好，位置非常好，离北京站和地铁很近，晚上很晚回来也很方便，两次去看演唱会都在这住的，回来的时候因为离地铁近，交通实在很便利', '短评打分': 5}
{'短评内容': '房间有点小，卫生还行，不便宜，地点好，交通方便，吃贵了点', '短评打分': 5}
{'短评内容': '位置很好，距离火车站很近，不行大概5分钟即到，酒店设置一般，房间不是很大，但价格不贵。在车站附近这样的酒店这样的价格已经算很不错了，性价比较好。', '短评打分': 3}
{'短评内容': '很不错 ，离车站很近，价格也不算贵，不过服务员有点少，退房慢了点，整体不错，如果需要我会在住。', '短评打分': 5}
{'短评内容': '酒店房价有点小，门卡有点不太好使，交通比较方便。总体性价比还不错。好像老外挺多', '短评打分': 5}
{'短评内容': '帮朋友订的，距离北京站很近，离长安街也不远。', '短评打分': 5}
{'短评内容': '+环境还好，但是位置很不错，去王府井也很近', '短评打分': 3}
{'短评内容': '交通方便，火车站近在咫尺，民航大巴站就在旁边，价格有点贵', '短评打分': 5}
{'短评内容': '位置很好，就在长安街上 性价比高 服务人员专业', '短评打分': 3}
{'短评内容': '位置很好，就在长安街上 性价比高 服务人员专业', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '酒店地段好   装修比较旧', '短评打分': 3}
{'短评内容': '酒店地段不错，但是设施比较旧。', '短评打分': 1}
{'短评内容': '还不错，交通非常便利，但是宾馆装修比较陈旧了。', '短评打分': 5}
{'短评内容': '再接再厉', '短评打分': 5}
{'短评内容': '床太小，设施太旧，前台服务差', '短评打分': 1}
{'短评内容': '距离市中心，性价比好。', '短评打分': 5}
{'短评内容': 'What the reason that i choose is location', '短评打分': 5}
{'短评内容': '地理位置方便，性价比好。', '短评打分': 3}
{'短评内容': '地理位置方便，性价比好。', '短评打分': 3}
{'短评内容': '位置方便，价格基本合理，性价比好。', '短评打分': 5}
{'短评内容': '设施和服务一般，但地点离火车站很近，比较方便。', '短评打分': 5}
{'短评内容': '酒店整体感觉都还可以,因为当时只住了一晚,所以没有什么太多的感觉,不过没有遇到什么问题,如果要是正好也是出行到这个地方的话,感觉还是可以推荐的.', '短评打分': 5}
{'短评内容': '没有什么特别的，就是交通很方便。', '短评打分': 5}
{'短评内容': '酒店的位置不错，外出方便，房间也比较干净，就是设施有点老', '短评打分': 5}
{'短评内容': '酒店的位置非常好,出行交通都很方便,环境卫生都还不错,价格合理.', '短评打分': 5}
{'短评内容': '要找北京华美伦酒店的话，告诉的士司机就在妇女活动中心对门的胡同，与天安门反方向的新闻大厦再过去第二个路口进去的胡同就能看到啦&lt;br /&gt;\n&lt;br /&gt;\n地理位置优越，近北京火车站，地铁北京站，商店，附近还有很多美味食物商店，不但不让我失望，还让我心情愉快&lt;br /&gt;\n&lt;br /&gt;\n发现这酒店很多外国人入住，看来很多人推荐了哦&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '地理位置不好找,很多人都不知道.最只要的是哪个出租车司机带我在那边绕了好几圈.气死我了,我重朝阳过来应该很近,但是打车费都用了好几十..', '短评打分': 3}
{'短评内容': '春节期间去住了几天，感觉不错，出行很方便。245的标准大床房，在市中心算不错了。建议可以考虑入住。', '短评打分': 5}
{'短评内容': '价格高', '短评打分': 3}
{'短评内容': '北京站对面的胡同里。环境不错，住宿人员流动性大，价格偏高。', '短评打分': 3}
{'短评内容': '位置在北京站对面，交通方便，但不好找！在胡同里。&lt;br /&gt;\n房间干净，无人打扰。&lt;br /&gt;\n就是价格如果再低点就好了。', '短评打分': 3}
{'短评内容': '我住过三次了感觉挺方便的，就是房价怎长了，我原来住的时候都是270呀，请问这个价钱还可以吗？ehua3243@sina.com', '短评打分': 5}
{'短评内容': '请问我和女友能一起住吗？我们2月中旬来，大概住7天，有优惠吗？标准间是大床吗？请尽快回复summer502@sina.com&lt;br /&gt;\n谢谢', '短评打分': 3}
{'短评内容': '位置不错，紧靠着北京站。房间很干净，有大床。无人打扰，但价格再低点就更好了。', '短评打分': 3}
{'短评内容': '有没有单人间大床房？如住10天可否更优惠&lt;br /&gt;\nqueenaasia@sina.com', '短评打分': 3}
{'短评内容': '有没有单人间大床房？如住10天可否更优惠', '短评打分': 3}
{'短评内容': '请问有没有单人间？单人间是不是大床呀？可不可以和女朋友一起住呀？？现在如果有单人间会员价多少钱呀？？&lt;br /&gt;\nyangyi@lolo.com.cn&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '位置好！', '短评打分': 3}
{'短评内容': '不错&lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '近期怎么贵了&lt;br /&gt;\n我上次是288的&lt;br /&gt;\n现在居然320！！！&lt;br /&gt;\n又没有大床！！！！', '短评打分': 3}
{'短评内容': '还可以吧！就是不能预订火车票，不太方便，尤其是长假时，价格有些贵。', '短评打分': 3}
{'短评内容': '交通非常方便，就在火车站对面的巷子里，出门就是地铁站。刚重新装修过，很干净。价格经常变动。冬季会降到250左右就很合算了', '短评打分': 3}
{'短评内容': '除了价格有点贵，别的都好，&lt;br /&gt;\n250以内是很好的价格。', '短评打分': 3}
{'短评内容': '我刚刚住了一个晚上，感觉挺不错的，虽说离火车站比较近，但并不会吵到你，卫生环境挺好的，现在的价格已经到了288元，不好早点，如果还能再便宜些的话，下次还是要住在这里。', '短评打分': 3}
{'短评内容': '选择和谁住在一起，是宪法赋予你的权利和自由。任何人在没有确凿违法犯罪证据的前提下不得干涉。在目前我国颁布的法律法规中没有禁止男女同居的规定。只有关于嫖娼卖淫方面的规定。只要执法部门没有你在男女同居时从事嫖娼卖淫活动的证据，它就无权干涉。试想：一个有病50岁的老太太和20岁的儿子在外住宾馆，不能同住一起吗？40岁的大叔带着他13岁的女儿不能住在一起吗？', '短评打分': 3}
{'短评内容': '我想问问是否可以和男友在一个屋住。尽快给我回复好吗？十分感谢！就留在这上好了。', '短评打分': 3}
{'短评内容': '可不可以和女朋友一起住，需要什么手续？&lt;br /&gt;\n价格能否在便宜一点，要是可以的话，我想预定本周五的订3天&lt;br /&gt;\n请尽快回复apple@oceanglory.com', '短评打分': 3}
{'短评内容': '总的来说不错，服务人员挺热情的。房间比较干净。', '短评打分': 3}
{'短评内容': '价格应该再便宜点,要不怎么和宝辰一拼,同在火车站旁,而且,宝辰的服务和环境更好,320的房价,而宝辰只要338元.&lt;br /&gt;\n住了4晚华美伦,觉得唯一可以比的就只有服务了,服务员绝对不会打搅你.呵呵,如果房价可以低的话,下次我一定还去.好&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '价格应该再便宜点,要不怎么和宝辰一拼,同在火车站旁,而且,宝辰的服务和环境更好,320的房价,而宝辰只要338元.&lt;br /&gt;\n住了4晚华美伦,觉得唯一可以比的就只有服务了,服务员绝对不会打搅你.呵呵,如果房价可以低的话,下次我一定还去.&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '67120629&lt;br /&gt;\nhao 好好？？？？！！！', '短评打分': 3}
{'短评内容': '大家說價錢是258,为什么又高了？能否再便宜一点？', '短评打分': 3}
{'短评内容': '价格应该再便宜点,要不怎么和宝辰一拼,同在火车站旁,而且,宝辰的服务和环境更好,320的房价,而宝辰只要338元.&lt;br /&gt;\n住了4晚华美伦,觉得唯一可以比的就只有服务了,服务员绝对不会打搅你.呵呵,如果房价可以低的话,下次我一定还去.', '短评打分': 3}
{'短评内容': '大家說價錢是258,&lt;br /&gt;\n但現在標價是320.&lt;br /&gt;\n為何加價?&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '总的来说是很好的,条件不错', '短评打分': 3}
