{'descr': '房间味道难闻，太熏人了，装修陈旧，不推荐入住', 'star': 2}
{'descr': '不错的   不过就是隔音不是很好    心潮澎湃的  ', 'star': 5}
{'descr': '地方不好找，房间卫生也不行。面积小，床也不舒服', 'star': 1}
{'descr': '我住的是128的特价房，含早餐，价格还是可以，只是房间太小了，设施也很陈旧，房间有股烟味，散不掉。本来计划住两天，住了一天撤了。如果想省钱，住住还凑合。', 'star': 5}
{'descr': ' 不是太好找,房间小,电视老。其它条件还不错', 'star': 3}
{'descr': '交通方便，闹中有静。\n汉庭统一的风格，大堂的书吧很好，非常适合经常出差的人。每天从外面回来，可以在书吧坐一会，喝杯咖啡，避免了回来就躺着。\n服务员很热情，服务周到。', 'star': 5}
{'descr': '房间还凑合，比较破旧，价格比较便宜，适合短期住宿的旅客', 'star': 5}
{'descr': '房间环境很一般，装修也比较旧了，基本没什么人去，上网很慢，基本上网页都打不开。\n', 'star': 1}
{'descr': '设备有点老化，很多小东西，比如网线、喷头等都需要修理。服务态度有待提高。总体还行，跟价格比还是有点差距。', 'star': 1}
{'descr': '还是比较干净，就是房间小点，就这价格也就这样了。', 'star': 5}
{'descr': '就是偏僻了点。别的还可以吧。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '很一般 ，还凑合。房间太小，还是一楼 ，早餐有点贵 ，明天吃吃看。\n', 'star': 5}
{'descr': '服务态度很好，环境也不错，连锁店很方便，下一次还会选择。', 'star': 5}
{'descr': '不错..', 'star': 3}
{'descr': '不错不错，感觉还可以 设置很新 环境不错', 'star': 5}
{'descr': '房间还算可以，床比较舒服哦，但是旁边吃饭比较困难，早餐性价比高！', 'star': 5}
{'descr': '地段差，硬件一般，服务不到位，名不副实。以后不会在住', 'star': 1}
{'descr': '地理位置不是很好 但是性价比相对较高 值得推荐', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '不错的酒店\n环境不错啊 比较温馨 价格也不贵\n推荐的\n', 'star': 5}
{'descr': '环境不错，交通方便。内饰舒服，干净温馨。。。。', 'star': 5}
{'descr': '什么都不错..就是打的比较难打..附近都是高级小区,都有私家车的.而且宁波没有叫车电话的..', 'star': 5}
{'descr': '酒店的位置挺方便，住得也很舒服，因为处理完事情后，很忙，所以才想到回复。', 'star': 5}
{'descr': '在网上预定非常的方便，而且还可以修改时间，很方便，比较人性化~', 'star': 5}
{'descr': '房间小，透光不好，地理位置和价格还可以。', 'star': 3}
{'descr': 'OK', 'star': 3}
{'descr': '因为妈妈在医大医院住院，所以很方便、房间很温馨且安全，价格也比周边几家差不多的酒店便宜。', 'star': 5}
{'descr': '性价比好，环境还行，也很干净，就是房间太小', 'star': 5}
{'descr': '价格很实惠，单人间很单人间，就洗手间有点小，总体来说挺不错的', 'star': 5}
{'descr': '酒店位置离机场大巴挺近，记得看介绍说有公交车，但是问前台怎么走的时候，只是不耐烦的告诉我打车，感觉服务态度不是很到位，房间很整洁，但是很冷，空调也不太好使，一开机就跟拖拉机一样，要么冷，要么被吵的睡不着觉', 'star': 1}
{'descr': '感觉挺好，服务员的态度也不错，希望能在跟客人问好的时候要面向客人。', 'star': 5}
{'descr': '真挺舒适', 'star': 3}
{'descr': '汉庭总体感觉还不错，服务也很好，但卫生间太小，不足的是房间不隔音！', 'star': 3}
{'descr': '浴室和厕所透明玻璃太没隐私了 其他很不错', 'star': 5}
{'descr': '服务很好，让宾客感觉到家的温暖！会向朋友介绍！', 'star': 5}
{'descr': '也就是一个方便kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk', 'star': 5}
{'descr': '环境不错，价格适中，在宁波江北区也算是交通比较便利的一处值得一住的酒店。', 'star': 5}
{'descr': '内部格局还是不错。就是太open。有点不适合两个人住', 'star': 5}
{'descr': '设施陈旧  卫生让人觉得很脏 空间很小 无语了', 'star': 1}
{'descr': '房间环境还行，服务挺好，就是灯光有点暗。', 'star': 5}
{'descr': '房间设计现代化，漂亮。餐厅的早餐也很丰富，性价比高。', 'star': 5}
{'descr': '非常差的一家店，可以说根本不值151元这个价位，不管早餐，服务冷漠，房间极小，几乎进门除了上床没有地方呆，顶多值100元以下的价位，这次被ELONG忽悠了。', 'star': 1}
{'descr': '酒店环境很好，但是近期在装修 除了二楼外都很难闻的油漆味 还有地处江北 外面声音比较糟杂 但是不得不承认 环境确实很好 住的感觉很高档', 'star': 5}
{'descr': '设施陈旧，房间极小,连张椅子都放不下，必须坐在床上玩电脑，真的很差', 'star': 1}
{'descr': '不错的酒店，我已经是第二次入住。下次还会去住。', 'star': 5}
{'descr': '房间尚干净，环境不错！就是附近没饭店。', 'star': 5}
{'descr': '不错的经济型酒店， 交通很方便， 每次都住这里', 'star': 5}
{'descr': '房间很好，下次还来。服务比较不错，汉庭一贯风格', 'star': 3}
{'descr': '房间稍微小点，但是汉庭在沈阳的客房当中属于价钱比较实惠的了。', 'star': 5}
{'descr': '酒店感觉一般', 'star': 5}
{'descr': '床很大，房间不错', 'star': 5}
{'descr': '房间虽然小了点，但是还不错的，值得推荐。', 'star': 5}
{'descr': '干净，服务不错！地理位置便捷，去市中心非常的方便！！！！！！！！！', 'star': 5}
{'descr': '房间很不错住过几次  价格也可以 就是交通不方便   ', 'star': 5}
{'descr': '很满意，服务员很热情，离太原街非常近。', 'star': 5}
{'descr': '还好吧~~推荐你们来。。。环境也可以，服务也行啊~~自己住着也蛮舒服的~~~', 'star': 5}
{'descr': '前台服务很差,态度不屑，要不是我嫌麻烦，就不住了。', 'star': 1}
{'descr': '装修的不是很好.昨天进去住还发现好多蚊子，配套设施不是很好。尽然连个刮胡刀都没有，郁闷！', 'star': 1}
{'descr': '没有湖南卫视，太不好了 灯少了点 晚上好暗哦', 'star': 5}
{'descr': '还是挺不错的，位置方便一些，朋友找工作面试的时候帮朋友定的', 'star': 5}
{'descr': '不错 床很舒服', 'star': 5}
{'descr': '很不错的酒店，房间干净、宽敞，尤其是高层的景观也很开阔。', 'star': 5}
{'descr': '房间布局比较有意思，服务态度非常不错。', 'star': 5}
{'descr': '很干净的酒店，要是有早餐就更好了。还有连锁店好像太少了些，希望能多开几家，方便选择。', 'star': 5}
{'descr': '酒店不错，服务态度好', 'star': 5}
{'descr': '很不错，房间的布局很有趣，就是位置稍微有点隐蔽。', 'star': 5}
{'descr': '没有早餐，在前台另行付费买早餐券的时候，明明前面的是15元/份，到我们就收20元/份', 'star': 5}
{'descr': '中山广场附近小马路里，还算好找，标识很清楚；\r\n房间小了点', 'star': 3}
{'descr': '地段还可以，附近吃饭的地方比较多，房间小了点。', 'star': 5}
{'descr': '适合去医大看病的外地人住，比较经济实惠', 'star': 5}
{'descr': '交通很方便', 'star': 5}
{'descr': '干净、经济的快捷酒店，值得一住', 'star': 3}
{'descr': '位置较一般，其他还好。', 'star': 5}
{'descr': '干净、舒适的酒店，同事喜欢住这个地方', 'star': 5}
{'descr': '房间设施比较新，也很干净，是值得推荐的经济型酒店。要是有早餐就更好了', 'star': 5}
{'descr': '  酒店还是不错的，房间的空间比较大，就是位置不是很好！出门都是打的。', 'star': 5}
{'descr': '服务态度很好，交通也很方便，人员也不吵，', 'star': 5}
{'descr': '交通方便很喜欢一个人入住汉庭干净卫生服务态度好', 'star': 5}
{'descr': '酒店干净卫生，交通极其便利，出门就是地铁口，购物也方便，如果提供公用电脑使用服务就好了。室内有异味,空调异响。', 'star': 5}
{'descr': '看到网上的评价开始还有点担心，但是入住后担心就没有了，虽然房间的位置看不到日湖，其实在酒店有没有看到日湖的房间这点也有点疑惑，可是房间的布置和服务员的服务还是值得肯定的，如果价钱可以优惠一点就更好了', 'star': 5}
{'descr': '住了2天。房间的空调几乎成了摆设。热啊- -！\r\n总体床很不错！', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '隔音效果不好', 'star': 1}
{'descr': '总体来说比较不错，距离医科大学比较近，服务一流，上下电梯也要刷卡，安全系数比较高，就是房间不太隔音', 'star': 5}
{'descr': '房间很小！没有衣柜！衣服就挂在墙上！房间不是一般的小！除了在床上，连放个板凳的地方都没有！房间很潮！真不忍心在说什么不好了', 'star': 1}
{'descr': '服务差', 'star': 5}
{'descr': '地点很好，经济实惠。', 'star': 5}
{'descr': '仅入住一次,服务不错,交通方便,但房间太小了,刚入住后就发现被罩是脏的,后又重新更换的房间.', 'star': 1}
{'descr': '还行吧', 'star': 3}
{'descr': '性价比还好', 'star': 5}
{'descr': '就是房间太小了', 'star': 5}
{'descr': '卫生还行，就是房间太小了', 'star': 3}
{'descr': 'bucuo  就是有点偏', 'star': 3}
{'descr': '还不错,服务员的意识水平需提高', 'star': 5}
{'descr': '环境不错。大床，大枕头很舒服。', 'star': 3}
{'descr': '很不错，相当满意', 'star': 3}
{'descr': '性价比很高的一家酒店，非常适合出差人士入住，房间干净，也很大，总之下回我还会继续入住。', 'star': 5}
{'descr': '晚上外面公路上的车过噪音有点大。', 'star': 5}
{'descr': '整体感觉汉庭是不错的连锁经济型酒店，再有能免费早餐就好了', 'star': 5}
{'descr': '房间空间很小，室温也不太理想，春节期间入住的，屋子里有点冷。\r\n床品是最让我失望的地方，被套有破损，床单上还有没洗干净的血渍……', 'star': 1}
{'descr': '非常不错，就是地点离购物的地方稍远了些。', 'star': 5}
{'descr': '和别的汉庭一样，还是可以的。', 'star': 3}
{'descr': '和别的汉庭一样，还是可以的。', 'star': 3}
{'descr': '我入住的是这家酒店的新春百元房,作为特价房,价格没的说.前台的服务还可以,酒店的设施不如以前住过的沈阳的五爱店.\r\n我是在1月底入住的,最要命的是这家酒店非常的冷,空调不好,成宿的开房间仍然很冷,而且空调的噪音非常大.', 'star': 1}
{'descr': '价格合理', 'star': 5}
{'descr': '住着还是可以的 就是位子难找点', 'star': 5}
{'descr': '房间很小，但是床够大', 'star': 5}
{'descr': '感觉不错', 'star': 5}
{'descr': '房间太小了', 'star': 1}
{'descr': '我住的大床房，房间面积较小，很不舒服。\r\n周围吃饭的地方很多，但都是杂牌小饭店，不敢吃怕生病。\r\n所以周围不是很方便。\r\n\r\n走到和平北大街看到斜对面的如家，顿觉差距较大。\r\n这家汉庭真不知道原来是什么小旅馆改的，我反正下次是不会再住了。', 'star': 1}
{'descr': '总体来说不错的酒店，卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错', 'star': 3}
{'descr': '房间特别小里面也很冷卫生和设施还行,位置也非常不好找出行很不方便,服务和性价比都不高,真的是很差的酒店我下次肯定是不会去住了.', 'star': 3}
{'descr': '当时到店已是凌晨3点了，住了几个小时就走了，它离火车站很近，走路就能到，很方便，价格也还合理', 'star': 3}
{'descr': '房间太小，实在太小了', 'star': 1}
{'descr': '很一般~很一般~\r\n\r\n位置很一般，环境很一般，服务很一般，设施很一般，价格很一般，就是很一般啊……\r\n\r\n位置不算好找，打电话给酒店说是在市自来水公司附近。本来据说离太原街很近的，可是去了才发现那是相当的远了，走路最少半个小时。\r\n\r\n我真的想说说他家的服务了。去了就使劲推荐他们的会员卡，各种尺度的话各种说，我就不具体描述了。后来决定不办他家的会员卡，人家态度那叫一个冷淡啊。\r\n\r\n我真的更想说', 'star': 1}
{'descr': '酒店的位置还行，设施条件和服务都非常不错的，也挺干净的，但是价格稍微高了一点，不过如果到这附近还是可以考虑。', 'star': 3}
{'descr': '还行，就是床有点矮', 'star': 3}
{'descr': '不太好找到，位置有点隐蔽，别的都很好', 'star': 5}
{'descr': '酒店价格比较合理,房间也比较整洁,设备也挺齐全的,服务也蛮快的,就是位置稍微有一点偏,不是在市中心的.', 'star': 3}
{'descr': '床比其他的酒店有些低', 'star': 5}
{'descr': '我觉得这家酒店个方面都还可以了,价格也比较合适.值得推荐', 'star': 3}
{'descr': '不知道为啥只有周日有特价房间。。是平时的“高级大床房”。但是房间依然很小，，床和墙只有30厘米左右。。来回走路比较费劲。但是厕所里面感觉挺好。。数字电视很清晰。。，不过整个宾馆居然没有脸盆，，本想给女友洗脚暧昧的。。没实现。。呵呵', 'star': 5}
{'descr': '酒店环境，酒店服务都不错', 'star': 5}
{'descr': '周日特价房性价比很高，房间很温馨很安静，只是有点小，地理位置很好，希望酒店常常会举行一些特价房的活动，会给推荐朋友！', 'star': 5}
{'descr': '单人间房间太小了，床紧挨着墙。床也小，屋里装不下三个人！！！', 'star': 1}
{'descr': '地段不错', 'star': 5}
{'descr': '酒店服务一般，就是离我要办事的地方比较近点。', 'star': 3}
{'descr': '酒店整体环境不错，交通也比较便利,但是服务人员不够专业,办理手续等待的时间有些长,价格还是很便宜的.', 'star': 3}
{'descr': '安静，办事方便！', 'star': 5}
{'descr': '位置很好，安静，同时交通很方便，服务生态度很好，性价比不错。', 'star': 5}
{'descr': '地点很好,出行方便.热水好,前台热情周到.有免费的咖啡喝!', 'star': 3}
{'descr': '服务不错,位置不是很好找', 'star': 5}
{'descr': '住了几天,可以.但早餐有些单调.隔音一般化.出行方便.但出租车要都注意.', 'star': 5}
{'descr': '卫生服务方面做的都非常好,很热情,住着很舒适,位置也不错,但就是按照给的地址来找的话不太好找,不如写和平大街附近.', 'star': 3}
{'descr': '卫生还是比较干净的,服务态度也还可以,酒店的位置和价格也还行出行都挺方便,总体感觉还是不错的.', 'star': 3}
{'descr': '有汉庭一贯的风格，服务和卫生都不错，唯一一点就是暖气是凉的，只能开空调睡了。推荐入住！\r\n', 'star': 5}
{'descr': '服务上非常到位,而且房间也很干净,住着很温馨,酒店就位于火车站附近,出行也都很方便,下次再来我还会选择这家酒店.', 'star': 3}
{'descr': '感觉还算可惜 就是房间内的空间不是很大', 'star': 5}
{'descr': '整体来讲还是一家很不错的酒店,位于火车站附近,出行很方便,卫生打扫的也非常的干净,就是设施上稍有些陈旧.', 'star': 3}
{'descr': '酒店在胡同里面，不是特别好找，房间卫生 设施还是不错的，服务我也很满意，性价比挺高的，下次还会选择入住。', 'star': 3}
{'descr': '房间略显狭小', 'star': 5}
{'descr': '酒店环境挺好，性价比还是挺高的', 'star': 5}
{'descr': '总体还不错~~', 'star': 5}
{'descr': '价格便宜，服务也还好', 'star': 5}
{'descr': '我住的是高级大床房。\r\n优点:干净、非常的静，因为不在主街，是经济宾馆休息的好场所。\r\n缺点：房间小了点，不过算不啥大问题，烧水的快壶所在的位置和电视共用一个插座，可那个却没电（坏了），换到边上接电脑的电源才好用，虽然这是个别房间的问题，但他们应该及时检查和修理啊。还有早餐的时间是7点，如果能再早点就好了。房间没有说明，因为不可能所有人都能弄懂带机顶盒的电视怎么用。还有，房间如果有点纸笔就更好了，', 'star': 5}
{'descr': '很不错的一家酒店，服务很到位能及时满足客户的要求，以后去沈阳还是住在哪里。\r\n酒店门口有一些小吃不错哦，由其是麻辣烫很地道的。\r\n但打车去的时候一般司机不认识那里，建议贵酒店在地址上加上和平北大街的字样就方便打车了。', 'star': 5}
{'descr': '酒店本身环境挺好的，价格也还可以，就是位置有点不太方便', 'star': 3}
{'descr': '感觉性价比不太好，房间太小，隔音效果太差，价格也有点贵', 'star': 3}
{'descr': '位置有点偏，服务一般，别的都还可以，环境不错，价格也适中', 'star': 5}
{'descr': '酒店的服务态度和房间的卫生都不错的，设施还可以的，酒店的位置有点偏了，坐车不方便的，酒店的价格还可以的。', 'star': 5}
{'descr': '酒店的性价比还是不错的,但是房间的陈设上面比较陈旧了,不过蛮干净的,地理位置一般,稍微有点偏.', 'star': 5}
{'descr': '酒店是比较不错的，交通挺方便的，价格也比较优惠，而且酒店环境也挺好的，服务也比较不错。', 'star': 5}
{'descr': '入住的房间有很大的窗，通风效果不错。隔间有点小距离，也比较安静。从性价比上说，是个不错的选择了。', 'star': 5}
{'descr': '订的是周末特价房，虽然面积有些小，但是相对价格还是不错的，很喜欢他家的杯子，让人觉得有家的感觉~\r\n想提两点建议，一是电视声音有些小，不知道什么原因~\r\n二是门从外面看上面漏缝，这样是不是有些不安全？\r\n前台接待服务都不错，表扬一下~\r\n', 'star': 5}
{'descr': '酒店整体感觉都挺好的,位置也不错,就是市中心,挺方便也挺繁华的,而且价格也不贵,挺满意的.', 'star': 5}
{'descr': '酒店的整体还可以的，服务卫生以及设施都还好的，酒店的位置以及周边交通很方便的，性价比不错的酒店', 'star': 5}
{'descr': '当时住的房间空间有点小，价格觉得可以，位置还算方便', 'star': 5}
{'descr': '酒店的服务很好 ，就是大床房间空间有点小，其他都还好，每次去沈阳我都住，离我办事地方很近', 'star': 5}
{'descr': '住的是大床房，房间有点挤。\r\n\r\n交通方便，沈阳站跟北站均有公交直达。但问公交的人没人知道华利大厦，\r\n直接说是中山路跟和平北大街南100米好了。', 'star': 5}
{'descr': '房间太小了，地点还可以，离太原街火车站挺近。打车就起步价。', 'star': 5}
{'descr': '酒店的服务卫生都还好的,但是酒店的设施比较老了,位置有点偏了,价格有点高了,', 'star': 5}
{'descr': '算是挺不错的酒店，他的地理位置挺好，也挺方便的，内部的硬件设施，环境服务都挺好的。', 'star': 5}
{'descr': '酒店的环境设施，地理位置都还不错，就是结账速度比较慢，就一个机器，而且价格比较高。', 'star': 1}
{'descr': '很好', 'star': 5}
{'descr': '房间挺干净的，服务也不错，而且去沈阳北站不远，总的来说还不错，值得推荐', 'star': 5}
{'descr': '离商业街要走三站 位置不是很好 房间毛巾不够白 大床房很小 价格偏高 还只提供一个早餐 一份早餐要15元', 'star': 1}
{'descr': '房间里没有保险箱,贵重物品保存不方便.挺干净.交通很方便.', 'star': 5}
{'descr': '适合商旅，就是房间比较小。', 'star': 5}
{'descr': '酒店服务不错，很舒适。\r\n提一点意见：无论上海还是沈阳，不知是服务员业务不熟还是系统问题，入住登记慢，等的时间比较长。', 'star': 5}
{'descr': '总体不错，就是房间太狭窄了。', 'star': 5}
{'descr': '酒店还可以,位置不错,在市中心,出行很方便,而且价格也挺便宜的', 'star': 5}
{'descr': '感觉酒店还行，干净整洁，服务也不错。', 'star': 5}
{'descr': '个方面都挺不错的,经济型的酒店不能要求太高了,价格实惠就行了.', 'star': 5}
{'descr': '整体来说还是不错的.', 'star': 5}
{'descr': '除了房间面积小点,其它都挺不错的.', 'star': 5}
{'descr': '酒店整体的服务和环境都很不错，不过我觉得他房间比长春的汉庭房间小一点，其他都一样，很不错，而且当天入住的是特价，价格很优惠，交通也很方便。', 'star': 5}
{'descr': '酒店同一种房型但是因为格局不一样,所以面积也不一样,这一点觉得不是很好,其他方面都挺好的,热水供应挺足的,价格也很实惠,就是不太明显,不太好找', 'star': 5}
{'descr': '酒店同一种房型但是因为格局不一样,所以面积也不一样,这一点觉得不是很好,其他方面都挺好的,热水供应挺足的,价格也很实惠,就是不太明显,不太好找', 'star': 5}
{'descr': '这家酒店的环境硬件设施都还不错,位置出行交通很方便,价格也很好.', 'star': 5}
{'descr': '当时正好赶上新春新特价房,价格非常实惠,酒店内部环境也还可以,就是空间小了点,不过这个价格已经很不错了', 'star': 5}
{'descr': '值得推荐的一家酒店', 'star': 5}
{'descr': '酒店的环境设施都很不错,位置设施都很不错.位置位于市中心交通出行方便,价格非常便宜.', 'star': 5}
{'descr': '我订的是百元特价房，挺不错的，如果能有个床头灯，或者在床附近有个比较顺手的小灯，会更好，他所处的位置也不错，交通便利。', 'star': 5}
{'descr': '酒店的位置位于市中心,环境设施都很不错,价格很便宜,下次过去还是会考虑入住这家酒店.', 'star': 5}
{'descr': '房间的设施、舒适度感觉一般，客房和其他经济型酒店还是有一定的差距，不过价格不是很贵，服务也可以', 'star': 1}
{'descr': '整体给人干净利落的感觉  工作人员的态度非常的好 消除了城市的陌生感 \r\n如果门脸在明显些 或者牌子再醒目些就更好了', 'star': 5}
{'descr': '软件设施不够', 'star': 5}
{'descr': '酒店整体感觉还可以,服务不错,房间也蛮干净的,只是觉得价格有些贵', 'star': 5}
{'descr': '性价比还是比较不错的酒店，干净卫生。服务也很好', 'star': 5}
{'descr': '干净卫生，价格优惠，设施不太齐全，服务不错', 'star': 5}
{'descr': '酒店的服务人员不够专业而且也不热情,价格倒是挺实惠的,也是只能算是经济型的酒店,没什么特点.', 'star': 1}
{'descr': '酒店各方面都很好,位置位于市中心,交通便利,价格适中', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
{'descr': '床大，超级舒服，还有电脑可以上网，房间也大，地段好找，有餐厅，一天三餐都可以解决，只要出点钱&lt;br /&gt;\n强烈推荐&lt;br /&gt;\n我和我的爱人准备作为定点房间类', 'star': 3}
{'descr': '我很喜欢这里。希望更多人可以尝试。大到你不想爬起来的床。打上空调。玩一天的电脑。。。。只是液晶的挂壁电视效果不是那么ok&#183;&#183;&#183;不过&#183;&#183;&#183;真的很好', 'star': 5}
{'descr': '房间还可以，比较大，就是退房站大排等了20多分钟，有不自觉的使劲往前挤，服务员也不管先来后到的。服务一般。', 'star': 5}
{'descr': '首先谢谢你门的服务,房间的设施不够齐全,比如说电脑应该每个房间要有一台\r\n出门旅行,或出差,要是没有带电脑怎么办,要排队在大厅里等候吗?', 'star': 5}
