{'短评内容': '酒店走廊的天花板都是霉点 周围晚上很吵 有个会所', '短评打分': 3}
{'短评内容': '总体还不错。设施有些旧。服务很好。服务员很有礼貌。', '短评打分': 5}
{'短评内容': '稍微有点偏，其他都很好！!!!!@!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '南宁西乡塘片区性价比高的酒店，交通便利，价格合适中档会议等', '短评打分': 5}
{'短评内容': '房间小了点', '短评打分': 5}
{'短评内容': '还不错，房间，设施都还可以。', '短评打分': 5}
{'短评内容': '位置不错,出行比较方便.而且价格便宜,房间不错.', '短评打分': 5}
{'短评内容': '经常入住这家酒店，感觉不错，离我办事的地方很近，也很舒适', '短评打分': 5}
{'短评内容': '酒店的性价比非常高，酒店的设施很好，但是就是有一点吵，本人非常喜欢这个酒店', '短评打分': 5}
{'短评内容': '服务人员服务态度很好  但并不包括前台服务人员   酒店各项设施都很满意  性价比很高   不错  但前台人员态度有点让人郁闷  ', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '酒店位置不太好离市区比较远,要打车到市区购物,酒店里面还是满干净的,酒店楼上有酒楼吃饭比较方便,设施比较一般,性价比还可以.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都算是比较不错的，但是和金都相比还是比较差的，房间的面积稍微有些小。位置地段都还不错，出行交通方便，价格合理适中。整体来讲算是可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '晚上睡觉的时候中央空调的声音有点响，其它的都做得不错！', '短评打分': 5}
{'短评内容': '早餐种类太少了，味道很一般，环境硬件设施太差，早餐的餐厅环境很不好。服务卫生都很好，位置地段出行也非常的方便，就是迟早餐的地方比较差，就是一个大圆桌上，感觉很不好，应该改善，其它的都还不错。', '短评打分': 5}
{'短评内容': '感觉还可以.交通方便', '短评打分': 5}
{'短评内容': '性价比还是不错的,值得推荐一下', '短评打分': 5}
{'短评内容': '酒店各方面感觉都还可以,环境很好,而且内部设施也蛮跟得上的,都还不错', '短评打分': 5}
{'短评内容': '餐厅服务很差，进去了之后都被气出来了。房间有异味，我在南宁停留3天，在这里住了一天我就不要住了。', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我是8月14日入住的。据火车站打的十分钟左右的路程。酒店比较气派，对面有超市和小饭馆，比较方便。我住18楼。房间属于电脑房，小了点，但干净、整洁，卫生间也太小，没有浴缸，冲淋站在马桶边上。&lt;br /&gt;\n服务员态度比较好，中规中矩的。&lt;br /&gt;\n宾馆的早点比较简单，花色不多，晚去的话就更少了。&lt;br /&gt;\n听朋友说我住的酒店不再办公区内，所以办事不是很方便。倒是', '短评打分': 5}
{'短评内容': '我住的标间在12楼，窗户朝西，视野极佳，远处群山起伏，可观赏日落，安静，设施新，价格合理！早餐不错，下次来南宁还住天妃！', '短评打分': 5}
