{'短评内容': '地理位置好，房间比较干净。', '短评打分': 5}
{'短评内容': '很不错的酒店，宽敞整洁，但觉得在这个位置价格稍有点小高。', '短评打分': 5}
{'短评内容': '酒店地理位置好，交通方便，周边环境较安静。房间设施简易，房间很干净。卫生间面积太小。', '短评打分': 5}
{'短评内容': '环境还不错，交通比较方便，安静……', '短评打分': 3}
{'短评内容': '酒店卫生情况不错，位置离办事的地方很近，下次来还会住这！建议把网速提高一下，毕竟是快捷商务酒店，来住店的人应该多数会有上网意愿的。', '短评打分': 5}
{'短评内容': '房间虽然临街可是很安静，设施比较好，交通方便', '短评打分': 5}
{'短评内容': '不错，卫生干净、舒适，希望前台服务更佳，早餐不是很可口', '短评打分': 5}
{'短评内容': '酒店房间不错，很干净，空调也很凉快，卫生间偏小', '短评打分': 5}
{'短评内容': '此酒店总体让人感觉不错，但遗憾的是地点有点偏，打车非常不方便', '短评打分': 5}
{'短评内容': '干净舒适，服务态度很好，环境也不错，性价比高。卫生间稍微有点小，别的都很好。', '短评打分': 5}
{'短评内容': '很好,很干净和安静。', '短评打分': 3}
{'短评内容': '第二次入住了，环境不错！交通便利！值得信赖！', '短评打分': 5}
{'短评内容': '服务还行,卫生也还好,房间隔音效果还需要提高.', '短评打分': 5}
{'短评内容': '房间很干静，床也很大。卫生间有点小，早餐桌子没人收拾。', '短评打分': 5}
{'短评内容': '不错，很大，还有个3平米的大阳台，桌很大。就是电视不太好。洗手间小了点。', '短评打分': 5}
{'短评内容': '酒店不错，很干净，设施、配套也不错！', '短评打分': 3}
{'短评内容': '房间不错，空调蛮凉的', '短评打分': 3}
{'短评内容': '保安看到我提着行礼箱就主动过来帮忙提，服务非常主动。干净整齐，不错。', '短评打分': 5}
{'短评内容': '宾馆看起来不错的。可是：\n1. 入住时竟然给我一间脏房，反映到前台，服务员答复我：电脑显示的可是打扫过的呀！ 呵呵，啼笑皆非！电脑取代人脑已经不是梦了……\n2. 世上本没有宽带，用的人多了就有了；可是这里是：宽带用的人多了就没了……', '短评打分': 5}
{'短评内容': '在高新的酒店算是便宜的，就是洗手间有点儿小，不过有个小阳台感觉还是挺好的', '短评打分': 5}
{'短评内容': '房间很冷，空调不管用，地点偏，打车非常不方便', '短评打分': 1}
{'短评内容': '在西安高新区，环境比较安静，唯一不足的是电视频道少，', '短评打分': 5}
{'短评内容': '生意好像越来越火哈，可是服务越来越差了。前台几个实习生非要付了费才给酒店水单，哪里的规矩，结果还算错了帐，连声对不起都没有。餐厅也小得不像话，连续两天都在大堂的沙发上将就吃的早餐，房间空调也不暖。', '短评打分': 1}
{'短评内容': '现在这家酒店越来越难订到了，好像生意很火爆的样子，餐厅有点小了。', '短评打分': 5}
{'短评内容': '要在开发区办事的话住这里应该是比较方便的了，算是性价比比较高的经济酒店，往往要提前好几天才能订到。在此家酒店里看到的老外客人比在很多四星级酒店里看到的都多。', '短评打分': 5}
{'短评内容': '交通也很方便楼下就是400路，住的南边房间采光非常好，阳台上的小沙发很好', '短评打分': 5}
{'短评内容': '挺好的，在高新区，距离陕西联通挺近的，旁边是陕鼓动力厂区，位置偏了一点，打车的话要等好一会儿', '短评打分': 5}
{'短评内容': '在同等价位酒店里算不错的，房间比较大比较新也很干净，还有一对红沙发。现在如果不早提前几天订，还经常订不到这个酒店的房间呢。', '短评打分': 5}
{'短评内容': '相对于同类酒店来说，房间比较大的啦，也比较新，还有一对沙发，比机械化。', '短评打分': 5}
{'短评内容': '+真的不错。', '短评打分': 3}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '酒店服务和硬件都不错！就是交通欠方便', '短评打分': 5}
{'短评内容': '安静，但有点偏僻，最好自驾车入住！好评', '短评打分': 3}
{'短评内容': '房子大，安静，就是有点偏僻，适合自驾车！好评', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很达标，价格合理适中，出行交通方便，性价比很达标的商务型酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '整体来说不错，干净，很值这个价格。', '短评打分': 5}
{'短评内容': '卫生间的马桶不好使。', '短评打分': 1}
{'短评内容': '开发区 核心位置 周边 有几个面馆不错 就是不太好找', '短评打分': 5}
{'短评内容': '还可以，就是吃饭不方便', '短评打分': 5}
{'短评内容': '很干净，服务也很好，推荐！', '短评打分': 5}
{'短评内容': '设施有问题，卫生间的马桶易堵', '短评打分': 1}
{'短评内容': '总体来讲，很好。\r\n个人觉得位置是不错的，在高新区而言，对面的小区侧面有很多吃饭的地方，而且味道都不错，出行也很方便。\r\n酒店的环境很好了，很干净，设施也全，服务也很不错。\r\n总之，推荐。', '短评打分': 5}
{'短评内容': '房间很干净，很舒适，服务也不错。', '短评打分': 5}
{'短评内容': '酒店设施很好，服务上一般。', '短评打分': 5}
{'短评内容': '前台接待应该是一个实习生，态度不是很热情，处理问题的速度实在让人不敢恭维！除此之外，其他方面都还不错！', '短评打分': 5}
{'短评内容': '干净、安静、网络不是很好，总是上不去网', '短评打分': 5}
{'短评内容': '酒店的位置稍偏了一些.在JPS上搜索不到.不过当时入住酒店时感觉酒店室内环境很好.隔音效果也不错.停车场保安可以提供24小时看车服务这是一般酒店办不到的.当时入住时感觉这家酒店比如家这类的酒店还要好.', '短评打分': 3}
{'短评内容': '酒店房间比较干净卫生很好。但是提供的早餐种类少，也不特别好吃。交通方便。', '短评打分': 3}
{'短评内容': '交通便捷，干净、舒适！就是酒店的卫生间为什么没有地垫呢？细节上稍欠缺！', '短评打分': 5}
