{'短评内容': '卫生间水很小，热水洗一会就没有了，', '短评打分': 2}
{'短评内容': '现在就是上楼需要服务人员带有点麻烦，但是态度都很好，房间很漂亮很同事住的很舒服，很喜欢这个地方。楼层都很高，视野很开阔。真的物超所值，以后要常住了。哈哈。', '短评打分': 5}
{'短评内容': '设施很新，交通很便利，服务态度也很好。二十四小时都有人在的。很好舒适的地方。以后还会来。', '短评打分': 5}
{'短评内容': '服务不错，就是上楼麻烦点，需要酒店的人带上去，早上的时候好像是哪里在装修，有点吵。', '短评打分': 5}
{'短评内容': '酒店的设备很用心很好，还预备了洗衣粉，很贴心的做法。布置很温馨，楼层很高，能看到周围楼宇在脚下的感觉。视野非常好。前台接待服务态度很好。交通真的很便利。不过就是现在上楼要打电话给前台否则就无法上电梯了。下次出差还来。', '短评打分': 5}
{'短评内容': '楼层很高，很安静，不过因为电梯需要用房卡才能上楼，所以比较不是很方便，好在嘻哈的客服打电话提醒，然后在我和同事到达酒店的时候下楼接待。房间的布局很好，很舒适，地下二层就是地铁，所以到机场很方便。接下来还会再住的。', '短评打分': 5}
{'短评内容': '推荐了朋友去住，预定了商务景观，朋友到了店里看到房间就给我打电话说给她订了多少钱的房间，看起来房价很高，她很担心会超过公司出差规定。但是当我告诉她在规定内的时候，她无比的欢喜，说这里交通便利，景观房的设施特别好，夜景很漂亮。说以后就让我一直给她订这里。哈哈。', '短评打分': 5}
{'短评内容': '酒店位置算是不错，距离各个地方也比较方便。同事酒店服务业相当的热情和周到。而且房间性价比还是蛮高的，干净整洁舒适。要是挑毛病的话，就一点，上楼电梯比较尴尬，第一次入住会比较麻烦。\n总言之，还是很不错的撒，推荐入住哦~', '短评打分': 5}
{'短评内容': '之前看了其他评论，以为要从地下电梯上；其实从江南大道的大门进，就是电梯直达。电梯乘到负2层，直接可走到2号、8号地铁站，十分方便。前台的两位年轻人都很热情周到，房间升了级，还送到房间。温馨的房间，设备齐全。实在是不错的选择。', '短评打分': 5}
{'短评内容': '房间的温馨布置很舒服，窗外的楼宇尽在脚下，不错；\n入住时方知楼顶的星空游泳池未启用，遗憾。', '短评打分': 5}
{'短评内容': '这家店交通超级便利的，就在2号线和八号线交汇的昌岗站，嘻哈酒店所在的楼层很高，服务台就已经在38楼了，说实话有点难找，不过打个电话给前台就解决了。我第一次住在这么高的地方，俯瞰下夜晚的广州很漂亮，用这样的价格买到这样的条件很划算。甚至还因所购价位的房间有人续住，酒店主动帮我升了一个级别的房间。房间里有微波炉和电磁炉等，很明显的实图房，真的没有任何区别。服务也是全天的，很热情，我会推荐我朋友出差住嘻', '短评打分': 5}
{'短评内容': '酒店没有停车位、房间手机没信号、床太硬。对于我来说实在是不方便。着实不能接受', '短评打分': 3}
{'短评内容': '环境真的不错，超出我的预料，温馨，干净，下次我开广州我还会住这儿的', '短评打分': 3}
{'短评内容': '刚刚预订酒店的时候，觉得这个酒店有点搞笑、有点不靠谱——酒店名字这么儿戏。到了昌岗地铁站后，我从地铁E出口出来，发现酒店前台比较难找，怎么也找不到他们所说的电梯。所以我打电话给他们酒店前台，他们的工作人员很迅速地下来带我。之后我才知道：出了昌岗地铁站E出口后（E出口可以通向酒店公寓所在的达镖国际中心负二层停车场），再通过负二层停车场就可直接乘坐电梯到达他们酒店公寓前台(38楼)，从E出口到负二层电', '短评打分': 5}
