{'短评内容': '非常不错，下次肯定再来', '短评打分': 5}
{'短评内容': '很好的选择，下次去的话还会选择。通过这次入住，对汉庭印象很好！', '短评打分': 3}
{'短评内容': '住过很多地方的汉庭，这家汉庭设备感觉不是很么好，干净程度还是可以的。店内的小商品要比其它汉庭店买的贵，不知道为什么。但是房价还是比其它地方的汉庭偏低的，性价比还可以。希望改善店内设施，对了，我住那间房电视没法看，后来来人修也没修好， 那晚没看电视早早就睡觉了。', '短评打分': 5}
{'短评内容': '很好啦，在市中心，坐车出行都很方便，闹中取静，走一会就到商场了，环境也很好！', '短评打分': 3}
{'短评内容': '还不错了,就是有点吵', '短评打分': 5}
{'短评内容': '挺好，确实是闹中取静，走到商城也不是很远，饭后休闲啦！', '短评打分': 5}
{'短评内容': '二楼有上岛咖啡，会议方便，不过要跟的士说到解放西路，要不然他们还真找不到。', '短评打分': 5}
{'短评内容': '周围环境比较好，闹中取静。', '短评打分': 5}
{'短评内容': '不错的酒店 比较干净', '短评打分': 5}
{'短评内容': '位置还可以，环线内，叫出租车不是很方便，好在可以打电话05108800800叫出租车（最好前台能帮客户叫一下车）\r\n房间大小还可以，通风不是很好，好像有一点异味 ：（', '短评打分': 5}
{'短评内容': '环境挺好了，楼层比较高，隔音效果还不错，就是前台结账速度太慢，让我等了半个钟头，', '短评打分': 5}
{'短评内容': '相当不错的店，二楼上岛咖啡。早餐就在里面。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '地里位置相当好，出行比较方便，房间也很干净，就是停车不太方便。', '短评打分': 5}
{'短评内容': '位置好，去商业街步行十分钟，不过房间一般，床很糟', '短评打分': 3}
{'短评内容': '环境比较好的 ', '短评打分': 5}
{'短评内容': '可以  还不错 如果加上早餐就更好了', '短评打分': 3}
{'短评内容': '靠路边，很吵。。。问题是酒店本身的不知道是空调系统，还是墙外有大型空调外机，一直都是嗡嗡声，都都嗡晕掉了。。。。。。。。。\r\n一夜没睡好。。。。', '短评打分': 1}
{'短评内容': '很满意  前台服务也好 而且 可以在二楼的咖啡厅 挂账点餐', '短评打分': 5}
{'短评内容': '总得来说还行，离市中心中山路10分钟行程。\n唯一不足的是床很差，睡上去一塄一塄的，很硌人，好像床垫里的钢丝都要跑出来了。订的还是高级大床房，床是不小，不过没看出来高级在哪里，连普通都谈不上。\n酒店应该注意定期检查更换硬件设备。', '短评打分': 5}
{'短评内容': '有些司机不认识。', '短评打分': 3}
{'短评内容': '地方好找，房间不错', '短评打分': 5}
{'短评内容': '周边交通方便 利于出行。酒店设施简洁 卫生，电吹风非常实用。前台服务热情 办理入住效率高。', '短评打分': 3}
{'短评内容': '交通方便 设施简洁 卫生 前台服务好  推荐', '短评打分': 5}
{'短评内容': '地理位置不错，在一环路，交通便捷，市中心的缺点是紧靠马路，车辆声音还是清楚的。前台速度快，态度也还不错；房间干净，有吹风机。来自内部的噪音是楼层服务员，隔着整条走道大声聊天，不知道是门比较薄还是她们不知道规矩。', '短评打分': 5}
{'短评内容': '前台服务很好~吹风机很实用~', '短评打分': 3}
{'短评内容': '挺好的，安静，卫生也不错', '短评打分': 5}
{'短评内容': '地理非常好，下次去还是会选择。', '短评打分': 5}
{'短评内容': '很干净，住的很舒适，尤其是配有吹风机，整体感觉不错', '短评打分': 5}
{'短评内容': '一般，洗澡舒服，沿马路较吵，去市中心方便，十分钟路程', '短评打分': 5}
{'短评内容': '服务比较热情,还可以', '短评打分': 5}
{'短评内容': '越来越喜欢这家汉庭了。。。。', '短评打分': 5}
{'短评内容': '环境不错，就是停车不是很方便\r\n', '短评打分': 5}
{'短评内容': '干净舒适，紧邻市中心，出行方便。', '短评打分': 5}
{'短评内容': '唯一的优点可以享受马路边的交响乐', '短评打分': 1}
{'短评内容': '总的来说百元房还是超值的！！！', '短评打分': 5}
{'短评内容': '我住的是新春百元房,房间在3楼 非常干净 且非常舒适,枕头超级好,洗手间也很干净,淋浴水超级大,前台的小姐也非常热情,离市中心很近 步行10分钟,总之非常满意,下次来还会选择这家的~哈哈,', '短评打分': 5}
{'短评内容': '因为酒店在马路边上，玻璃窗的隔音不是太好，所以车来车往的声音有点吵。其它都挺满意的，特别房里有吹风机挺方便的，房间的气氛很舒服。', '短评打分': 5}
{'短评内容': '梳子质量太差啦，别的都不错\r\n提供电吹风，很温馨', '短评打分': 5}
{'短评内容': '住了7天，前三天165元，后4天183元，感觉不是很好。', '短评打分': 1}
{'短评内容': '基本不错，就是靠马路边，晚上有点吵', '短评打分': 5}
{'短评内容': '还不错，就是有点吵', '短评打分': 5}
{'短评内容': '太离谱的地方，根本就不是啥学前街！', '短评打分': 3}
{'短评内容': '三个字，太忽悠！', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '位置偏了一些，但是设施、卫生都很好，值得一住', '短评打分': 5}
{'短评内容': '卫生条件不错 住得挺舒适的', '短评打分': 5}
{'短评内容': '不错位置很好.', '短评打分': 5}
{'短评内容': '性价比高，环境较好，离市中心很近。', '短评打分': 5}
{'短评内容': '设施很完善，环境也不错。', '短评打分': 5}
{'短评内容': '感觉不是汉庭的风格，早餐十五元比别的店差很多\r\n', '短评打分': 1}
{'短评内容': '高级大床房跟普通房没什么区别，没有先前入住的房间大。感觉不怎么好，电话跟总台联系就说是高级大床房了，感觉被朦了。', '短评打分': 1}
{'短评内容': '很好，住的很舒服，也很干净，喜欢里面的吹风机 ', '短评打分': 5}
{'短评内容': '不错的酒店!', '短评打分': 5}
{'短评内容': '地理位置很好,离我办事的地方很近出行都很方便,卫生服务方面也都不错,住着很舒适,性价比还是比较高的.', '短评打分': 3}
{'短评内容': '周边没有吃饭的地方，网速特慢，电视台少且不清晰。', '短评打分': 1}
{'短评内容': '房间的卫生和设施方面都很好,住着很舒适,而且也很符合酒店的价位,但就是位置离中心稍微有点远.', '短评打分': 3}
{'短评内容': '总体还不错', '短评打分': 5}
{'短评内容': '房间面积小,住着有些压抑,其他都很好,卫生很干净,设施也很完善,服务热情周到,性价比不错,下次还会入住', '短评打分': 3}
{'短评内容': '房间比想象中的要大很多，浴室也很干净，虽然定的普通大床房，但是床也是1.8*1.8的一家3口睡没有问题，还有免费提供两瓶矿泉水挺好的。就是酒店地点稍微有一点偏，要走15-20分钟到市中心有吃饭的地方。总体感觉非常好。出门也有公交站，到火车站的车很多。', '短评打分': 5}
{'短评内容': '房间卫生很不好,床单还有脏印,服务也都叫半天也没人理你,性价比不好,不推荐这家酒店.', '短评打分': 3}
{'短评内容': '交通很方便，离火车站很近，打车只要起步价，出去交通都挺方便的，房间很大，收拾得很干净，很舒服。', '短评打分': 5}
{'短评内容': '在汉庭快捷里算很不错了', '短评打分': 5}
{'短评内容': 'fdg', '短评打分': 3}
{'短评内容': '临街的房子太吵,位置不错,逛街和吃饭方便', '短评打分': 5}
{'短评内容': 'hao ', '短评打分': 5}
{'短评内容': '感觉还不错，靠近路边不好停车，价格还合理，总体上还是比较舒适的', '短评打分': 3}
{'短评内容': '位置可以，硬件有待提高', '短评打分': 5}
{'短评内容': '服务还不错，就是房间太小了，地段有点偏', '短评打分': 5}
{'短评内容': '酒店设施还可以，就是结账的时候服务员态度一般', '短评打分': 5}
{'短评内容': '这家酒店的前台服务我很不满意,一,我是26号晚上6点入住的当时觉得服务不错,我住的是大床房,其中一位瘦瘦的小姐服务很好,而且很巧妙的推荐汉庭卡,所以住得很舒心,但是第二天上午我想换到临街的房间,询问了前台一位化着比较浓妆的小姐,得到的回答是临街的房间都是双标间没有大床房,当时我心里想没有就算了,后来我用过早餐回自己房间的时候看到临街的房间有几间都在打扫我就看了一下,我连续的看了三个临街的房间都是一', '短评打分': 1}
{'短评内容': '干净，舒适，温馨', '短评打分': 3}
{'短评内容': '位置不错，安静，房间也不错，标间里有大躺椅和电吹风。。。', '短评打分': 5}
{'短评内容': '很不错 很安静  也很干静', '短评打分': 5}
{'短评内容': '住过好几次了，虽然地处市中心，但是每次住的房间环境都非常安静。很整洁，干净！', '短评打分': 5}
{'短评内容': '设施和服务还是比较好的,卫生也不错,连锁的酒店基本上都一样差不多,还是比较满意的,不过位置有点是有些偏了,交通还可以,总体感觉还是比较满意的.', '短评打分': 3}
{'短评内容': '不错，服务员态度也很好，比南京的汉庭好多了，价格也实惠，就是去的时候那条路比较难找', '短评打分': 5}
{'短评内容': '我们住的时候正好搞活动100特价房,感觉超值,性价比非常好,各方面都是很满意的.', '短评打分': 5}
{'短评内容': '酒店总体感觉还是不错的，房间蛮舒适的，但是卫生条件不是很理想，价格一般，要是再便宜就更好的。', '短评打分': 5}
{'短评内容': '酒店本身档就不高,所以也不会有太多的要求,价格挺便宜的,不过房间里的床不够大,换了几个房间也这是一样.', '短评打分': 5}
{'短评内容': '因为那天我住的是周日百元特价房,所以性价比肯定是相当好了,但是如果按照平常价的话，就一般了.房间还是不错的,位置也不错,虽然是在所谓的比较&quot;偏&quot;的地方，但其实离市中心最繁华的地方也就走路10分钟左右.酒店旁边就是市政协办公大楼.走路去王兴记都是很近的.说酒店服务好，是因为临出酒店时候，因为外面太阳大，所以前台一个小伙子还挺细心的送了把伞,感觉不错.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行也很方便，附近交通也很好，价格也比较合理适中，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店马马虎虎，外观太差，服务佳，酒店早餐还是可以的！房间设施比较旧，房间内有异味，比较不爽，房间宽带还是比较快的！总体感觉很一般，汉庭不应该有这样的酒店，在经济型酒店中属于中下级别！！！', '短评打分': 1}
{'短评内容': '还可以吧，价格偏高\r\n', '短评打分': 5}
{'短评内容': '我在床底发现一个饮料空瓶！ 但是总体来说还不错！', '短评打分': 5}
{'短评内容': '酒店的位置很好,出行交通很方便,硬件设施舒适都还一般,价格很优惠,服务卫生也很达标.', '短评打分': 5}
{'短评内容': '服务比较热情,房间也蛮干净的,之前住价格很便宜,但之后几次入住价格都上调了', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也挺实惠的.', '短评打分': 5}
{'短评内容': '酒店的位置非常好,出行交通方便,环境硬件设施也很不错,当时入住的价格非常便宜.', '短评打分': 5}
{'短评内容': '酒店还算不错，综合来说性价比很不错，交通也方便。', '短评打分': 5}
{'短评内容': '两次入住 感觉都挺好的  会记住这个地方', '短评打分': 5}
{'短评内容': '酒店很干净很便捷设施环境都还不错.', '短评打分': 5}
{'短评内容': '酒店距离市中心比较近交通也很方便, 房间的面积有些偏小价格有一点点贵.其它都很满意.', '短评打分': 5}
{'短评内容': '酒店的服务卫生还可以的，价格也能接受，就是位置稍微偏远点了。', '短评打分': 5}
{'短评内容': '性价比高的商务酒店 离上次办事的地方很方便，不过下次去无锡就就不会选择了', '短评打分': 1}
{'短评内容': '是我入住的性价比很好的酒店之一', '短评打分': 3}
{'短评内容': '第二次入住这家店，感觉还不错，价格合适，设施齐全，环境还算干净，离市中心很近，交通方便。吃饭不是很方便。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '毛巾黑乎乎的，让我大失所望啊！不过总体还算可以，房间小点。现在的经济型酒店好像满意的不多。下次再去如家什么的看看毛巾干净不。呵呵', '短评打分': 3}
{'短评内容': '一家很不错的酒店，除了早餐。', '短评打分': 3}
{'短评内容': '给早餐提点意见。早餐价格不贵，10元/位。可是实在太单调了点。我一连住了几天，每天都要吃完全相同的早餐，而且品种就那么几样，实在是受不了。', '短评打分': 3}
{'短评内容': '5月份刚住过,很有家的感觉,也很干净,服务人员的态度很可亲,离市中心很近.只是ELONG订房和门市价没有区别是个遗憾', '短评打分': 5}
