{'短评内容': '去普陀山就住这家，码头对面，超级方便', '短评打分': 5}
{'短评内容': '出了码头就能看到，十分方便，到了以后酒店给免费升级到贵宾楼的大床房，超级大的床，很舒服！下次还在这里住。', '短评打分': 5}
{'短评内容': '出了码头就能看到，十分方便，到了以后酒店给免费升级到贵宾楼的大床房，超级大的床，很舒服！下次还在这里住。', '短评打分': 5}
{'短评内容': '价格很实惠，地理位置很方便，就在码头附近。', '短评打分': 5}
{'短评内容': '价格很实惠，地理位置很方便，就在码头附近。', '短评打分': 5}
{'短评内容': '交通比较便利，环境幽雅.温馨。餐厅较差，不建议就餐。出门右转200米就是农家餐馆。', '短评打分': 3}
{'短评内容': '交通比较便利，环境幽雅.温馨。餐厅较差，不建议就餐。出门右转200米就是农家餐馆。', '短评打分': 3}
{'短评内容': '还不错，主要是方便，一进景区大门口就可以看见，明年去还会考虑住这里。', '短评打分': 5}
{'短评内容': '还不错，主要是方便，一进景区大门口就可以看见，明年去还会考虑住这里。', '短评打分': 5}
{'短评内容': '环境优美，服务周到，离景点近，交通便利。', '短评打分': 5}
{'短评内容': '环境优美，服务周到，离景点近，交通便利。', '短评打分': 5}
{'短评内容': '非常好，下午还打电话跟踪入住，还换成大床', '短评打分': 3}
{'短评内容': '非常好，下午还打电话跟踪入住，还换成大床', '短评打分': 3}
{'短评内容': '就在普陀山进门口对面~这次住的是300的标A，房间较小，住一晚上还凑合~', '短评打分': 5}
{'短评内容': '就在普陀山进门口对面~这次住的是300的标A，房间较小，住一晚上还凑合~', '短评打分': 5}
{'短评内容': '酒店的位子不错,就在码头边,出入交通十分的便捷,酒店设施一般,感觉休息日的价格高了点,平时的价格还行.', '短评打分': 5}
{'短评内容': '酒店的位子不错,就在码头边,出入交通十分的便捷,酒店设施一般,感觉休息日的价格高了点,平时的价格还行.', '短评打分': 5}
{'短评内容': '虽然有点不愉快，不过后来经过解释也还行吧', '短评打分': 5}
{'短评内容': '虽然有点不愉快，不过后来经过解释也还行吧', '短评打分': 5}
{'短评内容': '下次再也不会去那里住了，宁可住在岛外，然后 第二天在进岛，晚上睡觉的时候有虫子落到我脸上，弄得我后半夜没睡好。火死了~~~~', '短评打分': 1}
{'短评内容': '下次再也不会去那里住了，宁可住在岛外，然后 第二天在进岛，晚上睡觉的时候有虫子落到我脸上，弄得我后半夜没睡好。火死了~~~~', '短评打分': 1}
{'短评内容': '这是第二次入住，选择的原因很简单就是交通方便。', '短评打分': 5}
{'短评内容': '这是第二次入住，选择的原因很简单就是交通方便。', '短评打分': 5}
{'短评内容': '酒店设施还蛮好，位置也很好。就在普陀岛一出码头马路对面就是。\n', '短评打分': 5}
{'短评内容': '酒店设施还蛮好，位置也很好。就在普陀岛一出码头马路对面就是。\n', '短评打分': 5}
{'短评内容': '地理位置相当好，就在码头对面，坐车去任何景区都方便。房间很干净。住的很舒服。', '短评打分': 3}
{'短评内容': '地理位置相当好，就在码头对面，坐车去任何景区都方便。房间很干净。住的很舒服。', '短评打分': 3}
{'短评内容': '地理位置不错，一出码头就是，设施也还行，只是隔音效果不太好，但总体性价比不错', '短评打分': 5}
{'短评内容': '地理位置不错，一出码头就是，设施也还行，只是隔音效果不太好，但总体性价比不错', '短评打分': 5}
{'短评内容': '还不错，只是有点潮湿！', '短评打分': 3}
{'短评内容': '还不错，只是有点潮湿！', '短评打分': 3}
{'短评内容': '自从有一年去普陀山时订了海通后，今后每年去都住海通\n\n个人感觉标A和标B差别不大，标B的房间小了点而已，比较实惠\n\n码头上来就能放了行李，酒店免费可以寄行李', '短评打分': 5}
{'短评内容': '自从有一年去普陀山时订了海通后，今后每年去都住海通\n\n个人感觉标A和标B差别不大，标B的房间小了点而已，比较实惠\n\n码头上来就能放了行李，酒店免费可以寄行李', '短评打分': 5}
{'短评内容': '酒店比较方便，但是设施过于简陋，性价比一般。', '短评打分': 5}
{'短评内容': '不错，还可以,就是楼下的餐厅的菜，，又贵又难吃，，见意大家去外面吃。。。。', '短评打分': 5}
{'短评内容': '国庆期间涨价太不厚道，条件还可以，下了渡轮就是宾馆，比较方便。', '短评打分': 5}
{'短评内容': '＋还可以', '短评打分': 3}
{'短评内容': '房间很小，一股霉味，餐厅价格比外面排档高非常多。', '短评打分': 1}
{'短评内容': '优点：\n1.就在普陀岛码头对面，地理位置很好，上码头步行5分钟即可到达。回沈家门的客运码头和去洛迦山的码头也很近。\n2.早餐可以在客运码头（客运餐厅）吃，也可以在去洛迦山的码头（早餐店）吃。房间干净，A标间床是0.8米，B标间床是1.2米。酒店设计为2层+部分3层。\n3.宾馆出来右转步行10分钟内就是农家乐海鲜排挡一条街，喜欢海鲜的朋友可以晚上去享受。\n4.对面码头停车场有岛上的公共汽车站，1,2', '短评打分': 5}
{'短评内容': '位置确实很方便，出了码头左前方就是。环境也很好，服务还行，餐厅也不是很贵，反而周边农家乐有些不地道。出门右拐走有六七分钟可以有超市，水果什么的也不太贵。房间不是很潮湿，不过有虫子，卫生需搞好。', '短评打分': 5}
{'短评内容': '酒店比较干净 环境尚可', '短评打分': 3}
{'短评内容': '可以说是一上岛的第一家酒店,出来大厅就是了,很近.早晚也要从码头走,所以住这很方便,去码头做公交车也方便.房间算上干净的了,空调只是不知为什么晚上无法启动.一定要住2喽哦,因为一楼窗户面对的是墙哦.', '短评打分': 5}
{'短评内容': '房间还可以，隔音不好。地理位址很方便。', '短评打分': 3}
{'短评内容': '该酒店优点：\n1）离普陀山码头很近，就在码头左边候船处对面，就隔着码头广场，不行2分钟就可以到\n2）酒店装修非常古色古香，分成2进。一进是大门，然后是个园子，然后二进才是大堂。大堂非常古典，还有香薰，感觉非常不错。\n该酒店缺点：\n1）这么典雅的大堂，可以前台服务员素质太差。可以说一点都不热情，别说热情，连笑容都没有。晚饭前，到前台询问一些事情，发现前台没有人，都在内间，喊了几声才出来。第二天问前台', '短评打分': 1}
{'短评内容': '入岛后即能到达宾馆 周边还有小巴可以送达各旅游景点 出入方便\n建议入住朝南房间 采光好不易受潮 房内也算干净\n', '短评打分': 5}
{'短评内容': '挺好的也很方便', '短评打分': 3}
{'短评内容': '十年了每年都来普陀山，但还是第一次入住这家酒店，码头下来对面就是实在是方便，房间设施还算对得起这个价格的，性价比还算不错的。', '短评打分': 5}
{'短评内容': '很方便，虽然有点旧，但是很安静，靠山的房间有点霉味。总体来说不错。', '短评打分': 3}
{'短评内容': '相当的不错呢，离码头超级近，就在对面，到哪里都很方便。而且环境很优雅，房间的感觉也很不错，尤其推荐，二楼有窗户朝庭院的那一排标准间，很好。二楼还有一些房间是内窗朝走廊的，那些就比较一般了。以后来还会选择这里。', '短评打分': 5}
{'短评内容': ' 房间大小尚可，但噪音太大，房间里有点霉味', '短评打分': 3}
{'短评内容': '地理位置很好，距离半升洞码头和汽车站都很近，就是被子有点潮，可能跟岛上气候有关，不过总体很好，服务态度也很好，下次还会入住', '短评打分': 5}
{'短评内容': '交通非常方便，码头候船大厅对面就是，所有岛上中巴的终点站也在那里。房间也很干净，宽敞明亮。以后过去还会住。', '短评打分': 5}
{'短评内容': '房间很不错 很干净', '短评打分': 3}
{'短评内容': '地理位置好，客房部服务非常好。餐厅不行，价高质次，吃饭时间都没什么人去吃的。因为下大雨，才去餐厅吃晚餐，一个榨菜肉丝汤要价20元，还全是肥肉，一个明虾顶多3两，收了我70元，一个糖醋排骨45元，全是骨头。', '短评打分': 5}
{'短评内容': '就在码头对面，非常方便，房间还不错，服务挺好的，就是马桶有点漏水。。餐厅苍蝇太多，卫生要加强。。。。', '短评打分': 5}
{'短评内容': '位置很方便，离船码头很近，已经两次入住了。', '短评打分': 5}
{'短评内容': '普通间可以，但是300元的标准间不好。相当一般。\n\n', '短评打分': 5}
{'短评内容': '交通确实方便，就在码头对面，走过去3分钟。住的A标，2楼，比想象的好些。庭院环境幽雅，房间也还干净，但是房间门和过道的隔音不太好。可以寄存行李，比较方便。楼下的餐厅也还算公道，虽然贵，但明码标价，比景区的那些饭店要便宜些。普陀山总体的物价畸高，总体而言，这家性价比算不错的。', '短评打分': 5}
{'短评内容': '交通很方便，服务也蛮好的，不足的地方是这次订到的是一楼的房间，太潮湿了。下次去还会订该酒店，但会订楼上的。', '短评打分': 5}
{'短评内容': '位置很方面，就在轮渡对面，但是不知道是不是岛上都一样的，被子很潮湿，午睡后晚上终于不那么潮了。我换了毯子，明显的干燥好多。', '短评打分': 5}
{'短评内容': '酒店不错，隔音效果不是很好，但是工作人员很热情！', '短评打分': 5}
{'短评内容': '酒店地理位置和硬件都还不错，离巴士站和码头都很近，很方便。只是餐厅又贵又难吃', '短评打分': 5}
{'短评内容': '房间太小，但干净整洁，值得推荐.', '短评打分': 3}
{'短评内容': '酒店离码头很近 挺方便的 酒店内装修还不错~性价比在普陀山算高的~', '短评打分': 5}
{'短评内容': '最大的优点是离码头一步之遥，非常方便！其次是价格尚可，标房B是朝北的房间，260还是值的。最后，房间比较干净，基本设施都有，空调力道很足。下次去还是会选这家宾馆。', '短评打分': 5}
{'短评内容': '房间还可以，标B是靠山的，光线不好。标A是靠院子。地理位置很便利，下码头就是。', '短评打分': 5}
{'短评内容': '酒店各方面还可以，就是周末价格太高', '短评打分': 3}
{'短评内容': '离码头近事最大的优势，服务态度也不错\n住的是标间A，挺干净的，而且价格也算实惠\n但是房间有小小问题，可能是因为比较靠近海所以住的房间的浴室顶有点脱落\n', '短评打分': 5}
{'短评内容': '对于香客而言，推荐一下，呵呵，该有的都还是有的', '短评打分': 5}
{'短评内容': '位置便利，位于码头正对面30米处；酒店古朴幽雅，房间设施精致舒适，符合要求；餐厅饭菜价格透明，味道可以。海通宾馆是一家性价比蛮高的酒店，推荐！下次还去，呵呵', '短评打分': 5}
{'短评内容': '离码头很近\n出门走2,3分钟就有车站\n其他没什么推荐的了', '短评打分': 5}
{'短评内容': '干净整洁，位置方便，可以去住。在码头附近', '短评打分': 5}
{'短评内容': '带老人去的，离码头很近，房间不错很干净，离小巴站很近出行很方便，住的几天都是在楼下餐厅用餐不错，下次还会住。', '短评打分': 5}
{'短评内容': '环境不错，古色古乡，挺优雅，就是房间有点海腥味', '短评打分': 3}
{'短评内容': '方便.整洁.会向亲朋好友推荐.酒店就在码头对面.', '短评打分': 5}
{'短评内容': '开始入住的时候安排了一件对着墙的房间，，马上到前台换了间房，，很满意，，，环境不错，，晚上也不是很闹，，，', '短评打分': 5}
{'短评内容': '第一次去普陀山，担心住在农家不安全也不卫生，所以提前预定了这家酒店。就在码头一上来的地方，码头上有去各景点的小巴，所以出行还算方便。定的是贵宾楼，420/夜，虽然开窗就是山景，但是也还安静。房间的设施不算旧，也还蛮干净。所以推荐给大家。', '短评打分': 5}
{'短评内容': '就在码头对面，交通很便利，住的是贵宾楼标间，设施也不错', '短评打分': 5}
{'短评内容': '房间比较干净。服务比较到位。就是房间有霉味。', '短评打分': 3}
{'短评内容': '房间隔音不好，房间与大堂多没有无线局域网络。', '短评打分': 5}
{'短评内容': '房子还不错的,就是给房卡的时候出了一点小问题,不过很快就解决了.', '短评打分': 5}
{'短评内容': '酒店内部设施比较旧了，在城市里的话够不上3星标准，在岛上也就那样了，房间里有潮湿霉菌味，卫生一般，够不上满意，估计岛上此类酒店都差不多。也就凑合住住了。酒店内用餐尚可，比外面的农家乐好（强烈建议不去农家乐，被斩指数1000以上)。', '短评打分': 5}
{'短评内容': '不错的酒店，位置很好', '短评打分': 3}
{'短评内容': '每次来入住总说pos机没电！奇怪了！', '短评打分': 3}
{'短评内容': '还不错的，节日价格也不算过分。就是早上11点过来还没空房。不过态度很好，主动提出保存行李。', '短评打分': 3}
{'短评内容': '房间比较小，隔音不太好。但是地段非常好，上船、坐车都非常方便！', '短评打分': 5}
{'短评内容': '酒店离码头超近，房间还不错啦，在这样的旅游点，算是性价比高的了。不足有三个，房间有味道，插座太少，隔音不太好', '短评打分': 3}
{'短评内容': '酒店位置确实非常好，一出码头的左前方就是了。酒店内部环境也很好，房间内装修不算奢华但感觉很舒服。在普陀山这种国内的高价位旅游热点景区，这样的房价就算是很不错了吧。前台接待员们的服务都很客气热情，所以入住后的整体感觉很舒心。下次来普陀山一定还住这里。', '短评打分': 5}
{'短评内容': '离码头最近, 环境不错, 很安静。不足的地方，是, 电视信号不好, 厕所淋浴头有些问题，地毯比较脏，要好好洗洗。', '短评打分': 5}
{'短评内容': '宾馆位置离码头很近，去景点坐车也很方便。就是在宾馆吃饭很贵。', '短评打分': 5}
{'短评内容': '位置还不错 离码头很近 比较方便 房间还可以 价格适中吧', '短评打分': 5}
{'短评内容': '很好 交通很方便', '短评打分': 3}
{'短评内容': '床有点小哦', '短评打分': 3}
{'短评内容': '非常好的酒店，下次来还住这', '短评打分': 3}
{'短评内容': '房间还可以，就是价格贵了一些。', '短评打分': 3}
{'短评内容': '很不错的酒店，很不错的酒店，很不错的酒店', '短评打分': 5}
{'短评内容': '海通宾馆服务态度很好，下次来我还会住这里', '短评打分': 5}
{'短评内容': '可以，除了价钱有点贵，还是价钱有点贵。其他都好，要是提供早餐更好', '短评打分': 5}
{'短评内容': '很不错， 挺干净的，就是地毯是浅色， 显得有点脏。其他都很好', '短评打分': 5}
{'短评内容': '去之前在网上看了很多评价，实际住了之后觉得比想像的好，干净，也不是很潮湿，相对这个价格而言，还是很值的。', '短评打分': 5}
{'短评内容': '酒店位置好，性价比高，卫生干净，值得推荐。', '短评打分': 5}
{'短评内容': '很干净不错如果有再来还住海通', '短评打分': 3}
{'短评内容': '交通非常方便，到了普陀山就能看到海通，走过去就一分钟，旁边就是公交总站，非常方便，定的是标A，房间挺干净的。', '短评打分': 5}
{'短评内容': ' 酒店的环境真的不错。各个方面在普陀山都是属于比较好的，而且价位也合适，性价比高。酒店餐厅的东西也算好吃，价格明码标价，不会被斩！', '短评打分': 3}
{'短评内容': '第二次入住，性价比很高，服务还不错，下次还会入住。', '短评打分': 5}
{'短评内容': '12.11.2010住了一晚（1105室）真的很不错，只是1205室的脚实在太给力了！看了很多评论说餐厅不好，就我们的感觉，二菜一汤加饭不到100元，明码标价，而且味道不错，老板很和蔼。。。下次去还住，值！', '短评打分': 5}
{'短评内容': '去年住的是标B，今年住的是标A，房间干净，什么都不错，交通也方便，就是价格比去年贵了点，呵呵~~~~但我还是会选择这家的~~~~', '短评打分': 5}
{'短评内容': '位置相当不错，就在码头边上，特价B标间也不错，就是小了点，两口子住着足够了。', '短评打分': 5}
{'短评内容': '酒店比较陈旧了,窗是对着过道的,感觉比较差.不过交通挺方便.', '短评打分': 5}
{'短评内容': '宾馆位置非常便利，离码头只有一条马路之隔。\n我们入住的是一楼的标A房间，房间很干净整洁，没有异味。\n整个房间面积大概20平米左右，卫生间和洗手台、淋浴房都是分隔开的独立区域。\n电视机都是32吋国产液晶，房间隔音稍差。装修比较新，还有庭院的设计，环境非常舒服。', '短评打分': 5}
{'短评内容': ' 周末去住的海通，交通很方便，出码头就是，环境还不错，比较温馨。就是房间有股海产品的臭味，唯一的小缺憾。', '短评打分': 3}
{'短评内容': '还蛮干净的，位置确实比较方便，通过酒店还预定了车票，就是门有点难关和难锁，不过普陀山酒店都有点霉味，好像没办法去除！', '短评打分': 5}
{'短评内容': '位置非常方便,下船出码头过马路就是,只需要2-3分钟,如果订到朝南的房间还是很舒服的.前台态度冷淡,问什么都说不知道,还不如外面的路人热心.码头坐小公共汽车去普济寺,法雨寺,慧济寺都很方便.去洛迦山的码头只需要走5-6分钟,路上有卖纪念品和吃东西的小店.', '短评打分': 5}
{'短评内容': '星期天晚上住的海通标A，260元，很值！交通便利不说，酒店环境也很漂亮，朝南对着庭院，很安静，房间够大装修也很新。早上八点上岛就能入住，可以洗漱干净后再安心拜佛！以后还会选择海通', '短评打分': 5}
{'短评内容': ' Very beautiful', '短评打分': 3}
{'短评内容': '该酒店是替国外朋友到普陀山游玩而定的，她们说整体还不错的。', '短评打分': 5}
{'短评内容': '总体还行。\n屋子确实有股霉味，前台的服务没有传说中的糟糕，地理位置确实很方便～', '短评打分': 3}
{'短评内容': '还行吧 服务没网上说的那么糟 霉味确实有 床有点小', '短评打分': 5}
{'短评内容': '此次出行三天感觉性价比最高的一家了！当然相对于普陀山上处处高得离谱的物价来说这家酒店的价格真是很亲民。除了地毯颜色较浅，感觉上有点脏之外，别的地方都没得说。另外一出码头就能看得见，是感觉最值得地方。', '短评打分': 5}
{'短评内容': '酒店位置不错，B标有点小，换成A标。服务还可以，就是定汽车票，服务员差点忘记了。总体不错。普陀山旅馆都偏贵。', '短评打分': 5}
{'短评内容': '一楼霉味太重了，最好不要住，二楼应该好些吧，没住过，不是很清楚。', '短评打分': 1}
{'短评内容': '酒店地点非常好，一下船就看到，坐公交车很方便,只有２层，这次住的是一楼，有点潮湿，真不明白在潮湿的环境里，酒店房间竟然还用地毯.酒店餐厅的早餐不但难吃,服务还超差,这是普陀山所有服务行业的通病.', '短评打分': 5}
{'短评内容': '位置非常好，出了码头大概50米就到了，不用带着行李找接送车，酒店的服务还过得去，只是餐饮不行，还得到处找地方吃饭', '短评打分': 5}
{'短评内容': '交通非常方便,就在码头对面.还蛮干净的.刚进门有股味道,过一会就好了.', '短评打分': 5}
{'短评内容': '还比较干静、服务很好！距离码头很近，几步路就到了。值得推荐～', '短评打分': 5}
{'短评内容': '这是去普陀山旅游很好的入住酒店,就在码头对面,十分方便,可以放心去玩,不用担心行李问题.如果想看海景就有点不方便了.', '短评打分': 5}
{'短评内容': '地理位置很好，环境也还可以，就是美中不足底楼有点潮湿。', '短评打分': 5}
{'短评内容': '酒店离码头很近，几步路就到，小小的园林挺雅致的。房间是很小，窗户面对墙壁，建议酒店对墙壁进行修饰就要好些了。但房间硬件对于这个价格很不错了，也很干净。整个酒店装修也很精心和合理。餐厅价格偏高，可以到附近的海鲜一条街去吃，很方便，价格便宜些。唯一缺点就是附近没有沙滩的，喜欢晚上玩水玩沙的朋友就不合适了，其他都还挺好。下次还会考虑入住。', '短评打分': 5}
{'短评内容': '性价比很高，建议入住，去码头很方便。\r\n比民居好很多很多，价格又差不多。', '短评打分': 3}
{'短评内容': '位置很方便，离码头很近一下船就可以放下行李。\r\n可能是由于离海太近被褥有些潮。其他硬件没有问题比较新。\r\n在饭店里也可以吃海鲜明码标价会放心一些。\r\n出门右行5分钟有很多家大排挡，入口的点贵一些。\r\n', '短评打分': 5}
{'短评内容': '我的屋子里有蟑螂 面上看起来还干净 但是角落里是很脏的 相对普陀上其他酒店 性价比还算凑合吧 餐厅还是比较贵的 不建议在这里吃饭 龙湾村边上的竹香居和紫竹山庄吃饭都比这里划算 我是在竹香居吃的 不建议在农家吃 很容易挨刀子', '短评打分': 5}
{'短评内容': '地理位置很方便，离码头很近，去珞珈山很方便。\r\n酒店设施一般，但是在岛上算性价比很高的酒店了。\r\n比起家庭旅馆节日价180的话，这里真的很合算了。\r\n下次去还会住。', '短评打分': 5}
{'短评内容': '方便舒适，服务态度好', '短评打分': 5}
{'短评内容': '主要是住进去一股厕所的臭味太浓烈，希望能改善一下卫生环境，位置极其的好', '短评打分': 5}
{'短评内容': '酒店服务态度很好,位置适合旅游人群,进出港非常便利,餐厅价格和菜肴味道都很好.比岛上其他私人小饭馆干净又卫生.下次去还住海通.', '短评打分': 5}
{'短评内容': '性价比比较高，服务态度还好，就是隔音有点差。', '短评打分': 5}
{'短评内容': '交通便利\r\n房间不错，就是小了点，不过睡睡觉而已，要求不高拉\r\n楼下的饭店味道不错，价格也公道\r\n下次去还会住这里', '短评打分': 5}
{'短评内容': '是看了網絡上的評價定房的.還真沒有虧待這個價格. 交通便利,住着舒适,节省了很多宝贵时间. 房间住起来很舒适.根据网络上大家的评价,我特地定了朝南也就是标A,比标B贵40元,唯一可惜的是因为是大床房,没有对着庭院,如果是双标,可以要求对庭院,那是非常好的.', '短评打分': 5}
{'短评内容': '一直在网上看见别人推荐海通，这次去普陀山就尝试了一把，宾馆条件一般，我订的是标B，说实话房间偏小，但空调挺足，洗浴的热水也温度适中。标B房间的窗是面对山壁的，喜欢幽静的朋友可以考虑，而且房价也比标A便宜不少。值得一提的是地理位置真的非常好，码头一出来正对面就是宾馆，到中巴站也就走半分钟的路，到去珞珈山的短姑码头步行也就三分钟。对于首次去普陀山的朋友，海通是首选住宿。', '短评打分': 5}
{'短评内容': '交通好，第一次去的合适', '短评打分': 5}
{'短评内容': '很好的酒店', '短评打分': 3}
{'短评内容': '挺好的，就在码头对面，卫生设施都很好，虽然距离普济寺远些，但交通方便。', '短评打分': 5}
{'短评内容': '相对于普陀山其他酒店来说算是最好的选择', '短评打分': 5}
{'短评内容': '酒店的条件还算可以，服务态度也还行，总的来说还算是不错的，位置相对比较不错。', '短评打分': 3}
{'短评内容': '首先，地理位置很好（如果你对海景这些没什么要求），交通位置十分便利，其次，酒店设施很新，特别喜欢浴室的花洒！没话说，可以消除你旅行一天的疲劳！总之，下次上岛祈福我依然会选择它！', '短评打分': 5}
{'短评内容': '方便舒适', '短评打分': 5}
{'短评内容': '酒店的餐饮需要改进的，服务卫生以及设施都很好的，酒店位置以及交通都很方便的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店的价格有点高了，服务卫生以及设施都很一般的，酒店的位置以及交通很好的，', '短评打分': 5}
