{'短评内容': '位置很好 服务很好 早餐不错', '短评打分': 5}
{'短评内容': ' 房间可以很满意。', '短评打分': 3}
{'短评内容': '酒店环境很好，装修很优雅，，真实体验了的五星酒店。', '短评打分': 3}
{'短评内容': '挺豪华的一所酒店，虽然房间有点小，但是挺温馨！', '短评打分': 5}
{'短评内容': '到机场、火车站 出租车70元~80元左右\n还算比较方便', '短评打分': 5}
{'短评内容': '温州老牌的五星饭店，服务不错，附近购物餐饮等也很方便。', '短评打分': 5}
{'短评内容': '很好的酒店服务较好，就是出租车不好打，繁华商业网点多爱逛街的适合住在这里！', '短评打分': 5}
{'短评内容': '二十年前我住过这家酒店服务很好给我留下了很深刻的印象，二十年后到温州我首先想到了这家，入住后发现真的很好传统的优势依在硬件上有了很大的提高，我会向我的同事和朋友推荐的！', '短评打分': 5}
{'短评内容': '不错的酒店，位置好，到五马街近，服务好，就是价格偏高了些', '短评打分': 5}
{'短评内容': '帮客人订的  价格太高 比以前涨了不少 性价比相当低\n不如多200去喜来登', '短评打分': 1}
{'短评内容': '服务很温馨，就是早餐厅里有人兜售Iphone,混杂人等太多。', '短评打分': 5}
{'短评内容': '非常棒的酒店在温州，值得入住。标准豪华5星级酒店服务', '短评打分': 5}
{'短评内容': '位置好，打车方便，态度好。办事速度慢点，', '短评打分': 5}
{'短评内容': '够五星标准  酒店按摩在洗浴中心  没有正规按摩师  所谓的按摩师指甲留的长长的 上来就跟你谈“交易”  根本不会按摩   这样的酒店既然有按摩服务 就不能提供几个正规的吗 ', '短评打分': 5}
{'短评内容': '不错的酒店。我每次国外客人来都安排或推荐住这里。\n都很满意。算是温州最好的酒店之一吧。\n位置，但有点堵车。停车也不是很方便。', '短评打分': 5}
{'短评内容': '酒店前台服务是绝对专业 客房服务及清洁都是非常好 早餐在温州地区来讲应该算可以，虽没有五星级水准但ok 停车位偏少是事实', '短评打分': 5}
{'短评内容': '第二次入住，各方面都不错，早餐还是比较丰富的。房间被做了升级处理，挺满意的。1楼有几个奢侈品专卖店，整个感觉比较高档。', '短评打分': 5}
{'短评内容': ' good', '短评打分': 3}
{'短评内容': '酒店很大很干净.还使用了游泳池,人不多.\n房间不大,但是还可以吧,价格稍高\n温州人果然有钱,门口都是好车,晚上还有一辆劳斯莱斯.', '短评打分': 5}
{'短评内容': '温州老的高级酒店，总的来说还不错。早餐也不错，值得推荐。', '短评打分': 5}
{'短评内容': '不错的酒店，设备设施都不错，但还可以提升，局部一下设备需要更新！', '短评打分': 5}
{'短评内容': '很不错的市区酒店，就是接待时的速度和效率需要加强！', '短评打分': 5}
{'短评内容': '服务很好，前台接待也特别优秀！建议在会员折扣上是否可以加大力度，是一间值得居住的酒店！', '短评打分': 5}
{'短评内容': '服务非常好，最主要是有国外客户非常喜欢的 HBO 电视台。赞', '短评打分': 5}
{'短评内容': '硬件设施太差 和三星级的设施差不多 设施很陈旧 应该重新装修了 ', '短评打分': 1}
{'短评内容': '晚上有点吵，楼下车水马龙的。隔音不好。一整晚没睡着', '短评打分': 1}
{'短评内容': '。 太老了，旧了。不像一个五星级酒店。房间又小，设备又旧。', '短评打分': 3}
{'短评内容': '环境不错交通方便', '短评打分': 3}
{'短评内容': '酒店硬件和软件都不错，地理位置又好，推荐！', '短评打分': 5}
{'短评内容': '环境、服务都很好，是外籍人士和高级商务人士的首选之一。', '短评打分': 5}
{'短评内容': ' 这家酒店我和我的客人都很喜欢，所以我们每次来温州都住在这里。', '短评打分': 3}
{'短评内容': '地理位置还算不错。酒店硬件也符合5星标准，只是没什么特色。早餐的确比较丰富。', '短评打分': 5}
{'短评内容': '酒店设施有点旧服务不象五星级', '短评打分': 3}
{'短评内容': 'very enjoyable.', '短评打分': 3}
{'短评内容': '＋房间不错，但餐厅菜肴太不符合这个星级的标准啦，我在祥气厅参加婚宴，对华侨失望啊，餐具也粗糙了点，我是不会把婚宴放这里的了。', '短评打分': 3}
{'短评内容': ' 环境还可以，交通方便，距离公司近，隔音再好点，就好了！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '早餐很丰盛，中西餐应有尽有，是饭店唯够一百分之一百的五星水平的服务，客房还行，宽带的速度很慢，', '短评打分': 5}
{'短评内容': '华侨饭店不错，酒店条件很好，地理位置很好，每次在温州都会选择住这里', '短评打分': 5}
{'短评内容': '华侨饭店很不错，每次温州出差都选择这里，硬件、服务都达到了5星级的水准', '短评打分': 5}
{'短评内容': '位于市中心，交通方便，酒店虽然有很多年，但硬件条件没有落后，配得上五星级的标准', '短评打分': 5}
{'短评内容': '地处市中心的老牌酒店，条件很不错，各方面都值得推荐，就是价钱一直也下不来，呵呵', '短评打分': 5}
{'短评内容': '是温州非常好的一家酒店，早餐丰富，入住舒服。', '短评打分': 5}
{'短评内容': '不愧是老牌星级酒店，软硬件都还是不错的，早餐也好，总体感觉不错！', '短评打分': 5}
{'短评内容': '房间设施偏老，价格还可以，位置比较方便，车位太少', '短评打分': 5}
{'短评内容': '装修过，不错，还给我升级房间，服务不错！！！！', '短评打分': 5}
{'短评内容': '餐厅的出品应该还可以做更好一点。其它方面都可以。', '短评打分': 5}
{'短评内容': '飞机晚到，由于自己失误，没有及时联系，到店后无房，前台经理应对的不错，服务还是挺好的。但复试套房真的一般，不方便。', '短评打分': 5}
{'短评内容': '帮朋友定的，据他说应该是温州最好的酒店吧', '短评打分': 5}
{'短评内容': '温州华侨饭店很好，入住的时候原来订的大床房没有了，直接原价升为商务房。服务员很有礼貌，房间整理也很频繁。', '短评打分': 3}
{'短评内容': '入住的时候原来订的大床房没有了，直接原价升为商务房。服务员很有礼貌，房间整理也很频繁。以上的点评', '短评打分': 3}
{'短评内容': '很好，入住的时候原来订的大床房没有了，直接原价升为商务房。服务员很有礼貌，房间整理也很频繁。', '短评打分': 5}
{'短评内容': '设施很新，环境很好,大堂也很豪华气派，很适合商务出差。', '短评打分': 5}
{'短评内容': '交通方便，不错,每次去都住这家。周围吃饭也比较方便。温州总体吃饭较贵', '短评打分': 5}
{'短评内容': '客户很满意，服务也不错，位置中心，购物方便', '短评打分': 3}
{'短评内容': '客户很满意，服务也不错，位置中心，购物方便', '短评打分': 5}
{'短评内容': '很不错的酒店，房间面积感觉小了些，其他都蛮好，价格能在低些会更好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店不错，出行方便', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '温州为数不多的好酒店！', '短评打分': 3}
{'短评内容': '温州市区算最高级别了。', '短评打分': 5}
{'短评内容': '给我升级到行政楼层.不错的服务', '短评打分': 5}
{'短评内容': '此酒店是适宜白领出差温州的较好选择。', '短评打分': 5}
{'短评内容': '总体出差住还可以，下次出差还会住', '短评打分': 5}
{'短评内容': '感觉很好', '短评打分': 5}
{'短评内容': '因为该酒店是温州目前唯一五星级酒店，所以才去入住。感受到的服务质量很差，达不到五星级旅游服务质量，可以认为连三星级旅游服务质量都达不到。例如，我预订了7间房，已经与营销部联系，开通贵宾通道，我在前台登记，让同事立即拿到钥匙让贵宾入住，前台就是不办。该市的政府领导和旅游局长在这个酒店宴请我们，我竞然没法很快到场参加，谈起此时，相互间很是尴尬。', '短评打分': 1}
{'短评内容': '酒店的位置不错,早餐很一般，住宿停车竟要收费。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 5}
{'短评内容': '个人觉得，综合温州的5星级酒店，这个比较花算。\r\n从地理位置来讲，处于市中心，可以出去逛街购物。从房间来讲高楼层的比较好。从价位来讲比较花算。', '短评打分': 5}
{'短评内容': '酒店的 位置在市中心，也是因为的在闹市区，所外部的环境有点吵，即使住高楼层也是能听到外面的喧闹的声音，其他的都还不错，酒店 适合商务住，如果是自费旅游的话，感觉价格有点高', '短评打分': 5}
{'短评内容': '下次还住这家酒店', '短评打分': 5}
{'短评内容': '还好啦', '短评打分': 5}
{'短评内容': '设施可以,价位一般,服务一般(大堂如同没有服务).可以选择', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '房间还比较大，卫生间也可以，就是洗手盘位置小了点，房间隔音不错。卫生间用的龙头及莲蓬头，非常舒服。早餐很充实。', '短评打分': 5}
{'短评内容': '印象最深的是卫生间用的龙头及莲蓬头，非常舒服，有五星酒店的真实感觉。上网查了一下，好像是德国的一个品牌叫“高仪”的。以后造酒店就要用这样的好东西。', '短评打分': 3}
{'短评内容': '我近段时间也在那边吃过饭,觉得他们的菜肴还可以,而且也不算很贵!', '短评打分': 5}
{'短评内容': '我近段时间也在那边吃过饭,觉得他们的菜肴还可以,而且也不算很贵!', '短评打分': 5}
{'短评内容': '服务不错,很气派,特别是观光电梯,就是只能住,不能吃,因为厨师太差', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
