{'短评内容': '好，比较安静。', '短评打分': 5}
{'短评内容': '酒店有点小贵. 房间设计不错.早餐也不错\n 房间有很发霉味道. , 打开窗和门.蚊子跟轰炸机一样.', '短评打分': 5}
{'短评内容': '很幽静的酒店，就是有蚊子，别的都还可以啦，早餐没什么东西的！！', '短评打分': 5}
{'短评内容': '房间还是一如既往的那样好，\n干净、整洁，而且卫生间也没有异味，\n就跟家一样，\n服务员的服务态度也很好\n', '短评打分': 5}
{'短评内容': '环境优美、闹中取静、紧邻闹市，方便出行.........', '短评打分': 5}
{'短评内容': '住的地方比较幽静，就是的士都比较难找！！', '短评打分': 5}
{'短评内容': '靠近广州塔，及地铁站，交通方便，环境优美', '短评打分': 5}
{'短评内容': '总体还可以，早餐没什么吃的，有点难找！离广交会也不近！', '短评打分': 1}
{'短评内容': '在TIT创意园里的一家小酒店 环境很好 喜欢这种氛围~\n\n大概只有四层（包括地下一层）的小酒店，我的大床房不是很大，设施基本齐全，不太方便的就是他家电视也用网线的，所以有时候在屋里上网经常链接不上。吃早饭的地方很小，如果赶上某个公司或旅游团集体出来吃饭，那就铁定没座位了。\n\n但是如果喜欢清静一点的 这地方还是相当好的 ', '短评打分': 5}
{'短评内容': '环境非常不错，房间内很干净，比较舒适，网速很快，服务员也跟很不错喔。', '短评打分': 3}
{'短评内容': ' 环境优雅舒适 很好', '短评打分': 3}
{'短评内容': '刚从广州回来，这家酒店除了离市区远些，其他条件真的挺不错的，周围环境也很好~！我很想念院子里的那颗芒果树~！', '短评打分': 5}
{'短评内容': '几次来广州都住这里，但是楼下的房间有些潮湿，要住楼上喔！周围有大氧吧的感觉，又很有怀旧感、艺术范儿很喜欢这！', '短评打分': 3}
{'短评内容': '酒店的位置，酒店周围的环境，酒店里面的环境，都不错。\n但是不要住在1楼，夏天蚊子太多，而且屋子里面有些潮湿的味道。', '短评打分': 5}
{'短评内容': '在地鐵站附近，很不錯很安靜，不過不好找。', '短评打分': 5}
{'短评内容': '环境旺中带静，而且靠近广州塔及地铁，价格也公道，但晚上蚊虫较多，而且部分底层的房间有发霉的现象。', '短评打分': 5}
{'短评内容': '酒店要从纺园进去，一般司机很难找到。进了纺园，里面倒是环境很不错，参天大树，空气清新，对于没有院子的都市人来说很能享受公园的幽静。是由原来旧的纺织机械厂房改装的酒店，很有趣。早餐不行，品种太少，没有啥吃的。房间还行，很简单干净。前台服务态度很好，永远都在微笑。下次去广州，还会考虑。\n', '短评打分': 5}
{'短评内容': '总体感觉还可以，比较干净，服务也还行，地理位置不错，挺方便。', '短评打分': 5}
{'短评内容': ' 第二次入住了感觉很好下次还会来', '短评打分': 3}
{'短评内容': '酒店环境不错，房间比较大，住着比较舒服。就是位置稍微有点难找，广交会期间房费涨的有些多。', '短评打分': 5}
{'短评内容': '酒店地处市中心，出行还是很方便的，空气清新，周边绿化做的很好，吃饭的地也很多，服务员态度很好周到热情，住着蛮开心的', '短评打分': 5}
