{'短评内容': '房间不大，装修已经陈旧啦，地理位置不错，靠近骡马市', '短评打分': 3}
{'短评内容': '普通单间房间很小，但卫生间大，比较干净，没有窗户显得比较压抑，宾馆所在位置很方便，前台服务员不咋的，多问两句就不耐烦。', '短评打分': 3}
{'短评内容': '宾馆环境，宾馆服务都不错。交通便利，宾馆地处八宝街，在成都市中心，购物，吃，行都方便。另外如果要去绵阳的朋友呢，旁边还有去绵阳的九院班车，很方便的！一小时一趟。宾馆客房方面，惟一一点就是单人间小了点，我住的那间没窗户，空气流通不是太好，不知道其它单人间是不是也是如此。', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '家是绵阳的朋友可以住这里  特价房稍小  但是一个人 完全足够  还可以', '短评打分': 5}
{'短评内容': '干净整洁，服务态度好!但是网速超慢，邮件网页10分钟一页。出差商务不推荐此酒店。', '短评打分': 3}
{'短评内容': '????????????', '短评打分': 3}
{'短评内容': '没的评论没的评论没的评论没的评论没的评论没的评论没的评论没的评论没的评论没的评论', '短评打分': 1}
{'短评内容': '位置处于市中心，交通方便，中餐厅味道还可以，价格稍贵，房价糖酒会期间上涨太多 ', '短评打分': 5}
{'短评内容': '非常不错的一家宾馆！距离小吃街也很近！如果是去成都专门吃小吃的话是个好地方！', '短评打分': 5}
{'短评内容': '服务不错，很干净，早餐要明早才知道！！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '床上用品很干净,但是卫生间的地面和毛巾都太旧.\n特别是卫生间的热水较小,淋浴房漏水,希望酒店加强细节处理,提高住客感觉.', '短评打分': 5}
{'短评内容': '还不错,就是房间没纸巾,赠饮的茶叶不好.', '短评打分': 3}
{'短评内容': '已入住，房间小点，但一个人足够，其它都比较满意。干净，服务热情。适合一个人出外旅行。', '短评打分': 3}
{'短评内容': '住的大床房，房间有点小，床也有点小，其他都还不错，比较安静。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 5}
{'短评内容': '价格不便宜，房间这么小，我还以为到了日本呢。', '短评打分': 5}
{'短评内容': '在三星级酒店中，该酒店各方面还是比较具备优势的，如何价格上能200多点点就好了，这样就绝对物之所超了，千万不要用他房间的电脑，因为那个电脑慢的要死，真的慢的你要崩溃。呵呵', '短评打分': 5}
{'短评内容': '设施不怎么样，不过旁边有直接到绵阳的车，比较方便', '短评打分': 5}
{'短评内容': '酒店设施标准高，服务不错，位置尚可！', '短评打分': 5}
{'短评内容': '酒店位置不错，服务也比较舒心。特别是上网速度非常快', '短评打分': 5}
{'短评内容': '交通很方便，周围很热闹。吃饭很方便，要不是赶上西博会调价，就太好了', '短评打分': 5}
{'短评内容': '觉得一般没有网上朋友说的那么好，早餐品种很少，而且味道也很一般，不过服务还不错，弥补了不少，以后去成都在考虑住住吧', '短评打分': 1}
{'短评内容': '空间较大,服务较好!', '短评打分': 3}
{'短评内容': '空间较大，卫生可以。', '短评打分': 5}
{'短评内容': '客房整体很不错。中餐厅服务太差了，三星级收费，没有星级的服务，如果中餐厅不改善，住那里千万不能去那里吃饭。', '短评打分': 5}
{'短评内容': '很不错，到成都的首选！位置很不错，宾馆服务也比较到位，早餐品种丰富、质量也很高，楼下有整点发车的到绵阳的长途车，非常方便！', '短评打分': 5}
{'短评内容': '硬件设施比较陈旧了，环境卫生都很达标，服务也还不错价格合理适中，位置出行很方便，但是不是很好打车，附近好像没有什么出租车。', '短评打分': 5}
{'短评内容': '酒店的服务特别好，房间也不错，干净整洁，而且周围的交通也特别方便，值得推荐', '短评打分': 5}
{'短评内容': '还不错，就是宽带经常不能用，需要改善网络服务。', '短评打分': 5}
{'短评内容': '一直觉得这个酒店还可以', '短评打分': 5}
{'短评内容': '酒店人员服务态度很不好,酒店硬件没达三星标准,但是位置处市中心,比较便利,如有改进也是可以推荐的', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
