{'短评内容': '一般、就是太贵了', '短评打分': 2}
{'短评内容': '千万不要贪便宜去，其实一点也不便宜，性价比极差。怪不得网上跟别的酒店比价格最低了。\n房间很小，没有衣柜，除了床就放不下东西了，电视机新的液晶的，只能挂在墙上，新装修的房间有很大的味道！\n而且厕所很小，马桶很小，洗脸台也很小，厕所墙上的瓷砖刚装修的就自己往下掉。\n号称商务酒店，却没有无线网络。刚装的有线宽带也是坏的，墙上居然没有接口，是用胶布把两根网线直接粘起来的，所以根本不能连接网络。\n不提供早餐', '短评打分': 1}
{'短评内容': '酒店打着菩提岛的名号，入住后才发现不是与橄榄坝的超五星的酒店是一个体系，已经承包给私人！几大问题：1、设施简陋劣质，马桶漏水到地面、空调基本不能致冷、香皂质量很差；2、不卫生，床单被褥没有消毒水的味道，还有不洁污物和留下的头发；3、要命的是，商务酒店的网线居然是坏的，不能上网；4、隔音效果很差，门外过人声音及门内说话声音都互相听得见，还有隔壁干坏事的声音，让人抓狂；5、服务员态度差，总台和服务员、', '短评打分': 1}
{'短评内容': '服务态度很好，但卫生间的设施较差，而且马桶经常停水，只能用垃圾筒接水冲洗，床上用品和毛巾的质量及清洁度需要改进。', '短评打分': 5}
{'短评内容': '很差的酒店，连把椅子都没有，前台居然说是按泰式设计的不提供椅子，只能站着用电脑，而且正在装修早上很吵', '短评打分': 3}
{'短评内容': '酒店服务很好市内免费接送，屋内还有免费国内长途电话。设施都很新，服务很到位，推荐。', '短评打分': 3}
{'短评内容': '服务和卫生还可以，但卫生间太简陋了。', '短评打分': 3}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '4月20日从昆明到西双版纳的景洪市，从墨江到普洱市，当时的高速还未开通，走了很长的山路和乡村的小路，及不好走，总共开车约9个多小时，本来从网上预订了这家酒店，因为到的很晚，没找到，所以当晚就入住了金版纳酒店，标间180元，第二天玩回来后找到了这家酒店，与金版纳酒店进行了比较，金是一家老牌的三星，占地面积很大，一座一座独立的小楼，有游泳池，客人5元，很漂亮，房间内部设施陈旧，房间内有闷的感觉，早餐非', '短评打分': 5}
{'短评内容': '酒店的环境和设施也还可以，就是觉得配备的洗发水太差了，跟酒店的整体形象不符，希望能有所改进。这个酒店有免费的接机服务，这个挺好的，我们中午退房，但是是晚上的车，所以把行李寄存在了酒店，也都是免费的。', '短评打分': 5}
{'短评内容': '酒店设施好交通方便安全卫生环境优美居住很舒适', '短评打分': 5}
{'短评内容': '地理位置较好，泰国客人对酒店环境较为满意，下次泼水节还会选择', '短评打分': 5}
{'短评内容': '千净', '短评打分': 3}
{'短评内容': '房间很新很干净，小院也很有特色，不过房间隔音不太好，隔壁开个水龙头的水声都听到，更别说走廊里的谈话声了。', '短评打分': 1}
{'短评内容': '各个方面都非常的好啊', '短评打分': 3}
{'短评内容': '酒店很好！', '短评打分': 3}
{'短评内容': '环境有点吵乱，不过酒店门口的烧烤非常有特色，很好吃。门口水果店比较那个。', '短评打分': 5}
{'短评内容': '酒店环境很不错，离机场不远，还有免费的接机服务。住宿的房间比较大，宽带热水都不错，是个性价比不错的酒店。', '短评打分': 5}
{'短评内容': '此饭店有特色，服务不错，环境好，房间舒适，价格合适，谢谢推鉴', '短评打分': 3}
{'短评内容': '楼下烤肉很不错 地理位置不错  服务还好 ', '短评打分': 5}
{'短评内容': '地理位置不错，酒店环境也不错，旅游，商务都可以，价钱也可以。距离夜市和水果批发市场都不远，还有一点异国情调！', '短评打分': 5}
{'短评内容': '服务很好就是吃的没有啊！', '短评打分': 3}
{'短评内容': '一开始到版纳的时候住的是推荐的豆豆家庭旅馆，到的时候接待我们的服务员竟然说电话线被老鼠给咬断了，害的我和老公一晚上都没怎么睡好。然后在网上订了这家酒店，这是在版纳住的最满意的酒店了，各方面的服务都很到位，有问题都及时解决，酒店也很干净，最要提的就是酒店竟然有晾衣架，很方便很满意。', '短评打分': 5}
{'短评内容': '性价比还是很高的，从外观看起来感觉装修很有特色，房间住着也很舒适感觉设施也是比较新，服务方面还算比较周到。', '短评打分': 5}
{'短评内容': '春节期间，价格偏高人，但位置不错，就是到店第一天房间安排未按预订的标准，不过第二天酒店就改了，总体还好。', '短评打分': 5}
{'短评内容': '酒店不错，很有异国风情，只是房间较小，但价格适中。', '短评打分': 3}
{'短评内容': '很实惠的酒店，晚上门外就有烧烤，味道不错。', '短评打分': 5}
{'短评内容': '性价比比较高，接机的聂师傅人非常好，热情周到。推荐。', '短评打分': 5}
{'短评内容': '酒店平时价格还能接受，春节期间太贵了点！外部环境还可以，标准间房间不大，还挺干净，服务人员态度不错，房间安静，下午有水果赠送。', '短评打分': 5}
{'短评内容': '太吵，一点不隔音，卫生极差，软硬件都不行。没有餐厅，周围吃饭也不方便。以后再也不会住这里了，也向朋友建议不住此店。', '短评打分': 1}
{'短评内容': '还不错，就是春节期间价格较贵，平时价格还可以70-80元', '短评打分': 5}
{'短评内容': '住在前院，没有感觉很闹。但是酒店忘记接机，希望今后注意。另，早点有必要改进。', '短评打分': 5}
{'短评内容': '不错，性价比不错的，就是设备坏的多了点。', '短评打分': 5}
{'短评内容': '本来定了四个晚上，但住了一个晚上就受不了，外面的人在走路讲话就好像在自己的房间里一样。', '短评打分': 1}
{'短评内容': '服务人员态度比较好，但硬件条件实在太差，不隔音，不建议入住。', '短评打分': 1}
{'短评内容': '其他都好，就是设备经常是坏的，隔音差了点，不过确实便宜，卫生还可以', '短评打分': 5}
{'短评内容': ' 房间太小，浴室里的电热水器只能洗1个人，第二个人要等很长时间水才能热。如果晚上时间多余的人可以考虑入住。', '短评打分': 3}
{'短评内容': '   垃圾酒店服务  看人下菜碟  负责人气焰嚣张  很不讲理  耽误原本行程', '短评打分': 3}
{'短评内容': '不错，大环境不错的，就是给的一楼，不敢开窗', '短评打分': 5}
{'短评内容': '非差吵闹，隔音很差，酒店服务很差，卫生超差，跟旅店一样', '短评打分': 1}
{'短评内容': '地点好，周边购物很方便的，还不错。下次来的话还会考虑到菩提岛商务酒店入住的！', '短评打分': 5}
{'短评内容': ' 还可以，水龙头出水力度太大了，到处溅。', '短评打分': 3}
{'短评内容': '在西双版纳毕竟像菩提岛商务酒店这样能够免费打长途、免费上网而价位不高的酒店不多，所以也不能对其他条件要求过多。总体还不错吧。', '短评打分': 5}
{'短评内容': '该酒店优点：免费打长途，免费宽带上网，有24小时热水和空调。\n缺点：\n1、提供接机服务，接机师傅挺热情，但是该酒店销售部外包的，主要目的是赚钱啦，有点不舒服！\n2、我们入住的是标准间，安排在一楼，房间大小还可以，但有一股霉味，住着不是很舒服！\n3、毛巾和床单均有些发旧，不知为什么也不更换新的，特别是那毛巾，当枕巾都不愿意！', '短评打分': 5}
{'短评内容': '服务不是很人性化，位置很好方便出行不过态度一般，隔音效果也很一般.', '短评打分': 3}
{'短评内容': '设施一般，装修旧，打电话免费，较干净', '短评打分': 3}
{'短评内容': '环境还是挺不错的，房间装修也很新，位置出行还是挺方便，服务也很好大堂的经理挺热情的，价格也很好。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '酒店外部环境蛮有特色的 同一位置还有餐饮 很方便 去野象谷走到客运站比较近 目前旁边好像在盖房子 有点吵 内部装修挺新的 但是卫生间没有玻璃淋浴房 地面找平又不太好 洗澡后第二天早上地面上还有积水 免费接机但不提供免费送机 有点遗憾', '短评打分': 5}
{'短评内容': '环境很好。但是不是很安静。早上8点钟就特别的闹腾。热水很给力。', '短评打分': 5}
{'短评内容': '很干净的一家酒店 就是设施不很齐全，标间太小，没有柜子什么的。', '短评打分': 5}
{'短评内容': '服务态度一般,地理位置还可以.挺方便出行办事的,其它各方面条件还不错,整体水平挺好的..', '短评打分': 3}
{'短评内容': '不错啊，值得推荐。市中心，环境好，交通方便。', '短评打分': 5}
{'短评内容': '服务和设施都不错，很有热带和民族特色。只是隔音效果不太好。', '短评打分': 5}
{'短评内容': '已经入住', '短评打分': 3}
