{'descr': '很是一般般呀', 'star': 2}
{'descr': '同事帮忙推荐订的\n住过后感觉酒店不错\n1~住的很舒适,很干净,房间大\n2~服务不错,地理位置很好,购物方便\n3~设备齐全,WIFI很方便,花园房还可以晾衣服\n4~性价比不错,早餐也还很营养的,搭配比较好，在经济型酒店居然还吃到肉丝炒河粉，喝了传说中的鲜榨豆浆，挺温暖，哈哈！\n5~这点我个人觉得前台的MM和客房阿姨很有意思，挺幽默的，重庆人好耍。。。\n', 'star': 5}
{'descr': '酒店相当不错，\n感觉酒店很用心，入住还送奶茶，暖暖的，\n大堂有热饮，\n酒店的员工很细心，\n洗手间感觉也没有像其他人说的那样小，\n热水那是相当的给力，\n早餐也够丰富的，\n肉丝炒河粉、肉末豇豆、现榨的豆浆、酱肉包，\n相当的营养，相当的新鲜，\n酒店还有全程无线，挺方便的，\n入住的时候送了一张地图，\n出行蛮方便的，旁边就是大型超市，公交站，\n很方便。\n下次来重庆还住这儿！\n很温馨也很窝心！', 'star': 5}
{'descr': '优点：可以无线上网\n缺点:1。房间太小了\n     2。早餐品种很少，不好吃\n     3。卫生间太小。上厕所的时候，任意碰到洗脸的台盆。洗澡时候，不小心就会摔倒', 'star': 1}
{'descr': ' 环境不错。只是厕所很拥挤，空间太小。', 'star': 3}
{'descr': '都在一层，          方便干净。         早餐简单了点。', 'star': 5}
{'descr': '招牌稍微小了些不大好找，地點於蓮花超市旁購買日用品方便，衛生尚可.早餐ok..價格稍微徧高點..', 'star': 1}
{'descr': '酒店位置环境都还行,房间虽小,但洁静。还带小花园。总体过得去吧。', 'star': 3}
{'descr': '家庭套房光线不行，花园房还可以。', 'star': 3}
{'descr': '很好，环境不错，花园房确实有个小花园', 'star': 3}
{'descr': '房间离前台太远了无线网不上很差了。。而且隔音不是很好 早上很早就开始闹', 'star': 1}
{'descr': '还行，交通也方便。夫妻去更合适。情趣，哈哈', 'star': 5}
{'descr': '大床很小，标间还行，空调是每间房单独一个，噪音很大，早餐味道好，但是菜品的品质很一般，总体来说很一般吧，无功无过。', 'star': 1}
{'descr': '酒店还一般，免费早餐差', 'star': 3}
{'descr': '隔音效果太差！', 'star': 3}
{'descr': '风格独特，卫生干净，服务很客气，花园套房很有特色', 'star': 5}
{'descr': '  环境和服务不错，希望酒店的早餐品种丰富点。', 'star': 5}
{'descr': '第三次入住该酒店了，这次住的双人标准间，总的来说，还是比较可以的，价格不贵，环境优雅，装修风格别具一格。', 'star': 5}
{'descr': '酒店位置不错，风格别具一格。我们入住的是家庭套房，配有全自动麻将机、沙发、双人大床，温馨，舒适，早餐一般，不过酒店价格也不高。', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '刚进酒店,就给人不一样的感觉,象进入童话世界一样,很可爱.', 'star': 5}
{'descr': '很精致、很温馨的一家酒店，感谢酒店客服为我准备的生日蛋糕。', 'star': 5}
{'descr': '交通方便.卫生条件还行,酒店不大.总体还行吧.', 'star': 5}
{'descr': '\u3000\u3000酒店在５楼，有电梯上来，一出电梯就是前台。\n\u3000\u3000之前预订的时候注明了要求不临街安静的房间，结果给我安排在靠近服务台的，从窗口斜对着就是外面的大街，白天还不觉得，晚上噪音大得很，很多ＳＢ司机晚上轰油门鸣喇叭，简直没睡好。\n\u3000\u3000住的是商务大床房，房间比较大，不过靠窗户有根柱子挡在那，还是第一次住酒店看见房间里有柱子的，汗。\n\u3000\u3000卫生间不是很大，洗手池被放到浴室里去了，毛巾居然也在里面，洗澡很容易把', 'star': 1}
{'descr': '安静舒适！', 'star': 3}
{'descr': '住的花园房，酒店还是比较有特色，房间比较小，有个小花园，夏天就比较热了', 'star': 5}
{'descr': '小花园外是高高的水泥墙，不绝于耳的机器轰鸣提醒你，楼上正在施工、、、', 'star': 1}
{'descr': '位置不错，装修风格很独特，但价钱不算便宜。我入住的是特惠房，最便宜的，房间很小，只能满足睡觉的要求，哈哈。窗外是个堆放杂物的平台，不过由于窗户较高，不会让你直接看到，还好还好；墙是那种有凸凹感得风格，不过有些液体流过的痕迹，再加上床头摆放的套套，实在让人不禁有些浮想；还有，本来只住两天，本来不想让人打扫了，也不用换洗漱用品了，所有出门前挂上了请勿打扰的牌子，结果回来还是被人打扫了，真是勤快啊，呵呵', 'star': 5}
{'descr': '很不错的酒店哦。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '就在黄泥磅，很方便，离北辰天街很近，价格也合适，经济型酒店不错。', 'star': 5}
{'descr': '物美价廉，还有返现，超市就在旁边，很好.下次还会帮朋友定。', 'star': 5}
{'descr': '酒店房间不错，有小花园，去朝天门、解放碑交通方便。', 'star': 5}
{'descr': '888套房性价比不高，通风管道噪音很大~~~~！', 'star': 5}
{'descr': '无法用言语形容我对这家店的喜欢。\n很后悔去年没有住在这里，当我打开房间看见屋子里的花园的时候，我的惊喜和惊诧无以言表，房间不大，但和卫生间分离，外面是一个跟房间大小差不多的小花园，两边有围墙,与其他房间各自独立，相得益彰。院子里的葡萄架子更是让人有了梦想中的家的感觉，两张小藤椅加一个透明玻璃圆桌，非常适合好友在庭院赏花品茶，每天都有花草工人负责照料花草，晚上回来的时候发现茉莉花开了，满屋子甜香令人', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '由于朋友在那边经常过去，上次去住的感觉不错，这次又去了，不过好像从网上预订的房间没有在店内预订的好。刚开始预订的特价房，好小的，换了个商务房，但还是没有我上次去的时候的房间好。我住的离前台比较近的房间，嗓音好厉害。希望下次去可以好点。', 'star': 5}
{'descr': '布局合理，性价比搞，而且还有免费Wi-Fi 可以上，值得推荐！！', 'star': 5}
{'descr': '酒店还不错，算是比较值的。\n也比较干净，就是隔音不是太好。\n比较好玩的是这家酒店的走道跟迷宫一样，挺有意思！', 'star': 5}
{'descr': '还好，捡了个便宜，普通商务房免费升级为电脑房。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '感觉温馨，恋爱出差的好去处！支持洛可可！ ', 'star': 3}
{'descr': '房间虽小五脏俱全，服务亲切但经验不足。灯光不足，尤其浴室，最好房间内加个镜子，否则刮个胡子都看不清楚。进房时满室烟味有待改进。', 'star': 5}
{'descr': '装修有风格，不错。但是我入住的那天晚上不知道是外面的什么女人，在走道上大声的说话，说了很久，貌似在吵架。这种情况下，希望酒店能出面干预。', 'star': 5}
{'descr': '酒店的风格很优雅，服务也不错', 'star': 3}
{'descr': '  房间有点小。比较喜欢阳台  离车站比较近。', 'star': 5}
{'descr': '很不错的一家酒店，干净温馨，服务也很好，赞一个', 'star': 5}
{'descr': '确实不错  干净  服务业不错  周围要是不装修就更好了', 'star': 5}
{'descr': '不错，卫生干净都不错，就是房间有点小，花园房是特色，不过白天没有时间坐下来品茶。', 'star': 5}
{'descr': ' 很温馨,尤其是带小花园,比较有感觉。交通很便利,楼下有超市、饭店,提供的早餐尚可,服务态度很好。可惜卧室太小。总体来说很不错!', 'star': 3}
{'descr': '酒店周围便利，环境舒适，温馨。以后还来哦', 'star': 3}
{'descr': '酒店较干净，环境较好，早餐比较简单，交通较方便', 'star': 5}
{'descr': '酒店在五楼，大堂也在五楼。很有特色，设计很温馨，床很大，房间还有独立的花园阳台，如果的女朋友或者老婆来会更好。早餐的品种稍少了一些。服务员也很不错，有机会再来住。', 'star': 5}
{'descr': '给客户订的房，新装修的酒店，整体设施及卫生还不错，风格比较清雅。服务还算可以，楼下停车餐饮娱乐也比较方便，楼下就是卜蜂莲花超市。性价比较高，推荐。', 'star': 5}
{'descr': '干净整洁，一如既往。商务人士旅行住宿较适合。', 'star': 5}
{'descr': '房间离前台太近了。。而且隔音不是很好 早上很早就开始闹。。。。房间也不大  ', 'star': 1}
{'descr': '环境不错，服务也不错，就是房间有些小，电源插座少，其它还可以，值得推荐', 'star': 5}
{'descr': ' 性价比高 满意', 'star': 3}
{'descr': '环境不错，设施也比较健全，工作人员也挺热情的。', 'star': 5}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评重庆洛可可花园酒店', 'star': 5}
{'descr': '房间巨大，卫生也很好，交通不是很方便。自己开车比较好。', 'star': 5}
{'descr': '还 不错吧，就是电视小了，而且空调温度一直上不去，其他都还不错', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '离观音桥是有点距离的，房间一般吧，旁边是大型超市比较方便。昨天元宵，酒店还煮了汤团给客人吃，很温馨。', 'star': 3}
{'descr': '花园房阳台门不能锁不安全、其它不错；赞一个！', 'star': 3}
{'descr': '房间较小，空调制暖不给力。\n洗澡水很好。\n建议浴帘换厚一点的，免得洗澡时会贴到身上。', 'star': 5}
{'descr': '酒店环境蛮好，我住的是花园大床房，但是空调令人不满意，温度一直热不起来，被子也不厚，一晚上都是冷冷的感觉，烧水的也没用上，因为插头太远，水壶的线不够长，哎。。浴室也没有浴霸，洗个澡也冷得不行。隔音效果超级差，外面随时听得到清楚的声音。其它的装修这些蛮温馨的。。建议要求比较高的朋友不要选择，要求低的朋友呢可以去。', 'star': 1}
{'descr': '环境不错，酒店的便识度很高。干净服务态度和速度都很好，就是空调有噪音。', 'star': 3}
{'descr': '只住过一次，就是花园房，很漂亮，就是我住的时候是冬天- -在花园里坐了会就被冷回去了..不过真的不错，夏天的时候再来。O(∩_∩)O', 'star': 5}
{'descr': '价格实惠，装修很有情调，前台MM也不错哦！下回如果路程不远，还会去下。', 'star': 5}
{'descr': '房间装修还可以吧！经济房就不推荐啦，花园房真的可以！', 'star': 5}
{'descr': '我觉得它的喷浴很给力啊!', 'star': 3}
{'descr': '非常有特色，周边配套丰富，可以一住的酒店。', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好v很好', 'star': 5}
{'descr': '酒店很好位置不错，环境也还可以，服务好，房间干净。不错以后还会选择这里', 'star': 5}
{'descr': '   感觉还不错。虽然房间小了点，还是温馨的，跟女朋友前往重庆跨年，新年第一天在酒店里看到两对新人结婚。\n   不足之处，热水要放很久才有，有点浪费水资源哦。还有空调有点不给力。其他都不错，那位煮早餐的大妈很热情，赞一个。', 'star': 5}
{'descr': '酒店还不错  环境比较好 房间干净 卫生 不错  ', 'star': 5}
{'descr': '不错  还可以吧  房间比较干净卫生，  下次来还可以考虑', 'star': 5}
{'descr': '房价高，卫生间小，冬天入住太冷，没有保暖保障', 'star': 1}
{'descr': '周边交通便利，服务也很到位，每间房子的独立花园很不错，就是空调的制热效果有待提高。', 'star': 5}
{'descr': '房间包括厕所都比其他酒店较小。\n早上的话，外面说话的声音还是挺大的。\n\n其实还不错，走廊很漂亮。', 'star': 5}
{'descr': '这次住的花园房，感觉性价比不高，花园很小，也不够精致，还是推荐商务房吧', 'star': 5}
{'descr': '房间太小，卫生间比较简陋，被褥什么的比较旧了。', 'star': 1}
{'descr': '房间太小了，比较局促。这个价位，推荐沙坪坝华山宾馆。', 'star': 1}
{'descr': '花园房感觉太小，早餐单调。\n\n房子暖气不够，或许夏天去住会好一点！', 'star': 1}
{'descr': '酒店不错', 'star': 3}
{'descr': '性价比不高，房间只有几个平方，很拥挤，配套设施不是全，厕所洗澡后积水相当严重，不过前台服务员态度不错。', 'star': 1}
{'descr': '环境很舒适，给我们安排的花园房很满意。强烈推荐、', 'star': 5}
{'descr': '还不错的酒店，原本预定的是特惠房，到店的时候没有了，酒店也协调了其它房间！', 'star': 5}
{'descr': '不错，性价比较高！！！！！下次还会选择入住！', 'star': 5}
{'descr': '环境真的挺不错的，早餐的品种再多点就好了，适当照顾点不吃辣的顾客。', 'star': 5}
{'descr': '很精致的酒店，装修风格很有情调。卫生很好，房间略小。', 'star': 5}
{'descr': '环境挺不错的，就是房间小点，服务质量还需要进一步提高，整体感觉还是挺不错的，可以打85分', 'star': 5}
{'descr': '地位离市中心稍远，离机场相对近。旁边就是莲花超市很方便，门口就是公交车站，出行方便。布置比较温馨，服务态度不错，负责早饭的阿姨很热情，前台帮我叫了去机场的出租车', 'star': 5}
{'descr': '帮朋友订的，据说不咋地！自己是肯定不会去住的。', 'star': 1}
{'descr': '  装修很舒服，很好看很可爱。很洁净，隔音效果还不错，房间里很简单干净，非常喜欢。服务员的态度也很好，很热情！', 'star': 5}
{'descr': '酒店阳台看不到外面', 'star': 3}
{'descr': '比想象中的好，下次还会选这。就是稍微远了点。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '房间很小，上网速度非常慢。服务态度也不行。', 'star': 3}
{'descr': '住的花园房挺有意思，外面搭着葡萄架子，服务很好前台很热情，只是觉得床的舒适度有待提高,总的来说性价比挺高。', 'star': 5}
{'descr': '交通还比较便利，旁边就是超市也比较方便。总体还好。\r\n只是晚上总有声音嗡嗡作响的，睡眠比较浅的朋友就难以入睡。\r\n另外我的房刚好在员工室旁，员工进出关门声大，每关一次门，我就醒一次。', 'star': 5}
{'descr': '+不错，位置很好，很方便，就是房间有点小', 'star': 5}
{'descr': '田园风格的酒店，我们住的花园酒店，大床。舒适度不错，早餐时候阿姨态度特别的好，酒店挺安静不吵闹。房间很温馨，适合情侣去住。', 'star': 5}
{'descr': '没想到入住的房间是这么的小,而且窗户位置超级差,而且也很小.还好前台的服务人员服务态度还可以,临走的时候还送了我一张重庆地图.', 'star': 1}
{'descr': '房间很小，隔音效果不好，一洗澡，卫生间就会有积水，很麻烦', 'star': 1}
{'descr': '专修比较好&#183;&#183;就是小套房床小了点&#183;&#183;花园放感觉会比较好些&#183;&#183;位置还比较好找', 'star': 5}
{'descr': '帮朋友订的，说是还可以，下次应该还会定这里，交通比较方便，离步行街也不远，旁边就是易初莲花', 'star': 5}
{'descr': '   客房太不隔音了，走廊上一点声音都能传进来。住的第一天好像有旅行团，大半夜的在走廊上吵吵，严重影响睡眠。\r\n   其他很不错，酒店有设计感，美中不足就是不隔音，具体点是客房的门不隔音，门下都是空的，门与门框之间缝隙也没有处理好- -', 'star': 5}
{'descr': '酒店比较有特色，如果晚上没有事，可以在花园和人聊聊天，只是花园靠着马路，略微有些吵', 'star': 5}
{'descr': '很有特色很喜欢。\r\n很有特色很喜欢。\r\n很有特色很喜欢。\r\n下次还会来住的。：）', 'star': 3}
{'descr': '到的时候说预定的房间没有了，无奈之下选着了花园房，花园基本没什么用。', 'star': 3}
{'descr': '喜欢这里的装修风格，房间有点小，而且屋里有个柱子，花园基本没什么用。', 'star': 5}
{'descr': '花园大床房很有特色。装修也很别致，很喜欢。服务很好，酒店的人非常客气。美中不足是地理位置稍偏，而且房间内面积较小。 要是房间面积再大一点就很好了。', 'star': 5}
{'descr': '+酒店房间还算干净，宽带、早餐过得去，小花园挺有特色，悠闲、放松。价格实惠，值得推荐。', 'star': 5}
{'descr': '总体感觉还是可以！！！就是感觉房间有点点拥挤！！！', 'star': 5}
{'descr': '交通比较便捷，房间比较小，整体感觉不错，早餐稍微差一些', 'star': 5}
{'descr': '位置还不错，吃饭很方便，阳台也很大，性价比尚可', 'star': 5}
{'descr': '房間偏小 花園裏面沒什麽玩頭  街景都看不到  最恐怖的是早餐餐廳在廁所門口..', 'star': 1}
{'descr': '装修有特色，性价比不错的小酒店，打车不是很方便，最好请前台帮忙', 'star': 5}
{'descr': '酒店位置倒是还不错就是在市区，环境的话毕竟价格在那边放着想再好也好太多看起来还可以吧，卫生倒是不错，早餐还是比较差。其他的都还过得去。', 'star': 5}
{'descr': '酒店的硬件和软件条件还不错,就是服务方面都些欠缺希望再改进,其它各方面综合来讲还可以.', 'star': 5}
{'descr': '房间有股味道，换房间也是。\r\n\r\n淋浴水温水压还不错，早餐还可以', 'star': 1}
{'descr': '干净整洁，价格实惠，交通方便，楼下有莲花超市，服务人员态度好。', 'star': 3}
{'descr': '环境不错，很舒适，设施比较齐全，适合情侣来，很浪漫', 'star': 5}
{'descr': '各方面都还不错，房间整洁，对商务履行还是很方便的，性价比较高', 'star': 5}
{'descr': '酒店很不错，前台人员很热情，推荐', 'star': 5}
{'descr': '要从火车北站出行，入住此处比较方便。但根据“洋河北路6号”这一地址非常难找。也许洋河体育馆附五楼，易初莲花超市楼上会好找一点。', 'star': 5}
{'descr': '不错，环境交通都还行', 'star': 5}
{'descr': '设计很可爱，酒店也很安静，有个小院子还可以晾衣服:p就是一个人住有点害怕……呵呵，小院子应该很安全吧。唯一有点不太满意床不是很舒服^^', 'star': 5}
{'descr': '性价比超高,硬件和软件服务也比较到位,整体感觉上来讲还不错,我个人比较看好这家酒店.', 'star': 5}
{'descr': '酒店较干净，服务也不错。但我们共入住了3间房，没有一间是花园房。打车司机也不知道这家酒店，路边打车也不方便。', 'star': 5}
{'descr': '性价比还是比较好的，靠近转盘车流量比较大，早上稍微有点闹。', 'star': 5}
{'descr': '房间有点小，隔音效果也有点差，不过总体还不错啦', 'star': 5}
{'descr': '性价比蛮好的酒店，房间干净，设施完善，环境很好，下次还会住的。', 'star': 5}
{'descr': '该酒店的确是个典型的花园式酒店，环境优雅别致！每个房间外都有一个露天封闭式小花园，花园内种上各种花草，摆放桌椅，客人空闲时可以坐在花园内边聊天别欣赏花园美景，别有一番情调哦！因刚开张不久，房间设施都比较新，服务业很好，唯一缺点就是坐在花园内可以听到外面的车辆声，性价比较高，值得重点推荐！', 'star': 5}
{'descr': '服务态度良好，卫生条件不错；房间空间较小，隔音较差（我入住房间对面整夜搓麻的声音，闹心啊），整体感觉还可以！', 'star': 5}
