{'短评内容': '小房间  有股味道', '短评打分': 4}
{'短评内容': ' 退房时候我已将发票交给前台客服手中 过一会她又问我 我说已经给她了 她非要说我没给 还让我找找 ', '短评打分': 1}
{'短评内容': '不好拦的士，房间的价格有点偏贵，本来定的是个温馨单间，结果服务员建议换成大床房，差不多，价格180。不是很划算，早知道不换的', '短评打分': 5}
{'短评内容': '可以推荐的酒店，还是很不错的。就是没有停车场。。', '短评打分': 3}
{'短评内容': '值得推荐。各方面都还是不错的，除了没有停车场。', '短评打分': 5}
{'短评内容': '挺不错的       宜昌泊家艺术酒店                ', '短评打分': 5}
{'短评内容': '是家新酒店，还算可以。', '短评打分': 5}
{'短评内容': '很有特色，每层楼的房间风格都不一样，看上去是酒店设计人员的心思没有白花。服务员的服务能力还需要提高，上下电梯原本是需要客人先，可是在泊家却没有这样做到。但是服务人员的基本素质还是很好的，我们一行是8人入住，却有个朋友第二天退房时发现手机没有带，马上电话酒店后人家立马说在前台可以随时来取。房间卫生还是相对于积极性酒店的话算是上游的。浴室用品都还是一应俱全，尤其表扬牙刷的毛是相当的不错（很多酒店都是硬', '短评打分': 5}
{'短评内容': '对外地人来说，泊家的地理条件相对其它酒店绝对不占什么优势，但是又有什么关系呢？东山大道上万寿公园旁，还不知道？就是原来的军工站啊。相信大部分宜昌人都在熟悉不过了，很方便你问路啦！宜昌就这么大，酒店地处西陵区和伍家区之间，到火车站、汽车站或是任何一处购物中心、娱乐中心都不会超过10块钱的士费用.真的非常好', '短评打分': 5}
{'短评内容': '房间的网络不是电信的，速度不行', '短评打分': 5}
{'短评内容': '还不错~', '短评打分': 5}
{'短评内容': '房间有点嘈杂，不是很安静。不过房间装修都很有风格', '短评打分': 5}
{'短评内容': '服务不错，环境也不错', '短评打分': 5}
{'短评内容': '比较脏', '短评打分': 1}
{'短评内容': 'fr ', '短评打分': 5}
{'短评内容': '房间不在市中心，但是宜昌市区很小，打车都在8元左右。很方便。开车去旅游的朋友可以把车停在停车场，然后打车出去玩，不用为停车烦恼。早餐不是很方便。房间很有特色，每层风格都不一样，我住的是中式风格，房间很大，老人很喜欢！大厅的茶叶超市的毛尖不错，新茶味道价格都很好！宜昌蚊子很多，多到你不可想象！哈哈。不追求风景的朋友可以选择。', '短评打分': 5}
{'短评内容': '經濟實惠,房間乾淨', '短评打分': 5}
{'短评内容': '价钱一样，怎么比上次的房小啦好多？？？', '短评打分': 5}
{'短评内容': '非常好,有机会还会去!', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '装修的很有艺术特色的一家酒店，环境很不错，设施也很齐全，房间也干净。有一点不太好，就是晚上睡觉了还能听到外面走廊里说话的声音，隔音稍差吧。', '短评打分': 5}
{'短评内容': '这家酒店服务态度还不错，房间装修还比较时尚，适合年轻人住，就是位置比较偏，离车站比较远，坐出租车大概要8块钱左右。总体来说还不错', '短评打分': 5}
{'短评内容': '这家酒店没出息中餐与晚餐,空调有点冷,冬天不太合适.', '短评打分': 1}
{'短评内容': '很有艺术品位，房间干净舒适，很好！', '短评打分': 5}
{'短评内容': '条件及服务都不错。', '短评打分': 5}
{'短评内容': '装潢不错，品味很不错。\r\n可惜不是全天有热水洗澡！', '短评打分': 5}
{'短评内容': '很干净，服务很好，环境很安静，下次还去住', '短评打分': 5}
{'短评内容': '非常超值的一个地方，但是现在涨价了，就没那么超值了。', '短评打分': 5}
{'短评内容': '这是我入住的最温馨的酒店,各方面我都非常满意,但只能建议年轻人入住,今次我是和长辈一块入住,长辈有点不是很接受这种规格和装修,特别是酒店内无晾衣服的地方和设施也没有,对这点不满.还有建议该酒店看清入住宾客要求,我们入住适逢是情人节,该酒店为某些有需要人士准备了朱古力和鲜花,这些我们是很满意的,但却另准备了一个避孕套,我们是和长辈和小孩子一块入住,刚进去就有点监介。其它方面总算不错！', '短评打分': 5}
{'短评内容': '离CBD  解放路有点远  做的士8块左右   公交不是很方便    但是性价比很高   应该说  这个价位相当值了   ', '短评打分': 5}
{'短评内容': '装修非常有特色的一家酒店，离高速不远，周边环境还算清净，值得推荐！', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，下次到宜昌还住那里。', '短评打分': 5}
