{'短评内容': '环境非常好，房间里配套设施全，价格略高了些。', '短评打分': 5}
{'短评内容': '酒店卫生条件令人满意，比较安静，饭菜也可以。部分设施老化不灵敏，如取电开关、淋浴喷头，带来不便，希望加以改进。', '短评打分': 3}
{'短评内容': '比较满意。', '短评打分': 3}
{'短评内容': '硬件条件还行，早点少简单。', '短评打分': 3}
{'短评内容': '设施虽然老了点，但总体来说住的还是比较舒服的', '短评打分': 5}
{'短评内容': '各方面都很好，只是设施旧一些。', '短评打分': 3}
{'短评内容': '感觉还可以，价格不是很高，就是设施老了点，下次应该还会去住。', '短评打分': 5}
{'短评内容': '贵公司的服务很好，但是贵公司提供的酒店不是很好，需要改变。', '短评打分': 5}
{'短评内容': '虽然设施旧一些，但服务、卫生、热水都不错，值得推荐。', '短评打分': 3}
{'短评内容': '住的很舒服，下次还去。住的很舒服，下次还去。', '短评打分': 5}
{'短评内容': '大床房不错，位置很好', '短评打分': 3}
{'短评内容': '一直订这里，性价比还可以~附近购物也方便~', '短评打分': 5}
{'短评内容': '位置不错 毗邻银座 购物方便 就是设施有点陈旧 价格三星里面算便宜的', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': '位置很好，楼下就是大型超市，紧邻英雄山。下次还会再来，也会推荐客户入住。', '短评打分': 5}
{'短评内容': '经常订这家，值得推荐啦~  性价比也不错~   ', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '不错~', '短评打分': 5}
{'短评内容': '酒店位置不错，设施旧了点，还行。', '短评打分': 5}
{'短评内容': '宽带有些问题，别的还好', '短评打分': 5}
{'短评内容': '位置很好，很方便。', '短评打分': 5}
{'短评内容': 'so-so', '短评打分': 1}
{'短评内容': '环境不错~', '短评打分': 3}
{'短评内容': '装修较好，服务好。值得一住', '短评打分': 3}
{'短评内容': '基本都还行', '短评打分': 5}
{'短评内容': '不错，位置非常好。', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '还不错~', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很不错，位置非常好。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '  价格较高，  其他方面很满意', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 3}
{'短评内容': '不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置很好，基本设施稍微有点旧了，但住起来还算舒服的，不错，下次来还会来住', '短评打分': 5}
{'短评内容': '济南比较老的酒店了，位置很好，楼下就是银座。\r\n设施一般，继续努力。', '短评打分': 5}
{'短评内容': '房价太高了点！\r\n实施太旧了点！\r\n大厅太不够气派了！\r\n顶楼的，餐厅菜的味道和杭州菜差不多，不错。就是太贵了！', '短评打分': 5}
{'短评内容': '这是一个不错的酒店，建议在每个楼层的两头都安装电梯，这样就不用跑这么远坐电梯了。', '短评打分': 5}
{'短评内容': '同事住的房间外边很吵，KTV很大声，前台说是夜总会，可听着像露天大排档，晚上根本就没睡好。看图片好象豪标是有地毯的，但我们住的八楼都是地板的。房间倒是挺大（豪标）。空调挺凉。', '短评打分': 1}
