{'短评内容': '位置好，交通方便，服务好', '短评打分': 5}
{'短评内容': '房间有点小，不是中央空调，有点不大给力，其它方面还不错。', '短评打分': 5}
{'短评内容': '挺干净的酒店，吃饭也方便，早餐很快就没得吃了 ，比较悲剧。总体不错吧。', '短评打分': 5}
{'短评内容': '挺干净的酒店，不错，服务态度也不错，空间也很大，就是路由器还要租，其他的都很好。', '短评打分': 5}
{'短评内容': '隔音效果不好', '短评打分': 3}
{'短评内容': '还行就是酒店旧了点', '短评打分': 3}
{'短评内容': '不错的酒店，服务热情，房间也挺干净，就是厕所顶上似乎有点漏水的迹象', '短评打分': 5}
{'短评内容': '除了房间稍微小了一点外，其他的都还不错.....................', '短评打分': 5}
{'短评内容': '总体感觉不错，就是空调不大给力，能够理解。', '短评打分': 5}
{'短评内容': '我2012年1月4日入住的上虞市金侨宾馆大床房1间,卫生很好,有电脑可免费上网,就是房间小了点,一个人正好,早餐也不错', '短评打分': 3}
{'短评内容': '硬件和服务都不规范，有很大的提升空间。\n\n硬件和服务都不规范，有很大的提升空间。', '短评打分': 1}
{'短评内容': '我是第一次入住，房间很宽敞，设施有点旧，我住的那间门在里面没法反锁，冬天住起来有点冷，不要选窗户多的房间。房间电脑很好用，网速很快！', '短评打分': 5}
{'短评内容': '环境挺不错的！', '短评打分': 3}
{'短评内容': '早餐不错  就是房间比较小，床是靠墙的，环境比较不错', '短评打分': 5}
{'短评内容': '非常不错，餐饮不错，可以点饭。房间干净，各个方面都挺好。', '短评打分': 5}
{'短评内容': '早餐很有特点,是宾馆附属的一个中式快餐店', '短评打分': 5}
{'短评内容': '入住8403房属于B大床。房间较小，靠床边墙纸有脱落，进去发现浴室排风扇是坏的，工程部马上过来修好了，房间打扫很及时。有个小建议：晚上会有人从门缝下塞黄色小卡片，请酒店方要注意一下，我们不希望被打扰。酒店的设备设施虽然一般，但总体服务很好，交通方便，房价也优惠。下次过去还会住金侨的。', '短评打分': 5}
{'短评内容': '带电脑的还行 就是 床是一面靠墙的 能再大些 就好了', '短评打分': 5}
{'短评内容': '酒店不错，环境很好，交通便利~~网速很快', '短评打分': 5}
{'短评内容': '还是可以的 很干净  就是住的空间小了点', '短评打分': 5}
{'短评内容': '居住的环境不错，交通比较的便利，离街比较的近，值得推荐', '短评打分': 5}
{'短评内容': '房间干净，卫生间很大，有电脑，19寸宽屏显示屏。价格合理。', '短评打分': 5}
{'短评内容': '总体感觉还可以吧。因为一个人住的大床，所以感觉还是蛮舒服的', '短评打分': 5}
{'短评内容': '很好的酒店，干净，简洁，舒适................', '短评打分': 5}
{'短评内容': '网上回复预订成功，结果到门店没有预订记录，还好没有什么人入住，否则岂不完蛋！\n在这个地方，这个价格，个人觉得性价比不是很高！如果有锦江，一定会住锦江。', '短评打分': 1}
{'短评内容': '酒店虽然老但还是不错的，特别是早餐很好', '短评打分': 3}
{'短评内容': '哈哈，第二次入住了，虽然不是本人，但进去感受了一下，还是不错的！', '短评打分': 5}
{'短评内容': '房间很干净，早餐也不错的，还有电脑可以免费使用', '短评打分': 5}
{'短评内容': '各项设施都不错，价格也合理！交通也较方便，个人觉得相当不错的！', '短评打分': 5}
{'短评内容': '还是不错，比较满意。推荐。\n要说挑刺，就是酒店的招牌太低了，晚上路过酒店门口稍不留神都会走过头，建议把酒店的招牌在屋顶也安一个。', '短评打分': 5}
{'短评内容': '交通方便，房间设施条件俱全，环境也很好，不错，适合出差，旅游等的住宿需求', '短评打分': 5}
{'短评内容': '有电脑我喜欢。撒啊啊啊啊gggggzZzzzzz', '短评打分': 5}
{'短评内容': '酒店不错，电脑上网极快，也比较干净，就是周围没有什么商店', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': 'cvdcv fdfv dfdfdfdfdfdfdfdfdf', '短评打分': 1}
{'短评内容': '环境好，服务态度好，餐厅也不错，下次去还会选这家', '短评打分': 5}
{'短评内容': '酒店不错啊，各方面都很OK，卫生间空间很大，就是卧室空间小了点，总体感觉很好', '短评打分': 5}
{'短评内容': '送的早餐还不错的~\n房间很干净温馨，设施和环境也不错，就是地理位置偏了点。', '短评打分': 5}
{'短评内容': '交通很方便，房间又干净，又含早餐，虽然一次也没去吃过', '短评打分': 5}
{'短评内容': '服务很好,交通也很方便,房间整洁,有免费宽带上网.价格合理.早餐需要改进,太单调.', '短评打分': 5}
{'短评内容': '我还是会员呢。每次都给我2楼或者5楼的冒。老住同样的房间。能不能给我换换呗啊。', '短评打分': 5}
{'短评内容': '除了附近稍微交通偏僻了些\n其余还不错，每次都是在这家\n', '短评打分': 5}
{'短评内容': '酒店位置还可以，就是我定的房间很小，价格适中。', '短评打分': 3}
{'短评内容': '设施还可以水也热，环境挺好，态度很好。', '短评打分': 3}
{'短评内容': '房间设施都不错，早餐排队打，服务员说吃多少打多少，不够再来打。不过对外的人员是要按早点个数收钱的。餐饮是快餐性质的，品种少了些，红烧肉和糖醋排骨很给力。', '短评打分': 5}
{'短评内容': '性价比高，房间很不错,一般我去上虞都是订这里的 ', '短评打分': 5}
{'短评内容': '很好，性价比挺高的，一般来上虞我都住那里', '短评打分': 3}
{'短评内容': '好评  发表对<上虞金侨商务宾馆>的评论(*为必填项)\n我们鼓励真实入住客人的点评，如果您最终未入住该酒店，您所发表的点评会被视为无效点评。\n', '短评打分': 5}
{'短评内容': '价格便宜性价比高，还在江边，就是有点偏僻', '短评打分': 5}
{'短评内容': '还不错 干净床很舒服的 卫生也好  位置也好 很喜欢的', '短评打分': 5}
{'短评内容': '房间有点偏小，隔音效果不是太好，服务态度还可以 \n', '短评打分': 5}
{'短评内容': '房间有点偏小，隔音效果不是太好，服务态度还可以', '短评打分': 5}
{'短评内容': '干净，卫生，早餐也不错，一句话，值这个价', '短评打分': 5}
{'短评内容': '该评的都评了，总体的来说还好，相对别的几个酒店，性价比还算是不错的。', '短评打分': 5}
{'短评内容': '浴室稍微小了点，早餐8点半后去有好多都没了，其他都还好，还有就是晚上有骚扰电话', '短评打分': 5}
{'短评内容': '酒店不错，上网速度快，但是地段有点偏，周围没有什么商店', '短评打分': 5}
{'短评内容': '总的来说还好。就是能有免费的那种一次性刮胡刀就好了', '短评打分': 5}
{'短评内容': '酒店周围环境还可以，步行20分钟可以到市中心沃尔玛等地方，不足的是换气扇有点吵，早餐比较简单。', '短评打分': 5}
{'短评内容': '酒店不错，上网速度快，但是地段有点偏，周围没有什么商店', '短评打分': 5}
{'短评内容': '酒店不错，上网速度快，但是地段有点偏，周围没有什么商店', '短评打分': 5}
{'短评内容': '性价比还好，值得入住，早餐有待改善.有点不习惯', '短评打分': 5}
{'短评内容': '装修比较新，隔音效果一般般，地理位置比较便利，离火车站近', '短评打分': 5}
{'短评内容': ' 很不错', '短评打分': 3}
{'短评内容': '很不错啦…', '短评打分': 3}
{'短评内容': '不错,有电脑,可以免费上网,早餐很风盛, 唯一不足就是房间小了点,', '短评打分': 5}
{'短评内容': '交通方便，服务态度好，卫生不错\n楼下快餐店的糖醋排骨很好吃\n但是前台的打印机是坏的，我不得不晚上走很远去找打印店', '短评打分': 5}
{'短评内容': '酒店设施蛮多的，装修风格挺别致，就是晚上会有骚扰电话，除此之外值得推荐', '短评打分': 5}
{'短评内容': '不错的酒店，就是有点偏，周围没有什么商店\r\n', '短评打分': 5}
{'短评内容': '早餐的品种太少了，没什么吃的，环境错，好像是新装修的', '短评打分': 5}
{'短评内容': '总体感觉还好,就是前台服务员有点粗心,把早餐券忘记给我了,可能是我当时去的时候都在退房,忙的缘故吧,可以理解', '短评打分': 5}
{'短评内容': '一般 卫生很干净 电脑没用', '短评打分': 5}
{'短评内容': '性价比还是蛮高的，装修业不错，也挺安静，设施也不错', '短评打分': 5}
{'短评内容': '这个酒店是新装修的，里面设置都比较新，性价比较高，值得一住。。', '短评打分': 5}
{'短评内容': '恩 服务态度非常的好 有问必答 网络有点差 总体来说还可以 低消费高享受 房间蛮大的 ', '短评打分': 5}
{'短评内容': '一如往常~房间不错，电视蛮好，性价比蛮高，就是早饭不怎么样', '短评打分': 3}
{'短评内容': '感觉不错，值得推荐，新酒店，感觉蛮新，还可以', '短评打分': 3}
{'短评内容': '第二次帮朋友订这个酒店了，都说还不错，下次还会来', '短评打分': 5}
{'短评内容': '不错,下次来上虞还住这里', '短评打分': 5}
{'短评内容': '装修新的，还不错，液晶电视蛮舒服，就是晚上有那种骚扰电话，希望酒店管理层可以注意一下', '短评打分': 5}
{'短评内容': '性价比较高，去哪都挺方便的，卫生、设施情况都还可以，值得推荐', '短评打分': 3}
{'短评内容': '连续住了两天，总体来说不错，性价比高，距离购物中心也近。', '短评打分': 3}
{'短评内容': '总体还是可以的，就是服务员的态度还可以再好点', '短评打分': 5}
{'短评内容': '宾馆设施还是蛮新的。洗手间超级大。早餐居然是有人帮你打的，不是自助，有点意外。', '短评打分': 5}
{'短评内容': '真的很不错 房间很舒适 会很适合居住 交通也方便  东西忘拿了还帮忙保存 值得推荐 ', '短评打分': 3}
{'短评内容': '早餐太简单了，标准房里两张床，但椅子只有一把，想两个人一起坐下来喝个茶的地方也没有。不过如果只是休息和睡觉，看下电视什么的就好了！', '短评打分': 1}
{'短评内容': '第一次预定宾馆，感觉花了这么点钱住到了性价比这么高的酒店  心里很舒服 环境很好 服务态度也很好 绝对值 ', '短评打分': 5}
{'短评内容': '性价比一般啦，不多酒店的设施还是不错的，送早餐也实惠。', '短评打分': 3}
{'短评内容': '酒店的地理位置还可以，距离商业中心也近，但是199的价格性价比一般，因为起床太迟，送的早餐没有吃。\r\n因为退房匆忙，把项链落在宾馆，宾馆很负责任的代为保管。总的来说还不错。', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境一般,性价比较高,考虑下次入住.', '短评打分': 3}
{'短评内容': '环境一般,性价比较高.下次还是可以考虑入住.', '短评打分': 5}
{'短评内容': '离长途汽车站打的需要10元，不算远，但是周围不是很热闹', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错！值得', '短评打分': 3}
{'短评内容': '不错~4星享受', '短评打分': 5}
{'短评内容': '设施不错 早餐有些单调', '短评打分': 5}
{'短评内容': '除了早餐和 以 XXX3结尾的房间窗帘拐角处不能完全遮住以为，其他都还可以！~', '短评打分': 3}
{'短评内容': '大床房A，尾数带3字的房间窗帘不行，拐角遮不到，一大早7点多太阳从拐角的缝隙里直接射在枕头上，搞的那个郁闷啊！~~！~！早餐也不行，自助餐居然成快餐的形式，而且牛奶还得另行消费！~还没有早餐菜吃', '短评打分': 5}
{'短评内容': '早餐很丰盛。', '短评打分': 5}
{'短评内容': '不错的酒店，中式早餐很好哦，本地人都来吃的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '有电脑，网速很快，', '短评打分': 5}
{'短评内容': '上虞金桥宾馆环境整洁地处上虞城市中心地带设施装璜较新价格合理服务态度好', '短评打分': 5}
{'短评内容': '除了位置在大桥底下有点吵闹外，其他都挺好，特别要赞的是大床房A，非常温馨，很有特色，就像回到自己家里一样，下次一定还去，价格也比较公道', '短评打分': 5}
{'短评内容': '这么早就蚊子N多。。。。。。', '短评打分': 5}
{'短评内容': '比较安静!环境也可以!', '短评打分': 5}
{'短评内容': '宾馆不错房间小却精致干净整洁打扫及时服务态度好早餐品种多口味不错性价比很高赞一个', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '总的来说还可以', '短评打分': 5}
{'短评内容': '同事推荐我去的，不错，床很舒服', '短评打分': 5}
{'短评内容': '酒店不错，可惜淋浴房里没有灯，比较暗。', '短评打分': 5}
{'短评内容': '恩好', '短评打分': 5}
{'短评内容': '各方面都不错的，早餐用券不能外带。。。。', '短评打分': 5}
{'短评内容': '希望房间里的网线放根长点的，否则每次都要再打电话要。', '短评打分': 5}
{'短评内容': '应该说是不错的选择,只是电脑差了一点,无硬盘的,用网线连接机房的,', '短评打分': 5}
{'短评内容': '空调好像效果不太好，另外早餐差了点，拿了早餐券不知道能选择多少，其他还不错', '短评打分': 5}
{'短评内容': '各方面都不错，就是早餐不让带进房间不太好~不想在餐厅吃饭~~然后就是隔音有点差，外面人说话都能听见。其他都不错~', '短评打分': 5}
{'短评内容': '房间里的电脑根本就开不了机，就是个摆设', '短评打分': 3}
{'短评内容': '还可以，房间比较大', '短评打分': 5}
{'短评内容': '房间小了点，设施还可以', '短评打分': 3}
{'短评内容': '房间小了点，设施还可以', '短评打分': 5}
{'短评内容': '房间有点小，购物还算方便，离市区大概五六分钟的车程，早餐的种类比较丰富。但是酒店有一种特价房不知道是不是与我住的一样。', '短评打分': 5}
{'短评内容': '总体感觉挺不错的，尤其是电视，好大的液晶平板电视。早餐虽然种类少，不过挺好吃的，尤其是酒酿圆子。', '短评打分': 5}
{'短评内容': '挺不错，床很大，很干净', '短评打分': 5}
{'短评内容': '这个酒店价位很实惠，经济。。。', '短评打分': 5}
{'短评内容': '很干净，设备比较新', '短评打分': 3}
{'短评内容': '性价比很好', '短评打分': 3}
{'短评内容': '不错的酒店，很干净，有电脑，网速很快', '短评打分': 5}
{'短评内容': '性价比较高的宾馆', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '宾馆不错，上网速度很快，就是早餐去晚了没有什么东西了', '短评打分': 3}
{'短评内容': '这个价格绝对物超所值！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '床还蛮大的，牙刷不错，酒店旁边的娱乐设施太少', '短评打分': 5}
{'短评内容': '酒店很不错，也很干净，上网很快，就是网线质量不好，经常接触不良。', '短评打分': 5}
{'短评内容': '就是隔音差点', '短评打分': 5}
{'短评内容': '环境优雅，内部设施齐全，下次有机会还会再去。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很不错的酒店，各方面都不错，就160多这个价位来看，性价比无敌了。', '短评打分': 5}
{'短评内容': '对的起这个价格', '短评打分': 3}
{'短评内容': '酒店在公路边，房间隔音差，汽车一走声音很大。', '短评打分': 1}
{'短评内容': '还不错，性价比较高。早餐是快餐式的，和营业的混在一起，晚去也有的吃\r\n\r\n303房间淋浴喷头连接管漏水', '短评打分': 5}
{'短评内容': '酒店服务挺热情周到的,设施方面也蛮齐全的,房间打扫的也挺干净,住起来挺舒适.价格方面如果再实惠点就更好了.', '短评打分': 3}
{'短评内容': '就交通和宾馆的设施等的性价比较高，宾馆的早餐还是很丰富的。', '短评打分': 5}
{'短评内容': '性价比较高，位置较好，交通方便。网线太短，太松。', '短评打分': 5}
{'短评内容': '我觉得这家酒店环境还可以，服务也不错，就是洗手间有点小', '短评打分': 3}
{'短评内容': '酒店本身环境还可以，服务也不错，就是感觉位置一般，交通有点不太方便', '短评打分': 3}
{'短评内容': '酒店的条件还算可以，毕竟是商务型酒店要求也不能太高，总之价位合适，条件适中，就是位置有点偏，不过交割出租车还可以，另外房间里的电脑一会死机一会怎么样的，不好用，后来干脆没用。', '短评打分': 3}
{'短评内容': '不错，下次还住这', '短评打分': 5}
{'短评内容': '酒店设施比较新，质量也不错，还配电脑，但电脑网线太松，经常掉，造成死机，耳机线太短，使用不是很方便，建议用小音箱（有一个房间有，效果不错）', '短评打分': 5}
{'短评内容': '性价比不错。很推荐住 经济又实惠', '短评打分': 5}
{'短评内容': '设施比较新，服务环境也很不错，地理位置也很好，交通比较便捷', '短评打分': 5}
{'短评内容': '酒店很新，设备很齐全，服务也很周到，地理位置也不错', '短评打分': 5}
{'短评内容': '酒店的设施很好,大的液晶电视,加电脑.很大的热水,沐浴房.早上的早餐也非常丰富.遗憾的是窗户的隔音很差.选择了面对停车场的房间,可是一晚上都是嗡嗡声,不知是锅炉房还是空调,让人无法入睡,听到隔壁的人家也在拼命拉窗,看来不是个别意见.', '短评打分': 5}
{'短评内容': '酒店是新开业的,在一些日常用品也比较有档次的,而且很喜欢房间里的液晶电视,酒店离市中心稍微有点远,不过还可以,还有就是早餐做得有些粗糙', '短评打分': 5}
{'短评内容': '房间提供的电脑总死机，他们修了几次也没修理好，别的都还好，价格挺优惠的', '短评打分': 5}
