{'descr': '位置挺好的，很好', 'star': 5}
{'descr': '感觉还行，毛巾需要洗的干净些。', 'star': 3}
{'descr': '环境不错，离秋林，离火车站都不远，打车比较方便，公交的话要走几分钟才有。总体还算满意', 'star': 5}
{'descr': '温馨大床房果然装潢的够温馨，不错，只是感觉空间稍微有点小。', 'star': 3}
{'descr': '好忙啊！', 'star': 3}
{'descr': '酒店设施太差!其一卫生间门居然关不上,自动敞开,洗澡上厕所一览无余,其二空调制热效果差,晚上居然停了,我和我小孩被冻醒了!', 'star': 3}
{'descr': '离火车站近，来回做火车方便！免费提供的宽带网速壮烈！', 'star': 5}
{'descr': '总服务台服务太差，房间冷。', 'star': 3}
{'descr': '就是隔音效果不是很好，价格倒是蛮适中的哦！位置也不错！\n', 'star': 5}
{'descr': '条件不错', 'star': 3}
{'descr': '入住和退房办理有些慢！其它方面还可以，入口没有什么指示牌，有些难找！', 'star': 5}
{'descr': '房间环境不错', 'star': 3}
{'descr': '总体还可以吧，周边一切什么的都很方便，就是有点吵，然后马桶堵塞了，比较郁闷，电视也很小，其他的都还好', 'star': 5}
{'descr': '环境其他都还可以，就是网速极慢，商务人士办公处理差点，希望改进。。。', 'star': 5}
{'descr': '酒店环境还可以，早餐也可以接受，不过网速太慢了。。。。。商务人士办公还是很费劲的，希望改进', 'star': 5}
{'descr': '隔音效果不太好', 'star': 3}
{'descr': ' \n地方不好好找，在肥西老母鸡店后面。地板破旧，其他的还可以。有早餐种类较少。前台服务挺好。', 'star': 3}
{'descr': '我住在309房间,卫生间抽风机是坏的,问服务台答复是正在等待上级批准后更换.\r\n卫生间水龙头已松动多时,无法使用.', 'star': 1}
{'descr': '离火车站很近,步行大约五分钟,房间勉强算整洁,但是隔音太差,电梯总是响,周围也比较吵.最大的优势就是离火车站近吧.', 'star': 5}
{'descr': '+挺好', 'star': 5}
{'descr': '位置不错，交通不错，卫生间设施及备品差点', 'star': 5}
{'descr': '5酒店较旧，房间小', 'star': 5}
{'descr': '+不错，很好', 'star': 5}
{'descr': '价格合理，带早餐，很适合出差的商务人士，很满意！', 'star': 5}
{'descr': '性价比很不错，屋子房间很大，离火车站也是起步价', 'star': 5}
{'descr': '位置不错！服务有待提高。卫生间排气扇坏了，门上有一段贴条脱离，向服务员反映，被告知：咱店没有搞维修的。', 'star': 5}
{'descr': '位置不错！服务有待提高。卫生间排气扇坏了，门上有一段贴条脱离，向服务员反映，被告知：咱店没有搞维修的。', 'star': 3}
{'descr': '总体还可以，但没有衣柜，放衣服不方便。', 'star': 5}
{'descr': '已经入住第三次了，总体感觉还可以。今天住的房间水龙头损坏只是用透明胶带粘了一下，不怎么美观。我想作为连锁酒店细节方面应该做的更好', 'star': 5}
{'descr': '很是一般般。。不经济。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '房间洗澡间有点脏啊，看到那个洗澡垫脚的垫子，心都碎了', 'star': 3}
{'descr': '已入住', 'star': 5}
{'descr': '哈尔滨佰佳成商务酒店位置很好，离市中心很近上街方便，住的很满意。', 'star': 5}
{'descr': '哈尔滨佰佳成商务酒店位置很好，离市中心很近上街方便，住的很满意。', 'star': 5}
{'descr': '设施陈旧，小强众多，延长一个小时退房时间是绝不可能', 'star': 1}
{'descr': '不是特别满意，感觉同等价位在哈尔滨可以住到更好的酒店。而且没办法通融留房间超过晚上12点。', 'star': 1}
{'descr': '不是特别满意，感觉同等价位在哈尔滨可以住到更好的酒店。而且没办法通融留房间超过晚上12点。', 'star': 1}
{'descr': '还可以，房间有点小，有点旧', 'star': 5}
{'descr': '服务很好。环境一般，价格偏贵。', 'star': 5}
{'descr': '酒店管理不错。新装修，服务态度好，有求必应。位于市中心。起步费就能到车站。', 'star': 5}
{'descr': '酒店管理不错。新装修，服务态度好，有求必应。位于市中心。起步费就能到车站。', 'star': 5}
{'descr': '房间有点小，不过整体来说还不错，就是门前的环境不太好哦！', 'star': 5}
{'descr': '总体还行…', 'star': 5}
{'descr': '这次是第二次入住了。环境还可以，但是觉得床不怎么舒服，希望有点改进', 'star': 5}
{'descr': '酒店位置还不错，价格合理，性价比比较高。', 'star': 3}
{'descr': '酒店位置还不错，价格合理，性价比比较高。', 'star': 3}
{'descr': '环境还可以', 'star': 5}
{'descr': '环境还可以', 'star': 5}
{'descr': '早餐不怎么好', 'star': 5}
{'descr': '我入住了5天怎么没有返回现金\r\n', 'star': 3}
{'descr': '我入住了5天怎么没有返回现金\r\n', 'star': 3}
{'descr': '交通方便，靠近医大一院、果戈里大街。', 'star': 5}
{'descr': '交通方便，靠近医大一院、果戈里大街。', 'star': 5}
{'descr': '卫生间冲凉用的防滑垫很脏，由于地漏排水很慢，洗澡时防滑垫漂出好多毛发。排气扇坏了，服务员说坏好久啦，修不了。隔音效果非常差。', 'star': 1}
{'descr': '总体来说不错的酒店，性价比蛮高的，下次还会住。', 'star': 5}
{'descr': '酒店第一感觉还行，就是服务员不知道为什么刷卡会刷错金额。还有就是刷信用卡预授权，不会解除，还要等银行自动解除。', 'star': 5}
{'descr': '进房间后，居然也第一眼发现了蟑螂；电视机遥控器的按键很多没反应；房间电话居然拨打不了总台。\r\n感觉比如家、锦江之星之类的，明显要差。', 'star': 1}
{'descr': '位置比较好，离火车站很近；但与前后建筑间距较小，感觉不舒服；针线没有常备，服务员找了老半天。', 'star': 5}
{'descr': '总的来讲还算不错的一家酒店，全国连锁性的酒店，因为我有张会员卡，所以价格很实惠便宜，即使非会员的价格也不高也就100多块，性价比很高', 'star': 5}
{'descr': '服务还行，反应也挺迅速的，效率很高，但是就是能提供的其他服务比较少，毕竟是快捷型商务酒店，给我的感觉还行，不适合旅游入住', 'star': 5}
{'descr': '因为距离火车站很近，所以有时候还是很吵闹的，不过关上窗子就会好很多，休息时感觉几乎没什么噪音，休息的不错，隔音效果还可以', 'star': 5}
{'descr': '房间的颜色搭配不错，一进房间感觉很温馨，不像有些酒店的冷色调，这里是属于那种暖色调的，给人的感觉挺好的', 'star': 5}
{'descr': '很方便，就在火车站的附近，刚去的时候因为出租司机绕路，弄的我以为很不好找呢，结果距离火车站没多远，唉人那总是有不好的', 'star': 5}
