{'短评内容': '环境不错，周边很热闹。酒店的早餐也很丰富的。会向朋友推荐', '短评打分': 5}
{'短评内容': '很好哦 下次还会来的 房间很干净 就是设施不够新 位置也不错', '短评打分': 5}
{'短评内容': '酒店偏旧，设施一般，地理位置不错，服务态度也挺好的，推荐', '短评打分': 5}
{'短评内容': '酒店看上去比较旧，设施也比较一般，地理位置不错！', '短评打分': 5}
{'短评内容': '位置不错，离火车站比较近，打的起步价就到了，房间很干净，早餐品种单调,几年都一样', '短评打分': 3}
{'短评内容': '作为一家四星级酒店，设施一般，且较为陈旧。服务三流。', '短评打分': 3}
{'短评内容': '地处闹市，但因门前是立交桥，开车容易走错！', '短评打分': 5}
{'短评内容': '酒店设施太陈旧', '短评打分': 5}
{'短评内容': '酒店其他设施还可以，早餐有点不足。还可以住。', '短评打分': 5}
{'短评内容': '酒店服务还不错', '短评打分': 5}
{'短评内容': '我这次来住了6晚,比较卫生,接代我的前台服务小妹妹态度好。就是房间小了些。', '短评打分': 5}
{'短评内容': '还不错\r\n就是隔音效果不怎么好\r\n都能听见隔壁的电话声', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '设施较新，面积也基本符合4星级的标准。卫生不错，比对面的华宇好很多，价格才高68元。就是洗手间面积太小了。对了，拖鞋很舒适。性价比很高的一家酒店', '短评打分': 5}
{'短评内容': '有点旧，但是位置很好', '短评打分': 3}
{'短评内容': '地理位置不错，附近酒店很多', '短评打分': 5}
{'短评内容': '很好，下次还会选择', '短评打分': 3}
{'短评内容': '该店比较安静，就是设施有些旧了', '短评打分': 5}
{'短评内容': '环境很不错哦。\r\n下次去还住那', '短评打分': 5}
{'短评内容': '总的来说还不错,挺干净,地段好,价格也不贵,288四星标准怎么说也不贵,就是房间里矿泉水要18一瓶,地图也要收费,有点小家气了.', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '虽然是已经开业了很多年，但各个方面总体感觉还不错，价格也不贵。', '短评打分': 5}
{'短评内容': '住得还算舒服，旁边的海鲜城价格较贵。', '短评打分': 5}
{'短评内容': '应该说，地理位置不错，虽然挨着十字路口，窗户关着听不见外面的嘈杂声，赶上雨天，门口主动提供免费借用雨伞业务。288元的四星级挺吸引人的，最关键的是不行到车站也不远，打的也就是个6元起步费。值得推荐。', '短评打分': 3}
{'短评内容': '旅馆位置比较方便，到火车站只要一个起步费，四星级的饭店288元确实吸引人。雨天为客人着想，提供免费借用雨伞，挺人性化的。\r\n建议：旅馆应该把免费提供的矿泉水放在明处，并做上明确的标注，不应该让客人要与旅馆核实确定后才饮用。这样的服务会体现的更周到些。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐有咖啡，也能满足国外朋友早餐习惯，不错', '短评打分': 3}
{'短评内容': '就四星级酒店而言，288元的价格很有吸引力，还含有免费宽带', '短评打分': 5}
{'短评内容': '感觉还可以，交通比较方便，酒店的服务也行，下次去可以考虑再去那里住。', '短评打分': 5}
{'短评内容': '性价比不错，推荐。', '短评打分': 5}
{'短评内容': '性价比还好', '短评打分': 5}
{'短评内容': '性价比高， 就是酒店位置离立交桥太近有点吵。', '短评打分': 5}
{'短评内容': '面街的房间比较吵,出租车不容易找. 其他没有什么印象. \r\n', '短评打分': 1}
{'短评内容': '早餐品种很多，人多时位置不够，服务员人数太少', '短评打分': 5}
{'短评内容': '到达酒店比较晚，前台说预定的普通房没有了，免费升级到商务房，赞一个。', '短评打分': 5}
{'短评内容': '环境很好，服务很周到', '短评打分': 3}
{'短评内容': '环境很好，服务员服务很周到', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '酒店的环境硬件设施都比较一般，卫生服务也比较一般，价格和条件相比还是比较偏高的。主要是酒店太陈旧了建成时间太早了。不是值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '整体性价比还算好，位置偏南一点，但南昌城市不大；服务不错，基本上有求必应；设施一般，没什么出众之处；自助早餐就是个温饱。', '短评打分': 5}
{'短评内容': '酒店内部环境还可以，由于是路过南昌，很晚才入住，第二天又要赶早班飞机离开，就不过多发表意见了。总体说来，值得推荐。', '短评打分': 5}
{'短评内容': '谢慧荣', '短评打分': 5}
{'短评内容': '酒店设施较好，内部环境不错，只是临街外部环境较差，但交通方便。早餐比较丰富，服务还需要再提升，比如，多一些为顾客着想，提高效率；多一些温情服务，视顾客为亲人等，性价比还可以，我愿意推荐该酒店。', '短评打分': 5}
{'短评内容': '酒店在市中心，可能到晚上稍微吵一些，不过酒店内部的环境，服务还是不错的', '短评打分': 5}
{'短评内容': '设施和服务都不错,但临街太闹了', '短评打分': 5}
{'短评内容': '每次去南昌出差都会入住，感觉踏实，温馨！提一个小小的建议，如果要使四星级更能体现，门口的服务生一定要服务更到位一点，如叫车', '短评打分': 5}
{'短评内容': '各方面的服务都还行，就是早餐不如意，需要改进！谢谢', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '在吃早餐的时候不小心把一根筷子碰掉了（当时餐厅里人很少，以为没人看见），本想捡起来用餐巾擦擦就算了（我的位置靠窗，距离拿餐具的地方较远）。可是被远距离的一位服务员看见了，主动送来一双新的，很让我惊讶。这种服务才较服务。', '短评打分': 5}
{'短评内容': '服务非常好。设施很齐全。是个好地方。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;酒店外面环境比较乱，出于一个大立交桥下。除此之外，房间设施非常不错，出乎意料。服务也还可以。&amp;lt;/P&amp;gt;&lt;br /&gt;\n&amp;lt;P&amp;gt;刚到酒店，叫了送餐服务，二十多元就点了一碗面和一份小炒。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;很干净，特别是宽大的床和双份早餐非常适合情侣度假。印象不错。可惜其他配套设施等尚未完工，游泳池，健身房都有就更好了。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '该酒店的房间设施及条件比民航花园大酒店好，不足之处是：空调的制冷效果比较差，噪音大。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;不错，各方面都比较符合四星的标准。房间条件也还可以。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '很好，很乾淨，服務不錯，還送水果，報紙（雖然很難看），品質很好，交通也方便', '短评打分': 5}
{'短评内容': '房间宽敞，交通比较便利，服务态度也不错，比想象中的准四星好，是个选择。', '短评打分': 5}
{'短评内容': '酒店房內設施還好,但前台服務員態度欠佳,本人於結帳時,就發生了不愉快的事情(在結帳呆等約30分鐘不果的前提下,追問時,才告知說房內有瓶白蘭地酒的標籤有損,要待查房人員核實,這下暈死了,我要趕1小時后的飛機啊,本人不會喝酒,也沒去動房內的飲料,就因不知哪出問題的酒標籤有損就算在我身上)如發覺問題,她們該一早告知啊,而不是等了30分鐘后,一再追問時才說,有必要我寧可給錢要了那酒算了,飛機可不等人的啊,', '短评打分': 3}
