{'短评内容': '交通方便，房间整洁，适合商务', '短评打分': 5}
{'短评内容': '设备齐全，环境不错，虽然有点老旧，作为这个价格和地段已经很不错了', '短评打分': 5}
{'短评内容': '从价格上来说，这个酒店三人间的价格性价比是非常高的，不过如果遇到有旅游团的话，早上就会受到打扰了。', '短评打分': 5}
{'短评内容': '还不错！卫生可以，环境OK啊，交通也比较方便，离外滩挺近!', '短评打分': 5}
{'短评内容': '好评！预订的单人房，还不错 隔音效果不敢 还算干净 就是不好找 离外滩也近', '短评打分': 3}
{'短评内容': '在上海还能找到这样的特价房，真是不容易。宾馆有点象招待所，不过该有的都有，还算不错了。不过拖鞋是塑料的。下次记得自己带拖鞋好些。', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '好，离东方明珠很近，环境还可以！服务态度好', '短评打分': 5}
{'短评内容': '很好的店，东西很全，价格不贵', '短评打分': 3}
{'短评内容': ' 酒店还好，就是住的地方太难找，有点偏僻。不过这个价位的房间已经是很好的了。', '短评打分': 3}
{'短评内容': '服务态度好,走路到地铁站有一点点远,还可以接受.挺好的...性价比高.', '短评打分': 5}
{'短评内容': '这个价格值得入住，酒店内设可以，出行方便，去外滩相当近，周边吃饭也实惠，很安静\n\n卫生间建议重新装修，热水慢，出水量也小，', '短评打分': 5}
{'短评内容': '设施一般.水流很小...热水慢的很...距离地铁站很远', '短评打分': 5}
{'短评内容': 'hao   不错111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '很好，位置不错，干净.下次还来住，朋友们也可以来看看', '短评打分': 5}
{'短评内容': '入住的特价房，离外滩、南京路、城隍庙也较近，不过酒店地方有点难找，但是环境还算可以，但我入住是刚好有一家人就住隔壁，早晨起来隔壁住的房客小孩太吵，一大早就大吵大闹踢门敲门什么的。跟服务员反应了，但是他只让我跟房客协商，哎。。。不过其它服务员还可以。不过有点奇怪，酒店竟然没有我相机冲电的插座，问服务员也没有，还真有点奇怪。总体来说算可以，因为我只是住一两天的。', '短评打分': 5}
{'短评内容': '酒店离外滩很近，交通还算便利，不过地方很难找，而且周围乱糟糟的，晚上睡觉的时候外面的空调外机很吵，睡得不好。。', '短评打分': 5}
{'短评内容': '位置离黄浦江边比较近，打的10元可到，但是比较难找！里面条件就一般，水太小了，不是很爽！', '短评打分': 1}
{'短评内容': '入住特价大床房一间，一家三口，床只有1.5米宽，孩还小，凑合，比给我妈定的单间大了两个平吧，感叹上海的地价真贵。空调关都关不了，噪音超极大，倒也暖和，前台小男孩服务太弱智了，结账时刷卡，竟问：刷多钱。我答：你问我呀！呵呵。开发票也手忙脚乱。还有，网上登记有车位，纯属扯淡。还不如住对面的7天呢，反正我也就住这一回吧。', '短评打分': 1}
{'短评内容': '一个特价单人间给我妈睡，床倒挺大，1.5米宽，人就在房里转不开身了，只是睡觉就好了，太一般啦，挂牌价竟258，太离谱了，特价直接当挂牌价才合适', '短评打分': 1}
{'短评内容': '酒店还好，就是位置太难找。', '短评打分': 3}
{'短评内容': '已入住三人间。离地铁站也就是15分钟，交通比较方便。房间也比较干净。满意。', '短评打分': 3}
{'短评内容': '年长的女服务员态度都很好，交通位置有点不方便', '短评打分': 5}
{'短评内容': '便宜 但是房间太小  空调不好  接线也比较费事  但总之算很便宜的', '短评打分': 1}
{'短评内容': '星星行星星行星星行星星行星星行星星行星星行星星行', '短评打分': 5}
{'短评内容': '条件不错，服务态度好！…支持！！', '短评打分': 3}
{'短评内容': '太小，缺乏私密性，不推荐', '短评打分': 3}
{'短评内容': '很实惠，环境不错，离外滩很近，周围干净的餐馆不多，离地铁口远，网速还行。', '短评打分': 5}
{'短评内容': '酒店环境卫生还不错 前台服务也还行 交通方便 但周边几个街道感觉不怎么好 其它的也没什么不好了 总体算不错 ', '短评打分': 5}
{'短评内容': '很实惠  很适合我们学生   很干净   很值   下次还来', '短评打分': 5}
{'短评内容': '二一零房已入住', '短评打分': 3}
{'短评内容': '价格实惠。。就是地方有点偏，难找。房间小。', '短评打分': 5}
{'短评内容': '房间太小  很压抑  不知道是不是特价的都这样 还是给我们的是这样的  不过楼下土菜馆菜还不错的 很好吃也不贵', '短评打分': 1}
{'短评内容': '2楼房间有大老鼠，晚上回来吓了一大跳，换了房间，老鼠钻进隔墙的洞里了。希望店家抓挤时间灭鼠。位置还好，性价比好。', '短评打分': 1}
{'短评内容': '就是有点难找。还好带gps', '短评打分': 3}
{'短评内容': '8209，价格实惠，离外滩也不远，不过周边环境很一般。热水24小时，网络免费，就是空调不给力，吹出来的暖气，简直是暖气丝，哈哈，但也够暖和', '短评打分': 5}
{'短评内容': '酒店的位置很好！出行非常的方便！周围的环境很好，晚上睡觉很安静。就是洗澡的热水要放好一会儿才有热水来。热水的淋浴头出水的方式不能够调，水流不太舒服。', '短评打分': 5}
{'短评内容': '設施比較舊，但是價格蠻實惠的。注重細節的便宜就不要選擇了。', '短评打分': 5}
{'短评内容': '适合背包客，小2口 看外滩 陆家嘴金融街 上交所，金融学者必去之所， ，， 南京路步行街 人民广场 豫园 城隍庙购物街 小吃 娱乐之所。我5天时间三天半在豫园玩 很不错，对住宿没啥要求的', '短评打分': 5}
{'短评内容': '设施比较差，有点旧 单人间的洗澡也不是很好', '短评打分': 1}
{'短评内容': '服务很差，房间里茶包什么的都收费！房间很破，电路坏了还让我很麻烦的换房\n隔音不好。', '短评打分': 1}
{'短评内容': '8202的床要弄下啊 一边是悬空的！！！', '短评打分': 5}
{'短评内容': '条件还不错，很卫生！交通也很方便，以后如果来上海还是会住的。', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '性价比超高，设施虽然旧了一点，但其他的方面不行！', '短评打分': 5}
{'短评内容': '价格实惠，服务到位，总体来说还不错的饿，招待还不赖', '短评打分': 5}
{'短评内容': '不知道为什么每次住的都不一样，每家为波差异性很大，不想连锁那样', '短评打分': 5}
{'短评内容': '性价格比高，服务质量也不错，以后会再住，环境还好。', '短评打分': 5}
{'短评内容': '还行，', '短评打分': 3}
{'短评内容': '酒店服务态度很不错，交通很方便，到外滩只有一公里多，去南京路也不到三公里', '短评打分': 3}
{'短评内容': '为波宾馆房间清洁,设施完善,服务热情,就是离地铁站远些.', '短评打分': 5}
{'短评内容': '宾馆是老式楼房，在世博期间这个价位是性价比较高的，距离外滩很近，就是周围的地方早餐没有办法解决，购买东西有小的制约。', '短评打分': 5}
{'短评内容': '卫生、服务、设施各方面比较一般,价格还比较高，', '短评打分': 1}
{'短评内容': ' 已住209房叶德明谢谢', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置不好找，设施也一般。', '短评打分': 5}
{'短评内容': '入住舒适，交通方便，服务满意，以后还来，非常感谢', '短评打分': 5}
{'短评内容': '位置很好，酒店附近也比较安静，总之还可以。', '短评打分': 5}
{'短评内容': '这个性价比也就这样了，早上起来隔音比较差，有点吵', '短评打分': 5}
{'短评内容': '虽然定了这家酒店，但是却没有住到。所以对这家酒店没有什么了解', '短评打分': 1}
{'短评内容': '离外滩近   世博远', '短评打分': 3}
{'短评内容': '因为是世博的原因   只能定到这个酒店了    距离世博还是比较远的   不过跟外滩到是挺近的  ', '短评打分': 5}
{'短评内容': '性价比还行去世博方便逛南京路也方便', '短评打分': 5}
{'短评内容': '性价比还不错吧，酒店位置还可以，交通方便，周围吃的也方便，服务员态度和蔼可亲', '短评打分': 5}
{'短评内容': '酒店位置还好，但整体环境一般，如不是赶在特别时期，不建议入住。', '短评打分': 1}
{'短评内容': '性价比比较高，房间很干净，设施还算可以，服务比较好，住着比较舒适', '短评打分': 5}
{'短评内容': '离公交站不远，离地铁站走路10分钟以上，而且比较难找', '短评打分': 1}
{'短评内容': '服务人员态度不错.位置还不错就是周边比较偏，用餐不方便.因为世博期间所以房间能订上就不错.如果不在世博期间这家酒店不太值得推荐.', '短评打分': 5}
{'短评内容': '酒店的服务还不错，位置也好挺方便出行的.房间住起来也比较舒适.不过就是卫生和硬件条件略差了一些.其它各方面都不错.', '短评打分': 5}
{'短评内容': '设施很陈旧，服务态度还行，位置的话算是比较好找的，但是酒店的价格和里面设施比的话感觉价格还是很贵了，很一般的酒店，设施方面真的是很陈旧了。', '短评打分': 1}
{'短评内容': '主要优点是便宜，其他一般', '短评打分': 5}
{'短评内容': '不错,值得推荐', '短评打分': 5}
{'短评内容': '离外滩和南京路很近，去世博也用不了多长时间，位置很好。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '51的临时加价让满意度大打折扣，如果这样就应该在预约时说明。外滩店没有POS机，交费不方便。无奈下办了会员卡，能够8.5折优惠。但是就算在选择，也会慎重考虑了。', '短评打分': 1}
{'短评内容': '酒店的性价比不错，交通便利！', '短评打分': 5}
{'短评内容': '离外滩挺近的，就是位置不是很明显。总体来说不错。', '短评打分': 5}
{'短评内容': '位置不是很好，还没有停车场，都没有地方停车', '短评打分': 1}
