{'descr': '非常好，离医大很近', 'star': 5}
{'descr': '早上有些吵,連基本飲水都要用買的,有些小氣', 'star': 3}
{'descr': '位置很好找，条件都不错,一直都比较喜欢锦江之星的住宿条件。下次出差还会入住', 'star': 5}
{'descr': '还不错，离中心很近，卫生也不错。，，，，，，，，，', 'star': 5}
{'descr': '房间不错,比较大.就是临街的有点吵', 'star': 3}
{'descr': '酒店服务不错，房间里边有点小，卫生间不错，床还算舒服！', 'star': 3}
{'descr': '刚进房间的时候有一股很重的味道，可能是房间刚刚打扫的缘故。早餐的品种很少，餐厅也小，可能是和这家店的规模成正比吧。其他地方都还可以。下次再去温州可能会考虑换个地方住。', 'star': 1}
{'descr': '性价比高，早餐是免费的，也挺不错，就在机场大巴旁边，推荐。', 'star': 5}
{'descr': '宾馆还不错 很干净舒适', 'star': 3}
{'descr': '交通比较方便  环境还行   卫生比较干净   ', 'star': 5}
{'descr': '不错，干净舒适环保，地段也不错，对面是妙果寺，只是楼下是Ktv，晚上有点吵。', 'star': 3}
{'descr': '住过不止一天，~~~~~~~~~~~~~', 'star': 5}
{'descr': '尽管有段不愉快的经历，不过还是觉得相信他。', 'star': 5}
{'descr': '此宾馆价钱较合理.明亮舒适.安静', 'star': 3}
{'descr': '环境不错  位置也好   大床房里的被子小了点  两个人盖不够大', 'star': 3}
{'descr': '挺好的', 'star': 3}
{'descr': '床上用品很舒适 就是靠的街面 晚上吵得简直睡不着觉  早餐也没有上次去了的另外一家锦江的丰富', 'star': 5}
{'descr': '住宿条件 服务质量都很好\n价格也很公道\n订房方便\n就是为什么早餐只是单人的\n', 'star': 5}
{'descr': '酒店很好，卫生环境不错。距离机场大巴步行只要五六分钟。', 'star': 5}
{'descr': '住宿条件还好，价格也合适\n同样还是网络不行', 'star': 5}
{'descr': '价格不贵，交通也很方便，房间比较干净，但只提供一人早餐，不太合理', 'star': 5}
{'descr': '在妙果寺的交通还算便利，只是店面有点小，差的找不到', 'star': 5}
{'descr': '这个价格算不错了，就是双人间只提供单早不太理解', 'star': 5}
{'descr': ' 酒店很干净，单人房也挺大，地段也好，服务也很不错。就是靠路的房间有点吵。', 'star': 3}
{'descr': ' 房间很暖和  就是订的双人间  早餐只有一位是免费的  很失望  ', 'star': 5}
{'descr': '酒店很好，就是周围吃饭地方要走很远才有', 'star': 3}
{'descr': '  服务较好 条件也可以', 'star': 3}
{'descr': '房间很干净，服务员态度也很好，离火车站很近，逛街也很方便，走20分钟就到了。很不错。', 'star': 5}
{'descr': '酒店的住宿环境非常好，也非常干净，前台的服务态度也非常好', 'star': 3}
{'descr': '非常非常一般酒店！不值得这个价格！锦江之星的价格，如家的设施！', 'star': 1}
{'descr': '＋房间很冷，床小，隔音效果也不是很好…', 'star': 3}
{'descr': '还不错', 'star': 3}
{'descr': '订的是普通大创房，没比上次住的特价房强哪去。房间整面墙都发霉了，要求调换房间，服务员生硬的回答没有了，要的话就只有价格更高的房间。。。隔音效果也不好。早上结账的时候刷卡机还坏了，现到周围取得钱。。总之，各种困扰。', 'star': 1}
{'descr': '挺不错的，价格可以接受,下次还会选择，支持', 'star': 5}
{'descr': '太一般了。非常不值得推荐。出差过去想观光一下的可以去住。', 'star': 1}
{'descr': '服务态度不错，环境也不错，卫生条件还挺好，价格适中！', 'star': 3}
{'descr': '之前先上网看了一下其他网友的评价,有说没有窗户的房间,先跟前台提出来避免了,进房间之后发现一些网友提到的房间小的问题应验了,哇塞!是真的小呀,小到进门是厕所,房间就够放张床的大小,刚进去好失望.又有听说一次性坐便套要收费,因而也没敢用又省了点银子,卫生条件还可以的,就是被太薄,对喽还有人说隔音不好,恩是有点,我那房间位置还成靠近里面挨着走廊没有那么大的噪音,不过在走廊里走路的时候听见房间里有声音传', 'star': 5}
{'descr': '强烈建议重新装修，味道不是很好，入住的时候一定要看一下房，免得让你住的是次房', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '酒店比较简单，普通大床房面积较小，没有一次性拖鞋。厕所的洗澡水不能很好排除，有积水。', 'star': 1}
{'descr': '酒店环境还好，房间舒适度可以，酒店位置周围有吃饭的，很方便。\r\n', 'star': 5}
{'descr': '酒店位置不错，前台服务较好，客房服务人员做清洁方面还需要加强。总体来说性价比不错。', 'star': 5}
{'descr': '酒店干净,价格实惠,位置在市中心,适合工薪消费.', 'star': 3}
{'descr': '没有窗户，不好。有种被骗的感觉。大家入住之前，请先看房！', 'star': 3}
{'descr': '地理位置不错，就是房间小了点，特别是没有桌子有些不美。', 'star': 3}
{'descr': '房间不大，但是就地理位置和价格来说也还可以。我从沈阳站不行到这里，大约不到20分钟，感觉还是不错的。', 'star': 5}
{'descr': '位置还行  设施有点脏  下水管道还会堵\r\n晚上要加床被子都没有', 'star': 1}
{'descr': '房间比较旧，但是对于这个价格来说，可以将就了，感觉一次性拖鞋的质量非常差，就是一张薄薄的纸。。。', 'star': 5}
{'descr': '感觉床单床被很多天未洗，使客户感觉不舒适。', 'star': 5}
{'descr': '房间比较小，卫生还可以的。不过没有早餐的，而且电话收费很贵，打了几分钟市话，居然收了5元钱，说是0.2元一分钟', 'star': 3}
{'descr': '房间很小，卫生还不错，不过没有早餐的，这样的性价比差了一点。而且居然没有叫车服务的。', 'star': 1}
{'descr': '房间很小，卫生还不错，不过没有早餐的，这样的性价比差了一点。而且居然没有叫车服务的。', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '交通方便，环境一般，性价比还是不错的。。。', 'star': 5}
{'descr': '网络上不了，只会往网通身上推卸责任，跟总台交涉2次才派网管员进房间协助。插座布置不合理，卫生间破败，排水不畅，喷淋头接口是漏水的。除了靠近沈阳站，一无是处', 'star': 1}
{'descr': '性价比高，干净卫生！在温州这个地方，很难得了。', 'star': 5}
{'descr': '位置不错，但环境较闹，尤其是靠马路的房间有噪声。服务可，卫生较好，干净。适合驴友歇脚。此外，没有车位，泊车不便。', 'star': 5}
{'descr': '没有窗户', 'star': 5}
{'descr': '，不错。位置好，方便，干净', 'star': 5}
{'descr': '价格实惠，条件不错，早餐不好吃', 'star': 5}
{'descr': '还不错，房间很干净，服务态度也很不错，就是电梯里有点臭', 'star': 5}
{'descr': '该宾馆性价比适中,服务态度还可以。', 'star': 5}
{'descr': '网络预订成功，晚上11点多下飞机过去，他们说没有收到预订，没有房间了，只能大半夜在异乡自己寻找其他酒店入住，晕死，今时今日这样的服务态度怎么行呢？！', 'star': 1}
{'descr': '希望能够提高舒适度！提高住宿电用设施质量！建议安装中央空调！', 'star': 5}
{'descr': '还可以.....................', 'star': 5}
{'descr': '位置不错。在新城站坐公交能直接到妙果寺，下了车对面就是。不过，是锦江之星旅馆！门面小的有点让人惊讶。。。。。。入住登记的时候服务员态度很不好。。。。。。不过后来晚上从外面回来后的貌似不是服务员是经理什么的，一见到就马上笑脸如花地说晚上好。感觉房间不是很干净。而且挺小的。。。。一大早对面的马路上就有人用很响的麦克风唱歌。。。。。。怪郁闷的。。。。女儿都没睡好。。。。下次应该不会再住了。性价比很低。', 'star': 1}
{'descr': '店面比较小。', 'star': 5}
{'descr': '性价比不高，房间有点太小，配套设施也没有', 'star': 1}
{'descr': '沿街的房间比较吵，不过199块的价格还是合理的', 'star': 5}
{'descr': '很安静。感觉就是清净。不错的', 'star': 3}
{'descr': '临街的房间，非常吵，房间有很多发霉的印记。没有桌子，上网只能趴在凳子上。', 'star': 1}
{'descr': '恩安静，在静安寺旁边。不错的地理。', 'star': 5}
{'descr': '房间比较干净 服务还不错 值得一提的是周边环境特别不错 有一座小山和寺庙在店的对面 但是自助早餐个人感觉花样相对少了点 只有酸奶 没有牛奶提供', 'star': 5}
{'descr': '位置和周围环境不错，就是房间的隔音效果不好', 'star': 3}
{'descr': '门面比较小，但舒适度还可以，价格有点高', 'star': 5}
{'descr': '房间隔音效果不好', 'star': 1}
{'descr': '房间很小，服务也一般了。比起宁波、嘉兴等地的不行', 'star': 5}
{'descr': '位置很好！酒店的马桶一次性垫竟然是收费的', 'star': 5}
{'descr': '条件还可以，宽带很好用，就是房间有点暗，通风不好！\r\n推荐！', 'star': 3}
{'descr': '相对其他同等规模城市的锦江之星,价格偏高.', 'star': 5}
{'descr': '房间有点暗，其它还是不错的，经济实惠！！', 'star': 5}
{'descr': '房间有点小', 'star': 5}
{'descr': '隔音很不理想', 'star': 1}
{'descr': '还可以', 'star': 5}
{'descr': '对面就是寺庙，还有个佛塔，不错不错', 'star': 5}
{'descr': '维持了锦江的一贯水准，性价比不高，凑合着住吧。', 'star': 5}
{'descr': '周围环境不错，对面就是妙果寺，吃饭也方便，步行10分中到五马街，不靠马路的房间很安静，前台服务也比较热情，还会入住。', 'star': 5}
{'descr': '服务很好，位置有点偏。', 'star': 5}
{'descr': '就是早点品种太少了', 'star': 1}
{'descr': '还可以啊。比较干净', 'star': 5}
{'descr': '当地没什么好的酒店，要不很贵，要不很差，只能选这家，虽然在经济型里算贵的，但在温州这鸟地方没办法。', 'star': 5}
{'descr': '酒店还不错，离温州五马步行街比较近，服务员比较热情的', 'star': 3}
{'descr': '酒店卫生不错，态度好', 'star': 3}
{'descr': '酒店的位置还不错的，房间比较干净，就是有肥皂，没有沐浴液，电吹风机需要去前台借的，但是总体上还可以的', 'star': 5}
{'descr': '早餐很好...酒店位置十分便利..', 'star': 5}
{'descr': '地理位置其实在温州市区不算很远，对于外地来的人，这个地址已经算不错了。周边交通方便，风景还不错，对面就是寺庙。西边就是西站。东边就是闹市区离五马街也不算很远。其他没什么缺点。就是我的枕套有斑迹，清洁房间的人员每看仔细。第二天还是没换，只能反着用，有待改进。其他都不错，住的舒适，虽然门面不大，但是经济实惠。安静。', 'star': 5}
{'descr': '服务态度不错，房间安静，不错！', 'star': 3}
{'descr': '服务不错，提出换房间安排的速度很快！', 'star': 5}
{'descr': '酒店条件还不错,就是快捷酒店,比较适合出差的时候住,位置也挺方便,而且价格便宜.', 'star': 3}
{'descr': '规模比较小，不如其他的锦江之星，总体感觉不是很好\r\n', 'star': 1}
{'descr': '我觉得这家酒店还不错，出行是很方便的，房间的卫生和设施也还可以，服务也不错，我觉得这家酒店的性价比是比较高的 值得推荐', 'star': 3}
{'descr': '最好两点\r\n1. 距离我公干的地方非常近\r\n2. 早餐相当实惠，核算，且美味', 'star': 5}
{'descr': '锦江之星酒店可以提供客人早餐服务,比其它连锁酒店要好.另外就是酒店对面有一景点所以出游还算方便.也位于市中心.乘公交都挺方便.总体感觉挺好的一家酒店', 'star': 3}
{'descr': '这家酒店里面房间内没有有偿消费品，有点不方便，枕头不是很舒服。单人床只有1.5米 感觉不够大。', 'star': 5}
{'descr': '整体感觉酒店还是不错的,很干净舒适；性价比也不错；就是位置不是特别好,但还是值得推荐一下的酒店；', 'star': 3}
{'descr': '酒店的内部环境还可以，但停车很不方便。下次去温州会选择别的酒店看看', 'star': 1}
{'descr': '房间比较干净，服务也不错，而且酒店位置也挺方便，值得推荐 ', 'star': 5}
