{'descr': '没？有成功', 'star': 2}
{'descr': '这店比较隐秘，让我整整找了1小时。离玄武湖，地铁1号线还是有一定距离的。跑了我累坏了。整体来说一般般把 。', 'star': 5}
{'descr': '房间还是挺大的，就是床有点硬呀。。。电视收到的频道不是很多貌似！', 'star': 5}
{'descr': '挺好的 服务不错 下次还会继续入住 比较安静 很好', 'star': 5}
{'descr': '位置还可以靠近湖南路，装修布置一般，有点旧，隔音一般，晚上十二点还能听到马路上的声音。另外管理不规范，小姐卡片到处塞，最出奇的是还能听到小姐在隔壁的叫声。。。下次不会去住了', 'star': 1}
{'descr': '装修蛮旧的，离湖南路也不算近，总体一般吧…', 'star': 3}
{'descr': '位置还算好，客房环境卫生还可以，就是酒店门前环境因施工改造有点乱、脏。', 'star': 5}
{'descr': '位置不错，转过去就是湖南路商业步行街', 'star': 3}
{'descr': '环境很不错 地理位置也很好 吃喝玩都有 就是洗澡的热水晚上很冷 白天比较热..', 'star': 5}
{'descr': '地点不错，但是房间偏小，楼道一直很脏，似乎总在搞土建。', 'star': 5}
{'descr': '还不错，地理位置好', 'star': 3}
{'descr': '酒店的地理位置一般，不算特别方便，但吃、行算是可以，\n地处南京闹市区，距离湖南路特别近，喜欢民国建筑群的朋友到颐和园路也不远。\n交通没有地铁直达，但公交很多。\n我定的是大床房B，有窗，没有景致。\n房间面积可以，但厕所布局不合理，尤其马桶和隔板距离太近，不方便。\n高层的水流不大，也许不是通病。\n还有就是，最大的问题，隔音不好。\n对得起价格，还可以的酒店。', 'star': 5}
{'descr': '还不错的，门口吃饭出行还挺方便的。推荐大家居住。只是6楼的卫生需要改善。', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '房间有点小，其他还行，遗憾的是没有早餐提供', 'star': 5}
{'descr': '价格还比较便宜，设施比较齐全，地理位置比较不错，就是房间太小，大厅和楼道某些地方有些破旧点，比较冷清', 'star': 5}
{'descr': '地理位置很好，出游很方便~不错，靠近狮子桥美食街和玄武湖', 'star': 5}
{'descr': '挺干净的,不错', 'star': 3}
{'descr': '酒店的设施跟房间环境还不错，不过就是地方和招牌不是太显眼。', 'star': 5}
{'descr': '交通方便，房间很安静，设置很好，网速很快,', 'star': 5}
{'descr': '离宏三很近，只是去的时候在装修，外部环境不怎么样。客房感觉简陋了些。但商务够了', 'star': 5}
{'descr': '空调打不热，早上都没热水的，不过房间还算大的，其他都还好的，前台服务不怎么样', 'star': 5}
{'descr': '位置还不错，新装修的门面也很大，服务也很周到，不过内部还是零乱了一些，总体还是不错的', 'star': 5}
{'descr': '位置比较方便，但是没有停车场，前台的服务质量很差', 'star': 1}
{'descr': '该店工作人员态度极其恶劣，是我从没见过的，不知道南京人是不是天生就是这样的坏脾气。不去为妙', 'star': 1}
{'descr': '服务态度挺好，挺干净的。就是卫生间的地面有些滑。物有所值', 'star': 5}
{'descr': ' 环境不错，但离地铁站还是有点小距离的…', 'star': 3}
{'descr': '很不錯價格非常合理.房間也挺好.就是洗手間太小了.燈光也太暗了.', 'star': 3}
{'descr': '本格林店房间过于简单，还不如如家温馨。', 'star': 3}
{'descr': '还行', 'star': 3}
{'descr': '位置比较好,交通很方便,但是环境比较差,服务态度不好,还没有停车位', 'star': 1}
{'descr': '交通很好,比较便利,但是环境比较差,没有停车位', 'star': 1}
{'descr': '房间很大 感觉很空旷、冷清 最不好的就是空调，一点也感觉不到，害得我都感冒了！', 'star': 1}
{'descr': '快捷酒店反正就那样的吧...還算可以吧.', 'star': 5}
{'descr': '100fen..jiushijiageguiledian', 'star': 5}
{'descr': '前台的服务态度不是很好,房间还可以,没有停车场,不好停车', 'star': 5}
{'descr': '最糟糕的酒店，简直是对格林豪泰品牌的侮辱。\n1.酒店装修，走道没有任何提示和防护。危险，脏乱差，就像垃圾堆一样。\n2.酒店每口好像是被炸弹轰炸过一样的\n3.前台好像是被人家虐过一样。态度不能太差了。\n4.绝对不会再次入住。\n5.没有早餐，而且前台还说的理直气壮。', 'star': 1}
{'descr': '晚上九点左右水不热', 'star': 3}
{'descr': '挺干净的', 'star': 3}
{'descr': '环境不错…', 'star': 3}
{'descr': '隔音很差,半夜被走廊上的声音吵醒,晚上没睡.', 'star': 1}
{'descr': '还可以', 'star': 3}
{'descr': '交通非常便利，到各个方向的公交线路都有。离厦门大学、南普陀寺、胡里山炮台都很近。环境安静。标准间还是一个大床一个小床，如果能有同样尺寸床的标间可以选择就更好了', 'star': 5}
{'descr': '在这里一共住了三天，服务挺好，总之旅游的话是个好选择。', 'star': 5}
{'descr': '酒店在中山路和厦大之间，其实叫厦大店还是有一点牵强。床很舒服，厕所比较旧，洗澡水一般，不过还算是满意。离最近的brt有一些距离，也还可以。', 'star': 5}
{'descr': '房章较大，且很干净，下次到厦门大学来还会住这儿。', 'star': 5}
{'descr': '服务态度很不错，就是隔壁环境有点差，靠近菜场，比较乱。', 'star': 5}
{'descr': '酒店附近交通便利，每日房间清理很干净。唯一美中不足的就是附近施工的工地噪音偏大。', 'star': 5}
{'descr': '很干净住的很舒服', 'star': 3}
{'descr': '交通方便，就是热水有时候不是很大。早餐很不错。', 'star': 5}
{'descr': '酒店地理位置不错，离厦大近。酒店房间卫生干净。', 'star': 5}
{'descr': '房间较小，但功能齐全！建议把电视往中间调整，电视是斜的看的不舒服。卫生间淋浴没隔断，洗个澡弄的水到处是！', 'star': 5}
{'descr': '除了位置，说实话没有什么好的地方，不太推荐，不是没地方住，我不会再去住。', 'star': 1}
{'descr': '满干净的，就是隔音效果不好，晚上和早晨都比较吵', 'star': 5}
{'descr': '大床房房间挺大，就是电视不是数字的，设备设施有点单调。。', 'star': 5}
{'descr': '一如既往的非常好，值得入住，地段方便，出行也很方便', 'star': 5}
{'descr': '卫生不错 交通方便 就是隔壁的人说话不关门 吵得一B', 'star': 5}
{'descr': '环境不错，房间很干净，总体感觉不错，值得推荐', 'star': 5}
{'descr': '锦江之星厦大店干净实惠，最主要是交通出行方便', 'star': 3}
{'descr': '房间环境很舒适温馨，公交出入也方便。', 'star': 3}
{'descr': '位置还不错，公交车门口就有。到南普陀和厦门大学比较方便~~但是如果要去机场，那就比较远了。还是比较推荐的。', 'star': 5}
{'descr': '酒店非常干净，闹中取静，出门就是公交车站非常方便…值得推荐…', 'star': 3}
{'descr': '环境较好，所处地段安静，房间大、干净，值得推荐', 'star': 5}
{'descr': '由于航班原因，所以过夜用的，就价格来说没什么不满意的，离南普陀寺、厦大和胡里山炮台比较近，不过离机场比较远，要换车，早上坐了一下大概在一个小时20分钟左右，赶飞机的朋友要算好时间。', 'star': 5}
{'descr': '地段不错，就是离机场较远。', 'star': 3}
{'descr': '房间干净，整洁。很安静。有停车位。但大门口早上和下午4时开始有早、夜市。车辆进出较不方便。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '服务挺好的，酒店位置和设施都不错，也许是前一天在鼓浪屿上的家庭旅馆太差了，感觉这家店的床相当舒服啊，呵呵，还有更重要的是价格也不贵', 'star': 5}
{'descr': '环境卫生都还不错，地理区位还挺方便，就是设施稍稍简陋了一点点，但这价位也就能这样啦', 'star': 5}
{'descr': '还算比较干净的房间  地方有点小偏僻  不过离厦大挺近的', 'star': 5}
{'descr': '房间比较小，价格还算是合理，东西都有些旧了', 'star': 1}
{'descr': '一直都住那边，可是最近网上预订没法使用消费券了，为什么啊？', 'star': 5}
{'descr': '位于山西路，临近湖南路，闹中取静，不错的', 'star': 5}
{'descr': '挺好的，适合前往，最近房间内放了放脏毛巾的篮子，漆味有点重', 'star': 5}
{'descr': '相当不错\n非常好 \n喜欢  下次还要过来住', 'star': 5}
{'descr': '真是非常好  非常不错小 很好答案的搜啊  大 ', 'star': 5}
{'descr': '靠近步行街以及玄武湖确实很方便', 'star': 3}
{'descr': '每次入住锦江之星都很满意，不管在全国的哪个地方，他们的管理和服务都一样标准和统一。入住的是标准房，房间够大，卫生间也够大，整个房间一尘不染，非常干净，床也很软，晚上很安静，客房服务也及时、耐心、热情。第二天我把行李寄存后再去南普陀寺，前台服务很好，知道我行李里有笔记本电脑，就把我的行李放在前台后的电脑房里。只有一点没注意，就是房卡套上的公交路线没及时更新，现在27路已经不到轮渡了，从机场坐27路到', 'star': 5}
{'descr': '该酒店价高条件差  ', 'star': 3}
{'descr': '比较简洁，但很卫生，缺少早餐是个遗憾，没有专用车库', 'star': 5}
{'descr': '位置挺好的。附近有很多创意小店，厦大离得不远。很浓的学校氛围，久违了！', 'star': 5}
{'descr': '处于闹市区，但不吵。楼下对面就是真真卤味，街拐角是大同鸭肉粥，早上8点之前楼下还有早市，可以很方便的了解当地人的生活，还有2家水果店，总之非常方便。离南普陀和厦大都是步行距离。我们很满意。', 'star': 5}
{'descr': 'a little bit noisy outside', 'star': 5}
{'descr': '酒店不错，山西路这边，有点在小胡同的感觉。不过上网速度不错。', 'star': 5}
{'descr': '很舒服。很好。', 'star': 3}
{'descr': '我订的是大床房 房间环境很好 设施也很齐全 很安静 还可以免费上网\n停车也比较方便 关键是在南京的商业中心 逛街吃饭交通都很方便\n离地铁站也不是很远 下次还会选择住这里', 'star': 5}
{'descr': '感觉不错', 'star': 3}
{'descr': '可能是因为去的时候在装修，所以环境并没有很好，有点吵，而且房间布局好像有点问题', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '交通尚算便利，但是靠马路的房间比较吵。服务员态度很好。', 'star': 3}
{'descr': '酒店位置很好，就是条件有点简陋。', 'star': 5}
{'descr': '之前一次住的副楼，很安静 这次住的就有点吵 隔音效果不好', 'star': 5}
{'descr': '+设施有些旧但环境还可以', 'star': 5}
{'descr': '这个环境很好，离厦大很近的。干净整洁，服务热情。很喜欢', 'star': 5}
{'descr': '位置有点偏，小胡同里面的感觉。房间还不错，在这个价位上', 'star': 3}
{'descr': '很好很干净', 'star': 5}
{'descr': '总体还不错的，地理位置也适中，就是周围吃的不多的', 'star': 5}
{'descr': '+锦江厦大店出门去集美很方便959一部车就到啦：) ', 'star': 5}
{'descr': '住的5楼隔音效果比想象中好 ，不过刚进门就看见了一只蟑螂', 'star': 5}
{'descr': '房间比较小，但是其他的还可以,还是值得这个价钱的，而且地理位置很好', 'star': 5}
{'descr': '位置非常好~！靠近居民区，有流动集市，买吃的和日用品很方便！但价格较高，房间设施较简陋，没电吹风，刚好我们住的房间淋浴按钮坏了掉下来了，还好没影响使用的！', 'star': 5}
{'descr': 'haibuuo   haibucuo   haibucuo  ', 'star': 5}
{'descr': '离厦大和南普陀寺要走15分钟，算是闹中去静', 'star': 5}
{'descr': '客房不错,经济实惠，交通方便。周边环境一般。', 'star': 5}
{'descr': '酒店性价比不错，也很卫生，服务也还可以，挺好！', 'star': 5}
{'descr': '不错，离厦大近', 'star': 5}
{'descr': '位置还是不错的，电视台比较少，酒店只有一面镜子，梳妆打扮不方便。总体还是不错的', 'star': 3}
{'descr': '房间虽然小，但是很干净整洁，房间设施也很齐全，就是电梯不大好用', 'star': 5}
{'descr': '离厦门大学、植物园、南普陀寺、中山路都比较近，离公交站也近；而且很安静，不在主通道边。至于里面的设施、装修风格、酒店服务，一如全国其他的锦江之星连锁店，都不错。价格也适中，我们住的标间219（不含早），性价比比较高。', 'star': 5}
{'descr': '不错！位置不赖，附近有几家很有感觉的小店，而且步行到厦大蛮近的，路上还有小吃排着队伍很多的。感受曾经的学生时代。', 'star': 3}
{'descr': '酒店给予清洁阿姨的培训我个人觉得很到位，很客气礼貌的招呼，给我们一块去的朋友感到很舒服。反而前台的一些服务意识不是很强。入住当天有些不愉快的小插曲，同行朋友因个人原因需到临近派出所开身份证明，个别同志竟告知我这位朋友不能入住该锦江酒店并塞了张附近的其他酒店小卡片。汗颜啊！除了这件事，酒店的其它如位置和卫生，环境都不错，也没有像我前几天入住的如家房间房门会被塞小广告。对了，这家锦江网速是我住过的最快', 'star': 5}
{'descr': '可能是新店，环境设施都比较好，就是房间灯光不是很亮，有点太暗了，看电视很费力！', 'star': 5}
{'descr': '+环境不错', 'star': 5}
{'descr': '落下的东西   帮忙寄回了     非常感谢', 'star': 5}
{'descr': '位置还是不错的，电视台比较少，床挺大的，总体来说还可以', 'star': 5}
{'descr': '酒店只有一面镜子，梳妆打扮不方便。总体不错', 'star': 3}
{'descr': '酒店只有卫生间一面镜子，梳妆打扮不大方便。总体还不错。', 'star': 5}
{'descr': '我的是豪华标准间，确实很大，但是内饰很少了。价格不高不低，区位很好，前台的服务很好', 'star': 5}
{'descr': '离，厦大很近，门口公交车很多，交通方便，其它的方面也可以，值得推荐。', 'star': 3}
{'descr': '窗明几净，房间里一个大床一个小床，比较适合一家三口出游的需要。宾馆楼下有早市，很多水果卖。比较喜欢，下次还入住。', 'star': 5}
{'descr': '周边是当地居民区,有很多小吃店,对面有个真真卤味,太好吃了.到厦大也很方便.', 'star': 5}
{'descr': '位置很好  紧挨着湖南路商业街   吃饭  购物都不成问题   门口的车也还方便   卫生  设施都不错  ', 'star': 5}
{'descr': 'gen yiqian  yiy   yizhi lai ', 'star': 5}
{'descr': '这个酒店就一句话“相当简陋、让我回想起什么叫招待所”。\r\n首先这个酒店没有停车场，只能停在酒店门口的道路和接待大厅前面，大概能停10辆车左右，接待大厅外面是个建筑工地，酒店门口的道路上都是建筑垃圾。\r\n我住的是豪华标准间，4楼的面向北，朝中山北路的，接待大厅的电梯无法到客房，去客房的电梯在后侧，电梯厅过道内有施工用的模板隔起来的几个房间（不知道是干啥用的），到4楼后，电梯厅到客房的过道一侧设有一个', 'star': 1}
{'descr': '还可以', 'star': 5}
{'descr': '酒店的位置不错，离湖南路很近。但是房间小，房间的墙体隔音不好，隔壁房间的动静都能听到。', 'star': 3}
{'descr': '因为十一期间，238的价格感觉住南京经济型酒店有点贵，前台工作人员的服务态度一般，没什么笑容，跟后两天住上海如家享受的服务，感觉有差距。不过房间还是挺大的，地段也不错，出门就是公交站，有直达夫子庙的车。', 'star': 1}
{'descr': '服务不错，因为住的时间很短，酒店有直接去土楼的旅社，价格不错，适合短程旅行', 'star': 5}
{'descr': '  酒店位置不错,但房间隔音不好。', 'star': 5}
{'descr': '酒店的卫生不错，周围的地理环境也很好，交通方便，是不错的可以参考入住的好选择啊！', 'star': 3}
{'descr': '位置还不错，离厦大和南普陀寺很近，附近的公交站点可以去市区的很多地方，很方便，就是酒店房间装修的颜色不喜欢，有点水泥冰冷的感觉。卫生间的门设计的不合理，马桶冲完水之后过几分钟会有一个很诡异的声音发出来，一开始还吓了一跳。其他的都还不错，挺安静的，性价比不错。', 'star': 5}
{'descr': '很失望', 'star': 5}
{'descr': '干净，安静，服务好.，值得向朋友们推荐。', 'star': 5}
{'descr': '环境好，位置好！又干净，下次还来！离厦大和普陀寺很近！', 'star': 3}
{'descr': '房间一般，位置还好，价格偏贵，但是洗澡水大，蛮不错', 'star': 5}
{'descr': '＋稍微有些吵，房间蛮大', 'star': 5}
{'descr': '挺干净，交通很方便，性价比高！', 'star': 5}
{'descr': '挺干净的，地点也不错，性价比不错，值得推荐。', 'star': 5}
{'descr': '作为快捷酒店还可以吧。以后来还会 考虑住。', 'star': 5}
{'descr': '还不错 还不错  还不错  还不错   还不错', 'star': 3}
{'descr': '非常干净 环境也很好 就是锦江之星的标准  就是下公交要走一段路 虽然很近 但是路盲还是打车先认个门。。', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '位置在老城区中,方便感受厦门老城生活,附近的小店面食好吃又便宜。', 'star': 5}
{'descr': '+交通非常便捷，到各个景点都比较近，机场过来走成功大道也很方便，房间干净，舒适，很满意！', 'star': 5}
{'descr': '首先是地理位置不错交通方便，去哪里都很快捷方便。房间内的卫生也很干净，简洁。有机会来的话在次光临此店。', 'star': 5}
{'descr': '交通超级方便~~~~~~服务人员态度也超好~~~就是床太软&gt; &lt;,另外就是房间里用的杯子是一次性的,这点不太环保~~', 'star': 3}
{'descr': '酒店的交通很方便~~~~~酒店的服务人员态度也都超好的,就是房间里用的都是一次性的杯子,这点不是太环保~~~~', 'star': 3}
{'descr': '房间很干净，看起来很舒服，整洁！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '地理位置非常好，比较卫生，性价比还不错。', 'star': 5}
{'descr': '都不错，就是床上有根头发加上被套不能确定是新鲜洗过的令人有些狐疑，希望加强卫生管理。', 'star': 5}
{'descr': '环境不错，地理位置优越,朋友过来玩,住这里交通很方便,吃,玩都可以兼顾.服务也不错,卫生OK', 'star': 5}
{'descr': '非常舒适，周围公交车很方便。环境也不错~~~', 'star': 5}
{'descr': '很干净，房间床还挺大的。隔音效果也不错。。就是附近有点偏。。找了很久。。', 'star': 5}
{'descr': '到底是标准酒店服务和卫生好啊，离厦门大学就一站路 旁边是大同鸭肉粥', 'star': 5}
{'descr': '恩确实不错推荐啊~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '交通方便，房间也挺干净，就是房内不提供玻璃杯，只有一次性的杯子，比较不环保，其它都挺好的~', 'star': 5}
{'descr': '+交通很方便，房间也很干净。', 'star': 5}
{'descr': '不错。', 'star': 5}
{'descr': '地理位置挺好的，在湖南路和中山北路交口附近；设施也还不错，就是房子老了点；服务员态度很亲切；整体来说性价比较高。但是电梯使用很不方便，电梯离出入口要绕一大圈', 'star': 5}
{'descr': '环境还可以…服务也出错…', 'star': 5}
{'descr': '卫生也挺好的，设施也不错，蛮好的挺好的，值得一住', 'star': 5}
{'descr': '环境各方面都蛮一般的  而且正在施工！！！！！！！！11', 'star': 3}
{'descr': '酒店位置还不错，配置的硬件设施一般，网速很慢。', 'star': 1}
{'descr': 'very nice，环境不错，交通也方便，服务业很好，就是隔音稍差', 'star': 5}
{'descr': '哈哈哈哈\r\n下次还会再过来。熟悉了这里。', 'star': 5}
{'descr': '挺不错的干净，交通也方便', 'star': 5}
{'descr': '挺不错的，很干净，地理位置也很好，交通很方便', 'star': 5}
{'descr': '位置很好，离厦门大学及南普陀寺、海滨、轮渡都不远，坐公交很快就到。卫生、服务可以打80分，而且比较安静。不得不说的是早餐，15块钱真的很超值，都很好吃，品种比较多且有特色，希腊饼大家一定要尝一尝。', 'star': 5}
