{'短评内容': '去启东很少，没有印象了。住的估计一般。', '短评打分': 5}
{'短评内容': '酒店地理位置不错，但是很吵，而且停车不方便。 ', '短评打分': 3}
{'短评内容': '好的，女的满漂亮的，爽，好的，女的满漂亮的，爽好的，女的满漂亮的，爽', '短评打分': 5}
{'短评内容': '在启东算是不错的房间了，还是比较满意的，可以，好评', '短评打分': 5}
{'短评内容': 'caipishuang  大家来    大家来    大家来    大家来  ', '短评打分': 5}
{'短评内容': '性价比很好，空调很给力。', '短评打分': 3}
{'短评内容': '房间有点吵', '短评打分': 3}
{'短评内容': '，环境还可以', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总的来说还不错，就是住在2号楼去大堂很不方便，也没电梯，要靠爬楼梯，这点很郁闷，不过可以在3楼走通道到1号楼再坐电梯，这样就很麻烦了。其他的总的来说还不错。尤其是卫生间还有吹风机就不错，设施有点旧，不过还是满干净的。\r\n', '短评打分': 5}
{'短评内容': '酒店服务非常好，前台很好，客房服务也很好，借一个吹风筒，已经都全部借出了，但是他们很快调剂了一个过来。就是停车场位置太偏了，而且酒店前面停车也不方便，拿东西太不方便了。', '短评打分': 5}
{'短评内容': '设施比较陈旧，洗脸盆水太小，早餐空间不太宽敞，供应也有点乱。但总体来讲，还是可以住的。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '这家酒店的位置不错，在市区中心，酒店闹中取静，交通方便。房间很大，标间的床也比较宽大，客房的服务也不错，当时房内拖鞋少了一双，经过联系，服务员很快就送来了。房间内的网速也比较快。总体感觉不错，价格也比较适中。只是早餐的品种略显单调。', '短评打分': 5}
{'短评内容': '前台服务态度不好。房间阴暗较潮湿。以后不会去住。', '短评打分': 1}
{'短评内容': '房间太潮湿，被子感觉都是没有太阳晒过的，卫生间太小，水很小，排风系统不是很好', '短评打分': 5}
{'短评内容': '比较老的三星酒店，但是干净舒服值得推荐！', '短评打分': 3}
{'短评内容': '整体不错，性价比高 \r\n', '短评打分': 5}
{'短评内容': '总体感觉不错，只是20块的早餐有点价贵物不美，有些点心本该是热的，但却是冷的，我住那天的椒盐虾也是凉的，估计是前一天剩下的，而且那天的西瓜居然是坏的，有味道了。不过在县级市早餐能有这些品种还是不错的，但早餐的质量有待提高。', '短评打分': 5}
{'短评内容': '就是设施有点儿老了，比如床垫太死硬了，其它的都还挺好，网速相当快，值得称赞', '短评打分': 5}
{'短评内容': '启东市内性价比最好的酒店', '短评打分': 5}
{'短评内容': '性价比很好！', '短评打分': 5}
{'短评内容': '整体不错，性价比高', '短评打分': 5}
{'短评内容': '酒店说是四星级的。。太老了。房间弯弯曲曲的。。行李都不好拿。。郁闷呢。。。', '短评打分': 1}
{'短评内容': '其他的多可以，就是房间号有店不太好理解，尤其是第一次去这家酒店的顾客，缺少必要的说明', '短评打分': 5}
{'短评内容': '就是便宜，服务一般', '短评打分': 1}
{'短评内容': '适合出差时的住宿', '短评打分': 5}
{'短评内容': '在启东这样的县级市区，属于还可以住的地方', '短评打分': 5}
{'短评内容': '比较一般', '短评打分': 3}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '总体来说不错的酒店，卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错', '短评打分': 3}
{'短评内容': '床不是很软', '短评打分': 5}
{'短评内容': '卫生条件一般，设施太陈旧，地理位置还可以，服务不错很热情周到，性价比一般。', '短评打分': 3}
{'短评内容': '卫生间的热水的龙头没能好，用不了，设施太陈旧了，我交了钱，晚上没住，就换别的酒店了', '短评打分': 3}
{'短评内容': '空调很差！太冷！', '短评打分': 5}
{'短评内容': '性价比一般，条件许可的话不推弄荐', '短评打分': 1}
{'短评内容': '不错！就是有点吵！', '短评打分': 5}
{'短评内容': '总体觉得性价比蛮高的。', '短评打分': 5}
{'短评内容': '房间像迷宫,不好找,房间网络线大部分断线', '短评打分': 1}
{'短评内容': '酒店位置很好. 就是酒店里面房间不好找..像地道战一样的. 头一次去离开房间要迷路的.', '短评打分': 5}
{'短评内容': '餐厅服务员可亲。前台接待态度和蔼。', '短评打分': 5}
{'短评内容': '这个价格，超值之选\r\n', '短评打分': 5}
{'短评内容': '启东室有两家比较好的酒店,此店是其一.处于启东市繁华路段,餐厅还可以,人均50-100元可吃好.', '短评打分': 3}
{'短评内容': '适合商旅', '短评打分': 5}
{'短评内容': '设施比较陈旧，房间还比较干净，位置还不错，外出方便，价格实惠', '短评打分': 3}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '整体感觉还可以吧；就是房间面积太小了,住的不是很舒适；硬件设施有点陈旧；不过位置还是很不错的,出行购物,交通都很方便的；', '短评打分': 5}
{'短评内容': '酒店里面比乱饶了半天才找到自己住的房间,房间里面还是比较好的,各方面还是比较满意的.', '短评打分': 5}
{'短评内容': '早餐不是很好，具体的不记得了，就是当时感觉不是很方便来着，环境硬件设施都还不错，位置应该是最好的位置了。在启东来讲，价格也非常的优惠。值得推荐的酒店类型。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都都很不错的,位置出行交通也很方便,价格优惠,值得推荐.', '短评打分': 5}
{'短评内容': '12月份连空调都不开，冷死了！价格算便宜，但住的B楼，要走好久！将就吧！', '短评打分': 5}
{'短评内容': '酒店的设施不怎么好，房间也不干净，和4星级不匹配，价格还算是优惠', '短评打分': 1}
{'短评内容': '该酒店不错，位置很好，比较舒适', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
