{'descr': '位置好 服务好 服务快 都不错', 'star': 5}
{'descr': '酒店服务以及设施卫生都还不错，在旅游黄金季节里价格也还适中。我住的大床房床很大很舒适，唯一的不足是交通不是很方便', 'star': 5}
{'descr': '怎么说呢、我不知道要不要推荐、环境很好、设施很好、大床房、很大、就是地理位置不是很好、在机场路、不是很繁华、其他都很好。', 'star': 5}
{'descr': '干静', 'star': 3}
{'descr': '酒店硬件软件都相当不错，价格也合理，前台以及楼层服务都不错，就是杭州有些打车不方便，酒店稍微有点远，总体挺满意的。', 'star': 5}
{'descr': '还行吧，五一期间酒店不发了订，这家一般住住还可以', 'star': 5}
{'descr': ' 贵，偏远，钱花的不值，卫生不好，床单像没洗过一样…挺脏的', 'star': 3}
{'descr': '服务还可以', 'star': 3}
{'descr': '还不错 房间不小 也挺干净 就是有点偏僻 不好找 ', 'star': 5}
{'descr': '总体还不错，不过，就个人感觉性价比不算很高。', 'star': 5}
{'descr': '酒店房间很漂亮，虽然不大但是什么都不缺，吃饭很方便，对面就有饭店，饭也不贵，以后有机会再来杭州还会来这里的…谢谢，好评', 'star': 3}
{'descr': '舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服', 'star': 5}
{'descr': '基本满意。', 'star': 3}
{'descr': '住了几次，还蛮舒服的，下次还会入住。床再大点就更好了', 'star': 5}
{'descr': '酒店设施陈旧，各方面一般化，睡一觉无所谓，价格便宜些', 'star': 1}
{'descr': '总体感觉不错，卫生服务都挺好的，由于附近比较空旷相对感觉，倒是有点度假的感觉^_^，唯一不足是住的那间面向马路那边，声音有点吵，不过还可以接受。。。', 'star': 5}
{'descr': '差劲.卫生间刺鼻的尿骚味', 'star': 3}
{'descr': '房间挺干净的，价格也合适，最重要的，我超时了还帮我预留房间，赞一个！', 'star': 5}
{'descr': '卫生还行。 就是交通没想象中的方便。另外洗手间的磨砂玻璃的设置也有点不好', 'star': 5}
{'descr': '酒店到西湖交通很方便，很干净卫生，服务态度也很好，有机会会再去的~', 'star': 5}
{'descr': '还行吧，经济实惠~~~~~~~~~~~~~~~~~~~·', 'star': 5}
{'descr': ' 房间很大 说是双人床 其实每张单人床都可以睡2个人 很便宜也干净 ', 'star': 3}
{'descr': '去了很多次了。。。很不错。。。房间大，也很干净。。。感觉很舒适。。。', 'star': 5}
{'descr': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '這酒店房間 滿大的。 是我一路上住的性價比最高的房間，下次如去那呆的時間多，肯定再回去的。', 'star': 5}
{'descr': '价格实惠，房间宽敞。但是电视都需要服务员来调试，很不方便，临街有点吵闹。', 'star': 5}
{'descr': '很好！住了很多次了，到杭州基本上住这里！', 'star': 5}
{'descr': '去杭州一直入住的酒店，性价比不错，工作人员都很友善', 'star': 5}
{'descr': '大!舒适!干净!温馨!给力!有机会,再去!', 'star': 5}
{'descr': '，不知怎么就没有98元的房了~每次都住这里，非常不错，都快成我的第二个家了~', 'star': 5}
{'descr': '还比较经济实惠。就是地方偏了点。边上又在修路，交通不是很方便。', 'star': 5}
{'descr': '呼和浩特海拉尔大街速8酒店很好很喜欢，房间性价比不错。', 'star': 5}
{'descr': '呼和浩特海拉尔大街速8酒店很好很喜欢，下次还会入住。', 'star': 5}
{'descr': '呼和浩特海拉尔大街速8酒店很好很喜欢，我和朋友都很满意。', 'star': 5}
{'descr': '呼和浩特海拉尔大街速8酒店很好很舒服，我很喜欢。', 'star': 5}
{'descr': '这家店的环境很好，面积也很大，要是有早餐就更好了，还有网线要是能提供长的就好了！下次还会继续入住', 'star': 5}
{'descr': '真不错，这个价位确实很实惠了！就是卫生间有点旧了。 ', 'star': 5}
{'descr': '    卫生还可以。服务态度也不错，房间设施较少，个人觉得标间应该有个双人沙发，不然就只能坐床上了。隔音不好，能很清楚的听见隔壁的声音。', 'star': 5}
{'descr': '很满意…不错', 'star': 3}
{'descr': '空调几乎不起作用,晚上被冻醒N次,被子实在太薄了,向总台要求加被子,总台回复没有被子,无语.', 'star': 3}
{'descr': '环境很好！服务也不错！以后还会作为首选！', 'star': 5}
{'descr': '房间很大，被单颜色很好看，进去房间是很温馨的感觉。物美价廉性价比高，一个大床一个小床感觉很不错，虽然用不到，用来放衣服了，哈哈。\n整体感觉不错，卫生间也挺大。喜欢。', 'star': 5}
{'descr': '价格决定品质.酒店床很潮.位置很一般,打车到西湖大概25块左右.', 'star': 1}
{'descr': '酒店较舒适，室内温度和卫生挺好，性价比很高，很适合旅行入住。', 'star': 3}
{'descr': '挺好的，服务很到位，也很及时，一开始的房间窗子没有锁，要求换房，服务人员很热情的帮忙处理了', 'star': 5}
{'descr': '这酒店挺好的。', 'star': 3}
{'descr': '酒店在马路边，如果住靠马路的房间还是有点吵的，是一条主干道，半夜还是有车经过的~\n房间比较大~设施都挺好~门口有公交车可以直接到西湖和武林广场~离正在修的地铁站也比较近~等地铁修好了估计更方便~', 'star': 5}
{'descr': '环境不错，房间很暖和，服务员也很热情，感觉很好', 'star': 5}
{'descr': '算一算，三个月来已经在这里住了23天了~都快成自己呼市的家了~不用多说，总之非常好啦~', 'star': 5}
{'descr': '每次回到呼市都住这里~太棒了~价钱还便宜~', 'star': 5}
{'descr': '总体感觉非常不错~性价比极高~每次男朋友来都住这~服务员都认识我们了~', 'star': 5}
{'descr': '一如既往的入住,都快成了第二个家了~不知能不能办个包年~哈哈~', 'star': 5}
{'descr': '房间隔音差点 别的都还行 位置也不错 离市中心和火车站都不远 ', 'star': 5}
{'descr': '出差办事都喜欢住这家酒店，不错以后还会光顾', 'star': 5}
{'descr': '总体都不错，网速也可以，就是隔音比较差，房间的空调有点问题', 'star': 5}
{'descr': '酒店性价比很高，咋闹了。就评论这几句，后面是凑字的！！！！！', 'star': 5}
{'descr': '入住感觉不错，从火车站打车就用8元，向服务员要求上宽带，她竟然给提供了，比网上提供的要超值。在这里休息了一天，感觉不错。希望下次来还下榻此店。', 'star': 5}
{'descr': '还是很不错的~  特价房很合算~  设施也不错啊~ \n', 'star': 5}
{'descr': '非常不错的环境，价格也比较合理，唯一的缺点是没有空调。服务也不错。', 'star': 5}
{'descr': '酒店位置比较好找,卫生干净!但房间有点冷!!!!有空调!', 'star': 3}
{'descr': 'very good. value for money', 'star': 5}
{'descr': 'bucude jiudian zhide tuijian ,zogtihai bucuo de ', 'star': 5}
{'descr': '价格很适宜，环境也很好\n服务周到，房间卫生清洁\n住所很舒适', 'star': 5}
{'descr': '酒店挺不错，优点挺多，价格便宜，房间非常大，非常干净，网速快，位置不错，热水很好，特大的落地玻璃看风景不错。\n但不足也很多，网线很短，只能窝在床边的床头柜那里上网，得弯着腰，特累。厕所非常大，但洗澡的空间很小，转身都难。床和枕头都很软，优点不适应。最不好的就是房间没暖气，有个空调根本带不起来，没有窗户，透气不好，前台服务员说有地暖，其实根本就没有，穿着一次性拖鞋走在那里很凉很凉，因为这个闹了2天肚', 'star': 1}
{'descr': '98元的价位，即便在经济型酒店中也是不可多得的。但估计这个价位不会持续的特别久了！呵呵！就酒店本身而言，总体来说还是不错的。交通便利，周围环境也很安静！性价比很高，比起其它的便捷酒店来说档次一样，但价位优惠。但也有一些小缺点。1、服务一般，尤其是前台服务！2、网线不好用，要求调换房间但态度不诚恳！其实这也是服务问题。3、夜间来了一帮小孩子，很吵闹，投诉了3次才解决。不是对孩子没有爱心，只是反映了酒', 'star': 5}
{'descr': '很不错，不赖，服务好，环境好，快来吧。。。。。。。。。', 'star': 5}
{'descr': ' 海拉尔大街的速八非常好，一切都非常不错，唯独一点房间在这样的天略微有点冷但不影响它整体的优秀。支持！强烈支持！不为奖励，真心宣传', 'star': 3}
{'descr': '第5次入住了,期待第六次住,非常不错哦~长久的选择~', 'star': 5}
{'descr': '服务态度好，干净卫生，温度适宜', 'star': 3}
{'descr': '不错，虽然没能住，给个好评吧~~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '  服务态度很好。对这次我很满意。但是有点点我不满意。我告诉总台，早上六点叫我起床，当时他们答应得很好。但是却没叫我。幸亏  没有误了飞机。  否则后果不堪设想。', 'star': 1}
{'descr': '不错不错的~很好的，值得推荐不错不错的~很好的，值得推荐', 'star': 5}
{'descr': '呵呵，很好的酒店。房间整洁干净，价格经济实惠。在此提一些建议，房间温度太低，服务质量很一般。我住的那间面积很大但一般顾客会反映房间面积偏小的问题。浴室没有洗澡时穿的塑料拖鞋，很纠结。而且也没有地巾。地理位置有点偏，但还说得过去。打扫卫生的阿姨态度很不错，应该给加工资。前台一般般！！！连住了3天，总体感觉值得推荐。\n', 'star': 5}
{'descr': '呵呵，很好的酒店。房间整洁干净，价格经济实惠。在此提一些建议，房间温度太低，服务质量很一般。我住的那间面积很大但一般顾客会反映房间面积偏小的问题。浴室没有洗澡时穿的塑料拖鞋，很纠结。而且也没有地巾。地理位置有点偏，但还说得过去。打扫卫生的阿姨态度很不错，应该给加工资。前台一般般！！！连住了3天，总体感觉值得推荐。', 'star': 5}
{'descr': '环境不错,很暖和。', 'star': 3}
{'descr': ' 挺干净满意', 'star': 3}
{'descr': '＋环境干净整洁，交通便利，就是房间有点冷暖气不是很足', 'star': 3}
{'descr': '网站很好，酒店还可以吧.住了两天，就是房间没有窗户', 'star': 5}
{'descr': '房间挺好，下次有机会还会去的，性价比超高', 'star': 5}
{'descr': '不错的酒店，不知道现在为什么大床房总是靠马路这边，记得以前的大床房还是有靠内的，大概是价格不一样吧', 'star': 5}
{'descr': '环境很好，网速不错，还可以打游戏呢。干净卫生，态度不错。', 'star': 5}
{'descr': '酒店不错，如果价格能便宜一些就更好了，下次我也会到这里入住', 'star': 5}
{'descr': ' 第二次住了，真的很不错，呵呵，如果会员办理能便宜点儿就好了，还有网速有待提高', 'star': 3}
{'descr': '有点偏，交通不是很方便呢，但是服务满好的呢', 'star': 5}
{'descr': '太舒服了，前台的MM给了个超大的房间，液晶的电视，地暖，舒服的床。没有什么比这个更享受的了！\n', 'star': 5}
{'descr': '总体来说还行……就是早晨的热水忽冷忽热……三楼的服务员服务速度太慢……', 'star': 3}
{'descr': 'VERY GOOD LOCATION. FRIENDLY N HELPFUL FRONT DESK STAFF N ROOM SERVICE STAFF. WELL WORTH THE PRICE. RECOMMEND.', 'star': 5}
{'descr': '没有衣橱，虽然环境很不错，不过电视机是受潮的，时好时坏。  房间里插座太少。也没有床头柜。。手机充电，或者放东西很不方便', 'star': 1}
{'descr': '相当干净，而且服务也很周到，对于这个价钱来说，在呼市很难找到第二家了。而且冬天住很暖和。赞一个！', 'star': 5}
{'descr': '这家酒店很好真的  离火车站真的很近而且 房间还很干净  98元的 还有网线呢  就是很好以后来呼市还是会选择这里的  24小时有热水的 ', 'star': 5}
{'descr': '价格合适,很温暖,还有免费网线,美中不足的是,和同等价位其他宾馆比,缺少沙椅和茶几，床灯', 'star': 3}
{'descr': ' 房间不错，我订的是大床房，结果前台服务员说我网上订是标准间，没有大床房，很是郁闷。', 'star': 3}
{'descr': '速8快捷酒店真的很好，98元的环境也好，也有网线，离市中心还很近，服务态度也好，这个价钱很值，以后还会再来了…', 'star': 3}
{'descr': '很干净，有自己房间的感觉，而且她们的服务态度很好，交通也方便', 'star': 5}
{'descr': '这个速8挺好的，房间挺大还有宽带上网，还是特价的，98元办会员更合适。', 'star': 5}
{'descr': '房间条件很不错，干净舒适，就是网速慢了点儿，服务态度也很好，有机会肯定还是住这儿', 'star': 3}
{'descr': '酒店服务不错，房间挺大。交通稍显不便。下次去呼和浩特还住那边，性价比极高', 'star': 5}
{'descr': '便宜，而且房间设施比较新，到火车站最好是走过去，大约是十五分钟！\n唯一的不足是我那个房间的宽带是坏的，保安也没有搞好1', 'star': 5}
{'descr': '酒店还不错，唯一让我感觉不好的是昨天入住竟然没有热水', 'star': 5}
{'descr': '有的房间晚上有点冷 空调也用不了 但服务态度很好 房间也挺干净的 交通也挺方便 总的来说不错', 'star': 5}
{'descr': '服务态度不错 就是有的房间空调用不了 晚上有点冷', 'star': 5}
{'descr': 'hao hehhaoddddddddddddddddddddddddddddddddddddddd', 'star': 5}
{'descr': '交通还算比较方便，离火车站，汽车站都不算远。房间超值。又打又采光好。服务态度和卫生还比较满意。遗憾的是早点没有，在外边小摊吃很不滋润。', 'star': 5}
{'descr': '\n每次来都入住假日之星，挺好的，服务员也很友善。', 'star': 5}
{'descr': '酒店外观整洁干净，稍微有点旧，不影响美观。里面很亮堂，分两个楼。貌似是三层吧？这个没怎么注意诶。。房间蛮大的！很宽敞，卫生间的设计也很好，又大又简洁，是淋浴，用貌似玻璃的材质隔开的，有洗浴用品的，牙刷什么的也都有。就是浴巾和毛巾...貌似差了点。我觉得酒店可以改善了，换点好的毛巾浴巾来配酒店的格调！房间有数字电视，频道多，可以点播。床蛮大的。配一次性拖鞋。整体来说，还是很不错的！138的特价大床房', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '还不错。。。。。。。。。。。。。。。。。。。                    ', 'star': 5}
{'descr': '已入住，房间不错，通透，隔音不是太好！', 'star': 3}
{'descr': '98的价格绝对超值，推荐！设施很新，卫生也很好', 'star': 5}
{'descr': '98的价位实在是太超值了，在呼和浩特的七天酒店住了几天，来到这之后发现比我住的127元/天的七天好太多了，房间很大，设施齐全而且卫生很好，从火车站坐37路几站路就到，来呼市的就到这里吧，强烈推荐！', 'star': 5}
{'descr': '价格相当合适，房间相当的大，真的实惠得不得了，但是不给多开发票，我想下次不会入住了！', 'star': 5}
{'descr': '住了好多次~还是喜欢这里，价格便宜，交通方便，总住这里真考虑是不是能办个什么年卡之类的了~哈哈', 'star': 5}
{'descr': '酒店不错  很干净', 'star': 3}
{'descr': '很不错的高性价比酒店，就是价格涨了——优惠券只可以用10元了，原来是可以用20元的。不过还是会光顾的。', 'star': 5}
{'descr': '非常好，干净整洁，服务态度好，就是隔音不好，晚上被吵起来了', 'star': 5}
{'descr': '速8连锁酒店不错，就是没有空调。如果天一再冷一点就不好住了。', 'star': 5}
{'descr': '房间不错，距离适中，火车中出来向右，乘37路公交到气象局西南路口下，速8就在对面!没有实体会员卡，想要定会员价，需要网上预定，实体卡需要购买，不管虚拟卡号还是实体卡号都只能自己使用！下次来还会住这里！', 'star': 5}
{'descr': '酒店很不错~我在杭州住过很多家~150左右的就算这家最好了！！！', 'star': 5}
{'descr': '整体不错  就是隔音效果不好~服务态度也不错。。夜晚没有服务员', 'star': 5}
{'descr': '房间大小正合适，经济实惠，还很干净，还能上网，不错的酒店，值得推荐。', 'star': 5}
{'descr': '环境真的不错 也不算太偏 门口就可以坐公交车去维多利 离车站也不远 下回去还要去这里', 'star': 5}
{'descr': '感觉很温馨，卫生还可以，能接受，总的来说不错', 'star': 5}
{'descr': '位置还行，房间很大，价格很便宜，下次还住这里', 'star': 5}
{'descr': '房间很干净，床单也很漂亮，就是浴室有点小，其他都很不错 ', 'star': 5}
{'descr': '价格便宜，环境不错.值得去住的。下次还去哦', 'star': 5}
{'descr': '酒店整体还不错，比较干净，就是隔音效果太差了，隔壁手机震动讲电话全部可以听的清楚，所以要求安静的人最好不要在人多的时候住，还有就是酒店的宣传上有早饭实际上是没有的，酒店里有一个饭店是外包的，和酒店没有关系，并且电梯还不到饭店哪一层。', 'star': 5}
{'descr': '这地方不太好打车去，房子隔音不好，不过住着很舒服的，推荐', 'star': 5}
{'descr': '房间干净整洁，性价比还不错。。。', 'star': 3}
{'descr': '环境很不错，办入住也很快，总体来说还是很满意的', 'star': 3}
{'descr': '住的是商务大床房 房间挺大的～而且床也比一般的大床房要大～房间很干净舒适～卫生间没有浴缸，但是浴室比较大～牙刷啊洗发水啊都齐全～而且我们选择了有电脑的房间，网速不错，就是没有耳机～房间里可以自己烧热水，还有空调，总之都很方便啦～唯一不好的是通风有点差～周围交通还算方便～往西湖啊银泰那边啊都有车直达～周围走不远在天城路上有很多吃东西的地方～很方便～～总之很好很满意', 'star': 5}
{'descr': '特价入住的，交通方便，离火车站3km，离机场大巴上车点3km', 'star': 5}
{'descr': '环境很好，网速快，地热，交通便利，但是，屋里没有塑胶拖鞋(洗澡不方便)，没有收费的食品什么的，还得出去自己买- -#。房间不是特别隔音。', 'star': 5}
{'descr': '离我去办事的地方挺近，比较方便,房间卫生也还可以。', 'star': 5}
{'descr': '早餐太简单了，虽然便宜，价格稍微高了点。', 'star': 5}
{'descr': '酒店位子还可以。价格比较实惠出行方便。卫生可以', 'star': 5}
{'descr': '房间还可以，就是离市中心距离远点，打车不太方便。', 'star': 5}
{'descr': '酒店很安静。。。服务比较不错。。。下次还回住', 'star': 5}
{'descr': '房间还可以，被子蓝色的，像海洋馆！都还不错，就是前台办手续有点慢', 'star': 5}
{'descr': '很干净，很安静，服务态度好，交通便利，离火车站很近\n', 'star': 5}
{'descr': '离车站比较近，房间里面的设施一般。尤其是喝水不方便，没有了。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店着火，停业中，我到了呼和浩特才发现，然后就被流落街头了~竟然没有提前通知 害的我住了旁边很贵的店', 'star': 1}
{'descr': '酒店环境可以，服务也好，很满意\n\n', 'star': 3}
{'descr': '没有洗澡用品啊', 'star': 3}
{'descr': '感觉还不错，在敖包相会上面，地理位置到火车站打车才6元起价就到，挺赞的。环境也不错，不过没什么特色，就是环境优雅的酒店而已。但是对于98的价位来说，已经很Happy了', 'star': 5}
{'descr': '酒店的地理位置很好,交通便利.吃饭也很方便.', 'star': 5}
{'descr': '房间很大,洗澡水的温度和水流也很好,只是个别前台服务人员的服务语言生硬,在我午睡时候把我从梦中吵醒,说要续房费,用质问的口气,让我心里很不舒服.当然也有服务态度好的.', 'star': 5}
{'descr': '性价比超高，价格便宜，环境干净，设备齐全，服务态度也好，打车也很方便，住过的酒店当中这家最值得推荐！', 'star': 5}
{'descr': '感觉很失望，对这家速8的服务和硬件都很不满意！做得很差', 'star': 3}
{'descr': '不错的酒店不错的酒店不错的酒店不错的酒店不错的酒店', 'star': 5}
{'descr': '实惠的酒店 这次去卫生情况不是很好，而且特惠房只能在副楼，比较不方便', 'star': 5}
{'descr': '＋性价比挺高', 'star': 3}
{'descr': '整洁，干净，宽敞，马路对面的连锁餐馆不错，在旁边的烟酒专卖店内买土特产也方便', 'star': 5}
{'descr': '很干净，服务态度也好,就是交通方面不太好，地方有点偏', 'star': 5}
{'descr': '不错，位置和性价比都是比较不错。值得去住', 'star': 5}
{'descr': '\n每次来杭州都选择假日 挺实惠的 性价比也很高\n\n服务员都挺好', 'star': 5}
{'descr': '条件不错  满意', 'star': 3}
{'descr': '住的很好 下次还来', 'star': 3}
{'descr': ' 空间挺大，干净，缺点是有些吵', 'star': 5}
{'descr': '早餐太简单,价格稍高了些,能再便宜点就好了,比较干净.', 'star': 3}
{'descr': '性价比不高,和他的配置比,价格偏高了些,早餐也太简单了.', 'star': 3}
{'descr': '老公说住得很好 下次还住', 'star': 5}
{'descr': '很不好 房间没有暖风 空调遥控器不给说是有地热 结果晚上除卫生间有地热房间里很冷 根本没有地热房间里\r\n服务很不好 电话没有声音还不给修！', 'star': 1}
{'descr': '总体感觉还是不错的,就是房间靠进马路边,白天有点吵,晚上还不错!', 'star': 5}
{'descr': '不错的酒店，除了位置稍微离市区远了点其余完美了。楼下还有足疗的。', 'star': 3}
{'descr': '\r\n挺不错的。\r\n\r\n性价比蛮高的。\r\n\r\n', 'star': 5}
{'descr': '很干净，很宽敞的酒店，就是地理位置不算好，总的来说还是会推荐', 'star': 5}
{'descr': '不错，性价比较高，临街房间有点吵，地段比较偏，服务态度有待提高', 'star': 3}
{'descr': '不错，性价比较高，房间也挺大挺干净的，就是大厅没地方休息，等待入住的时候只能站着，服务态度有待提高', 'star': 5}
{'descr': 'very clean n friendly service. recommended.', 'star': 3}
{'descr': '网速很好 就是里面设施差点 没有矿泉水都', 'star': 3}
{'descr': '位置好,卫生和服务差一点.这家店搬过家,我去的时候找不到,就问当地人,人家会把你带到原来的地址.后来打电话问前台,前台小姐接电话声音很小,在路上比较难听清楚.', 'star': 1}
{'descr': '房间感觉很温馨，比较满意', 'star': 5}
{'descr': '，服务质量差，宾馆条件差，房间设施不完善', 'star': 5}
{'descr': '位置挺好，出行方便，房间挺大挺干净的，布置也挺温馨，住的挺舒适。', 'star': 5}
{'descr': '地理位置挺好，离火车挺近的，赶火车挺方便的。', 'star': 5}
{'descr': '服务卫生都挺好的，设施也挺齐全，周边交通也便利，值得推荐一下。', 'star': 5}
{'descr': '价格挺实惠的，房间也挺干净整洁，我觉得这样就挺不错了。', 'star': 5}
{'descr': '性价比比较高的一家酒店，交通很方便，离火车站比较近。', 'star': 3}
{'descr': '这是一家性价比很高就酒店，交通非常方便，就是隔音不是很好。', 'star': 5}
{'descr': ' 各方面都挺满意的，尤其是服务态度和网络速度，洗澡有一双塑料拖鞋就更好了~', 'star': 5}
{'descr': '性价比还算理想，推荐。', 'star': 5}
{'descr': '速8很好，离火车站不远，位置十分方便~', 'star': 5}
{'descr': '酒店格调和色彩搭配都显得很温馨，房间也挺干净，整体不错。', 'star': 5}
