{'短评内容': '位置极佳，泺源大街。下次还会订这里', '短评打分': 5}
{'短评内容': '这个酒店还不错，房间干净，地理位置也挺好的，周围的超市、商场也都很近。我到的那天的前台服务不错。\n1、房间比较小，设施不是很完善，水杯竟然是纸杯子。 2、停车不方便，要收费。 3、服务态度好，早餐还不错。 4、可能是因为旅游旺季吧，价格偏高。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店感觉比较温馨，新装修，设施很新，早点实惠味美，只是没晚的骚扰电话让人烦，你懂得', '短评打分': 3}
{'短评内容': '除了地理位置比较好，真的没什么可推荐的。\n住在5楼需要借用一根大头针，服务员说你自己下1楼来取吧，真是无语。', '短评打分': 1}
{'短评内容': '酒店位置离泉城广场比较近，在酒店的大院里吃喝玩乐基本都有了，酒店房间可以。\n就是洗刷用具是收费的', '短评打分': 5}
{'短评内容': '房间比较小，比较干净，不提供免费的洗漱用品。\n酒店位置比较偏，离泉城广场很远。\n空调没法调节温度，电视机比较旧。\n服务比较差，晚上8点让总台送饮料，服务员一开始说没人值班，后来又说服务员都是女的晚上送东西到房间不安全之类的，服务态度还可以，就是不给你解决问题。', '短评打分': 1}
{'短评内容': '周围交通便利，就是门口不知是什么，味道有点臭', '短评打分': 5}
{'短评内容': '便捷实惠，干净整洁，常住的一家酒店。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '比较喜欢这家酒店，晚上周围比较热闹，市中心主干道上，所以很方便', '短评打分': 5}
{'短评内容': '酒店位置位于相对比较繁华的市中心，出行方便，有车可以到火车站，不错', '短评打分': 5}
{'短评内容': '性价比很高，上次住了十多天，非常方便，生活交通都比较方便', '短评打分': 5}
{'短评内容': '非常喜欢，酒店在济南泺源大街主干道，而且离公路比较远，比较安静，周围有泰国餐馆，韩国餐馆，酒吧，KTV等，夜生活比较丰富', '短评打分': 5}
{'短评内容': '价廉物美，性价比高，旁边洗脚店也不错，吃饭地方还多。', '短评打分': 5}
{'短评内容': '酒店非常实惠，价格比较便宜，位置也比较好，周边好多比较特色的吃饭的地，赞一个', '短评打分': 5}
{'短评内容': '条件不错，已经是老顾客了。地理位置、价格都可以', '短评打分': 5}
{'短评内容': '地理位置不错，离开火车站非常近，而且这个宾馆非常好，卫生状况服务都很不错，但是早餐有点单调，推荐！', '短评打分': 5}
{'短评内容': '挺好的 卫生间尤其干净，在市中心，出行很方便', '短评打分': 5}
{'短评内容': '很便宜的招待所', '短评打分': 3}
{'短评内容': '住了三天，很满意。周围吃喝玩乐样样俱全，位于巿区，出入方便。', '短评打分': 5}
{'短评内容': '位置好，裝修很新，非常满意。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，出来就有很多餐厅，干净、舒服、方便。去济南出差我还会住', '短评打分': 5}
{'短评内容': '性价比很高 依然很干净，服务态度不错!也很安静 \n', '短评打分': 5}
{'短评内容': '很不错的宾馆，室内干净，安静。服务态度也很好。而且价格很便宜，超值！', '短评打分': 5}
{'短评内容': '挺好的  卫生间尤其干净啊~下次还会入住滴~~~', '短评打分': 5}
{'短评内容': ' 卫生挺好 服务可以 一楼的蹲厕卫生一般 卫生间较滑 孩子穿提供的托鞋滑倒了伤到胳膊了 可以下次继续入住', '短评打分': 3}
{'短评内容': '经济连锁酒店，各方面都一般，电脑不好用，一会就死机，卫生一般。', '短评打分': 1}
{'短评内容': '设施还不错，就是旁边有个歌厅，有点闹，不过还不影响休息。', '短评打分': 5}
{'短评内容': '总体效果很满意,就是隔音稍差点,位置很优越', '短评打分': 3}
{'短评内容': '酒店适合商务客人居住，位置很好，就在市中心，出行很方便，离火车站很近，打车就14元内（不堵车的情况）', '短评打分': 5}
{'短评内容': '地方挺好的，卫生间比较干净，房间干净整洁。', '短评打分': 5}
{'短评内容': '这家酒店我住了很多次了，除了隔音差之外没有缺点，很棒！', '短评打分': 5}
{'短评内容': '这次安排的房间在电梯对过，不喜欢。但是条件是不错的。', '短评打分': 5}
{'短评内容': '位置还可以，但是极其不隔音，下次坚决不入住。', '短评打分': 1}
{'短评内容': '房间干净，位置也很方便，但隔音不好', '短评打分': 3}
{'短评内容': '酒店位置优越，出行方便，服务不错，卫生很好，美中不足就是房间隔音太差', '短评打分': 5}
{'短评内容': '位置好，出行方便，房间还行吧，建议常通风', '短评打分': 5}
{'短评内容': '网上预订的，今早七点入住，标准间调成大床房间，一样，我觉得挺好的。', '短评打分': 3}
{'短评内容': '位置很好 离银座购物中心只有6分钟路程 吃饭更是方便 但是隔音不好', '短评打分': 5}
{'短评内容': '还行吧,就是觉得房间还是有点小,下次会要个大点的', '短评打分': 3}
{'短评内容': '地段可以,交通方便.但设施有些陈旧,服务一般.性价比不是很高.', '短评打分': 5}
{'短评内容': '干净整洁服务好，地点好。值得推荐！', '短评打分': 3}
{'短评内容': '很好，很干净,每次来济南都愿意住银座佳驿!', '短评打分': 5}
{'短评内容': '酒店看上去还算干净，卫生方面还是要注意\n我来时恰好人多，房间还没有收拾好，我看着打扫，杯子没有消毒水洗一下就直接放在那儿了，还有非一次性拖鞋，我看到提醒后才为我换了。', '短评打分': 5}
{'短评内容': '经常在这里住  出了个因不太好   其他的都不错', '短评打分': 5}
{'短评内容': '新酒店,很干净,位置也好,就在山东新闻大厦的对面', '短评打分': 5}
{'短评内容': '住宿条件很好，交通很方便，院子里面也有很多饭店和娱乐场所，有很大的停车场', '短评打分': 5}
{'短评内容': '方便舒适 位置优越 交通方便 房间也不错 满意', '短评打分': 5}
{'短评内容': '第三次入住这家酒店，周围吃饭、娱乐场所非常多，交通便利，服务态度很好，家具陈设很新，环境一流。', '短评打分': 5}
{'短评内容': '位置不错，闹中取静，新天地玩完了，回房间干啥都很方便。', '短评打分': 5}
{'短评内容': '干净 服务好 各个方面都很好 下一次还会入住。', '短评打分': 5}
{'短评内容': '挺安静的，房间也比较整洁，和如家等经济连锁酒店一样的，不过只是在山东省内。', '短评打分': 5}
{'短评内容': '在银座新天地里面，环境不错，餐饮购物娱乐交通都很方便。挺安静的。', '短评打分': 5}
{'短评内容': '各个方面都很好  就是有点吵  希望下次入住时有所改进', '短评打分': 5}
{'短评内容': '很不错，房间设施较新，服务态度很好，地理位置优越，周边吃住玩都很方便。价格不贵，如果含早就完美了！', '短评打分': 5}
{'短评内容': '很不错，位置环境都不错', '短评打分': 3}
{'短评内容': '不错·周边也很繁华···也很干净····', '短评打分': 5}
{'短评内容': '住了好几次了··不错·性价比很高······', '短评打分': 5}
{'短评内容': '住宿条件一般，周边吃喝玩乐是很方便，不过停车很难，这个楼上所有的娱乐场所都在这里停车，营业到很晚，有睡眠障碍的不建议选择', '短评打分': 1}
{'短评内容': '挺好，挺整洁，挺温馨的，在银座新天地里边，吃喝玩乐一应俱全。像这种经济连锁型酒店的通病就是隔音效果不大好。', '短评打分': 5}
{'短评内容': '房间比较小，但是很干净整洁。离泉城广场2站地，走过去也就20分钟吧，挺好的~', '短评打分': 5}
{'短评内容': '卫生干净，交通吃饭都比较方便，就是房间稍小点了。', '短评打分': 5}
{'短评内容': '不错，性价比很高，干净，安全！可以再次选择！', '短评打分': 5}
{'短评内容': '很好，是佳驿的酒店里最好的一家了，位置也不错', '短评打分': 5}
{'短评内容': '连锁型酒店。挺干净的。环境一般。价格合适。位置比较不错。院内吃喝都有了。', '短评打分': 5}
{'短评内容': '房间比较干净，隔音效果比较差，会员卡之类的就别办了，没啥用', '短评打分': 5}
{'短评内容': ' 位置不错', '短评打分': 3}
{'短评内容': '大床房很不错 ，安静，方便。下次还住这里。 \n', '短评打分': 5}
{'短评内容': '很不错的酒店，已经数不清楚第几次住了，每次感觉都不错', '短评打分': 5}
{'短评内容': '很不错的酒店，吃喝玩都方便，价格也非常实惠', '短评打分': 5}
{'短评内容': '卫生环境不错', '短评打分': 3}
{'短评内容': '位置好，整体服务不错，就是早餐房间太小，早上吃早餐要等好久。', '短评打分': 5}
{'短评内容': '虽然房间小一点，比银座佳驿的其它连锁店贵一些，但位置的确好，吃喝玩一条龙，挺好。', '短评打分': 5}
{'短评内容': '位置优越，服务一般，房间也一般，总之还行。', '短评打分': 1}
{'短评内容': '性价比不错，以后去上海还会入住这里,性价比不错，以后去上海还会入住这里', '短评打分': 5}
{'短评内容': '酒店位置没得说，方便，离哪都近，交通方便。环境也很安静，楼下就是银座新天地，有很多吃饭的地方，当然玩的也有。银座是山东商业巨头啊，所以银座开的店当然没的说，服务很好很热情，我之前入住时走错路找到另外一家银座，那家前台还主动帮我联系确认，住的很舒心，下次来济南出差还会选这家。希望毛巾换换，楼道通一下风就更好了啊。', '短评打分': 5}
{'短评内容': '交通很方便，在银座新天地里面，门口有公交车站，缺点是隔音效果不好。', '短评打分': 5}
{'短评内容': '这次去济南考试，宾馆在银座新天地院内，干净，舒适，服务态度也很好，位置优越，离泉城广场只有3站地，而且门口就有公交车站，出行很方便，不过床单的面料希望能更换柔软一点的，我觉得不太理想。', '短评打分': 5}
{'短评内容': '这里已经住了很久了 好处就不再多说了 但是这里唯一一点不好的就是一旦堵车就很厉害！所以想好了再来！', '短评打分': 5}
{'短评内容': '第一次入住，环境很不错，周围是个休闲、吃饭、娱乐一体的消费圈。', '短评打分': 3}
{'短评内容': '入住和结账都比较快，位置不错，交通方便。现在每次去济南都会入住这家酒店。', '短评打分': 3}
{'短评内容': '入住和结账都比较快，卫生也很好。现在去济南一般都会入住这家酒店。', '短评打分': 5}
{'短评内容': '+卫生很好,服务态度不错.位置就餐娱乐都很方便.只是不赠送免费饮水很纳闷\u3000', '短评打分': 5}
{'短评内容': '环境不错，周围很多买东西的地方，服务也还好，性价比一般', '短评打分': 3}
{'短评内容': '性价比很好 吃住都很方便 交通也比较便利 推荐！！ ', '短评打分': 5}
{'短评内容': '有人故意指错路，不过我和酒店沟通过，他们预留了房间给我们，环境很好，很像大连的民主广场建筑群，设施不错，可以免费上网，旁边就是饭店洗浴，方便得很。', '短评打分': 5}
{'短评内容': '整的感觉很好，如果前台的服务更主动就完美了~', '短评打分': 5}
{'短评内容': '此酒店位置、服务很好，在一个院子吃喝住休闲都有，很是方便；下次再来还住此酒店', '短评打分': 5}
{'短评内容': '地理位置方便，服务好，早餐丰富营养，房间卫生，整洁，结帐速度快', '短评打分': 5}
{'短评内容': '位置很好,比较清洁卫生，方便购物和旅游，价格也比较适宜', '短评打分': 3}
{'短评内容': '+酒店设施崭新齐备,卫生整洁,员工服务良好.只是紧邻KTV和喧闹的酒吧,夜间噪音较大.推荐!', '短评打分': 5}
{'短评内容': '很不错的快捷酒店，很干净，位置也很好，服务到位。', '短评打分': 5}
{'短评内容': '酒店位置不错，也很干净，前台服务也很好~对得起价钱。', '短评打分': 5}
{'短评内容': '挺好的，我们一直都比较喜欢，特别是位置很好，还有BRT，很方便的说。', '短评打分': 5}
{'短评内容': '地理位置很好,出行交通很方便.前台业务熟练程度有待改善.(也许遇到的是实习工作人员).建议酒店应该分出无烟楼层,电梯内应禁烟.谢谢!下次还会来.', '短评打分': 5}
{'短评内容': '非常推荐这家，绝对物有所值，。酒店位置极佳，服务好，卫生好，院内很多美食，购物也方便。订的商务间，房间大，床铺舒服，唯一不足就是洗脸盆的地方没有挂毛巾的地方，不过总体来说非常好。', '短评打分': 5}
{'短评内容': '+很不错，强烈推荐', '短评打分': 5}
{'短评内容': '位置和设施相当不错，只是服务稍差一些，说通过中介订的只能12点前退房', '短评打分': 5}
{'短评内容': '房间很安静，第一次来不是很好找，但其实交通很便利，身处繁华地段，性价比还不错，卫生还不错，值得推荐', '短评打分': 5}
{'短评内容': '住的挺舒服的，性价比不错，交通还行，晚上有点吵', '短评打分': 3}
{'短评内容': '位置较好', '短评打分': 5}
{'短评内容': '房间很干净，周边环境也很好有泰菜，日料，还有酒吧和台球厅，离趵突泉也不是很远。价格合适，印象很好', '短评打分': 5}
{'短评内容': '住的挺舒服的', '短评打分': 5}
{'短评内容': '服务一般，不热情，好像总是在接电话，位置还行。', '短评打分': 1}
{'短评内容': '由于经常出门，所以经常住他们家的酒店，同类酒店中算是不错的。', '短评打分': 5}
{'短评内容': '不错,为了20元卷,还是有点麻烦赫赫.这样差不多了吧赫赫.', '短评打分': 5}
{'短评内容': '位于银座新天地，餐饮娱乐设施齐全，而且闹中取静', '短评打分': 5}
{'短评内容': '位置很好，就是晚上周围的银座歌唱家的隔音效果不好，导致在屋里也隐约能听到外面的音响。大床房不错，很干净，唯一不足的是，床单上有两个小圆点的污垢。幸亏自己带的被单。房间大小也合适。总之，还是不错的，以后还会再来的。', '短评打分': 5}
{'短评内容': '闹中取静，方便、舒适！', '短评打分': 5}
{'短评内容': '吃早点还得先买餐票，有些不方便。在入住的时候，前台也没有询问买不买。只有早餐，中晚餐需要出去吃，附近很多，也算方便，没有挂账餐厅对可以报销的有些不便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '很好，很方便也很喜欢。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '差不多吧。时间比较长了，被铺已经洗不干净。服务很好。', '短评打分': 5}
{'短评内容': '性价比很高的酒店，地段很好交通吃饭都很方便', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '位置好，但是大床房有些小了，卫生间里东西很全，晚上很安静', '短评打分': 5}
{'短评内容': '性价比特别高的酒店', '短评打分': 5}
{'短评内容': '位置佳，在银座新天地内，停车极方便，院内有一茶一座，银座KTV，焦叶餐厅，还有烧烤餐厅等十几家，大门口有快餐厅，就餐极方便，值得推荐！前台服务态度也很标准。', '短评打分': 5}
{'短评内容': '里面有股难闻的味道不知道是怎么搞得，但是还过得去，位置很好。', '短评打分': 5}
{'短评内容': '被褥感觉不是很干净，有点发黑，房间内有股味道，要经常开空调，交通方便，吃穿住行玩等都很方便', '短评打分': 3}
{'短评内容': '房间空气流通不好，靠近市中心，比较吵，但是其他都很方便，还算不错', '短评打分': 3}
{'短评内容': '靠近泉城广场、趵突泉、大明湖，性交比较高，就是房间内有点闷，进去就要开空调。不过靠近市中心，吃住行玩都很方便，总的来说还是不错的', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '不错，方便', '短评打分': 5}
{'短评内容': '不推荐，进FANG马桶没冲。', '短评打分': 1}
{'短评内容': '一般了.位置不象网上写得那样中心,有点偏.', '短评打分': 5}
{'短评内容': '新开的山东连锁酒店，本地应该在价格上有更大的优势，但是感觉性价比不是太高。', '短评打分': 1}
{'短评内容': '不错。性价比很高', '短评打分': 3}
{'短评内容': '总体来说还不错，关键是位置很好，吃喝玩乐都很方便，其他的一般吧。。', '短评打分': 3}
{'短评内容': '总体来说还不错，关键是位置很好，吃喝玩乐都很方便，其他的一般吧。。', '短评打分': 5}
{'短评内容': '很不错的酒店。每次去济南都住。', '短评打分': 5}
{'短评内容': '位置不错 就是洗澡水压力不大 洗澡有点小不爽 其他还OK', '短评打分': 5}
{'短评内容': '总体不错，希望前台准备些基本药物，也花不了几个钱。', '短评打分': 5}
{'短评内容': '没有备用被褥', '短评打分': 5}
{'短评内容': '被单不太干净，还可以。', '短评打分': 5}
{'短评内容': '总体来说还不错，性价比比较高，但是美中不足的是房间隔音效果不是特别的好，应该说其他的还不错吧，值得推荐！', '短评打分': 5}
{'短评内容': '床单有不知名黄色液体痕迹。很恶心。不过一位很漂亮的服务员来换了。前提是催促了三十分钟。空气中有悬浮物。肯定的。流鼻血了都。把手机放在床头，一分钟内会出现许多灰尘。很可怕。', '短评打分': 1}
{'短评内容': '位置不错.性价比还行!', '短评打分': 3}
{'短评内容': '位置不错.性价比还行!', '短评打分': 3}
{'短评内容': '性价比很高，交通也很方便', '短评打分': 5}
{'短评内容': '非常不错。园内好多休闲及餐饮。', '短评打分': 5}
{'短评内容': '非常好。下次还会去。', '短评打分': 5}
{'短评内容': '新开业不久的酒店，地段十分好，环境设施都不错，出门就是很多经典饭店，方便，还可送餐，总体感觉满意。', '短评打分': 5}
{'短评内容': '还会再住。', '短评打分': 3}
{'短评内容': '很值得推荐的一家宾馆，早餐丰富，就是房间稍小，周边配套齐全', '短评打分': 5}
{'短评内容': '总的来说很不错，地段很好，吃东西很方便。', '短评打分': 5}
{'短评内容': '水龙头不好用 床垫太薄 床上用品卫生不好 隔音不好 以后不打算住', '短评打分': 1}
{'短评内容': '床和枕头有点硬，隔音不好，其他尚可。', '短评打分': 5}
{'短评内容': '酒店的地理位置，环境，服务，居住舒适都很好，下次还会住的！', '短评打分': 3}
{'短评内容': '环境和卫生都不错', '短评打分': 5}
{'短评内容': '比较新的酒店，就在银座新天地里面，吃饭的时间停车比较困难。卫生不错，位置不错，一切都不错，但是貌似也没啥特别突出的地方跟同类酒店相比较，呵呵', '短评打分': 5}
{'短评内容': '酒店在街里面外面看不到,位置挺好,在泉城广场的东边,房间也挺好,很满意,价格可能和酒店所处位置有关,有些高.', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '位置有点偏，不是很好找，房间的卫生和设施还不错，服务也可以，整体感觉这家酒店的性价比还是较高的', '短评打分': 3}
{'短评内容': '住了几次，还不错', '短评打分': 5}
{'短评内容': '卫生不错很干净，设施完善，地理位置交通很方便，附近也比较繁华，价格也不高，总体来说不错的', '短评打分': 3}
{'短评内容': '地理位置很好,位于市中心,出行很方便,卫生服务方面也都不错,但就是房间有点小,隔音效果不太好.', '短评打分': 3}
{'短评内容': '酒店的人员服务到是挺好的,不过房间里的设备不是很齐全,需要去前台去拿,不是很方便,不过价格蛮优惠的,可以推荐.', '短评打分': 3}
{'短评内容': '新开业的酒店,服务很一般,房间很干净,设施很新很齐全,位置在繁华地段交通便利,价格高了一些.', '短评打分': 3}
{'短评内容': '位置非常好，周边交通餐饮也很发达', '短评打分': 5}
{'短评内容': '位置非常好，在银座新天地内，出门有很多餐饮和休闲场所，交通也很方便。', '短评打分': 5}
{'短评内容': '房间的卫生条件挺好的,人员服务也比较热情,蛮舒适的,整体的性价比不错.', '短评打分': 3}
{'短评内容': '从各方面来说都不错', '短评打分': 5}
{'短评内容': '整体来讲性价比比较高，位置很好，出门就有银座新天地吃喝玩乐都很方便，附近就是商业中心。房间内卫生设施也对得起这个价格，只是房间隔音不太好。唯一一个让我不满的是前台接待的业务水平和服务态度，虽然知道很累但起码的规范和微笑都是应该有的，态度冰冷礼貌用语很少，问话要么不搭理要么敷衍了事，感觉都很忙似的，让我很失望，即使没有星级也应该注意前台的面子形象问题。', '短评打分': 5}
{'短评内容': '还不错，隔音有点不足，总体性价比很高，出门外面就有韩国菜、日本菜、泰国菜吃', '短评打分': 5}
{'短评内容': '在市中心,酒店的软硬件条件也不错,服务热情,价格还能接受,如果能便宜些更好.', '短评打分': 3}
{'短评内容': '地理位置比较好周围特别方便出行购物或者游玩、吃饭挺方便的,房间的空调是坏的后来修了一次服务还是挺积极的,,性价比挺实惠的,卫生也很好,挺不错的.', '短评打分': 3}
{'短评内容': '在娱乐区，噪音比较大，住的不是很舒适，这位置交通非常方便', '短评打分': 3}
{'短评内容': '房间隔音很差，希望在这方面有所提高，其他总体不错。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '还可以吧，周边挺热闹，顺便说个小问题，酒店暖气不好，空调不舍得用，要到晚上9点才给遥控器。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置在泉城广场附近，而且离千佛山也很近。价格也相当的优惠', '短评打分': 3}
{'短评内容': '我感觉价格挺合理，位置也很便利，内部的服务也很好，当时我换了房间也很配合', '短评打分': 3}
{'短评内容': '酒店各方面都不错,位置方便,物有所值!!', '短评打分': 3}
{'短评内容': '该商务酒店位置不错，离泉城广场就10分钟步行路程。酒店设施与服务中规中矩。', '短评打分': 5}
{'短评内容': '还是比较不错的酒店,卫生和服务都挺好的,设施也很好,价格还是比较好的,我挺满意的.', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '非常干净，服务热情，唯一的缺点就是与练歌城隔壁的房间隔音效果不太好，总体感觉不错，如果每个房间都有电脑那就更完美了。', '短评打分': 5}
{'短评内容': '淋浴房不隔水，水漏到卫生间，然后卫生间完全不去水。隔音较差。', '短评打分': 1}
{'短评内容': '酒店很干净，服务到位，出行特别方便', '短评打分': 5}
{'短评内容': '很好，很喜欢，下次还去。但房间隔音效果不是很好', '短评打分': 5}
{'短评内容': '性价比非常高，适合旅游', '短评打分': 5}
{'短评内容': '总体还可以，那个位置价格合适。', '短评打分': 5}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '位置挺好经济舒适方便快捷再增加些人性化服务就更温馨了', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店是今年新开业的比较新设施比较完善,我们到酒店等了30分钟才能住进去.', '短评打分': 3}
{'短评内容': '总体还不错 在新天地里面  今年刚建的酒店 比较新', '短评打分': 5}
{'短评内容': '酒店还不错,感觉舒适,交通也很不错的.出行很方便；就是房间的面积有些小,不是很舒适；', '短评打分': 5}
{'短评内容': '服务很慢，有时候前台打电话需要很长时间才给回应。\r\n酒店比较干净', '短评打分': 3}
{'短评内容': '就是装修的味道大了些，开窗睡还有点呛', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行交通非常方便价格合理适中。卫生服务都很达标，对这家酒店很满意值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店还可以,比较新,各方面服务也都挺不错的,在这个位置当时的价格也算比较实惠的了.', '短评打分': 5}
