{'descr': '真的太旧了。', 'star': 2}
{'descr': '离机场不是一般的近啊，飞机起飞前一小时我才开始出发，酒店提供送机服务，就是周围机场2期工程在实施，有点吵，其他的都还好', 'star': 5}
{'descr': '酒店位置挺好，服务也不错，就是设施略显陈旧，需要及时更新哦，不然与这个价格有点不符。', 'star': 5}
{'descr': '赶早班飞机确实很方便，晚上有点吵，早餐简单了点！', 'star': 5}
{'descr': '酒店管理感觉比原来有所提高，服务水平有提升，菜肴质量也不错。', 'star': 5}
{'descr': '没办法第二天的7点的早班飞机,不想太赶,只好住这儿,没有比这儿更差的了.如果有办法最好别住这儿.', 'star': 1}
{'descr': '环境不错 邻近机场 提供班车和交醒服务', 'star': 3}
{'descr': '酒店設施欠佳饮食不便', 'star': 3}
{'descr': '酒店的设施比较旧了，但服务态度非常好，离机场非常近，很方便。', 'star': 5}
{'descr': '酒店很干净,服务不错,离西站很近去南京比较方便,但离扬州的景区比较远,网速不错,附近有大超市和吃饭的地方。', 'star': 3}
{'descr': '帮朋友定，发票还没开给我呢，有没有寄发票的服务？', 'star': 5}
{'descr': '一切都挺好。似乎新装修过了。一些设施得到了翻新。感觉还不错', 'star': 5}
{'descr': '比对面的XX差一点，但价钱也实惠得多。比旁边的XX强很多，价钱也没高太多。机场住宿最好的选择了。', 'star': 5}
{'descr': '宾馆一般，明显比市区差，但是为了赶飞机，没办法', 'star': 5}
{'descr': ' 服务挺好，位置更好。', 'star': 3}
{'descr': '酒店不错，态度和服务蛮好！边上的珍宝坊菜式也不错。', 'star': 5}
{'descr': '环境不错。客服态度也不错', 'star': 3}
{'descr': '離機場近為最大優點.\n環境比之前差,感覺上兩次入住比較清潔,可能上兩次入住的是標準間,這次的是商务单间A\n但總體來說也可以', 'star': 5}
{'descr': '赶早班飞机很方便，房间一般了，同样的价格能住市区里好的多的宾馆，隔音还不错', 'star': 5}
{'descr': '酒店设施太陈旧，性价比低，感觉是皇帝女儿不愁嫁。', 'star': 1}
{'descr': '竟然有浴缸哦!!!太让人意外了。传说的中的免费接送没有，离机场很近。叫醒服务很好呢。', 'star': 5}
{'descr': '很差，不值房费', 'star': 3}
{'descr': '房间很一般，不过方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '  宾馆离机场很近  很方便  空调卫生都不错  推荐', 'star': 3}
{'descr': '很好，环境优雅，服务热情，下次过来还住在这边，离机场很近，比较方便', 'star': 5}
{'descr': '还不错 设施比较新 位置也很方便 服务比较到位', 'star': 5}
{'descr': '一楼餐厅的菜不错哦', 'star': 3}
{'descr': '价格较贵，优点是离机场较近，赶早班飞机挺好的。', 'star': 1}
{'descr': '酒店感觉除了早晨很早赶飞机图方便，各方面都不太好。设施很旧，空调声音像拖拉机。酒店去候机厅有车接送。', 'star': 1}
{'descr': '还不错，就是有点老了，靠近机场晚上有点吵。\n', 'star': 5}
{'descr': '酒店服务还不错,就是设施有点老化', 'star': 3}
{'descr': '酒店设施还可以，服务也不错，', 'star': 3}
{'descr': '宾馆很老，有年头了，房间异味非常重，服务态度异常的差。因为赶车所以迟到，打电话致前台，前台不带有任何商量的口吻，直接说不可以延房。\n\n不是在机场旁边，鬼都不去住。烂宾馆。。。', 'star': 1}
{'descr': '就在机场旁，走路估计7分钟吧？酒店还提供20分钟一趟的穿梭BUS，十分贴心。适合赶早机用~', 'star': 5}
{'descr': '酒店位置在机场，因机场有工地，晚上有点吵，设施有点旧。', 'star': 5}
{'descr': '酒店的位置临机场非常的近  干净整洁  赶飞机不错', 'star': 5}
{'descr': '酒店还是不错，我住的是大床房，感觉还是可以的。离机场就几分钟。', 'star': 5}
{'descr': '环境不错', 'star': 3}
{'descr': '最近机场夜间施工，太影响客人的睡眠了！\n好的是距离机场较近，出行比较方便。如果机场夜间停止施工，也是个不错的选择！', 'star': 1}
{'descr': '除了离机场近其他木有有点。。。。。。乘坐早班，木有办法。', 'star': 5}
{'descr': '酒店在机场内，很方便', 'star': 3}
{'descr': '酒店周围太吵，外面好像一整夜施工的。', 'star': 3}
{'descr': '服务不错，设施稍旧。性价比一般，需要提高\n', 'star': 5}
{'descr': '酒店设施太差，房间很脏，远不如大厅干净。', 'star': 3}
{'descr': '还是很方便。值得推荐。\n\n距离近，停车费比机场便宜。呵呵', 'star': 5}
{'descr': '＋南京空港宾馆地理位置还行，就在机场里面，适合商旅很方便，特别是在飞机严重延误的情况下！', 'star': 3}
{'descr': '服務態度好\n隔音沒想像的差,應該也差不多吧\n有車接送,但其實也不遠,行李少的自己走過去也不錯', 'star': 5}
{'descr': '﹢很老的一个饭店。好就好在离机场近，不然真不会来的。感觉跟招待所差不多。', 'star': 3}
{'descr': '房间很旧不是很好，但服务不错，一个电话就来接我了', 'star': 3}
{'descr': '就在机场内，很方便呢~嘿嘿，服务质量和酒店的质量都很不错的，网上预定的话价格又那么实惠，嘿嘿~', 'star': 5}
{'descr': '设施一般。飞机起降噪音大。不推荐入住。\n推荐入住离机场远一些的地方', 'star': 1}
{'descr': '有点吵？', 'star': 3}
{'descr': '环境不错，卫生间很干净，床也舒服的，关键是离机场近，还有班车接送。', 'star': 5}
{'descr': '很安静，服务很好，设施也不错，安全的很，以后还猪这里', 'star': 5}
{'descr': '距离候机楼非常近，第二天早上赶飞机非常方便！不过南京机场柜台（东航）效率较低，提醒大家提前一点儿！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '住宿環境不佳，味道很重，比錦江而差。一樓餐館口味不錯，就是貴了些，下次考慮住對面的花園酒店。', 'star': 1}
{'descr': '目前觉得还行\r\n杨中楷', 'star': 3}
{'descr': '靠近机场很方便,但应该装修了,很老了!不过南京机场也没有好一点的宾馆了,只能是他了', 'star': 5}
{'descr': '早点太差了，20元一份，没有什么吃的，只有一个肉包、一个烧麦、一小块蛋糕、一小份咸菜、一小杯凉牛奶、一份稀饭。', 'star': 1}
{'descr': '酒店虽然有点旧，但商总体还可以，主要适合赶早班飞机或晚班到达的，离候机楼很近。第一次去送机，由于机场附近好多是单行线，如果宾馆提供线路图就好了，另外早点是外包的，20元一份，非常差。', 'star': 5}
{'descr': '好處是近機場, 其他服務一般, 浴缸邊沿是黑色的, 不包早餐....', 'star': 5}
{'descr': '该酒店虽然临近机场，但是还是比较安静，不足之处是酒店房间设施比较陈旧，酒店附近购物不太方便，还好酒店内部的其他服务还行，卫生也可以，建议需要赶早班航机或中转早班飞机的朋友入住。', 'star': 5}
{'descr': '离机场很近，蛮方便的。服务态度也不错，环境也还可以。', 'star': 5}
{'descr': '已入住317，319房\n', 'star': 3}
{'descr': '距离机场很方便，下次有机会再住。距离机场很方便，下次有机会再住。', 'star': 5}
{'descr': '酒店对于等班机还可以，没事去住就嫌太老了。早餐不能吃，太简单了。', 'star': 1}
{'descr': '距离禄口候机楼很近，较方便。神州租车门店就在这里', 'star': 5}
{'descr': '已经入住酒店，感觉酒店设施有点陈旧，离机场航站楼较近，总体上还过得去', 'star': 5}
{'descr': '酒店前台服务非常好，房间安排得也很满意，晚上睡觉很安静，值得推荐。', 'star': 5}
{'descr': '离机场近，很方便。', 'star': 3}
{'descr': '酒点坐飞机很方便，有车接送，环境也可以，设备其全，价格合理，下次还会选择这里。不好的就是地毯看起来很脏。', 'star': 3}
{'descr': '很不错的宾馆，非常方便。对于早上乘飞机的旅客是很好的选择。', 'star': 5}
{'descr': '机场很近算是还以可以吧，但是设备没那么好的', 'star': 5}
{'descr': '酒店有到机场的专车，应该说是个不错的酒店。', 'star': 5}
{'descr': '优点：是距离禄口机场最近酒店之一，步行至机场只需10分钟，晚上休息时受飞机起降影响不大。前台服务态度很好。缺点：酒店设施一般，房间不含早餐，需要到连在一起的饭店用餐并另行结算，且质量较差。', 'star': 5}
{'descr': '马马虎虎，因为南京机场附近没有好的吧，这家其中最好的', 'star': 5}
{'descr': '到机场很方便的，店内服务、设施也不错。推荐', 'star': 5}
{'descr': '位置超级方便，走过去就是候机楼，早班飞机去的话还是可以的，但是机场6点半才开始办理，所以住在市区其实也无所谓，下次不会住了，比较老化了，在房间里面能听到外面的风声', 'star': 1}
{'descr': '住的是标间,房里设施陈旧，不知道是不是前面客人退房打扫较急卫生间有毛发，床边有易拉罐的拉头,还有蛾子的尸体，但其位置确实较好。', 'star': 3}
{'descr': '房间里面电视不能看，还好有网，没有电吹风，去机场的车还是挺方便的，总体来说还不错吧。以后有机会还会定吧。', 'star': 5}
{'descr': '＋房间很脏，客人已经用过地信纸又被放回重新用。餐厅很黑，牛排不但小而且一半是骨头。', 'star': 3}
{'descr': '离机场很近哦··步走5分钟。就是不知道为什么墙上老有血迹，看着恐怖的，机场早晨的送机服务很贴心哦··', 'star': 5}
{'descr': '空港宾馆环境不错,很舒适.值得选择.\u3000', 'star': 3}
{'descr': '感觉环境还可以，离机场五百米左右。方便！', 'star': 3}
{'descr': ' 可以以前常来', 'star': 3}
{'descr': '离机场很近，有大巴免费接送机场。房间也不错，服务也还可以。总体比较推荐。', 'star': 5}
{'descr': '已多次入住，是距候机楼最近的宾馆了，对于赶早班飞机或是半夜到达的旅客是个不错的选择', 'star': 5}
{'descr': '我认为南京禄口机场附近的南京空港宾馆在这样低的价格情况下，打个电话就能延迟保留房间的时间，而且服务态度非常好。唯一不足的是没有自身的餐厅。', 'star': 5}
{'descr': '去机场很方便，并且每20分钟都有车接送至机场，是登机客人的首选，其余的就是一般了。', 'star': 5}
{'descr': '距离机场非常近，还有班车来回接送，服务态度也好。', 'star': 5}
{'descr': '离机场很近！离机场很近！离机场很近！离机场很近！', 'star': 5}
{'descr': '转机或等候乘机的最佳选择,餐饮非常不错,推荐!', 'star': 5}
{'descr': '主要优势是离机场近，适合赶飞机临时住住，其他就一般了', 'star': 5}
{'descr': '这家酒店唯一的优势就是离机场真近啊。走路5分钟就可以到了。其他条件就真的一般了。', 'star': 5}
{'descr': '地理位置非常好，环境也不错，挺干净整洁的', 'star': 5}
{'descr': '酒店就在机场，非常适合赶飞机的人住', 'star': 3}
{'descr': '房间设备异常简陋，卫生间设施不全。有蚊虫。', 'star': 1}
{'descr': '离机场很近，步行5分钟就可以到，接送也很到位，下次有机会还会入住', 'star': 5}
{'descr': '酒店的硬件还可以，但服务意识差些，因为上机方便而选择。', 'star': 5}
{'descr': '位置很好，离机场很近，房间环境一般，卫生间不是很好', 'star': 5}
{'descr': '离机场很近，交通上很有优势！下次从禄口走，还会首选这儿！', 'star': 5}
{'descr': '除了有些飞机声音，其它还行。很方便去机场，就是周围没什么玩的。', 'star': 5}
{'descr': '如果要赶飞机，那必须要住这家酒店了，2分钟到机场', 'star': 5}
{'descr': '房间大小可以，整洁干净，不觉得吵。价位合理。', 'star': 5}
{'descr': 'OK ok ok ok ok ok ok ok ok ok', 'star': 5}
{'descr': '就在机场，还有车送航班，环境好，干净，总之比较满意！', 'star': 5}
{'descr': '还不错  服务还好  下面的珍宝坊餐厅服务不是很到位', 'star': 5}
{'descr': '离机场很近，不错，屋子里家具较老', 'star': 3}
{'descr': '位置不错,适合一大早赶飞机的人。 早餐太差了，那么点东西居然要20元。 房间不怎么干净。性价比不高', 'star': 1}
{'descr': '还不错哦,离机场很近，服务还可以，就是酒店有点老旧。', 'star': 5}
{'descr': '很干净，服务很热情，离机场很近，值得大家去，我每次从南京坐飞机都住这里。', 'star': 5}
{'descr': '服务态度很好，卫生状况也不错。到机场步行只需五分钟。只是早餐较差。', 'star': 5}
{'descr': '环境还行', 'star': 3}
{'descr': '地理位置太好了，只不过价格对不起硬件条件~服务不错', 'star': 5}
{'descr': '基本满意。蚊子太多', 'star': 3}
{'descr': '地理位置好。又有车子接送。环境很好。不错的选择。', 'star': 5}
{'descr': '＋nice place! The delay service is great! ', 'star': 3}
{'descr': '服务不错！离机场可以步行。夜里飞也不是很吵！（此话提供给对睡眠环境要求高的人，呵呵）不过提供的所谓的机场大巴接送，倒是建议贵酒店在门口能否安排人员组织下。始终只看到车不见驾驶员。为赶时间，没能享受到哦！', 'star': 5}
{'descr': '服务挺好，就是设施真的不是一般的旧啊，好处就是离机场超近，坏处就是离机场太近，不过南京的航班不多，晚上不是很吵。行李不多的人可以直接走到机场去。话说机场附近像样的饭店就两家，价格设施都差不多，hoho。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店环境不错，服务态度也好', 'star': 3}
{'descr': '酒店干净整洁，非常适合旅途停留中的客人。', 'star': 5}
{'descr': '＋服务不错，不错设备都很老。', 'star': 3}
{'descr': '很方便，虽然设施有点旧，不过服务还是不错的。 ', 'star': 5}
{'descr': '地理位置方便，非常适合转机入住，餐厅里的菜肴可口，疲乏旅途中不错的停留。', 'star': 5}
{'descr': '房价不低。但对要起早登机的朋友来说，很便利。下次仍为首选。', 'star': 5}
{'descr': '酒店一般，离机场很近，赶飞机的朋友可以选', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '酒店就在机场边上，转机或者赶早班机很方便；房间隔音效果很差，隔壁房间人说话都能听得很清楚。要不是赶飞机，是不会选择这家酒店的，而且价格偏贵的说。', 'star': 5}
{'descr': '设施有点旧但是离机场很近，前往机场比较方便。', 'star': 5}
{'descr': '临近机场，前往机场比较方便，但是房间设备有点旧', 'star': 5}
{'descr': '我选择会推荐的原因是，你如果一定要在南京机场附近住的话，只有这家可以选择。呵呵。', 'star': 5}
{'descr': '离机场很近，条件还可以。一般机场的条件都是这样吧~', 'star': 5}
{'descr': '华联酒店入住条件非常好,交通也方便', 'star': 3}
{'descr': '在禄口赶飞机,只有选这家,服务也不错dfss', 'star': 5}
{'descr': '一般，住过两次了，感觉很一般的，就是离机场近点！~！~', 'star': 5}
{'descr': '酒店环境一般，服务一般，没什么特点，就是地理位置优势', 'star': 5}
{'descr': '房间设施都一般，服务也很一般，为了第二天一早的航班才入住的，今后不住这里了。', 'star': 1}
{'descr': '服务挺好，酒店还派车来机场来接的。', 'star': 3}
{'descr': '酒店内部设施陈旧,商务旅行勉强休息地。', 'star': 3}
{'descr': '酒店很不错，交通便捷。。。。。。性价比不是很高', 'star': 5}
{'descr': '最大的好处，离机场近，到机场办事方便；其他一般', 'star': 5}
{'descr': '还是不错的，去机场比较方便，以后还住。推荐一下。遗憾就是没有早餐。', 'star': 5}
{'descr': '空港酒店环境挺不错的。服务也不错。\n\n楼下的餐厅做的菜也比较有特色。。。。。。', 'star': 5}
{'descr': '相对价格较高，饮食不方便且贵，建议在这里开钟点房等飞机。', 'star': 1}
{'descr': '不错很干净！位置也很好！', 'star': 3}
{'descr': '酒店设施可以更新了。服务还可以。价格也还可以。', 'star': 5}
{'descr': '南京空港宾馆价格适中,服务也非常好,环境不错!', 'star': 5}
{'descr': '位置不错，酒店环境也可以。性价比高。 如果班车能再人性化一点就更好了', 'star': 5}
{'descr': '宾馆环境还是很不错的，又非常靠近机场，还提供免费送机，早上坐飞机很方便！', 'star': 3}
{'descr': '房间很好 很棒 下次还会选择入住 前台服务也很好 有专车接送至机场', 'star': 5}
{'descr': '位置离机场很进。就是贵了点。', 'star': 3}
{'descr': '就是为了赶第二天一早的飞机，酒店设施很一般很一般', 'star': 5}
{'descr': '酒店设备超级古老，淋浴下水道堵塞，水里有一股非常奇怪的味道。地理位置还不错，适合早晨飞机的旅客。', 'star': 5}
{'descr': '为了赶飞机七点多的所以选择的这里，感觉还不错，很方便有班车到机场候机楼，早上6点四十第一班，我自己打的10元就到了，如果还赶早班飞机还会继续选择这里！内部设施也还好，隔音不是很好，这是通病了，不值一提，呵呵！', 'star': 5}
{'descr': '就在机场旁边，赶早机非常方便。酒店还有专车送至候机楼门前，服务很贴心。', 'star': 5}
{'descr': '赶早班飞机很方便，离机场很近。\n不过房间隔音不是很好', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '还是不错的，对于早上赶飞机的人是不错的选择', 'star': 5}
{'descr': '已成功入住。', 'star': 3}
{'descr': '设施一般服务不错', 'star': 3}
{'descr': '登机确实方便，但是酒店设施可以升级了。服务一般。', 'star': 5}
{'descr': '酒店的设备一般\n如果赶早班飞机还可以\n有免费的车接到机场\n', 'star': 5}
{'descr': ' 南京机场空港宾馆还不错  离机场很近  赶早班飞机很方便  只是价格稍微有些贵', 'star': 3}
{'descr': '酒店还可以一般吧', 'star': 3}
{'descr': '非常便利，酒店很干净，步行至机场只需要十分钟，而且酒店有专车接送', 'star': 5}
{'descr': '价格很贵，条件一般 在机场旁边 别无选择， 认宰吧就~~', 'star': 5}
{'descr': '服务很好，管理也很好，就是我的房间电视不太清楚', 'star': 5}
{'descr': '酒店地理位置离机场很近,早上去机场图个方便。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '要乘早日班机最好选住该酒店，除了位置在机场附近外，其他方面一般，价位有些高。', 'star': 5}
{'descr': ' 好', 'star': 3}
{'descr': '酒店离机场是很近的，但是酒店装修很老旧了，前台态度也就一般，价格也不是算很便宜的。', 'star': 1}
{'descr': '酒店还可以。床也满舒服的。就是留的酒店电话出了故障，老打不通，还好问了114要了另一个电话，呵呵', 'star': 3}
{'descr': '就那么回事吧，要不是一早晨的飞机，我是不会住这的。', 'star': 1}
{'descr': '怎么说呢？设备比较老比较旧，确实有待改进', 'star': 1}
{'descr': '离机场好近', 'star': 3}
{'descr': '还好，比之前看到的某些负面评价要好些，装修其实还不错，稍微旧了点，房间的服务在细节方面还不错。', 'star': 5}
{'descr': '这家酒店真的很差，要不是赶早班机我是绝对不会选择这里的。设施差，服务差，价格高。', 'star': 1}
{'descr': '交通很方便 因为离着机场很近 但是房间很简陋 价格不便宜', 'star': 5}
{'descr': '房间设施太老了！但是离机场确实近！', 'star': 3}
{'descr': '南京空港宾馆位置便利但设施略显陈旧。', 'star': 3}
{'descr': '好。', 'star': 3}
{'descr': '感觉不错，相对比较干净，下次还会入住~~~~~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': ' 服务好满意', 'star': 3}
{'descr': '位置很好离机场很近但是里面设施条件不是太好，服务还行，但是环境就是一般化，价格还不错。乘早班飞机的话还是可以值得参考的一家。', 'star': 5}
{'descr': '一入住', 'star': 3}
{'descr': '方便，赶早班飞机有车送机场出发大厅门口，可以好好休息，就是房间旧了点。', 'star': 5}
{'descr': '就在机场的旁边，非常方便，有车接送！就是价格有点贵，不过机场周围也没办法！', 'star': 5}
{'descr': '很近很方便                                  ', 'star': 5}
{'descr': '这个酒店的卖点也就是离机场近,班机早的就入住吧,里面的设施还算清爽,价格稍偏高,还没早餐。', 'star': 3}
{'descr': '不像三星级，倒像大杂院，噪音大，卫生差设备老', 'star': 1}
{'descr': '已入住，感觉条件差了点，卫生间过于简陋。只是去机场还方便，价格如果再低些，也算是个赶早班飞机的好选择。\n', 'star': 3}
{'descr': '价格偏贵，地理交通方便，服务和设施都不错。', 'star': 5}
{'descr': '，房间，床，服务都不错。就是正在重新装修大堂弄得乱点。如果是为赶飞机航班，可以推荐。', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '尽管靠近机场，但是一点都不觉得吵，很安静，下次出差还会去~', 'star': 5}
{'descr': '如果不是因为近机场真是绝对不会住这个酒店，东西好旧，隔音又差，虽然听不到飞机的声音，可是隔壁房的电视声，房外的说话声都一清二楚', 'star': 1}
{'descr': '离机场场近。条件很一般，比较简陋，大厅在装修很不方便，设置的临时大厅不好用。', 'star': 5}
{'descr': '满意！', 'star': 3}
{'descr': '+不错.', 'star': 5}
{'descr': '经济实惠  方便  也比较安静  就是设施陈旧&#183;&#183;&#183;', 'star': 5}
{'descr': '没办法南京机场，这个宾馆最好，南京小地方，机场没象样的宾馆', 'star': 5}
{'descr': '一般！一般！一般！一般！一般！一般！一般！一般！一般！', 'star': 1}
{'descr': '一般吧，是为了早点赶飞机才住的，酒店环境服务都一般', 'star': 1}
{'descr': '距离机非常近，而且晚上几乎没有听到飞机的声音，但是设施严重老化，特别是淋浴喷头，非常可怕', 'star': 5}
{'descr': '很一般 很一般 各方面条件都够不上三星。要不是离机场近，不做考虑', 'star': 3}
{'descr': '酒店位于机场边大概300米 因为早上要座早班飞机 所以选择此酒店较方便 酒店服务好 设施较旧 定时有车送客人到候机楼', 'star': 5}
{'descr': '还不错，主要是离机场很近\n设施一般般吧6          ', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '酒店很方便，也比较干净，设施一般，但是赶早班飞机真的很方便！下次有机会还会住的。', 'star': 5}
{'descr': '陈旧需装修。', 'star': 5}
{'descr': '+宾馆还可以,也许是住的人少的原因吧,房间进去一股气味。不过,宾馆离候机楼确实近,就挨着候机楼。', 'star': 5}
{'descr': '已入住空港宾馆,对酒店的入住手续烦琐很不满意', 'star': 5}
{'descr': '整体感觉很好，就是空调室中央的，温度调节比较慢', 'star': 5}
{'descr': '离机场很近，但是房间设施陈旧，服务态度还行。', 'star': 3}
{'descr': '因为要赶早班飞机，这家宾馆是唯一的选择了', 'star': 5}
{'descr': '比想象中好，性价比比较高,近机场但也不会嘈,值得推荐!', 'star': 5}
{'descr': '因为距离机场近 这是选择它的唯一原因 设施条件都不怎么样 而且价格还不低', 'star': 1}
{'descr': '比较方便，就近机场，如果能设施再改进一下就好了。', 'star': 5}
{'descr': '+宾馆不错，很方便', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '所在的位置特别好.........................', 'star': 5}
{'descr': '房间不错！挺宽敞，距离机场不远，交通方便，唯一缺点就是房间烟味，希望能有所改善！', 'star': 3}
{'descr': '房间不错，挺好！', 'star': 5}
{'descr': '很方便。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '对于我们经常商务旅行的客人来讲，此酒店大大方便了行动，而且设施良好，服务周到。', 'star': 5}
{'descr': '干净清爽', 'star': 5}
{'descr': '+酒店设施比较旧,服务态度还可以,就是房间隔音不理想,转机可以考虑入住,其它就不建议了。', 'star': 5}
{'descr': '房间较大，缺点是隔音较差，晚上住旁边叫吵，床不够大', 'star': 5}
{'descr': '+南京空港宾馆离候机楼和货运中心均很近，十几分钟的步行路程，房间较大，卫生不错，只是底层餐厅有点贵。', 'star': 5}
{'descr': '赶早班机首选，没配送早餐，设施有待更新，其他还算可以', 'star': 5}
{'descr': '房间设施陈旧,冷气不足,不得不借用风扇降温入睡', 'star': 1}
{'descr': '还好', 'star': 5}
{'descr': '赶飞机才住！', 'star': 1}
{'descr': '机场酒店', 'star': 5}
{'descr': '为了赶早班飞机，住的，确实近，但是其他都有待改善', 'star': 3}
{'descr': '南京空港宾馆就是离机场近 ', 'star': 5}
{'descr': '要不是赶早班机是不会住那儿的。可能也是这个原因，使得酒店的管理者认为没必要提高服务，没必要重新装修更新设施吧。', 'star': 3}
{'descr': '酒店走到候机楼也就8－10分钟。早上6：30就有依维柯接送。酒店早饭15一位，比机场的要便宜许多。房间设施陈旧，卫生一般。房间内确实有一些味道，介意这个的就住市区起个早赶过来。酒店走廊里都点了液体蚊香，房间内再点个蚊香片，所以没有被蚊子叮到。酒店外面的蚊子超多。价格高了点，位置的关系也值了。要不是赶早班机是不会住那儿的。', 'star': 1}
{'descr': '就是离机场近 ', 'star': 1}
{'descr': 'ok\r\n\r\n', 'star': 5}
{'descr': '设施服务都较差，有待改进', 'star': 3}
{'descr': '卫生状况一般，设备设施老化，服务有待改善', 'star': 3}
{'descr': '房间挺宽的，设施偏旧，在机场附近价格才是教低的', 'star': 3}
{'descr': '卫生状况有待改善，服务更需提高，与穿酒店工作服的员工（看上去像酒店管理人员）一起进电梯，其他的酒店一般会让拎着行李的客人先进出，并客气地帮忙按按楼层按钮，但这里的员工进出电梯总是争先恐后，表情也很僵硬；餐厅服务员对客人的回答喜欢用“不可以”！', 'star': 1}
{'descr': '说白了就是地角优势，酒店的经营理念绝不是顾客之上的，去住了就等着气受吧！！！', 'star': 5}
{'descr': '干净舒适，很好的酒店，最主要是在机场内，对赶早班飞机的人是最佳去处。', 'star': 5}
{'descr': '比想象中的还要好 ', 'star': 5}
{'descr': '在机场内才入住 用餐很贵的！不在机场就不住了', 'star': 1}
{'descr': '交通就是一个字，好！ 其他一般。', 'star': 3}
{'descr': '酒店吃饭很不方便，附近的餐馆服务业很差劲，机场里面连KFC都没有，一碗面条就要45，真不知道一个省会城市怎么这么差劲，落后自然有落后的道理！', 'star': 1}
{'descr': '位置最好，是关键', 'star': 5}
{'descr': '喂蚊子了。我女儿脸上四五个蚊子包，难以想像，就为乘机方便，不然怎么 住那儿去啊。一屋子霉味儿，还要270呢。唉，机场酒店少只好挨宰了。', 'star': 1}
{'descr': '沒見過那麼髒的地板,房間內的設備老的沒話說,房價暫且不論,吃的卻貴的離譜,蚊子一堆,電蚊香驅都沒用,真不知道是住宿還是喂蚊子,搞不懂那種賓館是憑哪一點評上三星的.恐怕它唯一的優點就是離機場近了.不過,下次寧願花個兩百塊的計程車費\\早上三點起床也要住市區.', 'star': 1}
{'descr': '旧了点,客房面积较宽敞.\r\n', 'star': 5}
{'descr': '房价有点高，其他还好', 'star': 5}
{'descr': '还可以。', 'star': 5}
{'descr': '出行方便所以选择它', 'star': 5}
{'descr': '价格适中，去机场很方便。', 'star': 5}
{'descr': '非常干净的房间，服务态度也很好，饭菜也特别的好吃，下次还会在预定的', 'star': 5}
