{'短评内容': '早餐不错，交通很方便，房间大', '短评打分': 5}
{'短评内容': '和秀兰还是有很大差距的，虽然几千一样。早点很超值。', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店不错，但是早餐太差了，没什么可以吃的，和住宿条件相比差的太远了', '短评打分': 5}
{'短评内容': '去过秀兰的人，就会知道，我为什么不推荐了。价格差不多，品质差很多。', '短评打分': 1}
{'短评内容': '确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！确实很差的，真不想说了！', '短评打分': 1}
{'短评内容': '便捷', '短评打分': 3}
{'短评内容': '位置挺方便的，周边配套也很齐全，就是公寓和酒店混住很不舒服，来来回回的都是公寓的租客。内部整体有些乱，不过房间还是很舒服，很有家的味道，也很干净，就是早餐不怎么样，选择很好，味道不好，收的还很早，9：30就没有了。', '短评打分': 5}
{'短评内容': '房间环境不错，门前广场有点乱。房间环境不错，门前广场有点乱。房间环境不错，门前广场有点乱。房间环境不错，门前广场有点乱。房间环境不错，门前广场有点乱。', '短评打分': 5}
{'短评内容': '去保定看孩子，在你们酒店住过几次，感觉还可以。这周怎么涨价了？260元-------------320元', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '提前3天订的标间，房间挺大，还有个沙发。\n早餐一般，豆腐脑居然有点泛酸。。。感觉四星还是有些水分啊', '短评打分': 5}
{'短评内容': '设备比较陈旧，空调不凉，找维修了说调控的温度比较高，不能刚过立秋就这样吧', '短评打分': 1}
{'短评内容': '第一次住此酒店感觉还可以，早餐也可以，交通比较方便，就是服务要改进', '短评打分': 5}
{'短评内容': '酒店位置不错，在保定比较好的地方，价格在保定的消费水平下还算可以，但是竟然说空调维修，这么热的天没空调了怎么住啊，不过还好，没有太长时间', '短评打分': 5}
{'短评内容': '帮同事预定的，之前住过一次，感觉还不错。', '短评打分': 5}
{'短评内容': '房间宽敞、干净，环境舒适，早餐好，性价比好，推荐！', '短评打分': 5}
{'短评内容': '整体感觉不错，环境舒适，性价比不错。\n早餐不错，并且环境优雅。\n推荐下榻！ \n', '短评打分': 5}
{'短评内容': '这里的环境和卫生都不错呢，这里这个价格值得票价，下次来还会住', '短评打分': 5}
{'短评内容': '酒店MINI吧内没有任何饮料，前台办理CHECK  OUT 时间比较长而且服务不是很好，唯一值得推荐的就是自助餐的品种还勉强可以。', '短评打分': 1}
{'短评内容': '不错的酒店，同事都比较满意，就是卫生间一般般，不过性价比较高', '短评打分': 5}
{'短评内容': '酒店不错，性价比比较高，房间也不错，值得入住', '短评打分': 5}
{'短评内容': '条件还不错,床单也很白,就是一进店有点陈旧的味道,大堂前台应改善下条件,感觉不符合4星标准,建议而已.', '短评打分': 5}
{'短评内容': '位置好，软硬件条件不错，性价比很高，住了很多次了。', '短评打分': 5}
{'短评内容': '总体来说不错，挺安静舒适的，就是卫生间差点', '短评打分': 5}
{'短评内容': '酒店性价比一般，周边餐饮方便，门口修路，出行不方便！', '短评打分': 5}
{'短评内容': '酒店比较干净，是我喜欢的风格，就是早餐简单了点，希望改进！', '短评打分': 5}
{'短评内容': '挺温馨的，前厅略乱些，但性价比不错。餐厅的饭菜味道可以，附近交通也便利。', '短评打分': 5}
{'短评内容': '环境不错，安静，干净，早餐还算丰富。前台服务态度尚可但结账速度较慢！总的来说是不错的 下次去保定还住在这里。', '短评打分': 5}
{'短评内容': '房间里香烟气味太刺激，空调系统的风道里全是烟味。因此，如果不开空调，房间里烟味难以忍受；但是，如果打开空调的循环风，房间里的烟味更呛人（把别的房间的烟雾全吹到你这儿来了）。\n\n电梯藏在一个很难找的角落。', '短评打分': 1}
{'短评内容': '恒通财富中心酒店交通便利，用餐方便，环境舒适，服务一流！', '短评打分': 5}
{'短评内容': '不错，性价比高！', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间内部还行，附近有大商场和超市，走路很方便。电梯很绕，老得记着怎么走。', '短评打分': 1}
{'短评内容': '环境不错,干净卫生。', '短评打分': 3}
{'短评内容': '性价比很高的酒店,装修基调比较简约，偏白色。', '短评打分': 5}
{'短评内容': '＋去后没有标准间了，不过给安排了更好的套房，嘿嘿…', '短评打分': 3}
{'短评内容': '环境很好  不错', '短评打分': 3}
{'短评内容': ' 宾馆位置不错,装修有特色.以后还会去', '短评打分': 3}
{'短评内容': '房间的设施有些陈旧，可能临马路的原因，比较嘈杂，酒店的早餐也很普通。', '短评打分': 1}
{'短评内容': '不错，实惠！！！！！！！\n下次还会选择此酒店！！！！！！！！！！！！！                               ', '短评打分': 5}
{'短评内容': '服务不错，前台态度也很好，晚上还有热牛奶送，这是我一次碰到。\n不过隔音和环境就不行了，房间门的隔音太差，走廊的声音听得一清二楚。凌晨5点和6点竟然有人在街上放礼炮。。。。\n\n不过还是推荐吧，这个酒店在保定可能已经算不错的了，不知道是不是记错了，09年的价格好象是2百多，现在4百多了。。', '短评打分': 5}
{'短评内容': '服务不错，前台态度也很好，晚上还有热牛奶送，这是我一次碰到。\n不过隔音和环境就不行了，房间门的隔音太差，走廊的声音听得一清二楚。凌晨5点和6点竟然有人在街上放礼炮。。。。\n\n不过还是推荐吧，这个酒店在保定可能已经算不错的了，不知道是不是记错了，09年的价格好象是2百多，现在4百多了。。\n\n', '短评打分': 5}
{'短评内容': '每次来保定都住这里。很舒服很干净很方便。服务态度非常好。\n', '短评打分': 5}
{'短评内容': '地理位置好，有地下停车场，推荐入住，属于性价比高的酒店。', '短评打分': 5}
{'短评内容': '房间和办公区共用，特别不好。而且早上高峰期电梯都满满的', '短评打分': 1}
{'短评内容': 'Good service,Comfortable environment. the waiters and waitress are very hospital.', '短评打分': 3}
{'短评内容': ' 定的特价房，到店时由于这个房型已卖完，结果免费升级到套房，很大很舒适，感觉不错，推荐入住。', '短评打分': 3}
{'短评内容': '房间很舒服 很温馨 还会在住         ', '短评打分': 5}
{'短评内容': '很好，硬件软件都不错，地下停车场有专人负责，很安全。', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '老板出差，给老板预定的房间，预定了两个晚上，一个人住还是可以，硬件设施和服务都还不错，地理位置上也是处于比较方便的点。', '短评打分': 3}
{'短评内容': '超过4小时就算是1日计费，感觉比较不人性，就住了一中午，收了一天的钱，比较郁闷，以后建议人性些 ', '短评打分': 5}
{'短评内容': '感觉还不错，服务都还可以，房间很干净，名符其实……只是怎么住酒店还都是酒店的感觉，还是喜欢在家的感觉。', '短评打分': 5}
{'短评内容': '地处高新区，出门交通比较方便，右手不到１００ｍ，有个大超市，周边餐饮选择很多。房间比一般大些，卫士间用玻璃隔断，简洁明亮。', '短评打分': 5}
{'短评内容': '总体还行，商务型酒店，电梯少上下不太方便。', '短评打分': 3}
{'短评内容': '交通较方便，附近就餐方便。性价比一般。下次可以继续入住。', '短评打分': 3}
{'短评内容': '总体感觉一般，早餐品类较少。附近就餐比较方便。', '短评打分': 5}
{'短评内容': '商务型酒店，3星半的标准，到高开区很方便', '短评打分': 5}
{'短评内容': '坐落在保定高开区，位置非常好，周末半价优惠，性价比非常高，值得入住', '短评打分': 5}
{'短评内容': '+好', '短评打分': 5}
{'短评内容': '这个酒店很一般！！！！！                                              ', '短评打分': 5}
{'短评内容': '电视应换液晶的，毕竟是四星酒店啊。其他的都很不错，性价比及舒适度很好。', '短评打分': 5}
{'短评内容': '虽然价格高点,但环境很好,服务不错,早餐不错', '短评打分': 5}
{'短评内容': '房间很大，很舒适，就是早餐比华中假日差很多。', '短评打分': 5}
{'短评内容': '酒店不错，已经住过几次了。房间很大，也很舒适，位置在市中心，很方便。唯一不太方便的是门前停车位比较少。', '短评打分': 5}
{'短评内容': '还不错，大堂不够气派不过房间够4星，地毯稍脏，下次还会入住', '短评打分': 3}
{'短评内容': '酒店位置好找但没有娱乐设施', '短评打分': 5}
{'短评内容': '费用是全保定最高，但是绝对值得。可以说是保定最好的酒店之一！', '短评打分': 5}
{'短评内容': '安静，卫生，时尚，单人间房间内较宽敞，热水24小时有，床大舒适，保险柜、写字台、躺卧椅、沙发都有。就是马桶是坏的，衣柜门一拉就掉，电视不是液晶的，这些还需改进。', '短评打分': 5}
{'短评内容': '房间还可以，早餐还凑合；不过就是写字楼和宾馆是共用电梯，有时候不方便', '短评打分': 1}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '这个价格对于酒店的设施很便宜了，房间整洁，很舒服，要是旅行是个好选择。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比还不错。', '短评打分': 5}
{'短评内容': '早餐一般，电视应该换LCD。', '短评打分': 5}
{'短评内容': '还可以！下次还会住！', '短评打分': 3}
{'短评内容': '酒店还算不错！', '短评打分': 5}
{'短评内容': '装修很时尚 还不错 下次去还会住', '短评打分': 3}
{'短评内容': '比以前便宜了', '短评打分': 5}
{'短评内容': '早餐品种多，房间干净舒服', '短评打分': 3}
{'短评内容': '档次很高，价格合适', '短评打分': 3}
{'短评内容': '早餐很好，值得一住', '短评打分': 5}
{'短评内容': '还不错 只是设施有点旧 其他都很好', '短评打分': 5}
{'短评内容': '酒店的环境很不错，交通便利，闹中取静。', '短评打分': 5}
{'短评内容': '结帐很慢。', '短评打分': 1}
{'短评内容': '酒店位置相当不错，餐饮和购物都比较方便。但早餐品种比较单调，价位38元，价物有点不符，希望能够改进。', '短评打分': 5}
{'短评内容': '在高开区朝阳大街繁华地段，位置较好，象是一个酒店式公寓，人员较杂，环境设施老旧。酒店入口门面不明显，前台接待比较简陋，与酒店不匹配。购物中心就一个柜台，简陋而且不正规。房间比较大，但卫生间只有淋浴，半敞开式，洗澡区域与马桶不完全隔开，洗澡水会溅出并流到马桶这边，不太方便。电视不是液晶的，屋内灯光控制的设计也不太好。餐厅菜品还算丰富，就餐还好。房间价格有点高，总之性价比绝对不如旁边不远的华中假日。\r', '短评打分': 3}
{'短评内容': '还是4年前来过一次，这次再来总体感觉还不错，虽然大堂显得旧了点，房间还是挺新、挺舒适的。房价可能在当地算高了点，可还是觉得值得。', '短评打分': 5}
{'短评内容': '酒店位置很好，购物出行都很方便', '短评打分': 5}
{'短评内容': '在高开区朝阳大街繁华地段，位置较好，象是一个酒店式公寓，人员较杂，环境设施老旧。酒店入口门面不明显，前台接待比较简陋，与酒店不匹配。购物中心就一个柜台，简陋而且不正规。房间比较大，但卫生间只有淋浴，半敞开式，洗澡区域与马桶不完全隔开，洗澡水会溅出并流到马桶这边，不太方便。电视不是液晶的，屋内灯光控制的设计也不太好。餐厅菜品还算丰富，就餐还好。房间价格有点高，总之性价比绝对不如旁边不远的华中假日。', '短评打分': 1}
{'短评内容': '还算不错，只是床比较硬，电视不是很喜欢，配上液晶的就好了。下次继续', '短评打分': 5}
{'短评内容': '在保定算是可以的酒店了，但是价格不是很理想，服务还可以，比较安静，就是酒店设施有点老旧。', '短评打分': 5}
{'短评内容': '还不错的', '短评打分': 5}
{'短评内容': '房间非常干净，简洁，很好，', '短评打分': 5}
{'短评内容': '酒店的周末还是挺便宜的，虽然感觉它的整体条件没有达到四星级的标准，不过跟它的价格相比来说还是比较值的，挺满意的', '短评打分': 5}
{'短评内容': '酒店的装修非常好,服务卫生都很到位,酒店非常不错,值得推荐入住的', '短评打分': 5}
{'短评内容': '早餐的花样种类偏少,其他的项目都不错!', '短评打分': 5}
{'短评内容': '保定恒通财富中心酒店比保定华中假日酒店好', '短评打分': 5}
{'短评内容': '服务还可以，只是洁具有的是坏的，很让人不爽。电视节目一屋一个样，两次入住没能看到一样的台。总体来说如果价格可以在低点应该比较合适。', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;房间不错，寝具也很干净，价格不贵，挺好。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '环境、服务都不错，在高区这个酒店和星光是最佳选择！我把信用卡丢在前台，已经上了车，前台警卫还是跑着追车来送还给我，很感动！', '短评打分': 5}
{'短评内容': '住宿条件的确不错，不过不太满意的一点，就是刚入住就有按摩中心的打进来电话问要不要按摩，这在好点的星级酒店我还是很少碰到。另外早餐品种也不是很丰富，比旁边的星光要差一些。', '短评打分': 5}
{'短评内容': '不错，在保定推荐这个酒店！比中银好！', '短评打分': 5}
{'短评内容': '非常不错的酒店 做为保定人为您首推的酒店', '短评打分': 5}
{'短评内容': '不错、不错！！！设施很先进，房间也很棒！！下次还来', '短评打分': 5}
{'短评内容': 'tai cha', '短评打分': 3}
