{'短评内容': '酒店还可以 房间也挺干净 热水也足  希望换成一次性拖鞋', '短评打分': 5}
{'短评内容': '\u3000中游条件，但性价比还可以，算较干净', '短评打分': 3}
{'短评内容': '不错，值这个价，再加上返利三十就更值了', '短评打分': 3}
{'短评内容': '环境不错！', '短评打分': 3}
{'短评内容': '116值，再返30就更值了。电视是液晶的，信号很好。中央空调，网速也还可以，房间比如家7天的要大得多，热水又烫又大，就是卫生间的设施陈旧了点，但不影响使用哈。前台服务还好，早餐卷按时有专人送到房间，就是打扫卫生的不及时不细致。早餐一般般，按一人一个鸡蛋发放，其他的很简单，稀饭馒头小菜，连水果牛奶豆浆等等都没有，这个价住店还送早餐不指望有多丰富的早餐。临街的房间早上很早就有点吵闹了，夜晚稍好点（过往', '短评打分': 5}
{'短评内容': '床还不错 卫浴还行，就是地上容易积水 电视信号有点问题，早餐不错，整体上将还不错。', '短评打分': 5}
{'短评内容': '?不错。', '短评打分': 3}
{'短评内容': '\n1，交通便利；\n2，服务热情周到；\n3，价格合理，性价比高！\n4，就是浴巾有些旧，下次还住！', '短评打分': 3}
{'短评内容': '服务热情！\n价格合理，性价比高！\n干净卫生！\n交通便利！', '短评打分': 3}
{'短评内容': '电脑房不好，电脑就一摆设，不能用，而且很卡，别的还行。', '短评打分': 1}
{'短评内容': '住了好几次了，感觉还行，就是电脑不怎么好用，而且没有音响，还是值得推荐。', '短评打分': 5}
{'短评内容': '还行 早点很一般 总之还行~！~还行 早点很一般 总之还行~！~', '短评打分': 5}
{'短评内容': '性价比尚可，以后还会入住..哈哈哈哈\n性价比尚可，以后还会入住..哈哈哈哈', '短评打分': 5}
{'短评内容': '服务和早餐都挺好、每天都会把早餐卷送到屋子里。而且每天都会打扫、很好！', '短评打分': 5}
{'短评内容': '空气不怎么好的，厕所不怎么样，服务态度一般', '短评打分': 5}
{'短评内容': '初来聊城考察市场，装修、服务、卫生基本尚可，此价位也只能满足尚可的需求。位置还算可以，远离市中心，比较安静。服务还算亲切，哈哈，早餐的品质菜类比较新鲜，只是有点小气咍，早餐鸡蛋每人发一个，还能把酒店吃穷咋滴，果断表示此酒店老板绝对不是山东人。', '短评打分': 5}
{'短评内容': '比较奥舒服，安静，睡眠很好，下次还会入住的，恩浩，比较值得推荐', '短评打分': 5}
{'短评内容': '地理位置交通方便，对过有超市，总体还行，隔音一般', '短评打分': 5}
{'短评内容': '这次去住卫生间有味，而且电脑不能用，希望能改善，，，，', '短评打分': 1}
{'短评内容': '很好，下次还会在去。。。。。。。。值得推荐', '短评打分': 5}
{'短评内容': '服务很好，环境一般，早餐还行，就是要和工作人员在一起吃饭，总体值得推荐。', '短评打分': 5}
{'短评内容': '1.房间的布置还是满意的，就是觉得房间的淋浴喷头有点低，问了前台是不是所有的房间都是这样的，前台说没有进去过房间。唯一不足就是房间内有苍蝇，不过打过房务中心电话后给我们送来了苍蝇拍。房间的拖鞋是塑料的，要是一次性的就更好了。\n2.我觉得此酒店的房间设备有点老化，卫生间内的挂钩及洗刷台面下设备上有不少锈迹。\n3.还有一点就是，第二天早上六点起来洗澡卫生间没有热水。\n4.第二天早上去吃早餐的时候因为七', '短评打分': 1}
{'短评内容': '房间还好，环境也不错，就是没热水，希望能改改，', '短评打分': 5}
{'短评内容': '第二次入住了，不错，哈哈，服务也好，早餐还是一般', '短评打分': 5}
{'短评内容': '条件还行，就是有点嘲', '短评打分': 3}
{'短评内容': '开始电话咨询的时候问了很多问题，他们的态度很好，都一一解答了，也算很干净的，性价比很高，还有早餐，还会再去', '短评打分': 5}
{'短评内容': '床挺大的，就是设备有点旧，但是对得起这个价位', '短评打分': 5}
{'短评内容': '门面不算大，不是太整洁，在马路边上还很吵，反正只是一般，服务态度还可以', '短评打分': 1}
{'短评内容': '服务很好，装修不错，位置也不错，早餐也不错。不过就是电视不清楚。总体来说，值得推荐', '短评打分': 5}
{'短评内容': '早餐很好，服务很好。房间很大。就是洗澡水不是很热。值得推荐', '短评打分': 5}
{'短评内容': '价格还可以，这个酒店很多年前住过，这次无意中又来了，酒店的房间从新装修过，但是卫生间很是让人郁闷，淋浴的龙头全都锈了，很恶心，而且水压不够。', '短评打分': 1}
{'短评内容': '各项都挺好', '短评打分': 3}
{'短评内容': '套房的卫生有死角，窗帘布应该清洗了，窗台和床底下应该认真打扫', '短评打分': 5}
{'短评内容': '整体还行,就是没热水', '短评打分': 3}
{'短评内容': '房间好冷，另外卫生间的马桶不能上水还要从旁边的水龙头上直接向里面灌水。早晨也就是6点多的时候走廊内就有人大声的说话人来人往了。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，距离市政府和市委都比较近，设施老了一些，建议预定的时候让前台给安排个洗手间设施好一点的房间，早餐也还行，品种在快捷酒店来说还可以', '短评打分': 5}
{'短评内容': '也还不错，工作人员态度都很好！几个事情都感觉到了', '短评打分': 5}
{'短评内容': '酒店的位置和设置还可以，但是打扫卫生的服务员态度很差，让人有些不爽，建议软性服务质量在提高一下', '短评打分': 5}
{'短评内容': '总体感觉还不错，就是房间有点小，有些拥挤，床还不错', '短评打分': 5}
{'短评内容': '遗憾的是自助餐作废了，没吃上，因为前台说早上7点半才开始，我也没去3楼看，早上7点钟有事就急着结账走了', '短评打分': 5}
{'短评内容': '酒店环境还可以，位置也不算偏，10 月4号晚上入住的，6楼没几个人，很是空寂，总体来说推荐入住', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 3}
{'短评内容': '房间挺好 位置也好。早餐也行。唯一不好的是卫生间需要改改。对得起这个价格推荐入住', '短评打分': 5}
{'短评内容': '房间比较宽敞！还好吧，就是隔音有点差！其余的还可以！', '短评打分': 5}
{'短评内容': '酒店不是很好，卫生很脏，尤其浴室，家具也是很简易的那种，前台门面也不好，早餐更是简单，服务一般，而且不能延时，总体来说不是很好，以后不会住那了。', '短评打分': 1}
{'短评内容': '不错，我在那住了一个星期，总体感觉不错，但是服务员打扫卫生不是很及时，其他都比较好，再就是隔音不太好，但是网速很快，交通也很便利', '短评打分': 5}
{'短评内容': '第二次如住了,感觉真不错,下次来还住这!', '短评打分': 3}
{'短评内容': '价格实惠，条件也不错的啊！里面的卫生条件特别好，干净，空气清新。推荐大家以后去聊城出差住这里太实惠了。', '短评打分': 5}
{'短评内容': '房间干净整洁!配套也齐全,总体感觉不错,比快捷酒店满意!', '短评打分': 3}
{'短评内容': '酒店设施不错', '短评打分': 3}
{'短评内容': '很不错，就是晚上出来停水了，等了好久。希望下次改进！！', '短评打分': 5}
{'短评内容': '前台工作人员态度很好，并且大床房也很干净，整个屋也比较干净，卫生间稍微有点不干净，另外厕所是坏的，一直流水。下次去还是回去那住，挺不错的。推荐入住。', '短评打分': 5}
{'短评内容': '住的很不错。性价比超级高 推荐推荐  比想象中好很多 交通挺方便还有早餐，早餐一般', '短评打分': 5}
{'短评内容': ' 挺好的，就是早餐时间有点早！别的都挺好', '短评打分': 3}
{'短评内容': '酒店很不错,挺超值', '短评打分': 3}
{'短评内容': '房间还算大，就是晚上睡觉中央空调不太凉快，可能是被子太厚了。卫生间的卫生要加强。地面有较多的头发没有扫干净。', '短评打分': 5}
{'短评内容': '性价比高，就是空调温度太高，晚上被热醒好多次，早餐也还 不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '昨天以住，比较满意', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': ' 酒店还可以性价比比较高。', '短评打分': 3}
{'短评内容': '可以的挺干净的。', '短评打分': 3}
{'短评内容': '酒店设施完善，干净卫生，床舒适，性价比高', '短评打分': 5}
{'短评内容': '很超值，住了两个晚上，很满意，网速很快，值得推荐！', '短评打分': 5}
{'短评内容': '服务不错，停车有专人看着，房间适中，很干净，这个价位很值，以后要是来聊城还住在这里。就是早餐品种欠缺，望改进。', '短评打分': 5}
{'短评内容': '    性价比很高的住处。如果早餐品种能多一点，那就超级完美了。', '短评打分': 5}
{'短评内容': '聊城人才大厦商务酒店卫生干净，交通便利，24小时热水，价格适宜。马路对面百货大楼超市，购物方便。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '房间味道比较大，沐浴间设施欠维修。房间整体还算干净', '短评打分': 1}
{'短评内容': '不错，感觉还不错，早餐是自助餐，挺好吃的！就是灯不太好用，床头按钮不太好用', '短评打分': 5}
{'短评内容': '强力不推荐！尽管开始服务不错，可是房间“宽带”还不如用猫快,QQ上不去、网页打不开,解释说：节日放假上网人多！？半夜也是上不去。还有就是结账时说使用了商用毛巾？（根本没动）两次上楼确认，最后说是服务员看错了，气愤啊！', '短评打分': 1}
{'短评内容': '酒店服务卫生还好，硬件设施太简单了，总体感觉一般。', '短评打分': 3}
{'短评内容': '服务态度还好，早餐自助的，口味挺不错。', '短评打分': 3}
