{'短评内容': '总之不得已才会选择这这里。真的不是很好。', '短评打分': 3}
{'短评内容': '不错，干净整洁，价格实惠，离车站近比较方便', '短评打分': 5}
{'短评内容': '服务员态度都很好，房间设施齐全，就是电视机开着有一种背景声音很响。还好自带电脑了，网速还OK。', '短评打分': 5}
{'短评内容': '该酒店离市中心有些远，大堂服务较好，房间较小，但还算干净，性价比较高。', '短评打分': 5}
{'短评内容': '除了房间小了点，别的都还不错，下次还会去的', '短评打分': 5}
{'短评内容': '，不错，还会住这酒店，价格实惠，不错，还会住这酒店，', '短评打分': 5}
{'短评内容': '＋比想象中好，服务不错', '短评打分': 3}
{'短评内容': '前台服务态度很好，房间稍小，但感觉很温馨，很舒服，房间小点，不能多开发票。', '短评打分': 5}
{'短评内容': '订了3间 实际也入住了3间\n居然说只住了一间，笑了 不知道什么情况\n虽然要求不高 也不能这样 12点居然没热水了\n前台的服务倒不错 MM也漂亮  \n', '短评打分': 1}
{'短评内容': '订了几次房间。很悲剧的是142元的房子和103的房子一样大。而且142的还不如第一次103的打。第一次在这里订的房子103的还带个阳台的。现在142元竟然那么小。挤死了。不过房间是很干净的。', '短评打分': 5}
{'短评内容': '大床房房间面积实在太小，转个身都困难，写字台跟床的距离最多半米，中间放个凳子可想而知。厕所是更加小的离谱，座便器右侧都靠着墙壁了，估计要胖点的人都没办法用。唯一令人欣慰的是一楼办理手续的服务员态度非常好，因本人忘记带隐形眼镜药水，很晚了在市区转了一遍也没找到眼镜店，结果服务员特地回宿舍把个人的隐形眼镜药水借给我使用，此细节非常让人感动。', '短评打分': 5}
{'短评内容': '下次不会再去如家酒店，有史以来第一次，洗澡洗一半没热水了，下去问了一下，说了过半个小时给回音，结果过了一个小时都没人理我，忍不住又去问了下，说第二天才有，晕！早点说呢！就这服务，还如家呢！', '短评打分': 1}
{'短评内容': '很干净。要是有无线就更好了~顶顶顶。今天晚上再去住。感觉不错。嘎嘎', '短评打分': 5}
{'短评内容': '房间的色调很温馨，干净整洁。给人一种在家的感觉', '短评打分': 5}
{'短评内容': '房间的色调很温馨，干净整洁。给人一种在家的感觉。', '短评打分': 5}
{'短评内容': '交通方便，前台服务态度很好，房间稍小，但感觉很温馨，床上用品是全面的，很舒服。总体印象9.5分吧', '短评打分': 5}
{'短评内容': '虽然离闹市区有五分钟的车程但环境比较安静，房间自然不用多说，住的很舒服。', '短评打分': 5}
{'短评内容': '干净，房间小。服务周到。价格优惠\n位置太偏僻了一点。', '短评打分': 5}
{'短评内容': '很好 一贯的清洁 很是舒服的说 房间当然也是一如既往的小', '短评打分': 5}
{'短评内容': '优惠活动很给力，房间还是挺干净的，设施也不错，推荐！', '短评打分': 5}
{'短评内容': '连锁酒店至少能保证比较卫生，总的来说还是不错的。', '短评打分': 5}
{'短评内容': '房间虽小但很干净、服务员热情、交通比较方便，以后还会光顾！', '短评打分': 5}
{'短评内容': '热水很好。不是中央空调。\n地理位置也方便找。', '短评打分': 5}
{'短评内容': '位置不错，蛮干净的，不过周边吃饭不是很方便', '短评打分': 5}
{'短评内容': '酒店位置不错，停车不方便，周边吃饭可选择的很少！房间比较干净！', '短评打分': 5}
{'短评内容': '性价比不错，还可以的，不错的，比较实惠。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净，清爽。总体感觉比较温馨。就是房间比较小。', '短评打分': 5}
{'短评内容': '如家客房空间虽小，五脏俱全，关健是卫生条件还是不错的。可惜附近没什么吃饭的地。', '短评打分': 3}
{'短评内容': '位置率为偏了点点，比我想象中好，卫生间够大，就是隔音差了点。总的来说，还算超值，去临安选它不错。', '短评打分': 5}
{'短评内容': '离市中心不远走20分钟可到广场，房间很整洁住的很舒服。', '短评打分': 5}
{'短评内容': '不错，挺舒适的。不足：隔音差一些。楼上、隔壁声音都听到。', '短评打分': 3}
{'短评内容': '住宿还算方便，但是没有专门的停车场，也没有早餐。', '短评打分': 5}
{'短评内容': '和别的如家相较一如既往的干净，但是房间小，洗澡水小，不提供早餐。对面就是加油站和洗车场，附近的包子店味道不错。', '短评打分': 5}
{'短评内容': '房间除了面积小了点之外，其他方面都满好的~干净整洁，安静温馨。\n\n这家的实习生态度特别好，麻烦了他们很多次，依然是面带微笑的予以帮助。\n', '短评打分': 5}
{'短评内容': '如家一如既往，干净，功能基本全，房间小点，这次的价格不错！', '短评打分': 3}
{'短评内容': '总体还不错，宾馆内部和房间内蛮干净的，设施也可以但某些细节有待提高，服务态度也不错。价格OK了。宾馆位置离商业餐饮地段有一点小远，打车也就RMB5元。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店不错，经济实惠，距离市中心，赞一个！', '短评打分': 5}
{'短评内容': '还不错哦，如家一如既往的好哦，下回来还住这里。', '短评打分': 5}
{'短评内容': '整洁、规范，如家品质保障。就是靠马路的房间噪音比较大，没有专用停车场。', '短评打分': 5}
{'短评内容': '不错，还行 ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店环境不错，房间也很干净，美中不足的是没有停车场，说是晚上有保安看车，停在酒店门口还是有点不放心。希望酒店能有个停车场。如果不开车的朋友，到这里住店还是不错的。', '短评打分': 5}
{'短评内容': '酒店房间还是蛮干净的， 就是房间有点小。 对酒店要求不高的客人是可以一住的', '短评打分': 5}
{'短评内容': '酒店非常干净，整洁，下次去还会选择这家酒店', '短评打分': 5}
{'短评内容': '房间太小了，卫生间还行', '短评打分': 3}
{'短评内容': '房间较大，没早餐。', '短评打分': 3}
{'短评内容': '酒店停车不方便，服务很不规范。', '短评打分': 3}
{'短评内容': '不错的。干净。房间小，但还有个小阳台，离市中心近，无早餐。饿的慌。', '短评打分': 5}
{'短评内容': '没有早餐，附近也没有吃饭的地方，很郁闷阿。被子还不错，很舒服。', '短评打分': 1}
{'短评内容': '*很好。', '短评打分': 3}
{'短评内容': '隔音很不好！\n其实的都还行，服务态度好，房间算干净', '短评打分': 5}
{'短评内容': '服务很不错', '短评打分': 3}
{'短评内容': '大床房房间太小了 其他满意 喜欢小房间的可以选择', '短评打分': 3}
{'短评内容': '酒店还不错和快捷酒店都一样没多大区别，房间设施也行不是很旧，价格还是挺合适优惠的。', '短评打分': 5}
{'短评内容': ',房间还算干净，但是隔音很不好', '短评打分': 3}
{'短评内容': '房间有点小，不过还比较干净，前台服务也还可以，就是没有早餐，出去吃也不是太方便', '短评打分': 5}
{'短评内容': '离市中心比较远，没有早餐，要到附近早餐店买。', '短评打分': 3}
{'短评内容': '酒店很干净，蛮有家的感觉，粉粉的床罩，很喜欢！', '短评打分': 3}
{'短评内容': '这家店在当地交通主干道边，预定好后就电话询问有无停车场，到了就是们面前的一点地方就算停车场，由于回去晚了还让我们把车停在马路上（提心吊胆了），晚上大卡车一辆接着一辆，隔音又差，结果一宿没睡，第二天赶紧退房（原来预定2天的），煎熬啊。不过服务什么的都还可以，说是发票给寄过来，只是还没收到。', '短评打分': 1}
{'短评内容': '地理位置还可以，卫生都挺好的，就是早上马路边有点吵，不能睡懒觉', '短评打分': 5}
{'短评内容': '房间还是比较干净的，又是连锁的，喜欢他们家的床单粉粉的，感觉就是回到了家！', '短评打分': 5}
{'短评内容': '很不错，谢谢。', '短评打分': 5}
{'短评内容': ':没有发票怎么办?', '短评打分': 5}
{'短评内容': '谢谢', '短评打分': 5}
{'短评内容': '其他都不错就是房间稍微小了一点，性价比还是比较高的！', '短评打分': 5}
{'短评内容': '房间太小，没有早餐让旅客不爽啊', '短评打分': 5}
{'短评内容': '酒店停车不是很方便.主要是车位不多.新开业不久,条件还不错.就是用餐不是很方便.不过综合来讲还算可以.', '短评打分': 5}
{'短评内容': '酒店条件综合来讲还不错,硬件条件很好,软件服务也不错,服务人员态度都很热情周到,整体感觉很好.', '短评打分': 5}
{'短评内容': '酒店的条件还不错,综合性价比蛮高的,而且服务也很周到,整体来讲还可以.', '短评打分': 5}
{'短评内容': '就是位置有点偏  其他都不错呢  环境比较好的 下次回去住', '短评打分': 5}
{'短评内容': '酒店环境还是比较清洁整洁。', '短评打分': 5}
