{'descr': '房间有点小', 'star': 4}
{'descr': ' 很好', 'star': 3}
{'descr': '不太好找，很安静…', 'star': 3}
{'descr': '圆床很漂亮 值得选择  就是酒店位置不好找', 'star': 5}
{'descr': '地方不太好找，房间有点小，但设施还算齐全，还可以吧！', 'star': 1}
{'descr': '就是难找了点，现在旅游旺季这个价位也算划算了。', 'star': 5}
{'descr': '这次是帮朋友定的，介绍到这里，酒店的圆床很有意思', 'star': 5}
{'descr': '附近的烤鱼很好吃，楼下有个小吃店，驴肉火烧店的早餐很好吃', 'star': 5}
{'descr': '装修独特.房间太小.只适合休闲渡假不适合商务接待', 'star': 3}
{'descr': '房间太小，还算干净，刚装修的，比汉庭略强，网速不是一般的慢，服务员态度还行', 'star': 1}
{'descr': '总的来说，性价比不高。\n吹嘘说四星，是绝对欺骗未到访的旅客。实际上没挂星，大概三星都不够。\n位置的确是不好找。服务人员明显冷淡。人气几乎没有（所以，可以认为有一个好处就是安静）。\n我推荐它的原因是，装修有特色。值得去体验一次。但是，基本上来说，一次就够了。呵呵\n灯光非常暗，大厅和招牌外墙，以及客房的灯光都很暗，不宜看书。要求换房呢，说房都订出去了。实事上都空着，后来因为马桶原因，换了一个，不过灯光', 'star': 5}
{'descr': '地方不是很好找，要电话值班人员才知道；\n星级肯定没有4星级别的，准3星吧，个人觉得；\n房间比较小，这在北京好像都是通病；\n地毯、瓷砖、墙体都有点老旧了；\n所谓的精品酒店，和上海或其他相比，差太多了；\n酒店不提供水和吃的，你半夜饿了很难办，是个问题；\n不过唯一值得称道的是，酒店的服务人员还不错，挺热情和耐心。\n就个人感受而言，以后不会再入住了。', 'star': 1}
{'descr': '房间太小，也不是非常卫生，不推荐.........', 'star': 1}
{'descr': '卫生有些差', 'star': 3}
{'descr': '位置很隐蔽，房间比较小', 'star': 3}
{'descr': '精品不精。性价比不高。提醒--周边同类酒店很多。', 'star': 1}
{'descr': '很不错`\\', 'star': 3}
{'descr': '很好的', 'star': 3}
{'descr': '房间很精致，安静，适合情侣住，就是位置不好找，在左家庄东街上汉庭对面的小区进入右转', 'star': 3}
{'descr': '很不错！', 'star': 3}
{'descr': '实在找不到酒店了，到了这家，如进了防空洞，黑漆漆的。冲凉房下水不通，洗个澡差一点水漫金山。', 'star': 1}
{'descr': '就是太难找了，开车过去，看见楼，不知道怎么过去，折腾半天。\n服务人员太少了，等待时间有点长。不过态度都挺好的。\n房间很小，但是气氛确实挺好的。床单什么的不是特别干净，凑合吧，在这个物价飞涨的时代，这也算是性价比可以接受的了。', 'star': 5}
{'descr': '很差的酒店，位置很偏 房间很小 设施很脏很旧 服务很差 酒店有种阴森森的感觉 只看见个前台 连个人影都看不到 再也不敢住那了。', 'star': 1}
{'descr': '缺点：房间有点小，热水不太稳定，位置比较隐蔽。\n优点：装修别致，有个性。', 'star': 5}
{'descr': '房间温馨整洁 很舒服的地方 就是不太好找', 'star': 5}
{'descr': '酒店很安静，离会展很近，交通便利，但设备比较陈旧离没有在街面上。', 'star': 5}
{'descr': '酒店里的设施比较老了,舒适度也稍微差了点,所以就感觉当时的价格有点贵,不过地理位置还是蛮方便的.', 'star': 1}
{'descr': '无热水(代打)，无卫生纸', 'star': 1}
