{'短评内容': '不错，很好，老板娘很热情！住啦三天，在她那里', '短评打分': 5}
{'短评内容': '如果大家不怕蟑螂的话，那就住吧！反正我是怕了，一夜无眠。实物与照片差距太远了。整个房间家具就像是二手店的垃圾货，几百年没打扫过，脏死了，床单更是一片片污迹，恶心死了。', '短评打分': 1}
{'短评内容': '价格优惠，环境也不错，房间很干净，离中山路、轮渡码头都很近', '短评打分': 5}
{'短评内容': '没有招牌，找了好久。根本不是酒店，也不是农家乐那种，纯粹是公寓楼，里面一些房间是拿来出租的，一些房间时人家买下来自己住的。床底下很脏，好像打扫时把垃圾都扫到床底下去了，被子上有洞像是被老鼠咬过的一样。', '短评打分': 1}
{'短评内容': '非常实惠的酒店  离码头和步行街都很近  老板和老板娘都很好  ', '短评打分': 5}
{'短评内容': '说实话，如果现在再让我定这个酒店，我宁可多花钱住连锁的。\n1，卫生实在不敢恭维，床单被套一些小印记就当做看不见了，还都是破的，卫生间各种忍受\n2，空调噪音，冰箱各种脏，电灯开关各种粘液\n3，很难找这个地方，公寓楼各种迷宫\n优点也就是离中山路和轮渡近吧', '短评打分': 1}
{'短评内容': '房间真的很大.用品很齐全.就是冷气有些声音.', '短评打分': 5}
{'短评内容': '老板比较好人，公寓地址也比较好，很近中山路。房间比较大，价格是个优势，不过感觉房间卫生需要加强，我发现过一个小强。。其他的还可以。。', '短评打分': 5}
{'短评内容': '地理位置很不错，就是房间太空了些，老板态度很不错，人热情', '短评打分': 5}
{'短评内容': '价格优惠，环境不错，宽敞。特别是酒店的管理人员的服务态度很好，很热心帮忙有需要的人！！', '短评打分': 5}
{'短评内容': '还不错~~~~~~~~~~~~~~~~~~~~~~~~~`', '短评打分': 5}
{'短评内容': '非常好。位置在市中心，交通方便。火车站坐21路车，思东站下车，对面就是名汇大厦。房间宽敞。', '短评打分': 5}
{'短评内容': '空间大看上去会有点空旷，性价比还是可以的，主要还是地理位置的优势', '短评打分': 1}
{'短评内容': '环境太差，设施不全，走道黑漆漆的，有点小可怕', '短评打分': 1}
{'短评内容': '卫生做的不是很好，尤其是我们来的时候恰好没有打扫房间，于是看到比较汗颜的一幕，沙发上的垫子都在地上被子拖着地，不知道上一个住户经历了怎样的恶战，没有看到还好，即使是打扫过之后垫子在沙发上，被套也换过，可是还是很别扭的。房间够大，洗澡也可以，位置还不错，很方便', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '位置很方便，房间挺干净的，总体来说不错，值得推荐', '短评打分': 5}
{'短评内容': '酒店老板很热情,酒店位置非常好,这个价住这样的店,足矣了。 ', '短评打分': 3}
{'短评内容': '环境不错…大床和商务都住了…房间空间很大…个人还是比较喜欢大床房…', '短评打分': 3}
{'短评内容': '地段很不错，出门就是思明电影院，转弯就是有名的中山路了。\n晚上出来觅食很不错。\n房间真的好大！不过热水器似乎开久了就不热了，需要等待一下。', '短评打分': 5}
{'短评内容': '空间大看上去会有点空旷，性价比还是可以的，主要还是地理位置的优势。', '短评打分': 5}
{'短评内容': '  交通便利，住宿环境一般，周边商业繁华', '短评打分': 3}
{'短评内容': '，房间宽敞，地里环境好，交通方便。', '短评打分': 3}
{'短评内容': '地理位置及佳，价格便宜，老板夫妇人很好，对我们帮助很多，表示感谢！但是酒店的设施比较简陋和陈旧，卫生不理想；这也是这类私人开的小规模公寓式酒店的通病，入住标准难以统一。不过名汇广场里面这类的酒店很多，希望能够互相竞争，共同提高标准。', '短评打分': 5}
{'短评内容': '很简单，，沿海城市的设施就是要比内地差很多，房间确实大，最不满意的就是热水，简直不行，热水只有2-3分钟，没有办法洗澡，，', '短评打分': 1}
{'短评内容': '还不错，价格便宜，就是有点难找，还有就是空调太老旧了', '短评打分': 5}
{'短评内容': '有点脏，设施不够好。觉得这个加钱不值', '短评打分': 3}
{'短评内容': '地段很好，离中山路很近，走路只有几分钟的时间，到轮渡也很近，很方便。就是床有点不太好，一动就吱吱响。', '短评打分': 5}
{'短评内容': '卫生不是很好，环境也不是很好，有些东西坏了，优点是比较宽，有洗衣，可以晾衣服。', '短评打分': 5}
{'短评内容': '地段很不错，离中山路很近。交通也很方便。 酒店公寓，住着和家一样。 老板很客气，住了三天老板基本对客人属于放养式，很自在。热水很大，还有冰箱设施很齐全。性价比比较高的一家店。好评！', '短评打分': 5}
{'短评内容': '在市中心，去轮渡码头和中山路步行街都是超近的，去厦大也是出门口就有公交了，美中不足是要跟店主说清楚打扫才会给你打扫房间，第一天打电话让打扫房间，结果就给收拾了下垃圾，地板也没有拖。。住的地方不错，有不少小小强。。。所以，卫生就比较差点，要住还是很OK的，洗衣机等设备都有，地方也够大', '短评打分': 5}
{'短评内容': '  不错，服务泰度很好，有家的感觉', '短评打分': 3}
{'短评内容': '老板比较热情！环境不错，离中山路和轮渡很近噢  ', '短评打分': 3}
{'短评内容': '价位相对于服务不算高，原来也没住过类似酒店式的公寓，房东3天没给换垃圾桶，短期旅游比较适合', '短评打分': 5}
