{'短评内容': '停车方便，安静', '短评打分': 5}
{'短评内容': '卫生条件还可以，设施陈旧，不完善，空调一开，噪音很大。性价比一般，下次会在考虑其他酒店看看', '短评打分': 1}
{'短评内容': '卫生条件还可以，设施陈旧，不完善，空调一开，噪音很大。性价比一般，下次会在考虑其他酒店看看', '短评打分': 1}
{'短评内容': '春节入住的，外面环境是很好，早餐也不错。就是给安排了副楼，里面装修和设施都是十年前的，很旧，水龙头冷热很难控制，而且房间有异味。', '短评打分': 1}
{'短评内容': '春节入住的，外面环境是很好，早餐也不错。就是给安排了副楼，里面装修和设施都是十年前的，很旧，水龙头冷热很难控制，而且房间有异味。', '短评打分': 1}
{'短评内容': '酒店外部环境很好，但是普通标间的卫生比较差。早餐也令人失望。', '短评打分': 1}
{'短评内容': '酒店外部环境很好，但是普通标间的卫生比较差。早餐也令人失望。', '短评打分': 1}
{'短评内容': '酒店价位比较适中.位置非常棒.背靠山（文屏山）.一年四季很美.从酒店步行15-20分钟左右就可以到海边浴场.到火车站出租车10元就可以过去.周边的风景非常美.', '短评打分': 5}
{'短评内容': '酒店价位比较适中.位置非常棒.背靠山（文屏山）.一年四季很美.从酒店步行15-20分钟左右就可以到海边浴场.到火车站出租车10元就可以过去.周边的风景非常美.', '短评打分': 5}
{'短评内容': '我去的时候正好是旅游旺季，厦门的酒店基本都满了，最后找到这家，一进房间感觉装修好老旧啊，卫生打扫的还比较干净，设施也比较齐全，酒店的位置还可以，就是感觉老旧，价格也不合适。', '短评打分': 1}
{'短评内容': '我去的时候正好是旅游旺季，厦门的酒店基本都满了，最后找到这家，一进房间感觉装修好老旧啊，卫生打扫的还比较干净，设施也比较齐全，酒店的位置还可以，就是感觉老旧，价格也不合适。', '短评打分': 1}
{'短评内容': '总体感觉挺好，性价比不错', '短评打分': 5}
{'短评内容': '总体感觉挺好，性价比不错', '短评打分': 5}
{'短评内容': '我们是2010年2月14日入住的，那几天厦门阴雨连连，最高气温也就十一二度，房间空调没有暖风，屋里比屋外还冷。客房服务还行，给我们加了一条毯子，但还是让我们这些北方来的游客着实冻着了一把。卫生间洗手池设计的不好，开水龙头时水会溅到马桶上。当然也有优点，环境比较幽静，出门坐公交车比较方便，起始站基本有座。前台服务不错。总体来说还基本满意。', '短评打分': 5}
{'短评内容': '我们是2010年2月14日入住的，那几天厦门阴雨连连，最高气温也就十一二度，房间空调没有暖风，屋里比屋外还冷。客房服务还行，给我们加了一条毯子，但还是让我们这些北方来的游客着实冻着了一把。卫生间洗手池设计的不好，开水龙头时水会溅到马桶上。当然也有优点，环境比较幽静，出门坐公交车比较方便，起始站基本有座。前台服务不错。总体来说还基本满意。', '短评打分': 5}
{'短评内容': '本人喜欢安静，贪图青山绿水，因此不怕偏僻，抱着期望、不远千里，从北京来到厦门，于二零一零年二月二十六日住进这个曾经是一些特殊人物才能利用的原南昌铁路局厦门疗养院。果然不负我望，这里山回路转，林木郁郁，红花点点，水声潺潺，宛如人间仙境。然而，当我拿着自备吃食，借用餐厅里的微波炉加热时，走进了那个厨房，刺鼻的臭味和惨然的景象令我倒退三步。满地满墙壁满桌上满橱柜都是黑乎乎、滑溜溜，惨不忍睹。我捂住鼻子，', '短评打分': 5}
{'短评内容': '本人喜欢安静，贪图青山绿水，因此不怕偏僻，抱着期望、不远千里，从北京来到厦门，于二零一零年二月二十六日住进这个曾经是一些特殊人物才能利用的原南昌铁路局厦门疗养院。果然不负我望，这里山回路转，林木郁郁，红花点点，水声潺潺，宛如人间仙境。然而，当我拿着自备吃食，借用餐厅里的微波炉加热时，走进了那个厨房，刺鼻的臭味和惨然的景象令我倒退三步。满地满墙壁满桌上满橱柜都是黑乎乎、滑溜溜，惨不忍睹。我捂住鼻子，', '短评打分': 5}
{'短评内容': '环境不错 有点花园式酒店的感觉 酒店大堂也较好 房间有地毯 但硬件条件一般 卫生间比较小 床也小 总体还是不错的', '短评打分': 3}
{'短评内容': '环境不错 有点花园式酒店的感觉 酒店大堂也较好 房间有地毯 但硬件条件一般 卫生间比较小 床也小 总体还是不错的', '短评打分': 3}
{'短评内容': '总体位置还不错 比较安静 有点花园酒店的感觉  大堂也不错 比较亮堂  酒店内都铺有地毯，但设施略显陈旧 床也不够大 不是特别舒服', '短评打分': 5}
{'短评内容': '总体位置还不错 比较安静 有点花园酒店的感觉  大堂也不错 比较亮堂  酒店内都铺有地毯，但设施略显陈旧 床也不够大 不是特别舒服', '短评打分': 5}
{'短评内容': '位置还是可以的,价格也比较合理,服务态度还是比较好,挺不错的酒店.', '短评打分': 3}
{'短评内容': '位置还是可以的,价格也比较合理,服务态度还是比较好,挺不错的酒店.', '短评打分': 3}
{'短评内容': '除了对他们家把两个小床拼起来当大床给我不满意之外，其他的都非常满意', '短评打分': 5}
{'短评内容': '除了对他们家把两个小床拼起来当大床给我不满意之外，其他的都非常满意', '短评打分': 5}
