{'短评内容': 'B栋房间很大', '短评打分': 4}
{'短评内容': '还不错，展会期间人多的时候要再井井有条就好了', '短评打分': 5}
{'短评内容': '房間寬。。。不過網速有點低  有些房間凳子是壞的  別的都還可以', '短评打分': 5}
{'短评内容': '旧楼的房间非常的大，很好！！！\n下次还会入住！！', '短评打分': 5}
{'短评内容': '非常舒适的客房，服务极佳！', '短评打分': 3}
{'短评内容': '1、早餐不错；\n2、它有新、旧两个楼，新的会贵点；\n3、我住在旧楼，我觉得还可以，不过我在床底下发现用过的安全套，打扫卫生阿姨要仔细了；\n4、旧楼设施需要维修一下，1002网线插孔损坏\n4、有水果送', '短评打分': 5}
{'短评内容': '房间很冷，要求酒店多拿两床被子，都有尽力满足要求，退房时忘了拿东西，酒店有尽到告知义务，很窝心。', '短评打分': 5}
{'短评内容': '服务很周到，每晚服务员都会提供水果，早点也很丰富！', '短评打分': 5}
{'短评内容': '宾馆不错！我们要了三个房间！一个特大！价格都一样！值的哦！', '短评打分': 3}
{'短评内容': ' 房燥空调音大,餐厅的服务很差劲,餐费的信息与大堂信息脱节,不一致.退房手续办理很慢,且发票没有及时配备.总体感觉很差.', '短评打分': 3}
{'短评内容': 'they give me old block which is dirty and no good. but I check the new block which is very good, so next time must takethe new block', '短评打分': 1}
{'短评内容': '这个酒店还不错，我是展会期间住的，贵了点，其他都还好，离繁华区也近，在明丰广场附近。附近有很多中挡的快餐厅，比如，永和大王、肯德鸡麦当劳之类的餐饮。酒店的餐厅好贵哦，我住的是商务大床房，只有一个早餐卷，如付现金要58元一个早餐，而且很普通的早餐。', '短评打分': 5}
{'短评内容': '新装修的酒店，整体还不错，早餐一般，靠近商业中心，比较方便。问题就是酒店刚开业，气味很重，服务不太规范，但服务态度很好', '短评打分': 1}
{'短评内容': '新开酒店，装修气味很重，服务态度客户，但小问题很多。。。。。。。。。。。。。。。。。。。。。靠近镇中心，位置比较方便', '短评打分': 1}
{'短评内容': '酒店早餐丰富，房间卫生不错，服务态度也很好！', '短评打分': 5}
{'短评内容': '酒店地理位置非常好，唯一的缺陷是停车位少！', '短评打分': 5}
{'短评内容': '房间有点小，写着是32~40平方，但实际只有26平左右，空调和大众住的说的一样制冷慢，需要开很久才凉。', '短评打分': 5}
{'短评内容': '酒店设施有点老旧，房间有异味。网速挺快的，服务质量尚可！', '短评打分': 1}
{'短评内容': '服务很好，硬件设施也不错，就是空调不够凉。:-)', '短评打分': 3}
{'短评内容': '第2次入住，但是上次提到的问题仍然没有解决：就是空调不够冷。特别刚到房间的时候是特别的热，只能等到半夜了 ，才感觉到凉快些。觉得酒店就是承认错误，但是坚决不改的态度令我很不满，所以不推荐。', '短评打分': 1}
{'短评内容': '环境不错，挺好的。就是空调不够冷，前台的MM不够礼貌。', '短评打分': 5}
{'短评内容': '酒店内部设施还不错，大床有些硬，交通不太方便很难打车，但是就价格来说还可以了。', '短评打分': 3}
{'短评内容': '周围交通便利,房间干净.服务热情.早餐相对比较简单.另外,冲凉房间感觉在冲凉的时候水流比较慢.其他非常满意也值得推荐.', '短评打分': 5}
{'短评内容': '交通方便，环境一般，宽带不太稳定，服务态度还算不错。', '短评打分': 1}
{'短评内容': '交通方便，环境一般，宽带不稳定，早餐一般般，服务还算不错。', '短评打分': 5}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '房间很大，不错，就是米有停车场~~对于开车来的客人不方便', '短评打分': 1}
{'短评内容': '非常一般的酒店，房间里一股怪味，灯光很暗', '短评打分': 1}
{'短评内容': '蛮好，蛮好，蛮好，蛮好，蛮好，蛮好，蛮好，', '短评打分': 5}
{'短评内容': '很干净，很方便，里商业中心很近但是又不吵闹，入住时还有水果赠送，推荐！', '短评打分': 5}
{'短评内容': '很不错的酒店，房间大。地理位置也不错。值得推荐', '短评打分': 5}
{'短评内容': '不错的酒店 房间里的感觉 交通位置都不错 下次还是会考虑使用这个酒店', '短评打分': 5}
{'短评内容': '服务不错，酒店客房面积也较大。如果每间房间有直线电话就好了，不用每次都通过前台转接。', '短评打分': 5}
{'短评内容': '+房间很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': 'hao1234565555555555555555555555555555', '短评打分': 5}
{'短评内容': '我对卫生方面要求很高，这家酒店做得还不错，屋子收拾挺利索，床单每天及时更换。', '短评打分': 5}
{'短评内容': '酒店不错，干净，房间大，带泳池和。\r\n下次去还住这里。', '短评打分': 5}
{'短评内容': '性价比一般，普通连锁酒店的档次， 但价格比较高。', '短评打分': 3}
{'短评内容': '酒店一般, 连锁酒店的档次, 但价格较高, 好在前台服务不错,起的晚, 没有品尝早餐, 不知道早餐如何.', '短评打分': 1}
{'短评内容': '服务还不错，挺专业的，卫生很好，房间很干净，周边购物出行挺方便的，这家酒店可以推荐一下。', '短评打分': 5}
{'短评内容': '除了网络不是特别好，其他都不错。地理位置不错。', '短评打分': 5}
{'短评内容': '酒店环境挺好的，位置还是比较好找，房间也还不错，价格还是蛮不错，性价比还是挺高的。', '短评打分': 5}
{'短评内容': '卫生设施都不错，酒店环境还行出行比较方便离商业街也很近，价格也合适但是相对比这家要好的便宜的也有。', '短评打分': 5}
{'短评内容': '酒店整体装修的很不错，蛮豪华的，房间很大，很宽敞，采光特别好，很明亮，空气清新，很安静，一点也不吵，住着特别的舒适', '短评打分': 5}
{'短评内容': '酒店环境很优雅，地理位置不错，购物和出行都很方便，房间硬件设施齐全，服务很到位。', '短评打分': 5}
{'短评内容': '卫生条件不错，很干净，每天都有服务员按时打扫房间，也会换一次床单，感觉很不错，住着蛮放心的。', '短评打分': 5}
{'短评内容': '服务很好，服务员说话的语气和表情都很客气和热情，感觉很不错。住宿环境很好', '短评打分': 5}
{'短评内容': '酒店管理的很好，软硬件都很不错，环境不错服务也非常到位。', '短评打分': 5}
{'短评内容': '早餐口味不错，另外酒店在镇中心，不管是坐车，购物还有娱乐都很方便，真的挺不错的', '短评打分': 5}
{'短评内容': '镇中心的酒店出行交通很方便，附近逛街购物很不错。', '短评打分': 5}
{'短评内容': '办理入住时没有等太长时间，服务员的专业水平还是有的，房间装修的很古朴，红木颜色的家居，感觉很上档次，住宿环境还算可以', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间住着很舒服，硬件设施一应俱全，服务很到位，不错的酒店，推荐一下', '短评打分': 5}
{'短评内容': '酒店的设施配置比较全，档次标准也很高，对君濠还是很满意的。', '短评打分': 5}
{'短评内容': '房间很大很宽敞，装饰的比较豪华。', '短评打分': 5}
{'短评内容': '或许在我第二次入住时才能认真点评吧。呵呵，目前给我的感觉还可以。', '短评打分': 5}
{'短评内容': '环境优静,服务态度好,但提供的水果不新鲜.', '短评打分': 5}
{'短评内容': '周邊環境不錯，房間夠大，室內衛生OK，值得推薦', '短评打分': 5}
{'短评内容': '房间很大很宽敞,地段比较繁华,可以去逛街.总体不错的.', '短评打分': 5}
