{'短评内容': '住着还顺心', '短评打分': 3}
{'短评内容': '酒店设施太陈旧了，位置还是比较不错。这个酒店在当地挺标志性的，但日益竞争的酒店格局下，应该想想办法怎么能在这个市场中发展下去。', '短评打分': 1}
{'短评内容': '这是我第1次住云龙，感觉一般； 服务态度很好，服务员很和蔼、有求必应； 早餐实在不敢恭维（住了4天只吃了一顿早餐）\n\n.', '短评打分': 1}
{'短评内容': 'jkuihhhhhhhhjjjjjjjjj', '短评打分': 5}
{'短评内容': '装修太老了，位置还可以，停车位也太少了，隔音效果不是很好。', '短评打分': 1}
{'短评内容': '酒店干净 楼层高 观景方便  \n另外楼内6.7楼设有餐厅 KTV 好像还有茶楼等娱乐设施\n很方便 ', '短评打分': 5}
{'短评内容': '因为是在该酒店附近办事，所以选择了这家酒店。', '短评打分': 5}
{'短评内容': '交通便利，价格便宜。卫生清洁，服务上乘。是旅游公务的首选酒店。', '短评打分': 5}
{'短评内容': '连续住了几个晚上，总体还可以，就是设施太陈旧了，需要更换啦！地理位置不错。', '短评打分': 5}
{'短评内容': '总体来说，一般，厕所洗澡的地方淌水，洗个澡水流了一地', '短评打分': 1}
{'短评内容': '+房间还行，就是订房折扣太少，宾馆门市价为200元。', '短评打分': 5}
{'短评内容': '设施较旧,床不舒服，电视老旧，热水难调，唉无语了。', '短评打分': 5}
{'短评内容': '商务套房性价比不错，卫生间设计有问题，淋浴溅出来的水竟然没有地漏排掉。', '短评打分': 5}
{'短评内容': '因为是给妹妹一家订的，所以本人没有享受到服务，不过还是问了他们的感觉，据说不错，挺方便。', '短评打分': 5}
{'短评内容': '空调不太凉,其它还好', '短评打分': 1}
{'短评内容': '大堂好 早餐好', '短评打分': 5}
{'短评内容': '交通方便，停车位充足。下次仍然入住', '短评打分': 3}
{'短评内容': '水利厅的协议价比网上的价格便宜哈！', '短评打分': 5}
{'短评内容': '位置在市中心，吃饭方便，酒店服务管理都不错，价格适中。', '短评打分': 5}
{'短评内容': '位置好，性价比高，推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店房间太老！需要装修了！', '短评打分': 1}
{'短评内容': '整体感觉不错，服务和卫生条件挺好，价格合适', '短评打分': 5}
{'短评内容': '酒店的位置不是很好，环境硬件设施也很一般，价格还是比较合理适中的，服务卫生都挺一般的，觉得酒店各个方面都很普通 ，下次可能会考虑其它酒店的入住。', '短评打分': 5}
{'短评内容': '酒店的早餐很一般,跟网上宣传有些不相符,周围环境很不错,很安静,价格也比较实惠', '短评打分': 5}
{'短评内容': '酒店的服务卫生还可以，价格也能接受，就是停车不太方便。', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;房间的布局很幽默，居然在电视的旁边还有一个巨型的圆柱（这个酒店的大楼是圆形的），床真实太夸张了，又窄又小，而且很不舒服，就像是家里睡了十年的席梦司，交通一般，到春西路大概要走30多分钟，还有就是千万不要在大厅外面打车，他会拉着你绕路，我问那个司机说你怎么绕远路走，他居然问我有没有带着你绕十圈啊？总体感觉不好！！&amp;lt;/P&amp;gt;', '短评打分': 1}
