{'descr': '地方好，室内环境还不错', 'star': 5}
{'descr': '交通方便............................................................................', 'star': 5}
{'descr': '房间有点小啊，还是马路边，有点贵了', 'star': 3}
{'descr': '＋性价比可以，周围配套比较方便', 'star': 3}
{'descr': '好,电话一天两元任打,餐饮再好些就更好了', 'star': 5}
{'descr': '这个酒店干净，方便，安静，性价比高。值得推荐。', 'star': 5}
{'descr': '如果能含早餐就更好了,这样更方便也更合理一些。', 'star': 5}
{'descr': '交通比较便利，房间卫生整洁，最近电视换成小液晶了，不错~', 'star': 5}
{'descr': '房价高', 'star': 3}
{'descr': ' 已入住！', 'star': 5}
{'descr': '不值这个价，不过到底是世博期间，我忍了。', 'star': 5}
{'descr': '还行的，锦江之星向来是出行首选，朋友收可以的。', 'star': 3}
{'descr': '主要是为了看世博而选择这家酒店，相对来说锦江之星的还实惠一点', 'star': 5}
{'descr': '整洁卫生', 'star': 5}
{'descr': '很不错，交通方便！', 'star': 3}
{'descr': '交通便利，去世博园和南京路都有公交车直达！提供两元长途电话，很特别，总体还不错！', 'star': 5}
{'descr': '位置太偏\r\n床太小', 'star': 3}
{'descr': '因为是参展，说实话，实在太远了\r\n而且就在高架桥下\r\n晚上想吃碗面都没有地方买\r\n住宿实在不方便', 'star': 1}
{'descr': '酒店位置还可以，但是门口在修路，很难走，酒店服务是一贯的锦江风格，早餐很美味', 'star': 5}
{'descr': '无善可陈', 'star': 1}
{'descr': '上海在准备世博会，整个浦东在建设，外部环境有些乱。酒店设施和服务都很好，能否增加早餐。', 'star': 5}
{'descr': '性价比不错。交通业很方便。距离四号线地铁口（塘桥站）两百多米，很方便。\r\n卫生也不错。', 'star': 5}
{'descr': '环境不错，性价比较高，给我最深的印像是服务热情，下次有机会还回去入住。', 'star': 5}
{'descr': '酒店各方面基本上都还可以,本身就属于经济型的酒店,所以也就不会有过高的要求,不过酒店服务还是可以的,不过位置与网上所标注的不太一样,网上介绍离地铁有五百米,但实际要一千米左右.', 'star': 3}
{'descr': '酒店的价格和地段很不错，原来我也住过多次，挺满意的', 'star': 5}
{'descr': '酒店的位置很好，交通很方便，内部装修的设计，硬件设施的配备都是不错的，价格适中，如果到上班，我觉得还是可以考虑这里的。', 'star': 5}
{'descr': '酒店在修路,不好走,要走路到车站.', 'star': 5}
{'descr': '酒店的餐饮服务时间太短了,周边交通也不方便,服务卫生倒是挺不错的,整体感觉价格还是合适的.', 'star': 5}
{'descr': '位置不好，在南浦大桥里，打车很麻烦．．．', 'star': 5}
