{'短评内容': '给免费升级的，没觉得哪里好，装修很旧，房间有股发霉的味道', '短评打分': 1}
{'短评内容': '酒店位置好，交通方便，去市中心购物很方便。设施不错，房间大，景观一般', '短评打分': 5}
{'短评内容': '服务态度好，设施一般。', '短评打分': 3}
{'短评内容': '挺好的\n服务比较好\n交通方便\n离购物商超比较近\n离海边风景点也方便\n', '短评打分': 5}
{'短评内容': '威海最高的大厦，餐厅在33楼，景色不错。房间很大，设施齐全。', '短评打分': 5}
{'短评内容': '酒店交通方便，入住的海景房很满意，楼层高，凭窗观大海，呵呵，不错。早餐品种丰富，正餐也不错，而且不贵。酒店对面有个大超市，去海边的公园也很近，下次去威海还会住这里。', '短评打分': 5}
{'短评内容': '环境很差，不值得推荐。下次出差一定住这个。不知道下次什么时候去了', '短评打分': 1}
{'短评内容': '以前经常住，早餐和硬件都不错，只是这次住太冷了!空调不好!房间18度。', '短评打分': 5}
{'短评内容': '酒店性价比不错 尤其还有免费的桑拿 推荐入住', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '威海的不错的酒店，就是不好找！！！！!!!!!', '短评打分': 5}
{'短评内容': '酒店太差了，热水不好，早早就没热水了，餐厅饭很差，吃了不舒服，根本象五星酒店。', '短评打分': 1}
{'短评内容': '很超值酒店，房间宽大，卫生间设施很好，餐厅很不错，值得推荐。', '短评打分': 5}
{'短评内容': '超值酒店，房间宽大，卫生间设施好，餐厅好而不贵，值得推荐。', '短评打分': 5}
{'短评内容': '很超值的一家酒店，房间宽大，设施好，尤其卫生间很赞，门脸小，和别人共用的大厦；酒店的海景餐厅值得去吃一吃，认真超值，按人均定的套餐丰厚，吃不完啊。\n', '短评打分': 5}
{'短评内容': '1，这家酒店房间里设施陈旧。2，最不满意的是房间隔音很差，空调器（也许是中央空调）在房间里的风机声音非常响。3，房间的电插实在是太少了，电脑没地方插，充电器没有插座，呵呵，实在和可笑，300多的房价居然是这样。忍受了一夜，第二天立即退房，换锦江之星，居然很不错哦。。。所以当然不推荐！', '短评打分': 1}
{'短评内容': '老样子,没什么变化。旁边的四川饭馆好像升级了——价格贵，菜并不好吃了。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': 'price is good and close to the sea beach and nice ', '短评打分': 5}
{'短评内容': '＋房间景色很棒，入口不好找', '短评打分': 3}
{'短评内容': '酒店虽是准五星但最多也就三星的标准，我住30楼，设施很一般，隔音也较差，按说318的价格也不是太实惠。但是当我拉开窗帘一瞬，那一望无际的蔚然海水散落着点点白帆，霎时让人心旷神怡、感慨万千；夜晚俯瞰威海卫，万家灯火伴着寂静的海湾，如同灿烂的星空抒发着轻柔的无尽浪漫······\n\n', '短评打分': 5}
{'短评内容': '高斯湾大酒店的贾经理太好了。工作负责，待人和蔼。我们都喜欢她，酒店应该设她为服务标兵。', '短评打分': 5}
{'短评内容': '楼层高，看的远，景色尽收眼底，服务也不错，还有免费咖啡和水果。下次还会来住。', '短评打分': 3}
{'短评内容': '位置不错，海景房看海好呀！下次首先考虑入驻该酒店。', '短评打分': 5}
{'短评内容': '酒店服务好,卫生条件好,住的舒服,下次还要继续住.', '短评打分': 3}
{'短评内容': '酒店位于中信大厦内，大堂很小，在楼的侧面，房间设施没的说，非常好，美中不足就是大堂太简朴了，房内完美！\r\n卫生间奢华，大浴缸泡个澡很舒服，酒店中餐厅位于32-33层，全部海景，在33层包厢吃了一餐，真是超值！！！\r\n按人头80的餐标，3大件俱全，鲍鱼拌饭、海参汤、大对虾，人手一碗，仅此就足以值回餐价了，菜品种多的根本吃不完，剩的太多，可惜了！\r\n总之，不在乎大堂小点的话，很值得推荐的一家酒店。', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '好，位置方便，交通便利，非常喜欢。。。。。。', '短评打分': 5}
{'短评内容': '海景房间宽敞，非常舒适，洗手间尤其温馨！', '短评打分': 5}
{'短评内容': '房间很大位置很好 对面就是超市很方便 可以看到海 但附近没有沙滩：）', '短评打分': 5}
{'短评内容': 'The location of hotel is convenience; the room is clean and big; but the breakfast was very bad.', '短评打分': 3}
{'短评内容': '房间清\ue3d5卫生,送水果贊,訂豪华大床房,但只是用二張小床并在一起,不能睡在中间,只可睡一边小床,最討厭酒店这样欺骗客人.', '短评打分': 1}
{'短评内容': '第二次来高斯湾酒店入住，酒店超好，性价比高，我们这次来定的是海景标准间，酒店免费为我们升级到豪华间，服务热情(门童和大堂经理永远是面带笑容的向我们问好），房间干净宽敞，房间每天供应两瓶免费矿泉水，入住赠送果盘，还附赠地图和报纸。酒店早点丰盛，综上所述我认为高斯湾绝对达到五星级标准。因为楼很高，晚上夜景非常美，据说是威海第一高楼。地理位置方便，楼下有大润发超市，肯德基，敬兰快餐和永和大王。步行到威海', '短评打分': 5}
{'短评内容': '还不错啦 比较新的四星  临近海港  因为之前和姐姐住过 所以这次爸妈来也推荐了这家  ', '短评打分': 5}
{'短评内容': '性价比高，使用面积很大，卫生间有双人浴缸及淋浴房，自助早餐也比较丰富。层高高，虽然离海有段距离，但可以把威海东部海湾尽收眼底。', '短评打分': 5}
{'短评内容': '这次来觉得地毯很脏了，实在该换洗！餐厅和康体中心在装修。早饭很多是凉的！', '短评打分': 5}
{'短评内容': '很好的酒店，非常安静舒适，有家的感觉，性价比也高，下次还住。', '短评打分': 5}
{'短评内容': '卫生间的门开在卧室，对着床，不像一般的房间开在郎厅，有一些不合理。可能是我住的房间的设计不好。早餐时要喝咖啡，杯子有咖啡渍，要求服务员更换，她干脆徒手在饮水机接了水，在我面前自己刷。如此不\r\n卫生，领优秀的硬件设施带给客人的愉悦打折不少。', '短评打分': 5}
{'短评内容': '酒店租下/买下了中信大厦的一部分，房间装修非常不错，五星标准；但因为是在人家的楼盘里，所以没有五星酒店的相关配套（游泳池。。。）', '短评打分': 5}
{'短评内容': '前台的咨询服务很周到，耐心的处理各种突发、紧急情况，很满意', '短评打分': 5}
{'短评内容': '干净舒适。', '短评打分': 5}
{'短评内容': '房间能看到海景，很好！自助餐厅位置高，风光好，品种也多，很好！但说好了无烟房，带进去一闻吓一跳，只得换了一间房，这是一个不愉快的小插曲。总体感觉很好！', '短评打分': 5}
{'短评内容': '房间地毯污渍不洁，多亏我细心进房时查看了付费用品，冰箱里有一块德芙巧克力是吃过的。前台服务不错，早餐品种较多，吃得很好，午餐晚餐可以零点价格可以接受，且餐厅是32层，可以鸟瞰刘公岛美极了。马路对面就是个大超市价格还不贵。', '短评打分': 5}
{'短评内容': '地方很好找，前厅装修一般，卧室装修一般，空间很大，卫生间装修不错', '短评打分': 5}
{'短评内容': '总体感觉不错。地处繁华闹市，购物、去海边都方便。是威海最高建筑，用早餐的同时可以俯瞰全市。', '短评打分': 5}
{'短评内容': '豪华单人间的洗手间设计奢华，女儿非常喜欢。房间也大，能看到海和山。早餐非常丰盛，而且孩子不另外收费。还会入住!', '短评打分': 5}
{'短评内容': '很超值的酒店', '短评打分': 3}
{'短评内容': '很超值的酒店', '短评打分': 3}
{'短评内容': '的确是一家不错的酒店', '短评打分': 5}
{'短评内容': '地处闹市，是威海最高的酒店，风景好，能看见海景。酒店给我升级了房间，豪华标准间的卫生间很奢华，相当好。服务员也非常热情，早餐在北方算是比较丰富的。总体性价比较高，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '性价比不错，对面是大润发，后面是烧烤摊，下次去还会住', '短评打分': 3}
{'短评内容': '性价比很好的酒店，下午到的时候还给我免费升级到豪华单人间。对面就是大润发，酒店附近的烧烤味道不错，价格也实惠，人气很旺。', '短评打分': 5}
{'短评内容': '位置不错,设施服务也不错,推荐!', '短评打分': 5}
{'短评内容': 'place is not eay to find and price is acceptable and tranportation is so so ', '短评打分': 5}
{'短评内容': '早餐不错，酒店离海边很近(酒店对面就是大润发超市很方便)', '短评打分': 5}
{'短评内容': 'Good motel', '短评打分': 5}
{'短评内容': '又被升级了，还不错。但卫生间里只有大浴巾与小方巾，没有长方形的洗脸毛巾，不太方便。', '短评打分': 5}
{'短评内容': '硬件设施不错，在威海的话价格稍贵。', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '就一三星级的商务酒店，为何按五星推荐', '短评打分': 1}
{'短评内容': '房间被升级，所以感觉不错，但房间设施需要加强维护。桌上的电话不好使，居然要到卫生间去接电话。', '短评打分': 5}
{'短评内容': '威海首选 ', '短评打分': 5}
{'短评内容': '基本上是比较朴素的酒店。房价比较舒适，价格可以。最为高层，电梯很少，等候时间较长。前台朴素。服务态度很好。早餐一般。看海景不错。', '短评打分': 5}
{'短评内容': '五星酒店，二星服务', '短评打分': 1}
{'短评内容': '豪华标间不错，普通标间比较差', '短评打分': 1}
{'短评内容': '不错的一家商务型酒店，景色很好。如果你不在乎大堂是否气派，这里很好。我从中信酒店时代一直住到改名叫高斯湾。几乎每次去威海都住。如果早上能早起，一定要去餐厅占一个窗边的位子，慢慢享用早餐并欣赏风景。', '短评打分': 5}
{'短评内容': '第一次到威海，不过这家酒店给人感觉还可以。有免费停车的地方，对于开车去办事的还是很不错。', '短评打分': 5}
{'短评内容': '是一家很好的酒店.下次还会入住', '短评打分': 5}
{'短评内容': '设施不是太好,卫生和服务都很一般,位置离市中心也比较远,价格感觉有点贵了,而且我感觉这家酒店的实际情况和它的星级一点也不符合,感觉很一般.', '短评打分': 3}
{'短评内容': '位置一般,出去办事不是太方便,房间内的设施还是比较齐全的,服务卫生也都是不错的.', '短评打分': 3}
{'短评内容': '酒店设施偏老了一些,卫生很好比较干净,服务很满意,地理位置周边交通方便.', '短评打分': 3}
{'短评内容': '酒店的建筑风格很喜欢性价比不错,卫生设施很满意,下次还会选择的酒店.', '短评打分': 3}
{'短评内容': '很不错的酒店，交通便捷；门童、大厅服务很好；客房很大，房间直面美丽的威海海滨旅游区、刘公岛；除了免费提供高质量的早餐外，每天还提供每客房20元的酒店餐厅抵扣券，餐饮价廉物美。可以与住过的五星级酒店相媲美。', '短评打分': 5}
{'短评内容': '酒店的位置还可以，环境配置都还不错，主要有个遗憾是我们当时要入住面海的房间，可是房间都入住满了，不过餐厅很好，正对着海的。价格也算是合理适中的，还是可以推荐入住的酒店。', '短评打分': 5}
{'短评内容': '酒店的服务很周到，位置也不错。当时我孩子突然发烧了，我没带药着急，但前台的服务员的帮助买到了药。很感谢。', '短评打分': 5}
{'短评内容': '位置挺不错的,靠近海边和韩国城都挺近的.旅游购物都挺方便的.房间里也挺舒适的,设施卫生方面也都不错.整体感觉价格还是蛮合适的.', '短评打分': 5}
{'短评内容': '算是一家性价比不错的酒店了.', '短评打分': 5}
{'短评内容': '算是一家性价比不错的酒店了.', '短评打分': 5}
{'短评内容': '算是一家性价比不错的酒店了.', '短评打分': 5}
{'短评内容': '拉开窗帘就能看海，景致不错。门童的确热情，行李一直送到屋里。37楼风琴吧已经没有了，黑漆漆一片。地下一层娱乐中心乐声震天，吧台里女孩子叼着烟，不喜欢这里。不过这里的调酒师的花式调酒值得一看。', '短评打分': 3}
{'短评内容': '入住日期：2005-7-25 &amp;lt;BR&amp;gt;离店时间：2005-7-27 &amp;lt;BR&amp;gt;这家酒店服务态度真好，入住当晚由于交通问题晚上很晚才能到达酒店，电话联系总台之后就给留房了。办理好入住手续后，进了房间发现只有一张大床，要求换有2张床的房，也同意了，因为当时酒店接待会议，没有同等的房间，总台就给免费升级，一直升到5星标准的双床房。另外酒店窗户看出去风', '短评打分': 5}
{'短评内容': '中信大厦，如同北京与香港的总部一样，建筑高入云端。环境不错。特别是高层的海景房。大厅有点小，旁边的旅行社是给韩国人提供高尔夫旅游的。但是单场还需要400大元。37层的酒吧没有去成。可惜。 要离开酒店，有些不舍。下次还来这里。娱乐中心新开，也只有下次光顾。', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;很不错的酒店，我住的海景房，拉开窗帘就是大海，很舒服的感觉。服务也很不错。&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '我于2005年7月25—27日住在高斯湾酒店2805房间。整体感觉住在这家酒店建筑独特，很有气势，服务较好，门童较热情，免费自助早餐质量较好，给人印象比较深刻。但我住的房间地毯较脏，房间略小。&lt;br /&gt;\n&lt;br /&gt;\n由于威海独特的城市格局，从酒店到火车站和高科技开发区的海水浴场都较远，离市中心也有几站地的距离，但酒&lt;br /&gt;\n店毗邻一条重要马路，公交车较多', '短评打分': 5}
{'短评内容': '酒店总体感觉不错，酒店大堂一般，门童服务很好，总是面带微笑。。服务人员见到客人都能够主动打招呼问好。房间很干净，设施很好。酒店在中信大厦的侧门，出租车司机只知道中信大厦，而对酒店的名称都不知道。入住酒店的朋友只要说到中信大厦就可以顺利达到。本人预定的单人间因故变成标准间感觉有点浪费，毕竟是一个人入住。', '短评打分': 5}
