{'短评内容': '挺干净的，比较满意', '短评打分': 5}
{'短评内容': '比较干净，服务也还可以，但是设施有点旧了', '短评打分': 5}
{'短评内容': '好，很漂亮的酒店。不错，卫生环境都还好。很不错。', '短评打分': 5}
{'短评内容': '硬件还可以，但相关旅游信息服务差强人意！', '短评打分': 1}
{'短评内容': '服务较好', '短评打分': 3}
{'短评内容': '很好的酒店，房间很不错。就是房价有点高。\n早餐也很好。', '短评打分': 5}
{'短评内容': '该酒店地处市中心地理位置优越办事方便。房间内的设施比较陈旧，特别是卫生间内的毛巾和浴巾等应该更换了，太旧了。另外上网速度经常非常慢，有时连网页都打不开。另外饮食质量也有待提高，特别是自助餐的质量。\n\n总体感觉还可以，毕竟比较方便。下次还会来住的。', '短评打分': 5}
{'短评内容': '房间设施有点陈旧，电视遥控器是坏的，遮光窗帘也坏了，但服务态度还不错，总体的环境还可以，对比价格还是挺值的，建议注意细节会更好。', '短评打分': 5}
{'短评内容': '前台服务热情，就是酒店的房间及设施确实老了点，入住的那间房门居然锁不上，门口常年有个开红旗的黑车-车牌99988，确实够黑...提醒大家小心。', '短评打分': 5}
{'短评内容': '不知道什么原因，没有订到我想要的单间，所以，有些遗憾。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '这个酒店很好，每次去洛阳都会住这，很干净舒适．', '短评打分': 5}
{'短评内容': '还可以，离办事地点很近，房间比较干净，东西比较新．', '短评打分': 5}
{'短评内容': '交通便利 除了停车场有点小之外 感觉还算满意', '短评打分': 5}
{'短评内容': '设施有些旧', '短评打分': 5}
{'短评内容': '位置好，唯一缺憾就是没有免费的早餐', '短评打分': 5}
{'短评内容': '当时入住的是特价房是没有装修的，房间的配置硬件设施都还不错，卫生服务也很好，价格合理适中，但是房间里面的电视遥控器不是很好用，其它都还好酒店是可以推荐的。', '短评打分': 5}
{'短评内容': '服务态度很一般，设施也很一般。服务也感觉没有什么，挺一般的酒店。', '短评打分': 1}
{'短评内容': '酒店的设施不是很新，位置还是还可以主要附近还是离儿童公园挺近的，交通挺方便的，酒店的服务也不错，价格也还是可以接受的，总体还是感觉还是比较不错的酒店。', '短评打分': 5}
{'短评内容': '总的来说还可以吧。', '短评打分': 5}
{'短评内容': '还算可以', '短评打分': 5}
{'短评内容': '位置很好，出入方便，设施陈旧', '短评打分': 5}
{'短评内容': '酒店还不错,开业很多年了,住着还算舒适,价格也合适.', '短评打分': 5}
{'短评内容': '酒店还不错,开业很多年了,住着还算舒适,价格也合适.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '1、洛阳城区不大，火车站到酒店约16元。&lt;br /&gt;\n2、只能用三星来衡量，比较普通，别太计较的话是可以的。&lt;br /&gt;\n3、看花会别去王城公园，直接去国家牡丹园，直接打出租吧，都不贵。&lt;br /&gt;\n4、附近一家羊肉汤不错。马坡的烧烤物美价廉，羊眼个人最喜欢，其他一般。', '短评打分': 3}
{'短评内容': '酒店再好,但空气能见度低,污染严重,这样的地方不去也罢!', '短评打分': 3}
{'短评内容': '牡丹大酒店应该说在洛阳是不错的了&lt;br /&gt;\n现在5星级酒店正在建设中&lt;br /&gt;\n另外 还有牡丹城 和 洛神大酒店 也可以选择', '短评打分': 3}
{'短评内容': '破旧不堪，难道洛阳就没有一个象样的酒店吗？', '短评打分': 3}
