{'descr': '好好好好好好好好好好好好好好', 'star': 5}
{'descr': '房间和浴室都比电话沟通时承诺的小，不过楼道挺宽敞，比较干净。\n服务还算耐心，只是前台太小，入住率高的时候明显人手不够；离火车站近，各种素质的人混杂，对在狭小的前台不停吸烟的客人，工作人员视而不见，而且员工休息室打开后也有很大烟味散出。\n建议：对追求性价比的朋友我推荐，确实便宜且步行去南站不远；\n有点舒适性要求的朋友推荐住同一院内、同属一家公司的的绿洲大酒店，稍好些，也不贵', 'star': 5}
{'descr': '标准双人间A的房间卫生较好，空间充足，服务态度很好，目前不满意之处就是网速有些慢。', 'star': 5}
{'descr': '离北京南站比较近，但环境一般，象过去的招待所。', 'star': 3}
{'descr': '，总体感觉还不错，在北京南站附近有这样的住宿条件很好了！', 'star': 3}
{'descr': '环境不错，就是不太好找。很干净，希望有更多优惠活动。', 'star': 5}
{'descr': '非常好', 'star': 3}
{'descr': '位置距离北京南站很近,一站公交就到了.如果只在南站附近办事的话,住这里再好不过了.即使去其他地方，去南站坐地铁也可以的,就是时间视距离远近了.\n我住的商务间,非常干净的房间.同等价位的酒店没有这里干净,商务间应该是刚装修不久,所以都很新.\n总之很满意的。', 'star': 5}
{'descr': '12点后到电，说是2点后才有房，周围又没什么好去的地方，随便吃了口饭，果然等到两点', 'star': 1}
{'descr': '没哟别的金泰之家干净整洁 厕所很小 卫生用品不敢用 没有电视台 ', 'star': 1}
{'descr': '价格很高，设施很差，卫生间简陋的相当于街边小旅店，网线还不能上网，崩溃~', 'star': 1}
{'descr': '酒店挺好的。虽然跟事前说的有点不一样。但是宾馆方面说并没有之前的那些事情。但是还是满意的。', 'star': 3}
{'descr': '设施太陈旧了，下次不会入住了，离南站倒是满近的！', 'star': 1}
{'descr': '便宜又实惠，环境也还不错，周边公交地铁也蛮方便的，需要步行一段时间，服务人员的服务态度都蛮热情的，去北京旅游的朋友值得一住。', 'star': 5}
{'descr': '服务什么的还好，就是设施有点老旧，跟劲松店比起来差点！但是总体来说还是可以的', 'star': 5}
{'descr': '性价比很高，我住的是3316房间，在除了房间设施陈旧些外，没什么缺陷，交通也极为方便，北京南站坐公交一站地就到，走路十分钟左右吧。由于在金泰绿洲酒店的院里面，所以房间的朝向隔音都不错。晚上睡得特香强烈推荐。提点建议就是洗脸池的水龙头做的有些高洗脸不方便，建议换成普通的水龙头就更完美了', 'star': 5}
{'descr': '房间相当不错，值得一来！不过房间里面没有烧水的，比较尴尬。', 'star': 5}
{'descr': '在北京这个地方，金泰之家的性价比还不错，服务也好，只是稍微有点难找', 'star': 3}
{'descr': '设施齐备，住宿舒适，交通方便。和三星级酒店的住宿条件差不多了，物超所值。', 'star': 5}
{'descr': '很不干净空调还不好坏的天热的时候真要命。服务员态度不好。很不干净空调还不好坏的天热的时候真要命。服务员态度不好。', 'star': 1}
{'descr': '早上9点到说每房间，晚上逛完客户10点30入住，靠，房间设施极其陈旧，卫生间就像30元的小旅社，可能还不如，墙体有裂缝，水壶漏水，哎。。。门面搞的跟真的一样，还不错，房间却他妈垃圾的狠！下次绝不入住！', 'star': 1}
{'descr': '酒店还可以，就是位置不好找，服务不会指路，很绕弯', 'star': 5}
{'descr': '一般吧…但是离北京南站还有些距离…不是特别近…在金泰绿洲那个楼旁边…', 'star': 3}
{'descr': '第二次入住了，上回评价后说下回入住送礼品的，可来了一问人家都不知道怎么回事，唉礼品没有就算了，也无所谓，但你们不能骗人啊！', 'star': 3}
{'descr': '交通方便,离地铁不远,步行就可以到达,装修有点旧,但床铺比较干净,总体来说还是不错的.', 'star': 5}
{'descr': '插座太少，别的都挺好。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，性价比很高，值得推荐：）下次也会来的。', 'star': 5}
{'descr': '物超所值的酒店，强烈推荐', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '酒店还不错，比较适合商务人士', 'star': 3}
{'descr': '比较简陋', 'star': 3}
{'descr': '一般', 'star': 3}
{'descr': '挺好的呵呵坐车也很方便，比较卫生，特价房也还算宽敞~', 'star': 5}
{'descr': '价格还便宜，就是噪声太大了……楼道里有小孩跑来跑去的', 'star': 5}
{'descr': '很干净，虽然房间不大，但性价比很高，就是卫生间一般，不过这个价位在北京的确不错了', 'star': 3}
{'descr': '价格便宜 环境不错 房间挺大的 但卫生间显得简陋了点...', 'star': 5}
{'descr': '酒点设置都很陈旧 但床单浴巾都很干净 这个位置性价比已经很高了 ', 'star': 3}
{'descr': '总体来说还行，还算干净，就是房间蛮小的，离北京南站还算方便！', 'star': 5}
{'descr': '第一次去金泰的这一家，很不错，再接再厉！', 'star': 5}
{'descr': '比想象中的好些，推荐住6楼的商务间，那边的比大床间好很多', 'star': 5}
{'descr': '还可以吧，就是位置不太好找', 'star': 3}
{'descr': '酒店位置在比较靠里面，不太好找，周围吃饭的地方比较少，有点像普通单元房。', 'star': 5}
{'descr': ' 地方很好找，环境不错，屋子很干净，很满意！', 'star': 3}
{'descr': '总体感觉还不错！交通也方便下次还选择这里！', 'star': 5}
{'descr': '价钱倒真是便宜，所以特价房也是对应这个价钱一样的烂。\n不说厕所有味道、空调有噪音这些问题了，\n就说这毛巾的问题就让我很头疼。\n洗个澡连浴巾都没有，双人房只有两块小得不能再小的毛巾。\n打电话给前台说送块毛巾来擦头发，前台说一个人只能有一块毛巾。。。。\n不知道是什么规定。\n酒店离地铁口太远了，下次也不会再来了。', 'star': 1}
{'descr': '性价比还可以，就是吃饭不方便，太不方便了', 'star': 5}
{'descr': '酒店很好找，在陶然亭南门下车，往东走，会看到一个叫金泰绿洲的酒店，金泰之家就在那个酒店的院子里。房间挺干净的，由于在二环路边，交通很方便，但晚上会听到车穿梭的声音。如果是下午2点到的话，下午可以去天坛，能玩得很好', 'star': 5}
{'descr': '还可以，比较实惠 就是热水比较慢，床单的布料比较粗糙', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '条件不太好\n条件不太好条件不太好条件不太好条件不太好条件不太好', 'star': 1}
{'descr': '不推荐，网速比蜗牛还慢，发一个不到1000KB 的图片都很困难，设施陈旧。 ', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '房间设施比较陈旧，洗手间有下水管，经常可以听见哗 哗 哗。。。楼上冲水的声音，但是没有办法，相比较而已，在北京这样的地方，149这个价位住到这个位置的也还可以了；房间卫生一般，床单有坏洞，但看起来还算干净，网速是铁通的，慢的很；看到该评价的朋友，自己考虑吧，总体还算凑合吧', 'star': 5}
{'descr': '房间有点小，不过也对得起这样的价格了，总体来说还不错', 'star': 5}
{'descr': '说实话厕所的东西是有点老旧了。东西呢也是一般的很。不过这个价位尤其是跟南站的距离上。在这块还是很有竞争力的。如果是自己去的话为了省点钱住这样的旅馆还是可以的。', 'star': 5}
{'descr': '酒店位置不错！出行很方便，就是应该告诉晚上来的人小点声，住了2天一到晚上就有人吵，太闹了', 'star': 5}
{'descr': '环境卫生，性价比还可以。就是周围吃饭逛街不方便。', 'star': 5}
{'descr': '这叫什么宾馆啊，大半夜得老有人喊，闹得我们都没法睡觉，屋里设施也陈旧，潮湿味很大，希望从新装修下，服务还可以，就是这夜里太闹疼了', 'star': 3}
{'descr': '客房还算可以不过卫生间设施较差', 'star': 3}
{'descr': '服务不错，房间也挺干净的，在南站旁边，交通那更是不用说了', 'star': 5}
{'descr': '环境很好，很宽敞，卫生也不错。不过周围没有什么好吃的', 'star': 5}
{'descr': '环境很好  ', 'star': 3}
{'descr': '值这个钱', 'star': 3}
{'descr': '如果能找到酒店，就觉得离北京南站挺近的。房间条件很一般，凑合住一晚还行，一次性拖鞋是真的没有，水是要放很久才能温，附近没什么合适的吃饭的地方。', 'star': 1}
{'descr': '，房间特别一般。 ', 'star': 3}
{'descr': ' 酒店一般，不过价格挺便宜的,出行交通也还方便，对于要求不高的人，值得推荐', 'star': 5}
{'descr': '不是很讲究的话还是值得住的，但是很偏，水要放很久才会热。。。。', 'star': 5}
{'descr': '我很满意', 'star': 3}
{'descr': '热水出的慢，卫生间较简陋，其他还不错，价格也行。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间有点旧，热水需要放好长时间，床吱吱响，不是很理想…\r\n唯一的优势就是不贵吧…', 'star': 3}
{'descr': '金泰之家酒店积极响应全国低碳环保的号召，勤俭节约，床上放着缝补过的被子；断掉暖气，实实在在的低碳；插座不给力，减轻了国家电网的负担（提醒大家，真正有电的插座需要移开桌子，在后面）；厕所的味道为单调的旅馆生活增加了金泰之家特有的味道；空调不给力却很卖力，嗡嗡作响；金泰之家是个好地方，竭诚推荐给有钱糟着花的有病人士！', 'star': 1}
{'descr': '总体不错 但是卫生间设备有点陈旧\n卫生情况很好 服务态度不错', 'star': 5}
{'descr': '十尚可', 'star': 3}
{'descr': '条件一般', 'star': 3}
{'descr': '位置是相当不错，去哪都很方便，周边吃饭购物也挺便利的。', 'star': 3}
{'descr': '环境干净卫生，服务热情周到，出行交通便利，还是可以推荐的。', 'star': 5}
{'descr': '价格位置都不错，就是房间有点小冷。总体还说还是比较值的', 'star': 5}
{'descr': '房间收拾的还算干净，采光挺好，隔音也不错，就是设施简单点。', 'star': 3}
{'descr': '服务上挺周到的，房间挺干净，有宽带能上网，使用挺方便的。', 'star': 3}
{'descr': '酒店挺适合短途出差人士，离火车站很近，周边还有地铁，出行也挺方便。', 'star': 5}
{'descr': '离南站很近,可能订的太晚了！~就剩一间一楼正对大门的房间了！空间不小 环境一般！不能洗澡 淋浴器一开 到处漏水！水不热！暖气还行！床被子什么的还可以！其他房间没有看！估计我住的是最差的一间吧！！总体还行 就是交通不算很方便，附近没什么好转的！除了永定门 汽车站和北京南站 还真没什么了！赶车的朋友 可以优先考虑住这，性价比可以！', 'star': 5}
{'descr': '服务态度挺热情的，位置离北京南站挺近，性价比还不错。', 'star': 5}
{'descr': '前台的男接待员，服务挺好的，微笑挺多，就是客房有点古老，建议酒店给宾客提供纸杯，总体来说还好。', 'star': 3}
{'descr': '酒店整体感觉还不错，价格还是挺实惠的。', 'star': 3}
{'descr': '交通相当便利，服务也不错，性价比还好。', 'star': 5}
{'descr': '服务人员办事挺利索，房间装修的还好，卫生还好，位置挺不错，离南站挺近，周边交通挺便利。', 'star': 5}
{'descr': '房间不大，卫生每天都及时打扫，设施简单实用，隔音挺好，晚上休息的很好。', 'star': 5}
