{'短评内容': '很不错的东西啊很不错的东西啊', '短评打分': 5}
{'短评内容': '一直很喜欢这家酒店，交通方便，购物方便，服务很好，就是这次不能使用优惠卷，价钱稍高，还是推荐，', '短评打分': 5}
{'短评内容': '似乎是一家八九十年代的国营酒店，设施比较老套。价格也偏贵。但是周边也找不到更好的了。', '短评打分': 5}
{'短评内容': '设施较旧，服务不错。地点好，交通方便。早餐一般', '短评打分': 5}
{'短评内容': '满意，就是早餐贵了点', '短评打分': 3}
{'短评内容': '很好，住的是套房，从房间欣赏一下哈尔滨的外景很漂亮。', '短评打分': 5}
{'短评内容': '很不错的酒店，地理位置优越，房间设施也很好。', '短评打分': 5}
{'短评内容': '整体还可以，哈尔滨的酒店整体都偏贵，没有什么特别之处', '短评打分': 5}
{'短评内容': '是帮朋友订的这个酒店位置很好可以逛街方便，不过就是老了一些，二楼吃饭的地方很大很不错。', '短评打分': 5}
{'短评内容': ' 设施太陈旧 服务也没什么突出的 说不出优点能与价格相匹配 如果真要说 我觉得电梯运作不错 快又稳', '短评打分': 3}
{'短评内容': '酒店位置就在红博广场，吃饭购物都比较方便，交通也便利。酒店设施和服务都比较比错，适合商务出行', '短评打分': 5}
{'短评内容': '挺不错的酒店，价格和品质比较匹配，地理位置也很好', '短评打分': 5}
{'短评内容': '酒店位置很好，走到秋林购物很方便，设施也好，比较满意！', '短评打分': 5}
{'短评内容': '以前总是住这家酒店，就是因为离商场比较近，每次办理入住手续不管几人住都让出示一个人的身份证，而且从来也不问，可这次我也是照常出示一个人的身份证，可是前台服务员就问，你几个人住，我说我是预定三个人的房间，三个人住，他让我出示那两个人的证件，我说我只能先出示两个大人的，我家孩子在学校，得晚上才能来，可她说不行，我说每次都是这样出示一个人的就可以的，可这次怎么不行，她说以前也不行的，弄的我好像在撒谎，而', '短评打分': 1}
{'短评内容': '房间很大但是太旧，毛巾枕头套都发黄发旧。洗澡也没有防滑垫，差点摔到我老人家。早点也一般。', '短评打分': 1}
{'短评内容': '酒店很不错，卫生比较干净，交通方便，出行和购物都很方便。早餐品种多，房间有电脑，还能上网.不错!', '短评打分': 5}
{'短评内容': '地理位置很好，离火车站和哈三中很近。是星级酒店，就是设施旧了些。三楼的萨拉伯尔很难吃。酒店早餐因为7点开始，没能赶上吃，因为6点20分就要出发去机场了。给免费升级了行政房间，挺满意开心的。不过没有欢迎水果等。\n', '短评打分': 5}
{'短评内容': '酒店离火车站和秋林公司都挺近的，周边比较繁华，房间大但设施比较旧，我住的598元房间有电脑，还能上网，不错。房间的马桶漏水，打了电话，几分钟后就有人来修了，不过洗澡早的话淋浴的水是冷的。', '短评打分': 5}
{'短评内容': '交通方便，地段还不错的，周边还热闹。早餐品种虽然不算多，但是味道还好，在北方酒店中算是好的了。房间的设施虽然感觉也旧了点，但是浴室的水龙头好，洗澡很舒服', '短评打分': 5}
{'短评内容': '北方的酒店总体来说不如江浙地带的，但是华融还是不错的。地段好，尤其是早餐，在北方酒店中属于好的了。礼宾部预定出租车也方便。就是早餐开始时间晚了点。', '短评打分': 5}
{'短评内容': '酒店老了点，没有什么特色，但是地处商业中心，行政中心附近，靠近火车站，综合来说，还是可以的。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '实在是太旧了，那设施连三星级的标准都达不到，毛巾感觉都是黄黄的，很恶心，还不如住新一点的快捷酒店呢。早餐还成，一般般吧。', '短评打分': 1}
{'短评内容': '酒店地理位置非常好，距离火车站很近，非常方便，早餐比较丰富，尤其应推荐的是蒸饺很不错；周边购物餐饮都很方便，主要问题是房间设施很差，应当改进', '短评打分': 5}
{'短评内容': '酒店老，服务员素质很一般，不热情。 我住的是行政房，居然找不到能用的插座，电视不清晰，还有就是卫生太差，极其肮脏，似乎还有螨虫，我的皮肤感觉不舒服，不推荐！！！', '短评打分': 1}
{'短评内容': '早餐不错，周边餐饮购物方便，但是酒店设施较为陈旧，洗漱间门受潮变形，无法关上，希望酒店方面派人修理一下，门童的服务不是很到位，有点懒散，有失五星级酒店水准，。', '短评打分': 5}
{'短评内容': '是个老酒店。设施有点旧了。还算干净，早餐还不错。', '短评打分': 5}
{'短评内容': '非常舒', '短评打分': 3}
{'短评内容': '房间比较大，装修比较旧，卫生间比较小，不过早餐还行，选择很多，此外打车也没有预计中那么困难', '短评打分': 5}
{'短评内容': '酒店在哈市来讲还算可以，空调很给力，不过住了一整天，没看到一个服务人员，服务少了一点热情。位置很好，很方便，早餐很丰富。', '短评打分': 5}
{'短评内容': '比较差，确实没有想象的好，应该不够这个星级\n洗澡水一直掉不出来，到了晚上11点也解决不了，服务员也放弃了\n', '短评打分': 1}
{'短评内容': '酒店位置比较好,房间安静, 被单还应更好些才对得起这个价格, 早餐东北味浓', '短评打分': 5}
{'短评内容': '已经是第n次入住了，感觉还是很舒服,下次还会住的', '短评打分': 5}
{'短评内容': '环境和设施很好，地理位置也不错，只是房间装修老了点，服务和五星级还有差距。', '短评打分': 5}
{'短评内容': '不错，很喜欢这个酒店，交通方便，房间内部也很干净整洁', '短评打分': 5}
{'短评内容': '酒店很不错，房间宽敞、明亮 服务好。地理位置优越', '短评打分': 5}
{'短评内容': '哈尔滨酒店的整体水平较差, 去了很多次, 还没有遇到一个满意的. 这家也不例外. 挂着五星级的旗号, 提供三星级的服务.', '短评打分': 1}
{'短评内容': '酒店有点老，服务仍可以，但以价格比较来说，是高了些，以现在收费酒店必须重新装修才能吸引客户，总括来说性价比低了一点但服务弥补了不足，以本人在东北出差八年经验，在哈尔滨有时可能不能要求太高，有服务已经非常不错！', '短评打分': 5}
{'短评内容': '感觉哈尔滨酒店的整体水平比较差, 这家也不例外. 五星级的酒店, 服务只有大连三星级的水平. 装垃圾的车经常停在门外. 内部设备维护不够, 桌子,地毯都有些脏. 更难以忍受的是, 四楼中餐厅的菜做得还达不到一般饭店的水平.\n去过哈尔滨很多次, 没有住过一次让人满意的酒店.', '短评打分': 1}
{'短评内容': '\n这家酒店的价格和服务都不错，只是需要重新装修粉刷一下，更好。', '短评打分': 5}
{'短评内容': '房间比较旧,服务还得提高,晚到了4楼餐厅就说不营业了 唉 还得找吃的', '短评打分': 5}
{'短评内容': '一个晚上900多一点不值，还不如一般的酒店，大厅没空调，房间除了大就是旧，空调也不凉，大厅还经常有一些奇奇怪怪的女子。', '短评打分': 1}
{'短评内容': '地处市中心，购物交通很方便，房间够大，就是缺少一个相称的停车场，周边太绕了', '短评打分': 5}
{'短评内容': '市中心，周边环境较差，房间够大，稍显陈旧！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '很不错的酒店，卫生比较干净，主要交通很便利，出行和购物都很方便。', '短评打分': 5}
{'短评内容': '酒店较老。服务不错。地点是中心。但是比较堵车', '短评打分': 3}
{'短评内容': '距离远大比较近，步行就可以。很方便。。。。', '短评打分': 5}
{'短评内容': '酒店房间比较大，装饰有点老旧，地点离火车站较近。早餐比较一般。', '短评打分': 5}
{'短评内容': 'Bad facility and poor service', '短评打分': 1}
{'短评内容': '环境不错，早餐偏贵。', '短评打分': 3}
{'短评内容': '服务尚可，装修太差\r\n任旭东', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '很方便，每年入住最少3次，还会入住，推荐入住。晚餐在退此点，', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '退房时前台小姐服务态度太差，我说谢谢，前台的服务员竟然一点反应都没有，而且几次都是，好像我是服务员，她是宾客，什么五星级酒店，一脸不耐烦的样子，连声再见都不说，卫生间特别冷，洗澡都洗不了，下次再也不去了，住了几次都不如意。', '短评打分': 1}
{'短评内容': '非常好,', '短评打分': 3}
{'短评内容': '还可以，一般，就是住住，没什么特别之处。。。。。', '短评打分': 1}
{'短评内容': '床太小卫生间温度低.很冷不能洗澡,其它还可以.', '短评打分': 3}
{'短评内容': '酒店的大堂和电梯都不错，早餐也还可以，但房间内的设施较陈旧，洗手间太小，房内竟然没有水暖，只有中央空调，而且只能限开到中档，向酒店反映后再加了床被子，可惜被子又太沉。总之与五星级标准相差甚远。', '短评打分': 1}
{'短评内容': '酒店一般，太老旧，与价格不匹配！', '短评打分': 3}
{'短评内容': '房间比较大，非常舒服！', '短评打分': 3}
{'短评内容': '酒店性价比很低，硬件就是3.5星', '短评打分': 3}
{'短评内容': '已经是第二次入住了，感觉哈尔滨总体的酒店档次一般。', '短评打分': 5}
{'短评内容': '性价比比较高，环境舒适，服务态度比较满意', '短评打分': 5}
{'短评内容': '比较大气，适合接待俄罗斯客人。但酒店的服务还有待遇提高，目前感觉比较粗放', '短评打分': 5}
{'短评内容': '该酒店地理位置很好，交通方便，房间卫生很好，总体感觉还不错，就是房间内的设施旧了一点，特别是毛巾、浴巾等很旧。', '短评打分': 5}
{'短评内容': '这家酒店的性价比还可以,下次还会住在这里的。', '短评打分': 5}
{'短评内容': '通过ELONG当天订一标准间。前台办理入住非常快，服务人员职业素质和态度值得称赞。让人感觉温馨的晚饭回来后房间里摆了一盘干净的水果。设施一般但干净，房间不算小，卫生间稍嫌小但够用毕竟不需要在卫生间过夜。哈尔滨酒店我觉得人员的服务是特别需要注意的一方面而华融做的很不错。', '短评打分': 5}
{'短评内容': '还可以就是前台结账时间过久，耽误了去机场的时间。总的来说还可以。', '短评打分': 3}
{'短评内容': '不错，给免费升级了房间，服务也很好。', '短评打分': 5}
{'短评内容': '地理位置非常好，就在火车站附近，楼下就是商业中心，就是设施比较一般，我住的豪华大床间，床很小。没有跟附近其他酒店进行比较，就本身而言，性价比一般。', '短评打分': 5}
{'短评内容': '大床并不大', '短评打分': 5}
{'短评内容': '因为其他选择少，才选这家.其他性价比都不高，这家较老，不过前台速度很慢。一般般吧', '短评打分': 5}
{'短评内容': '+酒店很舒适！服务也到位！不愧是四星！', '短评打分': 5}
{'短评内容': '大厅很气派，地理位置很好，房间很大。但房间很暗，设施显旧，没有4、5星级饭店的感觉。', '短评打分': 5}
{'短评内容': '+房间有些旧。', '短评打分': 5}
{'短评内容': '住的是3人间，大堂前台服务不是一般的差，非常没有礼貌。另外让酒店的门童帮我们叫台车，他竟然跟我们说：打不到车，我们下班自己也打不到车。\r\n气死我了，还要自己走好远才打到车，差点误了车。这是五星级酒店应有的服务吗？？？\r\n唯一的优点就是地点比较好， 不过哪里周围也有几家其他的酒店感觉应该比华融好。\r\n建议大家千万不要入住这个酒店！', '短评打分': 1}
{'短评内容': '还可以，就是楼下前台小姐很不专业，建议多学学礼节再去上班。', '短评打分': 5}
{'短评内容': '一般房间差', '短评打分': 5}
{'短评内容': '二个房', '短评打分': 5}
{'短评内容': '服务员态度有待提高，客房的卫生间地面比较滑。最好能够更换一些防滑的瓷砖', '短评打分': 5}
{'短评内容': '这个酒店我住了无数次，这一次实在忍不住，要评价一下。我之所以选择住在这里，只有一个理由，它是哈尔滨距离购物中心最近的五星级酒店，酒店出来就是松雷商厦和远大购物中心，这两个商场是哈尔滨不错的购物的地方了。但是除此之外，这个酒店没有任何的优点，房间巨大，床却巨小，装修老套，服务没有任何可以夸奖的地方，这次我入住之后，赫然发现卫生间毛巾上的头发、被褥的那种怪味！无语！我在电梯里多次遇见酒店工作人员，没有', '短评打分': 1}
{'短评内容': '大堂很有吸引力，但设施和条件非常一般，而且不见什么好的服务。但这又这么说呢，北方的酒店服务普遍不如南方。', '短评打分': 1}
{'短评内容': '十还可以', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '很好，', '短评打分': 3}
{'短评内容': '每次 都住，很好', '短评打分': 3}
{'短评内容': '很好酒店', '短评打分': 5}
{'短评内容': '酒店地理位置非常好。条件各方面都不错。', '短评打分': 3}
{'短评内容': '华融，太好了！下次来还要住这家酒店！\r\n不一样就是不一样！非常干净！豪华！\r\n价位很合理！', '短评打分': 5}
{'短评内容': '位置很好，不知道是四星还是五星，不过看起来就像三星的酒店，车到门口也没人开门，进去的时候门口也没人', '短评打分': 5}
{'短评内容': '可以推荐', '短评打分': 3}
{'短评内容': '性价比算好的', '短评打分': 5}
{'短评内容': '服务态度生硬，更缺乏热情。卫生间顶棚滴漏黄水，卫生间窄小，缺乏单独淋浴区。早餐最好含双早', '短评打分': 1}
{'短评内容': '酒店的设施有些老了', '短评打分': 1}
{'短评内容': '相当可以。卫生间小，早餐不算丰富，地理位置不错。', '短评打分': 5}
{'短评内容': '可以推荐朋友', '短评打分': 5}
{'短评内容': '早餐感觉特乱，餐桌收拾的速度跟不上，没有人来问你是喝咖啡还是茶。', '短评打分': 3}
{'短评内容': '设施太差了 电脑的网速极慢', '短评打分': 1}
{'短评内容': '楼下都是哈尔滨知名的大商场！逛街很方便！有好多知名的品牌衣服！但是楼里屋和屋之间的隔音相当差，隔壁打哈欠，说话的声，上卫生间冲水的声，都能听得见。看完世界杯（我们静音了）很想睡个懒觉，但早上五点钟还是被隔壁吵醒了！', '短评打分': 5}
{'短评内容': '电视该换了，还是显像管的，又老又破', '短评打分': 5}
{'短评内容': '酒店地理位置不错，但是设施有待于提高。', '短评打分': 3}
{'短评内容': '挂五星级牌，提供3星级的住宿环境和服务。\r\n房间装修已经老得难受了，有一股潮湿味。\r\n二楼提供的早餐很普通，服务也比较一般。', '短评打分': 1}
{'短评内容': '应该不具备五星酒店标准。', '短评打分': 1}
{'短评内容': '是一家老酒店了，感觉设施有些旧。不过总体感觉还可以，尤其是地理位置，非常好。只是浴巾好像不是全棉的，吸水性不好。', '短评打分': 5}
{'短评内容': '不错，除了房间不算好外，别的都很好，地址最好，很方便出行。', '短评打分': 5}
{'短评内容': '作为五星级酒店，各方面都不错，位置也很好，就是卫生间太小了，仅有容一人洗漱的空', '短评打分': 5}
{'短评内容': '房间还算干净整洁，服务也还行。', '短评打分': 3}
{'短评内容': '跟**酒店比好一些，哈尔滨的什么会期间，房间紧张。', '短评打分': 5}
{'短评内容': '住了几天才发现购物街就在酒店后面，非常方便。不过现在哈尔滨各处都在修路，所以有些尘土飞扬。', '短评打分': 5}
{'短评内容': '设施有点老了，位置不错', '短评打分': 5}
{'短评内容': '地段好，环境差点', '短评打分': 5}
{'短评内容': '还不错的酒店，下次还会过来', '短评打分': 3}
{'短评内容': '很一般的酒店，感觉不像五星级酒店', '短评打分': 3}
{'短评内容': '很失望，设施太旧了，所谓的行政房间很小，也不是所谓的新装修的感觉。感觉不是五星级的酒店，四星的设施，三星的服务，服务员也不热心，的确有待提高。', '短评打分': 1}
{'短评内容': '地理位置好，就是设施偏旧', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错，不过有点偏', '短评打分': 5}
{'短评内容': 'well', '短评打分': 3}
{'短评内容': '酒店位置很好，早餐很丰富；但是设施比较陈旧。', '短评打分': 5}
{'短评内容': '东北人 就是痛快啊 但是矿泉水好像过期了 喝了拉肚子了', '短评打分': 5}
{'短评内容': '总的来说还行\r\n虽然价格是有点偏高', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '位置非常好 ,早茶很好，价格较贵，，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '装修有点旧', '短评打分': 1}
{'短评内容': '不够五星级的标准，服务不好，设施不完善，地理位置到还可以，卫生一般，下次不会入住', '短评打分': 3}
{'短评内容': '不错的酒店,早餐特别好', '短评打分': 3}
{'短评内容': '冬季价格适中,性别价比较高,适合商务人士', '短评打分': 5}
{'短评内容': '位置很好，价格适中，但设施一般，房价偏小。', '短评打分': 5}
{'短评内容': '住过很多次了，除了位置好比较方便之外确实没有什么值得推荐的。', '短评打分': 1}
{'短评内容': '作为五星级饭店 餐厅做得菜太差 基围虾是死的 鸭头内的稻谷都没清洗干净 保安像特务一样跟踪客人 让人有一种危险的感觉 很不自在 作为五星级酒店 应该让客人主的舒心才是最重要的', '短评打分': 1}
{'短评内容': '交通便利，服务也不错，早餐不错，只是酒店的设施有点陈旧。', '短评打分': 5}
{'短评内容': '设施陈旧了   ，毛巾等要更新了', '短评打分': 5}
{'短评内容': '晚上8点以后酒店就把空调关上了不太满意,装修设施都是老化了.其他各项很一般.', '短评打分': 3}
{'短评内容': '虽然设施旧了些，但还算ok了，位置很好', '短评打分': 5}
{'短评内容': '房间空间和床都很小，设施达不到5星酒店的要求，整体很一般就是位置有优势，在市中心，我以后不会在预订这家酒店了', '短评打分': 3}
{'短评内容': '相对于服务质量和硬件设施，价格偏贵', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '服务员素质高，房间的设施差点，毛巾和浴巾很旧。', '短评打分': 5}
{'短评内容': ' 这个酒店外形看上去不错，拿到房门卡时，心情很期待。本人住的是豪华间，打开房门时，说实话太失望了。这就是哈尔滨所谓的准五星酒店？设施陈旧，连用的毛巾也很破，洗澡间的地板是生锈的。房间给人的感觉是阴沉沉的，感觉很不舒服。有一种被骗了的感觉。强烈抗议eLong建议这样的酒店。以后出差不会选择这个酒店了。', '短评打分': 3}
