{'descr': '价格便宜，好用，下吧次还来买。支持京东', 'star': 5}
{'descr': '对于酒店，整体感觉很不错，地理位置较好，离奥体中心很近，步行十分钟左右即到。很喜欢房间装修的风格，简单实用且舒适。特别是床，很软很舒服。其中也有不满意的，一是房间整体而言面积偏小，所谓的“有窗”也只是一扇不到半米宽的小窗子而已；二来，卫生间的门后面有烟头，水壶里消毒水的味道特别重。这些很是影响我和朋友的体验度。', 'star': 5}
{'descr': '那天到晚上到那店后，被通知说没有房了。被转到了西新桥店，这个让人感觉相当不舒服。不会提前通知吗？到店时已晚上8点多了。这是一个大店的做法吗？当然也有可能是因为ELONG与他们让没有沟通好。', 'star': 1}
{'descr': '性价比很高的酒店,挺干净的~有机会还会入住!', 'star': 3}
{'descr': '房间不错，我很满意，下次还会来。值得推荐哦！', 'star': 5}
{'descr': '很干净，服务很周到....就是车有点多，吵了点。早上5、6点就被吵醒了。', 'star': 5}
{'descr': '酒店很干净 只是员工技能有待提高 办理入住时间很长', 'star': 5}
{'descr': '位置有些偏，为了看张学友演唱会特意挑的这家。附近可惜没有什么餐饮店，除了一家火锅。房间还不错，这个价位对得起的', 'star': 5}
{'descr': '设施不对  环境优雅  服务周到  周边交通方便', 'star': 5}
{'descr': '这家酒店很干净，环境很棒，总体来说很满意', 'star': 5}
{'descr': '总体来说不错，干净整洁，地理位置好，上电梯需要刷房卡，安全做的不错。', 'star': 5}
{'descr': '还不错 交通挺方便的 就是附近没什么吃饭的地方  还有觉得电视有点小', 'star': 5}
{'descr': '可停车，设施新，餐厅装修不错，性价比高！', 'star': 5}
{'descr': '大力推荐，比附近的如家好很多。常州真的很好，路宽车少。', 'star': 5}
{'descr': '第二次入住，感觉依然不错，留下最深刻的印象是标间果然不如大床房大~~哈哈...嗯...隔音效果的确...不是很好...继续加油！期待你做得更好！！', 'star': 5}
{'descr': '很干净，房间空间也很大。各方面都挺好的，价格也合理。', 'star': 5}
{'descr': ' 住入', 'star': 3}
{'descr': '很好。', 'star': 3}
{'descr': '真的不错，挺干净的，服务也很不错。那里的早餐也不错', 'star': 5}
{'descr': '环境还行。', 'star': 3}
{'descr': '酒店干净卫生，比好多的星级酒店好太多了，工作人员很热情，有小餐厅，很好，下次还会入住', 'star': 5}
{'descr': '会向朋友推荐 不错。。。。。。。。。。。。。。。 \n', 'star': 5}
{'descr': '不错~环境也好~交通方便，装修都很新，推荐，性价比高', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '帮客户订的，经济又实惠，蛮好\n以后还会考虑推荐这家', 'star': 5}
{'descr': '房间很大 简洁干净 整体不错 就是等了好久才入住', 'star': 3}
{'descr': '干净，整洁，但空调制冷效果差了点418房，洗澡的水温低了点；', 'star': 5}
{'descr': '店还不错  离车站也比较近 价格适中 住着不错', 'star': 5}
{'descr': '酒店相当好，环境、卫生很好。参加低碳活动还能免10元房费。节能环保做出了实际行动，值得推荐。还有小餐厅很方便。', 'star': 5}
{'descr': '酒店房间环境不错 出门交通便捷。。。挺不错的！', 'star': 5}
{'descr': '酒店交通方便！下次还来！环境也好！', 'star': 3}
{'descr': '非常好！干净，舒适，工作人员的服务态度也非常好。早餐也很丰盛', 'star': 5}
{'descr': '设施还不错，交通比较方便的，下次出差应该还会选择入住。', 'star': 5}
{'descr': '设施很好，服务很好，下次还会选择锦江之星，超赞~~', 'star': 5}
{'descr': '床很舒服，环境和服务都很好，以后去常州应该还会去那\n', 'star': 5}
{'descr': '地理位置离南大街商业区不远,酒店环境各方面都不错,服务也很热情........', 'star': 5}
{'descr': '稍微有点偏。但是非常干净。前台的服务非常好', 'star': 5}
{'descr': '很好，交通方便，环境也不错，服务也挺满意的', 'star': 5}
{'descr': '挺干净，往市区的交通也很方便。\n属于新北的中心，走几步就到常州市行政中心。\n奥体中心。很方便。', 'star': 5}
{'descr': '房间不错，挺干净的，服务态度也不错，卫生间设施比较人性化，价格也不算很高，值得推荐。', 'star': 5}
{'descr': '不错，就是交通稍微偏了点..其他的还不错哦', 'star': 5}
{'descr': '很不错！！！很精致干净很不错！！！很精致干净很不错！！！很精致干净很不错！！！很精致干净很不错！！！很精致干净很不错！！！很精致干净', 'star': 5}
{'descr': '环境还行，只是因为房间靠近马路有点吵。', 'star': 3}
{'descr': '  酒店很不错,设施新服务好。', 'star': 3}
{'descr': '   我本来订的是奥体中心店，但是看完大剧场后，找不到路，只好打电话去问路。两三个个电话后才问到号码和分机号，打通后却告诉我来不及在18点前确认了，让我到锦江其他家住，并帮我联系，说不用去确认，直接去住就可以了。我正好有事，一想这样也很好，省得多跑一趟。可是，就在打过电话后，我发现刚刚走过的路，即是奥体店所在的路，那时离18点还差10分钟，就是如果告诉我路的话，18点前完全来得及确认！\n    带', 'star': 5}
{'descr': '本来订的是奥体店，结果5点到前台说满了，然后被安排到西新桥店，住的还可以。不过下次最好能提前通知一下，不要让我们白跑一趟，好像不止我一个人白跑了。', 'star': 5}
{'descr': '房间很大，很干净，服务也很好.下次来常州还是住这家店~~', 'star': 5}
{'descr': '24小时服务态度不错,酒店环境很好,安静，卫生干净。', 'star': 5}
{'descr': '酒店不错，但没有什么商店和吃饭的地方，性价比高，隔音不是很好。', 'star': 5}
{'descr': '性价比比较高的一家酒店，交通也比较方便，房间也很大很干净', 'star': 5}
{'descr': '酒店很好,很干净,地理位置也很好,门口就有直接到恐龙园的车302路,离常州博物馆也很近,交通很方便去火车站也方便,经济实惠住的很满意', 'star': 3}
{'descr': '好评', 'star': 3}
{'descr': '非常好', 'star': 3}
{'descr': '干净整洁，环境很好，设施也很新，值得推荐。', 'star': 5}
{'descr': '整洁干净，采光不错。', 'star': 3}
{'descr': '非常不错的酒店，很干净，服务员态度给人感觉很亲切', 'star': 5}
{'descr': '环境舒适，房间挺干净的，标房2张床，一大一小挺好的', 'star': 5}
{'descr': '酒店小巧而温馨，有家的感觉。服务人员亲切礼貌。春节时期我到达酒店时又累又饿，惊喜地发现酒店有供应可口的便餐，非常方便住店客人。房间的色调为奶白色，看起来非常干净舒服。唯一的不足是网速很慢，还有电吹风和浴帽需向总台索取，不太方便。', 'star': 5}
{'descr': '位置、设施、服务都不错，但早餐的确不敢恭维。', 'star': 5}
{'descr': '＋整体感觉很好，总台的服务很周到，房间也不错，早餐也很丰盛。', 'star': 3}
{'descr': '常州的哥忒黑，酒店服务第二条就是叫鸡，第三条可选项是可叫前台小姐，一晚333;SM全套+手铐', 'star': 1}
{'descr': '. 酒店清洁安全交通便利', 'star': 3}
{'descr': '设备设施较新，厕所浴室设计合理，床铺不错，停车也方便。唯一就是离闹市区有点远，打的到南大街11-12元。', 'star': 5}
{'descr': '就在万豪旁边 看起来是新装修的 还是很不错的 下次去的话还会住', 'star': 5}
{'descr': '环境卫生还可以。早餐有点简单。', 'star': 3}
{'descr': '酒店非常好找,离高速、高架还有恐龙园、温泉都很近,公共交通也很便捷，出门不远就是BRT站台~唯一不足的是网上不能订大床房只能订标间~', 'star': 3}
{'descr': '离火车站和恐龙园都比较近，酒店门口有302路，底站就是恐龙园', 'star': 5}
{'descr': '环境优雅，设施齐全，房间采光度好，服务一般', 'star': 5}
{'descr': '总体不错，但是如果晚上要出去吃点东西就不是很方便。只有一家火锅店。房间够大', 'star': 5}
{'descr': '整潔乾淨， 符合經濟型酒店的標準。房間面積比一般的經濟型酒店略大，床上用品是相似經濟酒店中最棒的。 房間耗用品的質量較差。\n', 'star': 5}
{'descr': '酒店的被子比较舒服，但是洗澡用具不太好：） ', 'star': 5}
{'descr': '环境好的，设施也好，商务的性价比很高，下次还会来这里', 'star': 5}
{'descr': '房间设施什么都很满意，就是那个地段不是很好打车，好在有公车。。。', 'star': 3}
{'descr': '锦江之星还不错~办理Check in 的美女人超好的', 'star': 5}
{'descr': '预定的是标准间，到店时说标准间没有，换成了商务大床房。。。孩子在恐龙园玩得很累，急着睡觉，只好接受。酒店做了补偿。但是一家三口实在是住的不舒服。', 'star': 3}
{'descr': '酒店管理很好，前台人员服务热情，房间宽大，安静，早餐很好，下次继续入住。', 'star': 3}
{'descr': '本来订的标准间，但是到店无标准间。。。没办法，又没有其他的宾馆可以住，就接受了大床间，宾馆也给了补偿。但是不明白的就是，明明没有标准间，为什么还允许在网上预定呢。。。一家三口，一晚上没有休息好。。。', 'star': 1}
{'descr': '酒店地处常州老城区和新区的交界处.目前处在开发阶段可能在交通上还会有些不足,不过相信以后会越来越好.其它各方面还不错.', 'star': 5}
{'descr': '酒店的条件还不错,服务人员的态度很热情也很周到.室内条件也不错,综合来讲性价比还可以.', 'star': 5}
{'descr': '酒店位置还好，房间卫生设施都还可以，服务价格都差不多。', 'star': 5}
{'descr': '总体不错,卫生用品待改,如香皂等日用卫生品档次太低,影响整体综合形象', 'star': 5}
{'descr': '第一次住锦江之星，感觉不错哦。房间比较整洁、干净，也很大，还有一个漂亮的沙发。离恐龙园也比较近。唯一不太方便的是，周围吃饭的地方比较少。下次去常州，还会考虑住这里。', 'star': 5}
{'descr': '宾馆服务态度还可以，卫生情况良好，房间比较宽敞，采光很好，是外出旅游的首选酒店', 'star': 5}
{'descr': '酒店还不错卫生设施挺好的，酒店出行还是挺方便，价格还是可以的和别的锦江没差别。', 'star': 5}
{'descr': '房间硬件设施特别齐全，可以上网，而且是数字电视，收的频道还特别的多，另外早餐还是很不错的', 'star': 5}
{'descr': '酒店非常干净舒适，房间也比较宽敞，早餐也很可口，总之性价比很高，以后有机会还会入住。', 'star': 5}
{'descr': '服务员态度很好，很周到热情，酒店整体感觉很好，住宿环境还是很不错的', 'star': 5}
{'descr': '酒店环境不错出行也挺方便的，空调太差了一点不制冷而且隔音效果也不好当时我住的那两天是最热的天气我就在一个三十几度的屋子里真的是很热让它们修了半天但是一点都是不制冷的，服务态度还行。其他的都还不错就是这个空调。', 'star': 5}
{'descr': '房间很大，很宽敞，卫生条件打扫的很干净，房间采光也特别的充足，蛮喜欢的', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '价格服务都还可以，房间也还不错，位置也很好找。', 'star': 5}
{'descr': '总体还是不错的。斜对面的红宝石火锅挺好。', 'star': 5}
