{'短评内容': '空调声音有点大', '短评打分': 5}
{'短评内容': '地段倒是不错，超市什么都很近，房间很小，早餐很滑稽，要拿了票子到对面快餐店吃，结果吃到后面要补差价，给的票子好像只值10元，九点下去吃基本已经是冷菜冷汤了，总之金华同等价格的酒店比这个好的多的是，所以不推荐', '短评打分': 1}
{'短评内容': ' 住下来的感觉还可以，尤其是洗澡水流很大，感觉很满意', '短评打分': 3}
{'短评内容': '干净，房间挺大的，主要位置好，必胜客，肯德基几步路就到。不好的的地方在速8的装修，不够温馨，大量采用黑色灰色。。。', '短评打分': 5}
{'短评内容': '设施比较新，地处江南繁华区，购物很方便，房间也比较大，推荐！当然价格能优惠更好了', '短评打分': 5}
{'短评内容': '就是隔音不好，其他的都还可以！......', '短评打分': 5}
{'短评内容': '十此酒店价格与整洁度为良但晚上很吵因-边靠近马路', '短评打分': 3}
{'短评内容': '开车去的，不太好找，早餐也差强人意！临时找个落脚点的话，还好！', '短评打分': 5}
{'短评内容': '房间还算可以吧，蛮简单，干净。不知道晚上睡觉安静不？嘿嘿。', '短评打分': 5}
{'短评内容': '为什么我定了128的特惠房，结果结账的时候收了我148呢？房间里什么东西我都没拆开用啊，希望能给个解释。', '短评打分': 3}
{'短评内容': '酒店接待和服务一般，卫生条件和周边环境都不太好。', '短评打分': 1}
{'短评内容': '吃的地方多，金华市江南最繁华的地段。\n缺点：卫生间排气扇不工作。自助早餐是去马路对面的快餐店吃，只有一人5元，超出的部分要自己付。', '短评打分': 5}
{'短评内容': '酒店位置不错，环境也很好,就是靠马路一边有点吵，下次还会住', '短评打分': 5}
{'短评内容': '房间很不错，交通方便位于市中心', '短评打分': 3}
{'短评内容': '整体感觉很好,房间很大,里面也很干净,价格实惠,值得推荐', '短评打分': 5}
{'短评内容': '隔音效果很差，如果男女朋友有事要办的，不建议入住！', '短评打分': 5}
{'短评内容': '位置很好，还包早餐。\n附近很多吃饭的地方，虽然靠近马路，但不是很吵。', '短评打分': 5}
{'短评内容': '很不错，性价比高，房间干净，酒店位置好，值得推荐。', '短评打分': 5}
{'短评内容': '房间很干净，就是怎么连水都要三块一瓶呢，别的酒店都是免费的啊', '短评打分': 3}
{'短评内容': '价格优惠，宾馆设施不错，尤其是淋浴的大花洒', '短评打分': 5}
{'短评内容': '位置不错 在闹市区 到哪都方便 楼下就能吃饭 房间也很大 卫生也不错 也比较整齐 性价比还是很高的 唯一的缺点 感觉就是吵了点 可能跟在闹市区的原因 有利有弊么', '短评打分': 5}
{'短评内容': '酒店的停车场很小，估计才8个车位，办理入住手续迅速，酒店房间很大(至少我订的两间标房)，卫生淋浴很舒适，附送的早餐券(酒店小马路对面的来必堡)蛮实惠，一人5元吃到的点心还可以，又能避免国内常见的自助餐浪费现象。不足之处：1空调声音很响；2、床垫偏软；3、房间不提供不间断电源。', '短评打分': 5}
{'短评内容': ' 地点服务感觉不错，没有一次性拖鞋有点不便', '短评打分': 3}
{'短评内容': '酒店位置挺好的，在繁华地段，吃饭也很方便，楼下就有。很好，满意。就是房间顶有点潮了，起皮。', '短评打分': 5}
{'短评内容': '128元的特价房，在这个地段真的很超值，床很大，睡得很舒服，下次订房的首选', '短评打分': 5}
{'短评内容': '性价比相当高的一家酒店。虽然是经济型的定位，却起码是三星级的品质。房间宽敞、温馨、安静、舒适，是经济型酒店中的佼佼者。周围买东西上、吃东西都很方便。坐K37路公交可以到火车西站，坐K11可以到汽车西站。早餐在酒店对面的一家快餐店，味道很不错。', '短评打分': 5}
{'短评内容': '还不错，蛮干净的。楼下吃饭也方便       字数.exe 补丁', '短评打分': 5}
