{'短评内容': '很好，位置好', '短评打分': 5}
{'短评内容': '1.床垫会活动，不过貌似酒店都这样。\r\n2.两个网线接头不错。\r\n3.附近都在搞建筑，过些日子应该就好了吧。', '短评打分': 5}
{'短评内容': '这家酒店就是房间面积小了点,其它方面都还不错,性价比蛮不错的,值得推荐.', '短评打分': 3}
{'短评内容': '位置很好,离市中心很近,出行很方便,房间的卫生和设施方面也都不错,住着很舒适,是一家性价比很高的酒店.', '短评打分': 3}
{'短评内容': '位置不错，设施什么的都好  值得推荐', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '13楼的锅炉非常吵，也不知道是不是因为我定的是周末特价房，但是还是个高级大床房啊，怎么能那么吵~！', '短评打分': 5}
{'短评内容': '基本可以，就是房间有点小！', '短评打分': 5}
{'短评内容': '总体感觉还是不错的，特别是透明的淋浴间，呵呵~~', '短评打分': 5}
{'短评内容': '酒店的服务还是不错的.周边交通的不是很方便出行.卫生和设施条件还可以.总体感觉还行.', '短评打分': 3}
{'短评内容': '12', '短评打分': 5}
{'短评内容': '酒店的卫生条件还算不错，硬件方面简介完善，位置也挺方便的，价格也挺合适的。', '短评打分': 3}
{'短评内容': '没有停车场很遗憾，但是地点和店内环境很好，房间很干净舒适', '短评打分': 5}
{'短评内容': '普通汉庭吧。\r\n那天预定了肯德基早餐，是按照电梯里面的广告点了2类早餐。\r\n结果送来的和我看到的不一样。关键我不喝咖啡，直接扔了，浪费。\r\n', '短评打分': 5}
{'短评内容': '酒店卫生很好,设施比较齐全,卫生很好交通便利,和其他城市的汉庭没有什么差距,性价比还不错.', '短评打分': 3}
{'短评内容': '很好！！！！！', '短评打分': 3}
{'短评内容': '还行  服务不错 比较安静 网速也还行  值得住！', '短评打分': 5}
{'短评内容': '不错，但早餐没什么特色。', '短评打分': 5}
{'短评内容': '在芜湖算是很经济方便的酒店啦', '短评打分': 3}
{'短评内容': '地理位置非常好,就位于五一广场,出去玩都很方便,房间的卫生和设施方面也都不错,住着很舒适,是一家性价比很高的酒店,而且当时还使用了消费券还是有优惠的.', '短评打分': 3}
{'短评内容': '前几天入住，感觉交通很方便，从机场候机楼和长途车站都很近，交通很便利。周边的殴尚超市和步行街也不远，还支持肯德鸡送餐服务。总体感觉性价比比较高，秉承了汉庭的一贯风格。电梯是刷卡的，减少了很多不必要的生人！就是停车位比较少。', '短评打分': 5}
{'短评内容': '总体酒店环境还不错！硬件设施值得称赞！软件服务也不错！服务员态度很不错！但是希望改进房间内的衣帽柜！酒店没有衣帽柜！所有的衣服要挂在镜子上！可以开辟设计一个小一点薄一点的帆布衣帽柜，这样可以可爱点也可以更合理和美观！以上仅供参考！谢谢！这个酒店相当值得推荐！Hha', '短评打分': 3}
{'短评内容': '酒店的服务卫生方面还是不错的,设施条件一般了,尤其是卫生间方面,面积小设施也不齐全.都没有放衣服的地方.酒店的价格方面还算比较合适的.', '短评打分': 3}
{'短评内容': '环境设施都不错，大床房在楼梯口且临街，经常听见微小的车喇叭响和电梯的叮咚声。', '短评打分': 5}
{'短评内容': '酒店位置很好，交通便利，坐电梯都要刷房卡，感觉很安全。出门就有公交站，打车也方便，很便宜（起步价5元），如能在房间配置电脑的话那就更加完美。', '短评打分': 5}
{'短评内容': '不贵，位置也还可以。打车都知道，可惜没有餐厅，早餐是麦当劳外卖15元一份，有4种套餐可以选择。整体还可以。就是附近吃饭不好找地方。', '短评打分': 5}
{'短评内容': '跟其他酒店没什么区别  不过更推荐住芜湖另外一家汉庭，距离沃尔玛比较近。\r\n', '短评打分': 5}
{'短评内容': '很时尚的酒店，大堂有免费上网电脑，免费咖啡，红茶。只是太节能了，洗澡热水管出水，只能用不凉形容。建议改进。', '短评打分': 5}
{'短评内容': '环境干净 ，服务也不错，地段靠近芜湖这里凤凰美食街也很近，吃饭购物都方便', '短评打分': 3}
{'短评内容': '这个汉庭位置不错，挺方便的，而且硬件和卫生条件也都不错，价格优惠，我还是比较满意。', '短评打分': 3}
{'短评内容': '酒店环境不错，价格也便宜，就是酒店价格不包含早餐，感觉快捷酒店都是这样', '短评打分': 5}
{'短评内容': '我去的时候正好赶上修路,门口的卫生不是很好,酒店里边还是不错的,房间打扫的挺干净,设施方面也还可以了,就是不配备电脑.挺不方便的,价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '酒店的整体不错的，有家的感觉，酒店的服务卫生以及设施都很好的，酒店的位置还可以的，出行很方便的，酒店的价格还可以的', '短评打分': 5}
{'短评内容': '感觉酒店环境还可以，服务不错，价格也比较适中', '短评打分': 5}
{'短评内容': '房间面积比较小，环境硬件配置都还不错，也算是比较齐全，卫生服务也很好，还是非常值得推荐入住的，价格也合理适中。', '短评打分': 5}
{'短评内容': '酒店内倒是挺干净的，配备的硬件也还不错，但是他门口在修路，周边路况很不好，而且这个价格也比较高。', '短评打分': 1}
{'短评内容': '酒店的整体感觉还好，房间装修有点陈旧，服务和卫生条件都还不错，价格也是便宜的', '短评打分': 5}
{'短评内容': '酒店的设施陈旧了,服务卫生都可以的,价格可以接受,位置还可以的,', '短评打分': 5}
{'短评内容': '我们入住的是周日特价房100元一间，真是1米8 X 2米的大床啊。超值。房间面积不大，但布置简单，干净。唯一是被子太厚，太重，这个天就嫌热了。不好意思，舒适度打4分了。', '短评打分': 5}
{'短评内容': '就住了一晚没有太大感觉,但是卫生间设施太简陋使用起来不太方便,酒店周边在修路交通不方便', '短评打分': 5}
{'短评内容': '服务卫生还是不错的,价格也比较实惠.', '短评打分': 5}
{'短评内容': '酒店的价格非常优惠，服务也不错，而且位置很方便', '短评打分': 5}
{'短评内容': '电视不太好.位置非常好,相对于其它连锁酒店还是比较好的.', '短评打分': 5}
{'短评内容': '&lt;font color=&quot;Red&quot;&gt;&lt;font size=&quot;2&quot;&gt;&lt;font face=&quot;黑体&quot;&gt;酒店位置卫生价格都不错，只是感觉酒店有些人员素质有点差哦，前天入住此酒店的，第二天结账时离开时，女儿把一件衣服忘记在床上没拿，退房都需要查房的，看到应该提醒我们，结果没说，到家后才发现忘了拿。我们只是损失了', '短评打分': 3}
{'短评内容': '纯正的汉庭风格，交通也很好，便利。芜湖还不错的经济型酒店。', '短评打分': 3}
{'短评内容': '很干净的房间，很好的地段，感觉很不错。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '服务人员态度还是比较好的。就是整体环境不是特别，满意', '短评打分': 3}
