{'短评内容': '酒店的环境虽然不错 但是位置实在是太过偏僻了', '短评打分': 1}
{'短评内容': '整体的住宿感觉很好，宾馆里面也很干净，正面着鼓浪屿，可以看到郑成功的雕像，可是位置稍微偏了一点，第一天去，的士车师傅就没找到路。离厦大、南普陀超近，走路十多分钟就到了。', '短评打分': 5}
{'短评内容': '酒店好像是原来的如家改的，地理位置还好，离厦大比较近，但是酒店不好找比较偏僻，而且感觉治安不太好周边是什么垃圾回收站还有工地吧，晚上感觉又点可怕。海景房可以看到海，房间什么的也不错，只是窗户只能打开一个缝说是为了安全。。因为是五一去的，到店说什么要加百分之四的价格调整，那种时间我也不可能去别的地方换旅馆，所以只能答应了。店员说什么网上有显示，反正我是没看到，感觉坐地起价一样，五一人那么多，拿着那么', '短评打分': 1}
{'短评内容': '如果是旅游旺季，不推荐这家酒店，即使你交了担保金，他也不会保证有房间；让你临时三人住一间  ', '短评打分': 1}
{'短评内容': '如果是旅游旺季，不推荐这家酒店，即使你交了担保金，他也不会保证有房间；酒店周边的环境差了一点，酒店内部条件还不错！', '短评打分': 5}
{'短评内容': '酒店离厦门大学很近,周围环境可以说是闹中取静,我订的是海景大床房,房间直面大海,空气很好,可以远眺胡里山炮台.价钱比较合理经济实惠,以后如有机会我还会选择这家酒店.', '短评打分': 5}
{'短评内容': '比较便宜的海景房吧，但是窗子很小。看海的角度不大对，建议看海的话 还是去厦门东边的一些酒店 估计会更好', '短评打分': 1}
{'短评内容': '地方有点偏僻不过周围都有贴指示，所以还算好找。只是房间的隔音实在是不好，一大早就被周围房间的人嘈醒了。', '短评打分': 3}
{'短评内容': '因为我是如家的金卡会员，一般出门都会入住如家，这次是因为厦大最近的如家满房，所以才随便找了这个酒店。来了以后才知道，澳盛安以前是如家酒店，如家的品质没有变，只是名字变了，价格也很优惠，是个很不错的酒店。房间大小合适，可以看到海景，可以看到鼓浪屿，服务也不错，房间比较安静。', '短评打分': 5}
{'短评内容': '海景逊了点，不过内部环境不错！', '短评打分': 3}
{'短评内容': '酒店干净，能够看到海和鼓浪屿，不错，下次还去！', '短评打分': 5}
{'短评内容': '貌似原来是如家，里面的设备都是以前如家的，窗户能打开的太小，只能透过玻璃看海~大床房的房间有点小~', '短评打分': 1}
{'短评内容': '感觉隔音不好，暖气会有噪音，其他的都还不错', '短评打分': 3}
{'短评内容': '可以直接看到海，房间也很干净，就是交通不太方便', '短评打分': 3}
{'短评内容': '第二次入住酒店了，感觉挺不错的。就是隔音有点差。还有就是借吹风机很不人性化，还需要下到前台填借单。以后最好可以送上来。', '短评打分': 3}
{'短评内容': '被子很厚，很暖和，屋里是清新的绿色，离厦大医院很近，可乘公交车去码头，厦大，胡里山炮台等诸多景点。', '短评打分': 5}
{'短评内容': '房间虽然小，但是很干净。卫生间比想象中大，还算满意。最满意的是：床、被子和枕头非常舒服，跟家里的一样。\n地理位置非常好。虽然刚到的时候觉得有点偏，但是第二天有惊喜！出胡同，走几分钟就是厦门大学的东门，去南普陀也很近。\n海景房还是算了吧，就是能看到一点海的房间。也许是春节人多，没订到真正的房间。期待下次去的时候能住到。', '短评打分': 5}
{'短评内容': '海景房大床房，一半是海景，一半是街景，半夜停泊的小船的马达声有些扰人入睡。', '短评打分': 1}
{'短评内容': '地点靠近厦大、胡里山炮台、南普陀寺，酒店位置不临街，不太好找，要经过一个幽暗的小巷子，门口有一个可以加工的海鲜城，所以好多旅行社的大巴停在附近，有些脏乱，客房还算干净卫生，但是电视的遥控器是坏的，工程部的大叔修了半天没修好，说拿去换一个，过来一个不知道是老板娘还是服务员的什么人说遥控器是好的，她说我们不会使，态度很不好，谁知道你们是否换过，难道你们工程部的大叔也不会使吗？过了一会遥控器又不好使了，', '短评打分': 1}
{'短评内容': '路很难找，而且偏僻，特别是晚上回家，没有陪同根本不敢走。。。但是住进去就会发现景色很棒，海景，山景都很不错，在经济型酒店中就没住到过景色这么好的。', '短评打分': 5}
{'短评内容': '还好! 去厦大、胡里山都不远。酒店门口有些脏乱。', '短评打分': 3}
{'短评内容': '地点超级偏僻～超级难找～感觉还有点不安全～连路灯都没有～还说是海景房～只能从门缝里看出去～都是骗人的～劝大家不要住这家！电梯都是坏的！！浪费我的时间和金钱！\n唯一安慰的就是店主态度很好～除此之外都是差评！！！！！！！！！', '短评打分': 1}
{'短评内容': '酒店不错，离厦大不远，订的海景房的确能看到无敌海景。唯一遗憾的是洗手间有下水道味道。总体海不错。', '短评打分': 3}
{'短评内容': '  空间很大设施新，繁华路段，下次还会入住。', '短评打分': 5}
{'短评内容': '前台服务很好，我们在鼓浪屿的时候就电话提醒我们不要买鼓浪屿的高价海鲜，坐轮渡的时候又提醒我们做的士的价格，不要被骗。很贴心的服务！！', '短评打分': 5}
{'短评内容': '酒店家庭海景房景观特别好，视野很宽阔，而且斜对面就是鼓浪屿，郑成功的石像都看的很清晰！或者躺在床上看海边落日，或者倚在窗边看海天一色，都是一种心的享受！除了酒店的地理位置还不错，但是不靠街，比较难找，的士司机也不是很熟悉。', '短评打分': 5}
{'短评内容': ' 没有想象的好，贵', '短评打分': 3}
{'短评内容': '确实有海景，建议先选房间后付钱，据说有几间视角很好，其他的职能侧面看看大海', '短评打分': 5}
{'短评内容': '来到之后发现之前是如家快捷酒店，后面被人承包了。虽然有点偏僻，但是价钱实在，服务态度不错！！更重要的是床很舒服，很软。值得推荐。性价比高！', '短评打分': 5}
{'短评内容': '地方不好找，酒店内部环境还可以，海景房还可以', '短评打分': 5}
{'短评内容': '很不好找。。。出租车司机也没人知道。地理位置不算好，离环岛路和轮渡那边都不近便。。进出要全靠打车。否则就要靠步行走挺远。不过房间本身不错，定的特价海景房，虽然木有那么华丽，景色也不算美。但是并不坑爹。确实窗外是海还有大桥~~前台服务态度也不错。其实硬件跟如家一模一样。', '短评打分': 5}
{'短评内容': '厦门澳盛安海景酒店斜对鼓浪屿，住的是标准的海景房，安静。就是酒店有点偏，其实离厦门大学大门不远，希望酒店能给个简洁的位置指示。', '短评打分': 3}
{'短评内容': '这酒店原来应该是如家连锁酒店的加盟店。环境还可以，但地址确实难找，所有酒店设施均为如家标准配置。', '短评打分': 3}
{'短评内容': '房间很干净，服务也还不错。。就是位置比较不好找，但是看的到海景，很不错。。舒服。。是如家', '短评打分': 5}
{'短评内容': '好多人，还不错！', '短评打分': 3}
{'短评内容': ' 房间很温馨，很干净！虽然不是海景房有点遗憾。。。', '短评打分': 3}
{'短评内容': '酒店其实就是如家，比较新，海景房正对着鼓浪屿，很不错，风景很好，位置也还可以', '短评打分': 5}
{'短评内容': '离想去的景点不远,很方便,下次来还会选择,呵呵', '短评打分': 5}
{'短评内容': '环境还不错，可以看到大海！就是位置有点偏僻，不太好找！\n服务态度也是可以的，基本上能满足我们的要求！！\n硬件么一般都齐了，被子的味道还好，基本没有！！\n', '短评打分': 5}
{'短评内容': '原本订的特惠海景房竟然被酒店弄错，最后只能改成双床房，位置很难找，第一次去的很不方便，房间还是不错，其实就是如家，换了个名字', '短评打分': 5}
{'短评内容': '地方难找，出租车司机说不认识，其实就是中华儿女美术馆边上。。。房间还不错，这个所谓的海景差强人意了。。', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 3}
{'短评内容': '酒店服务不错', '短评打分': 3}
{'短评内容': '厦门海景到处都是，这家酒店完全是被名字骗了，好难找的，的士司机都不知道在哪的，是原来的如家改过来的，价格却贵了将近50%', '短评打分': 1}
{'短评内容': '该酒店其实是如家连锁店,而且装修非常新,刚一进房间还在诧异怎么这么小,但是拉开窗帘看见绝美海景,立刻心旷神怡起来.酒店位置还是有点难找的,出租车基本找不到,要注意事先跟酒店问好地址,大概是在停车场里面.', '短评打分': 5}
{'短评内容': '风景很不错，看出去就是一片海，心旷神怡，很干净，很舒服。', '短评打分': 5}
{'短评内容': '交通不是很方便，酒店周围环境不是很好，房间是我们这次至厦去最大的一个房间，而且房价也和厦大思明南路的如家店差不多，但大好多，一家三口睡得会很舒服。只是房间内有一股说不 出的臭味，很冲鼻。不知道另外的房间有没有气味，不是很喜欢', '短评打分': 1}
{'短评内容': '离公交站较远，如果走着去乘公交，出去要15分钟。出租车司机多数不知道那里。住宿条件还不错，就是偏了点。', '短评打分': 1}
{'短评内容': '酒店设施不错，也比较新。就是地理位置有点难找', '短评打分': 5}
{'短评内容': '酒店整体来讲还不错，房间面积，卫生都还好。地段不是很好找，打车司机都不知道后沙尾。离公交车站有一段距离。  中午、早晨旅行社的大巴太多，适合团队旅游居住。海景房看到一个广告背板然后是大海。服务还可以。', '短评打分': 5}
{'短评内容': '房间很小，设施也很简陋；可能是旅游城市的缘故，下次应该不会再住了：）', '短评打分': 1}
{'短评内容': '该酒店服务态度好,卫生情况好,给人感觉很干净舒服,唯一不足的是离公交站有点远.可能是夏天去感觉热步行有点累,天气凉爽了去可能好点,去车站步行15分钟还是可以的.', '短评打分': 5}
