{'短评内容': '地理位置不错 出门离码头近 出门就是公交车 几站就能到镇上 非常方便 房间也比较干净 感觉很棒！！！', '短评打分': 5}
{'短评内容': '除了地理位置没什么值得推荐的，谈不上性价比。早餐吃过比这家更差的，所以还不算最差。向注重经济有希望交通方便的推荐该酒店。其他的就不好说了。', '短评打分': 5}
{'短评内容': '这里环境很好,就在旅游码头旁边是旅游度假的好住处.去汽车站有公交,很方便.', '短评打分': 3}
{'短评内容': '早餐太简单，质量不过关。住宿房间一个不错，一个过小。最要命的是中央空调声音太大。一晚上老人孩子都没睡好。走的时候掉了一双鞋子，下午打电话去总台居然不知道，还好最终找到了。', '短评打分': 1}
{'短评内容': '离码头近要是旅游客人比较方便，走过去三分钟就可以到了。', '短评打分': 5}
{'短评内容': '千岛湖怡莱酒店总体挺好 离码头近要是旅游客人比较方便  就是我入住的时间空调坏了  稍微冷点 服务不错', '短评打分': 3}
{'短评内容': '接近年底去的, 早餐简单,房间还有老鼠骚扰.如果春节去入住真的不推荐', '短评打分': 1}
{'短评内容': '酒店设施不错，环境优雅，服务到位，性价比高。', '短评打分': 3}
{'短评内容': '环境设施不错，晚上还有篝火晚会，窗外远处可以看到千岛湖，楼下景院水美鱼美，酒店下来就是码头，非常方便，是渡假的不错选择。（回来一直忙，没有点评，非常抱歉）', '短评打分': 5}
{'短评内容': '房间很大。很舒服，离湖边很近.方便.唯一的事，空调没有暖风,', '短评打分': 3}
{'短评内容': ' 酒店房间不错，浴室很好，早晨很差', '短评打分': 3}
{'短评内容': '住的很开心，酒店位置好，风景怡人。房间很干净。下次还想来这里！', '短评打分': 5}
{'短评内容': '位置好，环境不错', '短评打分': 3}
{'短评内容': '住的很开心，酒店位置好，风景怡人。房间很干净。下次还想来这里！', '短评打分': 5}
{'短评内容': '酒店设施有点旧。', '短评打分': 3}
{'短评内容': '酒店整体还行，就是周边太冷清，早餐种类很少。我们住的是靠窗的房间里面有点味道。不过不是很吵。\n', '短评打分': 5}
{'短评内容': '这酒店位置很好，离千岛湖码头非常近，步行五分钟即到！房间环境很干净 \n', '短评打分': 5}
{'短评内容': '酒店的位置很好房间的大小也很不错！', '短评打分': 3}
{'短评内容': '环境不错，而且公交也是很快到的，还可以到码头看日落日出，推荐', '短评打分': 5}
{'短评内容': '酒店地理位置不错，当时我入住的322放假，推开窗户可以看到小桥流水，而且还能看到那个烧烤篝火晚会，第二次朋友过来我就直接在网上给她订了，卫生也好不错，希望再接再厉！', '短评打分': 5}
{'短评内容': '在旺季算是性价比比较高的酒店了，位置虽然不算是中心，但是就在游客码头，很方便，但是入住前一定要订好不靠楼下酒店的那面，不然晚上基本无法睡觉，第一晚入住时，因为有孩子，所以想要标间，但标间无窗，可前台的小姐就一个劲儿告诉我一定要住有窗的大床房，价格是一样的，跟本没提什么房间有味道，结果入住了，太可怕了，房间空调的声音大的简直了，味道就像在充满油烟的厨房，睡不着起来一开灯就看到了脚下有只硕大的蟑螂，当', '短评打分': 5}
{'短评内容': '为什么没有空调？其它还可以', '短评打分': 3}
{'短评内容': '：条件还算可以、服务需改进（如礼部等）。', '短评打分': 3}
{'短评内容': '不错交通方便,环境优美', '短评打分': 3}
{'短评内容': '房间算大，格局不是很好。有点冷清，周边。', '短评打分': 5}
{'短评内容': '这酒店位置很好，离千岛湖码头非常近，步行五分钟即到！房间环境很干净', '短评打分': 5}
{'短评内容': '酒店地理位置不错，不过我们住的房间烟味太大，也不知道哪里来的，换了个房间稍微好点，但还是有，还有早餐实在太过简陋，望改善', '短评打分': 1}
{'短评内容': '地理位置、环境都不错···就是早餐简单了点···', '短评打分': 5}
{'短评内容': '性价比比较高，房间大！不过9月就不开空调，只能开窗通风，店家解释比较牵强，不过还算态度不错。自助早餐品种、质量有待提高', '短评打分': 5}
{'短评内容': '我买的是团购房，大家千万要看清楚下面的一行小字，酒店不为团购房提供洗漱用品和早餐的，其实周末拍团购房一点也不划算，差不多价格的。', '短评打分': 5}
{'短评内容': '还可以吧，里面装饰东西太少啊 55555555555555555555555555', '短评打分': 5}
{'短评内容': '靠秀水街，楼下有晚会，可以在阳台上直接看，10后晚会结束了就安静了，房间不是太大，相对经济点，关键是离游船码头很近，可以直接走过去了。', '短评打分': 5}
{'短评内容': '就在景区门口旁的酒店，对于自驾游的游客来说非常方便。可能是旺季的关系吧，酒店的价格偏贵，但是还算舒适。如果是淡季入住，还是非常不错的选择。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '酒店环境还不错早餐象猪食没法吃就是地点靠码头去湖游玩方便’位置不靠市区出去很难打到车', '短评打分': 3}
{'短评内容': '环境不错，房间挺大。早饭有待改进', '短评打分': 3}
{'短评内容': '就在景区门口旁的酒店，对于自驾游的游客来说非常方便。可能是旺季的关系吧，酒店的价格偏贵，但是还算舒适。如果是淡季入住，还是非常不错的选择。', '短评打分': 5}
{'短评内容': '酒店硬件设施尚可，房间装修风格雅致。不过，服务态度和质量有待改进，感觉想住家庭旅馆似的，还有点客需随主便的味道。', '短评打分': 5}
{'短评内容': '还好，对得起价格。床比较大，房间蛮干净的。就是没有无线宽带。', '短评打分': 3}
{'短评内容': '非常不错，老板人很好', '短评打分': 3}
{'短评内容': '真是很不错，虽然订的是特价房，但是房间很大，也很干净。坐在窗户边就可以看到下面的演出。但楼下的自助早餐就差很多（不过是免费的，要求就不能太高了）', '短评打分': 5}
{'短评内容': '住了两晚，整体还不错，房间够大，主要是距离码头很近，走过去2分钟，早餐也不错，但就是酒店附近吃饭很贵，房间的空调不舒服，一冷一热的，有待改进，还有就是房间有蚂蚁，但还是值得推荐的，这个价格还算可以的了，我是平时去的，特价房238元', '短评打分': 5}
{'短评内容': '房间的装修有点老，而且后面的商业街晚上有点吵', '短评打分': 1}
{'短评内容': '酒店位置和设施不错，但价格偏贵。前台推荐的漂流显然是不负责任的，龙口这个点不怎么样！', '短评打分': 5}
{'短评内容': '性价比高，地点确实不错，服务也比较热情，晚上秀水街的泼水节和啤酒节有点吵，不过十点多点就结束了。就是千岛湖的岛上景点有点空洞啊，上岛玩景点还不如租个船在湖里面吹风，有点遗憾。\n', '短评打分': 5}
{'短评内容': '房間夠大，比較乾淨。离旅遊碼頭很近！唯一的問題就是酒店的服務員並不太懂什麼叫作酒店服務！望改善。還有就是我离開酒店超過二十四小時，信用卡的擔保金額仍未解凍。', '短评打分': 5}
{'短评内容': '早餐一般，人太多。客房还行，卧室挺大的，发现有蟑螂', '短评打分': 5}
{'短评内容': '酒店服务，环境太差，员工素质低，送票送水未兑现，一般的大众宾馆，谈不上星级，希望以后象这种不要推荐。', '短评打分': 1}
{'短评内容': '环境不错，离旅游码头超近，就是餐厅的饭菜挺贵的', '短评打分': 5}
{'短评内容': '酒店最大的好处是离游船码头非常近，便于早上上船，其他比较一般，令人稍感遗憾的是酒店提供的早餐品种单调，这一点确实不能令人满意．', '短评打分': 5}
{'短评内容': '位置离客运码头很近，方便，酒店空调服务都很好。下次还住', '短评打分': 5}
{'短评内容': '酒店位置不错，装修一般，晚上十点多开电视，机顶盒坏了，隔音差。', '短评打分': 3}
{'短评内容': '酒店设施很不错。价格也还算合理。关键就是服务不怎么样。不过还是值得一住的。', '短评打分': 5}
{'短评内容': '很不错，离吗码头很近环境也很好', '短评打分': 3}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '整体环境还好。床单有点不干净。夏天没有开空调。距离市区远，大家参考', '短评打分': 1}
{'短评内容': '位置好 就在游客码头旁边  设施还行  推荐', '短评打分': 5}
{'短评内容': '一般般的地方', '短评打分': 3}
{'短评内容': '酒店的位置真的很好,就在中心湖旅遊碼頭旁邊,服務人員很有禮,酒店也乾淨舒適..\n我有幾點想讓到千島湖旅遊的朋友注意:\n1.這裡的魚,有的店家貴得離普,一斤58元,一隻魚10斤就要600元了,更誇張的另一種叫鴨嘴魚的一斤220元,隨便來隻小魚也要600元,點菜時一定要看清楚價格,結帳時才不會太吃驚!\n2.寧願坐計程車也不要坐當地的私家車,被那些人纏上後是很難擺脫的,千萬小心\n3.森林氧吧我不建議去玩', '短评打分': 5}
{'短评内容': '1.我住此酒店于4月29日房价480元，4月30日房间680元，4楼大床房\n2.此酒店说是按照准4星级建造，其实也就勉强3星级。如按照3星要求，装修还算性，房。房间大小可以，3.四楼分2面，我住在20-29号房间的一面，房间早中晚会有浓重油烟味!\n4.早餐很差，没有蔬菜，只有咸菜，有4种陷的包子、蛋炒饭、炒面、牛奶、稀饭、茶蛋、油条。\n5.此酒店根本是达不到4星的标准，完全骗人。\n6.如是3星标准', '短评打分': 1}
{'短评内容': '去看音乐节住的  离码头很近 环境不错 干净 但早餐令人失望 选择很少 ', '短评打分': 5}
{'短评内容': '离景区很近，前台的妹妹非常热情，房间挺大的', '短评打分': 5}
{'短评内容': ' 酒店还可以，餐厅水平一般，床很舒服！', '短评打分': 3}
{'短评内容': '房间很干净，也很温馨，有停车位，早餐很不好，服务员态度也不够好', '短评打分': 3}
{'短评内容': '1、酒店的怡莱渔庄餐厅是黑店，吃条鱼要两三百元，菜难吃不说价还高，服务人员都是穿便装的大妈!\n2、社会青年混杂在酒店服务人员中，晚上要被子没有，一个社会青年拿了毯子来说就这样，你看着办吧!\n3、酒店早饭奇难吃，房间里有霉味和臭虫，空调打到30度都不热，早上居然还被窜到卧室的阵阵油烟味熏醒!\n4、网站促销时包含免费桌球，到那里玩被告知只能到晚上八点，之后要收费，网上事先没告知。\n\n总的来说，千岛湖胜', '短评打分': 1}
{'短评内容': '位置很好，就在旅游码头边，游玩很方便，房间也还可以，就是浴室排水不畅', '短评打分': 3}
{'短评内容': ' 酒店不错！', '短评打分': 3}
{'短评内容': '客人很少，设施不错，但空调效果不行，离县城生活区有点远', '短评打分': 5}
{'短评内容': '＋很好', '短评打分': 3}
{'短评内容': '位于秀水街,可能是冬天的缘故,人比较少.环境好..房间也不错..唯一不满意的是中央空调制热效果太差了..冷了一晚上没睡好..早餐也比较差..也许夏天去会比较不错.', '短评打分': 1}
{'短评内容': '很差，服务也一般，总体感觉不满宜！！！！！！！！！！！', '短评打分': 1}
{'短评内容': '安静舒适，距离湖边很近，酒店餐厅有机鱼比较贵，下次还回去', '短评打分': 5}
{'短评内容': '热水不太热，空调取暖太慢！不过很静。卫生也不错！', '短评打分': 3}
{'短评内容': '很不错 价格便宜 位置好  房间设施很好 下次还要去', '短评打分': 5}
{'短评内容': '酒店就在游船码头旁边早上坐船游千岛湖很方便，酒店设施也不错，值得一住', '短评打分': 5}
{'短评内容': '酒店位置还好，自驾车更适合！性价比还可以！下回还会入住。', '短评打分': 5}
{'短评内容': '游湖的话位置不错，硬件也比室内一些酒店干净些。', '短评打分': 5}
{'短评内容': '比较喜欢这家酒店的装潢，有历史感但不厚重，价位合理。不太满意的是餐厅的餐具好像洗得不太干净。', '短评打分': 5}
{'短评内容': '酒店紧挨千岛湖景区的门口，环境较好，设施比较新，房间也较大，是一间有较高性价比的酒店，适合自己出选择游客。离市中心也很近。', '短评打分': 5}
{'短评内容': '性价比很高，环境也算不错，就在秀水街旁。', '短评打分': 5}
{'短评内容': '酒店设施都很好，卫生都很不错。。。只是那天晚上热水不够热，第二天早上就好了。总的来说不错', '短评打分': 5}
{'短评内容': '+房间很不错,只是有的房间有老鼠的动静.', '短评打分': 3}
{'短评内容': '总的说来很不错，值得推荐。唯一的不足就是房间里仿佛有老鼠，我们住的那夜，半夜的时候弄得哐当哐当的，我和室友曾一度怀疑有人在弄我们房门的锁，还起来从猫眼往外看，却什么人也没有。第二天问起隔壁同行的朋友们，才知道可能是老鼠。说实话，当时感觉还是蛮恐怖的，呵呵。', '短评打分': 5}
{'短评内容': '服务挺好，但是大房间中午或晚上有油烟味。有的房间有蚂蚁出没。', '短评打分': 3}
{'短评内容': '   不错，超出想象！', '短评打分': 5}
{'短评内容': '前台给的第一个房间正对厨\n房房间里充满了油烟味。:-[换到第二房间还是有味只能凑合了 。服务还行\n\n', '短评打分': 5}
{'短评内容': '非常好！就在千岛湖的旅游码头，非常方便，提前一天去还可以欣赏一下千岛湖的风景', '短评打分': 3}
{'短评内容': '房间性价比很高 值得推荐~                 ', '短评打分': 5}
{'短评内容': '很好！很满意，就在千岛湖跟前，很值得的！', '短评打分': 5}
{'短评内容': '+一般', '短评打分': 5}
{'短评内容': ' 地理位置不错,参观游览交通方便。早餐过于简单,建议住客自备。', '短评打分': 3}
{'短评内容': '这家酒店就是一般酒店的配置，十一标准间涨到五百多实在有点离谱。离码头很近，到镇上要坐公交，洗澡的热水不太热，洗的时候有点冷，性', '短评打分': 5}
{'短评内容': '国庆节来玩，房价是涨了不少，但也是没办法的事~~综合来说，性价比很高，酒店很新所以房间很干净，尤其大赞卫生间，热水又大又急，洗澡实在太舒服了，还很宽敞，石子板的淋浴间地面看着很干净和卫生，我和朋友对这个卫生间大赞不已，个人感觉酒店卫生间的卫生还是很重要达！不过垃圾桶没有套垃圾袋，这点应该改善一下，对于酒店的清洁也不太方便吧！\r\n\r\n酒店的地理位置很不错，旁边就是游船码头，对千岛湖这个以游船出游为主', '短评打分': 5}
{'短评内容': '很好的酒店，性价比极高，就在码头边上，早上起来后就可以步行去码头，酒店的设施很新，住起来很舒适，早上如果不是赶时间都不想起床。缺点：附近什么商业设施都没有，如超市、水果摊，我是晚上10点后入住的，附近黑乎乎的，建议酒店内部开设一个小型超市方便住客。', '短评打分': 5}
{'短评内容': '酒店地理位置优越，距游览码头和出行公交车站很近，乘船观光游览方便，设施较陈旧，服务一般，早餐有点凑合，没有多少可吃的东西，住店建议自己准备。', '短评打分': 5}
{'短评内容': '酒店位置很好，跟码头相邻。喜欢酒店的装修风格，住得也比较舒适。离湖稍远了些，基本看不到湖景。最不满意的是早餐，是我所有住过的酒店里最难吃的。另外，强烈要求房间里的蚂蚁们分担偶的房费。', '短评打分': 5}
{'短评内容': '非常满意这家酒店，环境安静，特别的装修风格有特色，服务态度也好，下次一定还会来的', '短评打分': 3}
{'短评内容': '环境安静，服务态度好，价格也经济，比上次在杭州住的紫兰酒店好多了！下次有机会还要带上孩子一起去。', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '第二次入住，我们住的房间看不到湖，老公说枕头睡得不舒服，但我们再去还是会再选该酒店的。', '短评打分': 5}
{'短评内容': '酒店里面内置的餐厅吃的东西性价比不是很高、早饭也很一般。。', '短评打分': 5}
{'短评内容': ',千岛湖度假酒店便宜、方便、房间好，住宿环境好,真的很不错', '短评打分': 5}
{'短评内容': '+环境很漂亮，服务很周到，价钱很便宜！', '短评打分': 5}
{'短评内容': '不错比想象的好，但1楼的房间内确实有一股霉味，不过只要开一回窗在开着空调就没了，还是建议酒店改善一下', '短评打分': 5}
{'短评内容': '怡莱连锁酒店（千岛湖度假酒店）的位置我认为还是相当的不错,离旅游码头和客运码头都很近,房间比较大而且晚上很安静,可能是我去的时候是旅游淡季的原因,停车非常方便,我住的大床房价格180元,性价比还是蛮高的,下次再到千岛湖度假我想我还会选择住该酒店的.', '短评打分': 5}
{'短评内容': '环境还可以，比较整洁，就是比较偏僻，晚上找吃的不容易', '短评打分': 3}
{'短评内容': '性价比还可以，地理位置好，但是房间尤其是洗手间有股味道，好像发霉的感觉。房间没有面纸，手纸质量也不太好，枕头太闷，不透气。', '短评打分': 5}
{'短评内容': '\n很好', '短评打分': 5}
{'短评内容': '虽然只住了一晚，但给我留下了非常美好的回忆！最喜欢临近湖边的那种感觉（虽然看不见千岛湖）~~~赞一个先！但是对厕所有点不太满意，偶然间的抬头，发现掉了一大块~~~总的来说，非常不错~！', '短评打分': 5}
{'短评内容': '卫生不错，很干净，服务还算比较周到，非周末性价比较高', '短评打分': 5}
{'短评内容': '地理位置不错，靠近码头，房间很大很舒适。早餐一般', '短评打分': 5}
{'短评内容': '好很好  和适合出去玩住 还有导游指导  很不错的选择啦', '短评打分': 5}
{'短评内容': '很好的酒店，地点非常好，设施也很新，非常干净。性价比不错', '短评打分': 3}
{'短评内容': '非常好的酒店，设施很新，最重要的是位置很好，在湖边，离码头非常近；吃的就一般了，鱼头也没想象中的那么好。', '短评打分': 5}
{'短评内容': ' 地点不错,上下船非常方便,房间也很干净,舒适.', '短评打分': 5}
{'短评内容': '还可以，服务人员差了一点，可能我本身就是做酒店的，所以要求高了一点', '短评打分': 5}
{'短评内容': '离旅游码头很近，环境也还不错，就是早餐太糟糕，只管饱。', '短评打分': 5}
{'短评内容': '性价比很高，就在湖边，环境好，服务好，下次还住', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置很好的酒店，离游船码头和秀水街几步之遥，虽然秀水街白天没什么人气，但是晚上的泼水节还是挺有特色的', '短评打分': 5}
{'短评内容': '酒店说是按四星标准建造，其实离四星还差不少，房间没有保险箱，没有晾衣绳，面积太小，家具过于简单，价格周末去比平时贵一百左右，四百多的标间，性价比较低，不过床的舒适度还可以，房间带个两台，晚上看看星空还不错，总体一般！', '短评打分': 1}
{'短评内容': '前台服务非常热情\r\n半夜肚子饿了，前台热情的提供跑腿公司的电话，帮助我们买回了夜宵', '短评打分': 5}
{'短评内容': '硬件及服务还不错。地理位置不错就在游轮码头旁边出游很方便。晚上可以在隔壁的“秀水街”逛逛，虽然价格比外面的贵。', '短评打分': 5}
{'短评内容': '相当不错。房间的话基本有4星以上的水准。。位置很好。。就是秀水街晚上确实没啥玩的。过夜有些无聊。', '短评打分': 5}
{'短评内容': '距离游船码头近，是自由行的好选择，酒店毗邻秀水街，购买特产比较方便。', '短评打分': 5}
{'短评内容': '优点很多，位置就在秀水商业街边上，周围有很多特色餐馆商店等等；房间（特价大床房）很大，大得让人觉得住两个人可惜了。。；酒店内有包团游湖的项目，很方便；前台服务员还personally帮助我们寄出了明信片。酒店环境布置很理想。缺点是，预先说好的用世博门票减20房费的优惠到店以后没有落实，服务员说是因为已经是特价了。', '短评打分': 5}
{'短评内容': '酒店位置不错 在码头旁边 酒店门口有很多的当地面包车 出行也比较方便', '短评打分': 5}
{'短评内容': '这环境好太度好', '短评打分': 5}
{'短评内容': '    感觉宾馆还不错，价格也蛮实惠，就是和酒店合作的旅游团不厚道', '短评打分': 5}
{'短评内容': '酒店一般', '短评打分': 5}
{'短评内容': '+已入住，挺好的', '短评打分': 5}
{'短评内容': '位置和大堂布置不错，房间设施一般，空调太冷被子太厚，晚上居然没有热水，对于家庭度假是个灾难', '短评打分': 3}
{'短评内容': '酒店位置和大堂布置很好，但是房间离秀水街广场太近，歌舞声音十分吵闹，晚上居然没有热水供应，直到晚上十一点才恢复，空调太冷，被子太厚，这样基本设施也不能保证的酒店，对于家庭度假简直是个灾难', '短评打分': 1}
{'短评内容': '位于千岛湖码头边上，游千岛湖很方便。装修还可以。孩子挺喜欢的。除了在房间里发现几只大强（大个蟑螂）外，一切很好。早上有团队退房，就一个服务员有点慢。', '短评打分': 5}
