{'短评内容': '不错，去了好几次了，享受了会员的待遇！支持京东！', '短评打分': 5}
{'短评内容': '酒店装修气味太浓，带老人小孩最好注意。服务不到位，竟然没有吹风借，害得我湿头发睡觉.无语', '短评打分': 1}
{'短评内容': '新装修的味道很难受，住了4天停了6次点，服务意识很差。', '短评打分': 1}
{'短评内容': '性价比不错，比如家等装修好。就是房间新装修的气味重了点。边上的花园道艺术区吃饭也方便。饭后还能在西北湖环湖一圈。', '短评打分': 5}
{'短评内容': '交通方便，房间装修比较个性，总体感觉还蛮不错的。', '短评打分': 4}
{'短评内容': ' 房间很好！就是味道很重！', '短评打分': 3}
{'短评内容': '真是值得推荐，价格平价，内部装饰很好，东西很新，下次出行还会选择他！！！', '短评打分': 5}
{'短评内容': '好就一个字。太满意啦。每个细节都设计得精致完美。', '短评打分': 5}
{'短评内容': '罗马假日酒店真的很引领潮流，相信这种纯正欧式风格的主题酒店会在国内成为潮流，非常喜欢，希望武汉多点这样的酒店！', '短评打分': 5}
{'短评内容': '什么都好，不错哦。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店房间很有个性，每间房都不一样，我特别喜欢503，而且前台服务也很热情，要是有早餐就更完美了。', '短评打分': 5}
{'短评内容': '酒店房间很有特色，服务特别热情，前台主动帮我拿行李，介绍房间，住的很舒服，给个赞！', '短评打分': 5}
{'短评内容': '酒店房间很有特色，前台服务也很热情，性价比很高，住过之后才知道什么叫“平价奢华”！下次还会来。', '短评打分': 5}
{'短评内容': '来到罗马假日果然耳目一新，就像宣传上所说的设计师的酒店，跟一般的精品酒店果然有本质区别，非常喜欢五楼地中海风格，下次还会来！', '短评打分': 5}
{'短评内容': '在武汉第一次发现这么纯正欧式风格的酒店，实在是太喜欢了，而且服务也很不错，很细心的给我介绍每种风格的房型，下次还要来哦！', '短评打分': 5}
{'短评内容': '很喜欢6楼欧式古典的房间，颜色搭配的非常舒服，酒店设施也很齐全，客房小商品很贴心，服务员很热情，下次来还会来！', '短评打分': 5}
{'短评内容': '酒店房间很有特色，很喜欢五楼地中海的风格，蓝白搭配非常清新可人，下次来还会住罗马假日！', '短评打分': 5}
{'短评内容': '酒店设施很好，服务热情，窗户正对西北湖，风景很优雅，下次来还是会选择罗马假日！', '短评打分': 5}
{'短评内容': '这次来酒店感觉耳目一新，二月底来看房间的时候还有些味道，这次过来基本没有味道了。我非常喜欢这里的装修风格，跟我去欧洲看到的差不多，在武汉很少看到这么纯正的欧洲文化酒店，带女朋友出来过浪漫之夜的不二选择。', '短评打分': 5}
{'短评内容': '特别差。虽然是新酒店，但是房间的味道特别大，眼睛不舒服，肯定有甲醛。且酒店没有发票，回京后多次打电话催促发票，酒店才勉强给找了一张餐票做冲抵。', '短评打分': 1}
{'短评内容': '酒店的地理位置很好，到机场和火车站都很近，赶早上的飞机住这里比较方便。\n\n异域风情的装修风格很有特色，房间设施很温馨，典雅。服务也不错～～挺满意的～～\n', '短评打分': 5}
{'短评内容': '床睡得很舒服，很不错，下回还会选择，就是排水功能不好', '短评打分': 3}
{'短评内容': '洒店服务很好！', '短评打分': 3}
{'短评内容': '房间很干净，床也很舒服，地段和交通都不错，下次还会再来', '短评打分': 5}
{'短评内容': '房间干净整洁，地理位置优越，周边美食餐厅很多，可以一饱口福，出行便利，非常喜欢。', '短评打分': 5}
{'短评内容': '风格独特，不拘于传统酒店形式，性价比高，要是有早餐就更好了', '短评打分': 5}
{'短评内容': '房间格调及装修还不错，就是油漆味太重了，有待改善', '短评打分': 3}
{'短评内容': '房间小，看起来也就十几平米，两个人住有些狭窄，房内有装饰味道\n床还是比较舒服的', '短评打分': 1}
{'短评内容': '空间太小，下水道容易积水，刚装修还有很大的油漆味。。。。。', '短评打分': 1}
{'短评内容': '酒店前台服务态度很好，因预订房型已满，免费帮我升级成豪华单间，面湖，很宽敞，温馨、舒适、惬意，很有星级酒店的味道，唯一的瑕疵是有一点残留的装修气味，总体感觉满意。', '短评打分': 5}
{'短评内容': '油漆味道想当重~熏得都睡不着。房间小，厕所占了半个房间。', '短评打分': 1}
