{'短评内容': '干净卫生，促销价，虽然远了点，性价比挺好', '短评打分': 5}
{'短评内容': '小卡片多的我收集起来都可以打牌了。其他一切都好，没得挑剔。', '短评打分': 5}
{'短评内容': '蛮好的。各方面都不错。服务很到位。还有行李寄存三天，免费的哦。值得一住！呵呵！', '短评打分': 5}
{'短评内容': '总体来说挺好的，也去了好几次了，这次房间刚进去，感觉有股味道，建议酒店可以时常透透气', '短评打分': 5}
{'短评内容': '还可以，就是塞卡的太多，刚关门就有N张卡进来，那速度可以媲美光速了', '短评打分': 5}
{'短评内容': '这地方在天桥下面，吃饭的地方都没有！ 不是说好返回30快钱吗？人家根本就不承认。', '短评打分': 1}
{'短评内容': '帮老公预订的，听老公说是新开的酒店，还比较干净，出差性价比高', '短评打分': 5}
{'短评内容': '142的价格是整个杭州商务大床房最低了的吧，房间是一贯的如家风格，但是，这次居然热水管爆了，害我以为下大雨了呢。', '短评打分': 5}
{'短评内容': '还是很方便的呢，还是一如既往的喜欢如家，很多次都是在如家了', '短评打分': 5}
{'短评内容': '环境不错，服务很好，房间很大很干净，喜欢\n', '短评打分': 3}
{'短评内容': '隔音不好 床巨硬无比 卫生不错', '短评打分': 3}
{'短评内容': '还是不错的一四二  就是稍微东站了  凑伙', '短评打分': 3}
{'短评内容': '位置不错，附近交通方便，就在交通下面。唯一不足没餐厅，然后那种小卡片太多了。请不要让闲杂人员进入阿。', '短评打分': 5}
{'短评内容': '整体地理位置还可以，就是进酒店没车不太方便，在立交桥下。酒店冷热水调起来麻烦。其他都不错', '短评打分': 5}
{'短评内容': '挺不好找的 装修风格如家都是一样的没啥好挑剔 房间肯定灰尘含量比较高 咳了一晚上 呼吸道敏感性比较强的朋友建议进房间选一下', '短评打分': 5}
{'短评内容': '卫生不错，服务不错，配套设施不错，价格适中。下次来杭州还选择此店。', '短评打分': 5}
{'短评内容': '不错，挺好的~可惜就是没有无线啊~最好以后能弄个无线，那就更完美了', '短评打分': 5}
{'短评内容': '房间挺大的，还不错的~环境也挺好的~还是挺喜欢的~', '短评打分': 5}
{'短评内容': '还不错   主要是   价钱便宜·~~~~', '短评打分': 5}
{'短评内容': '  房间还不错~~~挺满意的 交通也比较方便~~~', '短评打分': 5}
{'短评内容': '环境不错，卫生每天有人打扫，第二次入住了。有机会去杭州还打算住这个酒店。', '短评打分': 5}
{'短评内容': '非常不错的酒店 服务很好 很卫生 距离办事的地方非常近 很方便 住了好几次了', '短评打分': 5}
{'短评内容': '为什么空调那么不给力呀。 感觉我近几次预订的如家特惠房都是不理想的。太冷了。', '短评打分': 1}
{'短评内容': '环境比较好，会继续入住，希望能更加优惠，力度大一点', '短评打分': 5}
{'短评内容': '酒店不错，安静，舒适，干净。而且性价比很好，服务很周到', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，只是当时在网上看到有入住就送5张优惠25元的优惠券，退房时忘记要了，如家也没有给，其他的都还行。', '短评打分': 5}
{'短评内容': '不错的酒店 离办事的地方很近 房间很干净 就是电视不知道怎么用 呵呵 不过也没时间看 值得推荐 ', '短评打分': 5}
{'短评内容': '房间很干净,也很安静', '短评打分': 3}
{'短评内容': '没吹风机没早餐。别的都不错。', '短评打分': 3}
{'短评内容': '如家嘛~当然一如既往的不错啦~', '短评打分': 1}
{'短评内容': '店周边的环境不是很好，住的房间窗户后面就是一幢很烂很旧的房子，一打开就是一股异味，酒店太潮，不过酒店内设还是很不错的，服务很好，是性价比比较好的。 \n', '短评打分': 1}
{'短评内容': '网上预定的价格是比较优惠，跟挂牌价201的设施也是一样；优点是房间安静，空间够大，缺点就是特价房间是在1楼，感觉安全性不强，一进去有股异味，还有建议酒店洗浴用品换个供应商，那牙刷批锋像把刀一样，居然割破嘴唇，总体来说还是非常超值的.', '短评打分': 5}
{'短评内容': '环境很好，房间装饰很温馨，离公交站挺近的', '短评打分': 5}
{'短评内容': '总体不错，设施齐全，价格合理。', '短评打分': 3}
{'短评内容': '服务周到，性价比不错，下次还会选择这家。', '短评打分': 3}
{'短评内容': '服务周到，房间很大，干净整洁，还不错。', '短评打分': 3}
{'短评内容': '酒店周边的环境不是很好，住的房间窗户后面就是一幢很烂很旧的房子，一打开就是一股异味，酒店好像刚装修过，有一股的油漆味。不过酒店内设还是很不错的，服务很好，是性价比比较好的。', '短评打分': 5}
{'短评内容': '非常满意,很温馨,家的感觉', '短评打分': 3}
{'短评内容': '挺干净的，位置也不错，服务态度也好，价格也合理。', '短评打分': 5}
{'短评内容': '不错的环境就卫生间太臭了', '短评打分': 3}
{'短评内容': ' 交通方便 房间还比较干净 就是毛巾太旧了 都成灰色的了', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '环境，以及房间环境都挺好的，我定的特价房139，结果确定房间时，服务员告诉我是208，我就怀着狐疑的心情上了6楼，结果上网一查，我的是139的，就又下去换房，换到了1楼。结果，结果你知道怎么样，房间设施一模一样，同样的很大的大床，很大的面积，很大的窗户，呵呵，如家是我住过的快捷酒店里比较好的一个。不过，一定要注意，有时订房久了，忘记自己的价格，一定要确认的，不要相信前台服务员。', '短评打分': 5}
{'短评内容': '房间干净整洁，价格也不贵，服务业不错，离火车站很近，交通方便，很划算', '短评打分': 5}
{'短评内容': '还行，刚好房间靠近露台。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '蛮舒服很大的房间，服务也很热情，杭州就是打车不是很好打', '短评打分': 5}
{'短评内容': '在桥下，不过很安静，房间也不是很小，很舒适', '短评打分': 5}
{'短评内容': '住了1天,感觉服务员很热情,房间温馨舒服.', '短评打分': 5}
{'短评内容': '性价比高，就是离公交车站稍微远了一点点。', '短评打分': 5}
{'短评内容': '昨天与酒店联系安排安静的房间，否则影响睡眠，刚入住发现很吵，请换房间。', '短评打分': 3}
{'短评内容': '卫生环境都还不错...价格能便宜点更好.....', '短评打分': 5}
{'短评内容': '中规中矩，还算可以，没有早餐，隔音效果一般', '短评打分': 5}
{'短评内容': '不错，卫生挺好，比较干净，位置离市区较近', '短评打分': 5}
{'短评内容': '性价比还算不错，条件也还可以，打车有点麻烦，需要走到立交桥旁板，不过汽车东站早就搬走了，网站上没写，所以才住到那里去了。', '短评打分': 5}
{'短评内容': '总体还是不错的，很安静。\n昨晚入住的时候出了点小问题，可能是因为信用卡担保的，他们为了保证有房，提前把我的信息录入进系统了，其实我还没有入住，可能是为了保证有房。沟通了10分钟左右解决。\n房间内很干净，卫生间挺干净，热水很足，宽带网速5M的，下载速度600k，飞快啊，没有wifi，用笔记本做了个桥接，然后iphone也能上网了。\n还有套房是两间房的，之前一直以为是一个客厅一个卧室的，结果多出来一张', '短评打分': 5}
{'短评内容': '房间明亮整洁还不错', '短评打分': 5}
{'短评内容': '没有住啊！临时改变行程，不过如家是不错的啊！我很喜欢啊', '短评打分': 3}
{'短评内容': ' 价格实在，服务周到。环境不错。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施比较达标，卫生服务一般，很多小细节做的都不到位，位置很好出行交通方便，综合来讲比较方便的酒店值得推荐入住！', '短评打分': 5}
{'短评内容': '会推荐这家酒店', '短评打分': 5}
{'短评内容': '还行吧！就是酒店的服务还不是很细，早上因为要去赶公务员考试，想叫酒店订个出租车，酒店好像说不好订还是太晚了，很难定，反正就是没得订，后来还是自己运气好，一早碰到个出租车。', '短评打分': 3}
{'短评内容': '离汽车东站还是有好长的距离，走路的话。', '短评打分': 5}
{'短评内容': '离汽车东站比较近,服务态度不是很好', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置以及交通都很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '不错,离东站很近.本来是在旁边的普金酒店住的,可是实在太差了.就换到如家来了.', '短评打分': 5}
{'短评内容': '我觉得如家快捷还是挺不错的，他们的硬件设施很好，环境也不错，而且价格适中，交通方便。', '短评打分': 5}
{'短评内容': '酒店宽带老坏,位置不太好比较偏,酒店的饭只有早餐没有中饭晚饭,和公布的很多信息不符', '短评打分': 1}
{'短评内容': '整体来说还是不错的,价格蛮适合的.', '短评打分': 5}
{'短评内容': '我们是10月1日入住,3日离店的.&lt;br /&gt;\n总体感觉尚可,酒店离汽车东站很近,步行5-6分钟,但交通一般,就早上可以拦到出租车,杭州的出租车什么都有,到各景点很便宜(到西湖约25元,灵隐约32元,六合也约35元),公交的话很远且很挤(假日期间)且没有直达景点的班次,不建议大家这段时间去坐,此外,杭州人很没有素质的,不让座,此外公交车上还碰到了咸猪手!!&lt;br /&gt;\n如家', '短评打分': 3}
