{'短评内容': '停车和购物都挺方便的，方便快捷出差', '短评打分': 5}
{'短评内容': '停车不方便,酒店与商场共用电梯不安全,开放式.', '短评打分': 1}
{'短评内容': '工作人员服务态度好，但设施及管理尚待提高（如停电、停电梯、关闭走火通道等）。', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '太旧，格局也比较怪。中心地带，环境比较吵杂。', '短评打分': 1}
{'短评内容': '订的B栋的标准三人间，房间不小，电梯什么的确有点乱，不过主要是因为大堂在四层，所以只要先到了四层，不太会坐错电梯。窗户临街，密封和隔音一般，晚上挺吵的（这一点可不像四星的，既不适于工作，住宿也算不上好，所以不会向同事推荐）。说是四星，觉得酒店内部有些四星的气象，但也就三星半的程度。位置的确很好，就在解放路边上，基本算是衡阳的核心区了。', '短评打分': 1}
{'短评内容': '门面好豪华，但房间好一般，但日后我还要住那一家！！！', '短评打分': 5}
{'短评内容': 'f房间很一般，服务水平差', '短评打分': 1}
{'短评内容': '酒店内部通道像迷宫，电梯太多，差点坐错！', '短评打分': 3}
{'短评内容': 'yes!', '短评打分': 5}
{'短评内容': '性价比很强，推荐！', '短评打分': 3}
{'短评内容': '酒店规模还算比较大，总体设施不错，就是里面的通道有点复杂初次到哪一不小心就坐错电梯了；性价比还行，只是入住的哪天楼上不知道是在搞什么装修，哪冲击钻打墙的声音吵得要死，找服务员来嘛态度是还不错就是说没法解决：（', '短评打分': 5}
{'短评内容': '这家酒店还不错，卫生服务都还不错，价格合理适中位置出行交通方便，价格合理适中，整体来讲算是比较不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '可能是家老酒店，感觉设施蛮陈旧的，卫生一般，服务还可以热情周到，地理位置相对还方便，如果在附近出行还会考虑。', '短评打分': 5}
{'短评内容': '自己以后来还住这', '短评打分': 3}
{'短评内容': '还可以，以后自己还会来住', '短评打分': 3}
{'短评内容': '设施老些，自己住还可以，有重要客人不行', '短评打分': 5}
{'短评内容': '在衡阳已不错了，卫生间老化一点。其他还不错。', '短评打分': 5}
{'短评内容': '在衡阳数一数二了，房间挺大，设施有些老，但考究是三级城市，这样已不错，推荐。', '短评打分': 5}
{'短评内容': '设施不好', '短评打分': 1}
{'短评内容': '有点旧旧的感觉....但位置还是可以  ', '短评打分': 1}
{'短评内容': '睡到早上8、9点，隔壁就在搞施工，打电话到前台投诉，也没有回复我们。吵得睡不成懒觉，可能是我们碰巧了吧。其他方面都还可以，下次还会考虑入住这个酒店', '短评打分': 5}
{'短评内容': '房间邻街太吵，房间设施老', '短评打分': 1}
{'短评内容': '除了位置好以外，简直一无是处，房间最多算好一点的二星，服务也只能算三星，有褥“华天”的牌子（让我对华天的印象降低许多，以前住过长沙、株洲的华天），房间里要东西速度慢，门也是坏的，用房卡老打不开，住了2天到退房时也没有修好，叫商务中心定票并且指定的时间和车次不仅没有定到，还没有经过我确认擅自做主帮我定了另一次车的票，严重打乱我的计划（搞错后为了说服我接受这张票还竟然叫他们酒店在外面定票的人打电话到我', '短评打分': 1}
{'短评内容': '除了设施方面陈旧些之外，其它方面还是不错的，价格方面还算比较合适的。', '短评打分': 5}
