{'短评内容': '怎么扣钱我的信用卡了  到了门店还要另外付款\n\n房间不怎么样 好偏僻', '短评打分': 1}
{'短评内容': '酒店位置很偏远，不管是去看世博还是去市中心，坐地铁都要十个站以上，我们看完世博累得不行，还得坐将近一个小时的地铁回住处，确实有点受不了。唯一一点就是离地铁站很近。出了地铁八号线就可以看到酒店，步行也不到五十米。酒店有双早，但花样不多。够吃够饱。也可以满足不同人的需求。我们定的是大床无窗房。房间很小，反正我们也只是找个可以睡觉的地方。也就无所谓了。但是没有窗户真的有点不透气，只好把空调一直开着。早上', '短评打分': 5}
{'短评内容': '总体都还好，就是特价房的隔音效果不太好。希望以后能够加强这方面的设施啊！', '短评打分': 5}
{'短评内容': '位置很好出门就是八号线 和黄兴公园 去旅游很方便 房不大却很实惠温馨有家的感觉 很不错的酒店', '短评打分': 5}
{'短评内容': '离地铁站很近，十分方便，房间也干净，总的来说性价比较高，还是不错的', '短评打分': 5}
{'短评内容': '刚到酒店，经济型小酒店，面积十二平左右，内饰一般，大部分房间没窗。国庆期间两百。这种价格还能接受，要去逛外滩与世博的可以花三百', '短评打分': 5}
{'短评内容': '       个人觉得都不错，坐地铁方便,价格合理', '短评打分': 5}
{'短评内容': '荒无人烟，晚上想找个便利店都没！\r\n我只见过开放式厨房，我还真的一次看见开放式的卫生间！\r\n谁说它好，我跟睡急！\r\n', '短评打分': 1}
{'短评内容': '地处地铁8号线出入口附近,黄兴公园站。放便出行。离世博较远。但还是可以的，值得推介。', '短评打分': 5}
{'短评内容': '交通比较便捷，但是离市中心也不算非常近。酒店条件一般，房间隔音不是很好。', '短评打分': 5}
{'短评内容': '总体不错！对于看世博是个不错的选择，性价比不错', '短评打分': 5}
{'短评内容': '可能是我们住的房间的位置不太好，晚上总能被其他房间的关门声弄醒，卫生间不干净，不过酒店的地理位置挺好的。', '短评打分': 1}
{'短评内容': '性价比还可以。房间卫生也可以。就是频道太少。', '短评打分': 3}
{'短评内容': '房间还可以！交通方便', '短评打分': 3}
{'短评内容': '总体来说，卫生也不错的。入住时候也马上打扫了房间，房间设施一般，但交通很方便。性价比真的不错。算是经济酒店中还算蛮可以的。就是晚上马路上声音蛮大的，窗户隔音不太好。还有房间里电视节目太少了,有些频道模糊看不清。还是蛮推荐住这家的！', '短评打分': 5}
{'短评内容': '卫生服务还不错 交通非常方便 不过我订的房间没有窗户 闷', '短评打分': 5}
{'短评内容': 'ha好，地理位置好，房间一般，无窗的房间不太好', '短评打分': 3}
{'短评内容': '门口就是地铁8号出入口，直达世（人）博，方便。看了世博很累，没细功夫体会，感觉不错，对得起此城此时此价，起的晚，没吃早餐，不予评论，唯一就是隔音效果差，大清早，这个关门声，那个关门声，起伏不定。', '短评打分': 5}
{'短评内容': '酒店还可以，地理位置很好', '短评打分': 5}
{'短评内容': '住的非常舒适 环境很不错 离世博会也不是很远！ 感觉非常好', '短评打分': 5}
{'短评内容': '34地理位置好出地铁就到了，房间卫生很好，床单很干净，出门有小吃很满意。', '短评打分': 5}
{'短评内容': '饭店还是挺干净的，只是早饭好像少了点，我们去的时候7点多，但已经没啥东西了。', '短评打分': 5}
{'短评内容': '霉味很大，是郊区没有娱乐场所', '短评打分': 5}
{'短评内容': ' 不错', '短评打分': 5}
{'短评内容': '+卫生不错，就是噪音太大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置不错，8号地铁口，去世博很方便，卫生状况较差', '短评打分': 5}
{'短评内容': '感觉这样的价位学生住起来还可以，舒适但不奢华，交通很方便，而且楼下也有实惠的小吃店。', '短评打分': 5}
{'短评内容': '同下面点评差不多，世博期间对的起这个价格。交通很方便，连住4天，才给算1天的积分，有点扣……', '短评打分': 5}
{'短评内容': '除了交通比较方便之外，我实在找不出什么优点。', '短评打分': 1}
{'短评内容': '酒店的服务人员素质极差，客人在用餐时，服务人员内部矛盾在场在大厅大闹摔盘子。\r\n本人共住2天，第二天早上将门卡交总台保管，晚上回来时总台没有找到卡，反应讲可能服务人员没有交班下来，只好用备用卡让我们开门休息，但第三天离店办理手续时，讲是我们客人搞丢，扣压金，我们在交涉时，店家一帮人围攻我们，最后店家同意查监控，但如没有看到交卡，我们承担全部责任和损失，作为对等店家也一样，最后我们被迫留下查监控录像', '短评打分': 1}
{'短评内容': '外出交通特别方便，房间干净卫生。内外条件谈不上豪华，但性价比尚可。', '短评打分': 5}
{'短评内容': '观世博 位置较好  里地铁站很近 但是价格偏高 房间隔音效果很差', '短评打分': 5}
{'短评内容': '虽然订的房间换了但是服务态度还很好！', '短评打分': 5}
{'短评内容': '房间条件很差，交通还算方便，如果不是世博还是不要住了', '短评打分': 1}
{'短评内容': '空调漏水，卫生间马桶漏水，花洒会掉下来，卫生间脏，电水壶还用透明胶带粘着，快气炸了，窗外就是一个垃圾堆，根本无法开窗，空调没办法调温度，电视每一个台是清楚的。。。', '短评打分': 1}
{'短评内容': '离地铁站实在是太近了.去世博园十分的方便   做8号线直达', '短评打分': 3}
{'短评内容': '离地铁站实在是太近了.去世博园十分的方便   做8号线直达', '短评打分': 3}
{'短评内容': '离地铁站实在是太近了.去世博园十分的方便   做8号线直达', '短评打分': 5}
{'短评内容': '房间靠里比较安静。。。 交通方便 公交地铁都很近。。 卫生也不错 还带早饭的~~~~~~~', '短评打分': 3}
{'短评内容': '房间靠里比较安静 交通方便 公交地铁都很近 卫生也不错 还带早饭', '短评打分': 3}
{'短评内容': '+很好', '短评打分': 5}
{'短评内容': '酒店一般，运好离地铁蛮近，去也博还算方便', '短评打分': 5}
{'短评内容': '帮朋友定的，主要是看中去世博坐8号线方便。\n总体条件一般般，性价比不是很高', '短评打分': 1}
{'短评内容': '+前台大堂经理服务态度有待改进！', '短评打分': 5}
{'短评内容': '卫生间一股下水道 的味道，真让人受不了，地理位置真好，就在地铁站边上、', '短评打分': 5}
{'短评内容': '还比较合算。有早饭的。吹风机问题解决下。。。', '短评打分': 5}
{'短评内容': '很好 地理环境优越 服务也可以~还有免费的早餐~值得推荐', '短评打分': 3}
{'短评内容': '世博期间算是性价比很高的酒店了，位置也很不错~', '短评打分': 5}
{'短评内容': '就在八号线旁边，交通方便，但是酒店环境一般设施比较陈旧', '短评打分': 1}
{'短评内容': ',价格实惠，性价比高', '短评打分': 5}
{'短评内容': '如果去上海看世博，住住还可以，坐轨道8号线很方便。设施服务都很一般。很晚才有热水，早上到一直有。下次不会住了。', '短评打分': 5}
{'短评内容': '交通方便 去世博和南京路地铁直达 就是价位有些高 不过有早餐还好', '短评打分': 5}
{'短评内容': '卫生设施一般，换气设备噪音很大。优点是位于地铁8号线上，交通比较便利。如果是世博期间还是算实惠的，推荐苦行僧入住。', '短评打分': 1}
{'短评内容': '位置很好，出门就是地铁，对面是黄兴公园，房间也很干净，就是有些小。', '短评打分': 5}
{'短评内容': '这家“酒店”让我想起了周星驰的《国产零零柒》中的“丽晶旅舍”！', '短评打分': 1}
{'短评内容': '世博期间算是性价比比较高的酒店了，离8号线地铁10分钟', '短评打分': 3}
{'短评内容': '交通很方便，房间也干净，就是电话机是坏的', '短评打分': 5}
{'短评内容': '还可以吧,呵呵', '短评打分': 5}
{'短评内容': '酒店在世博期间算性学价比高的了，距八号地铁十分钟，到世博园地铁半小时', '短评打分': 5}
{'短评内容': '位置比较方便，地铁站旁。房间还可以', '短评打分': 5}
{'短评内容': '我入住酒店，要刷信用卡，刷完后我也收到信息提醒了，服务员竟然说刷卡机没纸了，再让我交200元，还说纸现在在财务科没法拿，我很郁闷，过了一会另一个服务员来了说纸在抽屉里，就拿出来装纸，这个服务员装个纸连续装两次都装反掉了，真是无语了，以前没装过吗，搞到第三次才装好，前前后后我登记入住花了我将近半小时的时间，服务员态度也不好，而且房间洗浴，厕所都是透明的玻璃，连个档的帘子都坏了在地上放着。', '短评打分': 1}
{'短评内容': ':房间很小，没有窗户！卫生还可以！蚊子超多。如果去世博还是非常方便的，不是很推荐！', '短评打分': 5}
{'短评内容': '还可以。酒店交通方便，在8号线黄兴公园站旁，适合外地来去看世博会的朋友。价格也比较实惠。推荐一下！', '短评打分': 5}
{'短评内容': '条件一般！卫生可以\n签名：', '短评打分': 5}
{'短评内容': '位置不错，交通非常方便，就是房间很不隔音 走廊的脚步声听的很清楚 。另外没有窗户的房间空气不好', '短评打分': 5}
{'短评内容': '性价比 不错 交通方便 性价比 不错 交通方便', '短评打分': 3}
{'短评内容': '性价比 不错 交通方便 性价比 不错 交通方便', '短评打分': 5}
{'短评内容': '看世博出行比较方便，价格还行，世博房价涨了', '短评打分': 5}
{'短评内容': '交通是很方便的，就在8号线的黄兴公园站 右边一点点的，卫生不怎么样的，下次应该不会去的。', '短评打分': 3}
{'短评内容': '其实都还蛮好的，就是我的信用卡的冻结啥时候才可以解冻啊？', '短评打分': 5}
{'短评内容': '酒店服务不错，很卫生，价格比较实惠，谢谢！', '短评打分': 3}
{'短评内容': '酒店服务不错，很卫生，价格比较实惠，谢谢！', '短评打分': 5}
{'短评内容': '房间设施有些陈旧，整体不是很好，还有蚊子的，被褥有些潮湿。但离8号线还蛮近，交通便利。价位世博期间可能还可以，平时肯定不选。', '短评打分': 5}
{'短评内容': '房间一般，有些霉味。考虑只是住一晚，而且价格不高。单身男士可住一晚也无妨。', '短评打分': 5}
{'短评内容': '交通方便，隔音不好，不过不在乎', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '交通很方便，出了地铁站就可以看到。房间也不错，很好！', '短评打分': 3}
{'短评内容': '也就是世博会把，要不这种房间肯定不能这么贵，很简陋的地方，卫生间就是个淋浴房放在卧室里。也就出门就是地铁方便点，不过到世博园还要做十几站。实在是不推荐。', '短评打分': 1}
{'短评内容': '价格还可以，交通也很近的，其他的就没什么了。', '短评打分': 3}
{'短评内容': '交通很方便，门口就是地铁，整个酒店布局比较阴暗，卫生还好吧。', '短评打分': 1}
{'短评内容': '住的还凑合，交通很方便，就在八号线黄兴公园站旁边。', '短评打分': 5}
{'短评内容': '隔单太差,别的房间关门,就像是关我们房间的门.位置不错,刚好位于地铁8号线的1号出站口!', '短评打分': 1}
{'短评内容': '+离地铁很近很方便。', '短评打分': 5}
{'短评内容': '不知道是不是因为地理原因和一个人住的缘故，感觉不怎么正规。房间之间隔音效果也不好', '短评打分': 3}
{'短评内容': '交通比较方便，位置较偏，设置不错，早饭质量较差。整体舒适度不错。', '短评打分': 5}
{'短评内容': '交通很方便，离地铁超近。但服务态度不好，房卡换了好多次都不能用', '短评打分': 5}
{'短评内容': '卫生到还不错，不过装修挺烂的，从前台到房间那短路真是…可能是世博了吧，这性价比就低了…', '短评打分': 5}
{'短评内容': '最大的优点是离地铁站非常的近，出站就能看见。卫生等都还可以。服务也不错。性价比高', '短评打分': 5}
{'短评内容': '第一天竟然给的是没有打扫的房间！让服务员打扫，前台说客房部的人下班了，要经理电话说没有，要不是因为时间太晚，并且已经做了信用卡担保，绝对不会住！卫生是在太差！前台态度也很差！', '短评打分': 1}
{'短评内容': '+酒店交通很便利价格实惠，床位宽松，唯一缺点是卫生间较小且设施陈旧，总之性价比挺高，是普通消费者的理想选择', '短评打分': 5}
{'短评内容': '推荐的原因仅仅是因为位置好,出地铁8号线就可以看到酒店,旁边的饭店,水果店,便利店也很方便,但是房间太小了,说是双标房,其实是原来的大床房,把大床往旁边移了一点,再放了一张一米左右的小席梦思垫子,房间真的小得可怜,隔音性也太差,晚上竟然可以被别的房间的呼噜声吵醒~洗手间也小,刚好一个人站,和前面几天住得美龙大酒店比,这个性价比太差~~', '短评打分': 5}
{'短评内容': '交通方便，但服务还有待改善', '短评打分': 5}
{'短评内容': '住得很好，交通方便，服务也不错，特别是一位保安师傅，腿虽然有点不方便，但很客气，友好。卫生方面，觉得还算不错，虽然便器有点陈旧，便无气味，算干净的了', '短评打分': 3}
{'短评内容': '地理位置很好，下八号线黄兴公园站出站就到，价格很便宜，设施、卫生都不错。含早餐，中餐、晚餐就餐价格也不高，很不错！性价比很高！值得推荐！', '短评打分': 5}
{'短评内容': '离8号线黄兴公园站不到100米，挺干净，房间面积也大，总的来说满意', '短评打分': 5}
{'短评内容': '初到房间床铺根本没整理，等他临时整理半小时，房间洗澡下水道根本不通，电视机没信号也没有事先告知', '短评打分': 1}
{'短评内容': '卫生一般。交通方便。空调很差劲。做地铁到世博需要30~40分钟。', '短评打分': 3}
{'短评内容': ' 挺干净就是空调的风太小了', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': ' 设施不错\u3000交通方便\u3000卫生好象有点问题', '短评打分': 5}
{'短评内容': '帮客户订的,世博会期间能280订到真实不容易,很满意.', '短评打分': 5}
{'短评内容': '位置好。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '+酒店设施基本齐全,周边交通便利,卧具较舒适,服务态度一般,可供服务事项基本没有', '短评打分': 5}
{'短评内容': '房间措施还是不错的，就是电视好像收不到几个频道，因为是无窗的房间，早上8点了我还以为是夜里，黑黑的，建议选择带窗的', '短评打分': 5}
{'短评内容': '最大的优点就是离地铁站很近.几步路而已.看世博也方便.设施有点旧.我住的这间房空调不行.晚上会发出啪啪的声音.', '短评打分': 5}
{'短评内容': '离地铁8号线黄兴公园站很近，很适宜看世博会。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '世博会期间，这样的房价住这样的饭店，已经很好了。', '短评打分': 5}
{'短评内容': '服务态度不好,离地铁站很近.', '短评打分': 5}
{'短评内容': '酒店的位置相当不错，出门三十米就是地铁站，不过卫生不是太好，卫生间太旧了，马桶都有点发黄了，而且前台服务员态度有点差，其他的倒还可以......', '短评打分': 5}
{'短评内容': '已经入住，酒店条件一般。', '短评打分': 5}
{'短评内容': '很好的酒店,不错', '短评打分': 5}
{'短评内容': '没有晾衣服的地方，衣架过少,服务态度一般。', '短评打分': 5}
{'短评内容': '空调不显示数据，电视没有机顶盒。', '短评打分': 5}
{'短评内容': '酒店还不错，交通比较方便，出门走十几米就到地铁站了，性价比还可以', '短评打分': 3}
{'短评内容': '交通非常方便，是世博时期非常经济的酒店！', '短评打分': 5}
{'短评内容': '+酒店各个方面还可以就是没有晾衣服的地方', '短评打分': 5}
{'短评内容': '世博会期间，230的价格，比较实惠~~！！', '短评打分': 3}
{'短评内容': '去世博的，这个比较好，别的都没什么好，就是交通好。附近有卖吃的呢，好有很多便利店，还有好德，没有买好世博票的可以在好德便利店买', '短评打分': 5}
{'短评内容': '+离地铁八号线出口真的很近.', '短评打分': 5}
{'短评内容': '交通很方便', '短评打分': 5}
{'短评内容': '交通可以，性价比还行，其余很差。比较适合劳苦大众', '短评打分': 1}
{'短评内容': '大爱酒店门口的地铁8号线', '短评打分': 5}
{'短评内容': '交通非常方便，酒店的接待员待人接物的服务也很好', '短评打分': 5}
{'短评内容': ' 我原来预订三个房间的今天只有二个为什么', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '超方便，和女朋友在这儿住的，地铁站就在宾馆旁边，而且出站口就在中国馆门口，意外的拿到了中国馆的预约券，女朋友很开心。。。  保安大叔很负责...呵呵...', '短评打分': 5}
{'短评内容': '酒店人员蛮热情的,离地铁站超级近,出了地铁站就看见了,出行还是很方便的,楼下有不少小吃店.\r\n\r\n其他优点就没有了,房间一般,早餐一般,设施一般,空调用久了,有些杂音,把空调温度调高些就好了^^', '短评打分': 1}
{'短评内容': '酒店设施老化，卫生较差，离地铁8号线黄兴公园站近是唯一优点', '短评打分': 1}
{'短评内容': '性价比很高，出行方便，出门就是地铁8号线，还有早餐赠送，不错，值得推荐', '短评打分': 3}
{'短评内容': '虽然酒店离市中心比较远，但是酒店就在地铁站旁边，出行还是比较方便的，赠送早餐，虽然品种不是很多，总体还可以吧', '短评打分': 5}
{'短评内容': '1.离地铁8号线很近，很便利.2.服务态度不错。3.似乎所有房间的门都需要用力往回撞，才能关上门，且隔音很差，晚上入睡后，老听到-关门的声音，影响睡眠。', '短评打分': 5}
{'短评内容': '距离地铁很近，房间还不错，总体来说性价比比较高', '短评打分': 3}
