{'短评内容': '好，', '短评打分': 5}
{'短评内容': '很不错，这是我第四次入住，到郑州我只选她。', '短评打分': 5}
{'短评内容': '相当不错的一个酒店，洗漱用品都是品牌货，比4star酒店超值多了', '短评打分': 5}
{'短评内容': '非常好。每年假期都要来一次。美中不足就是暖气太足了。很干很干。', '短评打分': 5}
{'短评内容': '推荐 适合小情人过周末, 环境可以 但车太难打', '短评打分': 5}
{'短评内容': '房间很小，装修有特色。但总体性价比不高。', '短评打分': 3}
{'短评内容': '这家酒店确实不错，很好，很干净，很温馨。', '短评打分': 5}
{'短评内容': '相当不错的酒店 位置有点远 附近交通不太方便 其他的都很好', '短评打分': 5}
{'短评内容': '在郑州的快捷酒店里，很喜欢这家，比较干净而温馨，又有情调。唯一感觉不足的就是淋浴不是两用的，如果有活动的淋浴头就更方便了，不用每次都把头发搞湿了，希望酒店能改进。', '短评打分': 5}
{'短评内容': '不错，有家的感觉，温馨别致，干净，下次还住这！', '短评打分': 3}
{'短评内容': '酒店整体住宿环境及设备都堪称优等,饭店内贩售的食品及饮料也相当便宜,整体性价比相当值得', '短评打分': 5}
{'短评内容': '比较有特色的旅馆。小而不失个性。。。服务也很到位。。如有机会还会再光顾。。。', '短评打分': 5}
{'短评内容': '屋内设施很好，唯一的缺点是床太硬了。。。会刮伤膝盖', '短评打分': 1}
{'短评内容': '很有特点的一家酒店，很干净~~房间的装饰很新颖~', '短评打分': 5}
{'短评内容': '这是一家非常有个性和特色的酒店。客房配套的牙膏、牙刷都是非一次性的品牌产品，洗发水、淋浴液、护发素也是大瓶的品牌产品，免去了带洗漱用品的麻烦。每个房间都配有一把大伞和透明的洗浴室，很有风情哟，特别适合情侣入住。前台的服务也不错，由于当天购买的车票时间较晚，跟前台说了可以推迟到三点退房，很人性化。另外房间内的物品价格比超市的还便宜，农夫山泉一元一瓶。唯一的缺憾就是房间的隔音效果太差，一到半夜叫床声此', '短评打分': 5}
{'短评内容': '住过最有风情时尚感，又不失舒适实用性的酒店，查了一下背景，经理是雕塑专业出身，品味真的很好', '短评打分': 5}
{'短评内容': '整体环境舒适,房间布置也很温馨,浴室水温流量及相关设备也不错,房间内的饮料及冷饮也卖的比一般外面超市便宜,物超所值,唯独床铺的软硬度稍嫌偏硬', '短评打分': 5}
{'短评内容': '整体住宿环境及房间内的设备都算新颖,而且房内软硬体都算齐备,整体环境相当舒适', '短评打分': 5}
{'短评内容': '总体中上 环境不错 适合情人一起优惠,但周围太吵', '短评打分': 5}
{'短评内容': '没想到这样的价格可以有这么好的条件！管理很好，干净卫生！设施很新！不比四星级的差。', '短评打分': 5}
{'短评内容': '整个酒店的配色让人感到很舒服，各方面都不错，推荐！', '短评打分': 5}
{'短评内容': '這家酒店很經典，不同於其他酒店，我是比較喜歡新鮮感多一點，雖然地理位置不算理想（不好打的士），但是下次去鄭州，我還會住這家酒店。每個房間都有電腦，網速還可以。', '短评打分': 5}
{'短评内容': '性价比非常值得,房间明亮乾净,属於闹中取静,静中取闹,房间的设备也相当齐全,非常舒适', '短评打分': 5}
{'短评内容': '除了所处位置较差之外，其他都可以打90分。楼下是海鲜批发一条街，脏乱差。酒店装修的很好，有特色，各种设施也挺齐备，店内消费和超市一样，平价，还配有电脑。尤其是牙刷，没有搞采购而是直接使用了超市购买的品牌牙刷。总之我很满意。', '短评打分': 5}
{'短评内容': '酒店位置比较好，但不在主干道上打车不方便。酒店属于经济型，服务比较差，十分冷淡。房间比较局促，尤其床十分十分的硬，喜欢软床的朋友，就不建议选择这家了。', '短评打分': 3}
{'短评内容': '所在酒吧一条街，真的很好 虽说比正常酒店贵点 但是 真的很好！', '短评打分': 5}
{'短评内容': '床太硬了，基本难于入睡，除非你很很困，另外，我们之中有一个军人，前台说不接受军官证做为入住证件，这个很叫人困惑。', '短评打分': 1}
{'短评内容': '装修的非常温馨现代的一家酒店，硬件设施很好，地段有点僻静，但走不远就有公交车站去27广场，火车站。。。', '短评打分': 3}
{'短评内容': '住过的最喜欢的一家酒店，实在是太适合情侣们入住了~', '短评打分': 5}
{'短评内容': '还不错的酒店，冲点评去的，虽然没有想象的好 可能是预期太高了\r\n优点：\r\n1 相对比较干净\r\n2 设施还不错 装修风格比较适合年轻人\r\n3 洗刷用品 除了洗发液 别的还不错都是保洁的产品\r\n4 很安静\r\n缺点\r\n1 我住的房间有条毛巾已经很旧 跟另外一条放在一起灰白对比较明显\r\n2 打车真难打啊  本来郑州这城市 车就不好打 这地方又比较偏 所以车很不好打\r\n3 订了叫醒 结果他们酒店系统错误，一', '短评打分': 5}
{'短评内容': '很惊喜，床很大，卫生间洗头液很好用，还有电脑，性价比很好，向大家推荐。', '短评打分': 5}
{'短评内容': '非常满意，比较不错的几点：\r\n1.设计很现代，很时尚；\r\n2.提供的东西比较有品质，洗发水和沐浴液不是一次性的，都是一大桶品牌的。非常好！不用自己带洗发水了。\r\n3.床太大了，温馨大床房估计能睡一家子都没问题。宽度2.5米！！\r\n4.饮料和餐很便宜，农夫山泉1元，营养快线3.5元。\r\n', '短评打分': 5}
{'短评内容': '绝对棒的旅馆. 在郑州这么破的城市  能有如此温馨的旅馆 意想不到', '短评打分': 3}
{'短评内容': '各方面条件都不错，就是没有停车的地方', '短评打分': 5}
{'短评内容': '还不错，比较有特色。但楼下就是太吵了。而且晚上开空调，窗外的空调主机声音太大，睡不着只能关着。\r\n但总体性价比不错，下次还会选择。', '短评打分': 5}
{'短评内容': '房间非常不错哦，冰箱里的饮料超级便宜啊，简直和外面超市一样，房间装修的很浪漫 我很喜欢 本来打算只住一晚的 现在决定再住一晚', '短评打分': 5}
{'短评内容': '住这里 真是太棒了。', '短评打分': 5}
{'短评内容': '破酒店再也不住了，竟然停电，从我一来门卡就打不开，第二天还打不开，郁闷', '短评打分': 5}
{'短评内容': '面积有点小,性价比不错，液晶电视 电脑 小冰箱，房间内的饮料绝对平价。大床房的床，真的是很大! 作为中转休息还是非常不错的选择。 ', '短评打分': 3}
{'短评内容': '性价比不错，液晶电视 电脑 小冰箱，房间内的饮料绝对平价。\n大床房的床，真的是很大! \n作为中转休息还是非常不错的选择。 ', '短评打分': 5}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '郑州喜鹊愉家旅馆设施一流，我连住两晚感觉非常好，如果要鸡蛋里挑骨头的话，就是三小点：1.出外交通有一点点不便；2.房间还是停留在用烧水壶接洗手间里水加热的水平，连个饮水机也没有；3.淋浴喷头是固定的，洗澡时不太方便。不过，总体来看是挺不错的，也希望喜鹊愉家能多听听顾客意见，加以改善提高。\r\n\r\n', '短评打分': 5}
{'短评内容': '打车困难 早上的市场非常吵 4点半就开始了 别的还可以', '短评打分': 1}
{'短评内容': '大床真的很大，是由两张单人床拼起来的。房间硬件很贊。', '短评打分': 5}
{'短评内容': '我来说说不好的方面吧！位置打的不好打，因为旁边是海鲜批发市场所以早上3.4点钟就很吵很吵了！！虽然店里隔音还好，但是睡的不深的人我就建议不要去了！其他方面都不错，装修比较典雅，性价也不错！比较适合情人------床也很大', '短评打分': 5}
{'短评内容': '酒店硬件设施非常好！\r\n餐厅的食物也不错，好吃又实惠。不过点了份双瓜，里面的小西红柿烂了几个，而且盘底能看到黑黑的水，应该是这份双瓜没洗干净。\r\n房间的卫生也不怎的-掀开被子，竟然有头发，郁闷...希望酒店看到这条评论后，能加强卫生方面的管理。\r\n交通不太方便，不过郑州哪都不好打车。\r\n希望下次去时，以上问题都不会再出现。', '短评打分': 5}
{'短评内容': '非常不错的小酒店，象家一样！！', '短评打分': 3}
{'短评内容': '总体都很好，就是床有些硬，希望改进！！谢谢！', '短评打分': 5}
{'短评内容': '环境优雅，舒适，独有情调。冰箱内有各种饮料，虽然收费但很方便，价格也很实惠；服务员服务很好很贴心。彩电大屏挂墙上，节目丰富。电脑房间有且宽带速度快有免费，免去携带笔记本的辎重。\r\n 低碳生活也有部分体现：开水饮和小冰箱在没客人的情况下电源处于断开状态，没有待机能耗产生。但电脑没有安装待机零能耗节能装置插座，存在待机能耗。\r\n 下次如有机会还会入住该酒店。', '短评打分': 5}
{'短评内容': '除了周边有个学校 早上比较吵闹之外 其他做的都非常细心专业', '短评打分': 5}
{'短评内容': '服务不错, 就是地点有些偏 不好打车 ', '短评打分': 3}
{'短评内容': 'good! i like big tv and bathroom is clean and pretty new.', '短评打分': 3}
{'短评内容': '硬件非常好,很舒适,性价比高', '短评打分': 3}
{'短评内容': '硬件很好,性价比很好,推荐!', '短评打分': 5}
{'短评内容': '适合情侣去的酒店，房间很舒服', '短评打分': 3}
{'短评内容': '酒店很不错，交通不太方便，适合情侣', '短评打分': 3}
{'短评内容': '酒店不错，只是打车不太方便', '短评打分': 5}
{'短评内容': '服务较好 干净整洁 适合年轻服务或情侣', '短评打分': 5}
{'短评内容': '很不错,就是出行交通不方便', '短评打分': 5}
{'短评内容': '还是不错的，值得推荐，性价比很高。', '短评打分': 5}
{'短评内容': '酒店价格 舒适性不错，就是酒店出行停车，打车不方便。', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '无与伦比的好', '短评打分': 5}
{'短评内容': '很好的酒店。。。由于地铁施工，火车站打车过去绕了点路12元。\r\n后来在前台的指引下，延经六路，到纬五路有个公交站台，21路可以直接到二七广场，火车站。。总之出行还是挺方便的。\r\n再来是酒店的设施，装修得很温馨很现代，打扫的也很干净，液晶电视是三星的，电脑是惠普的，网速还很快。。可见这些硬件绝不是装装门面图好看的。。\r\n卫生间里配备的盥洗用具都很实用，牙刷什么的用过了完全可以带回家继续使用。。\r\n另', '短评打分': 5}
{'短评内容': '我现在就住在这家酒店，这是我第二次住这里。感觉很温馨。需要改进的是增加洗衣服务，每天清洁房间稍晚了一些。其它都不错。谢谢！', '短评打分': 5}
{'短评内容': '酒店很不错~适合情侣~就是前台效率有点慢~', '短评打分': 5}
{'短评内容': '卫生不错  设施非常超值 下次还住这里！', '短评打分': 5}
{'短评内容': '就床有点硬，其他都非常好', '短评打分': 5}
{'短评内容': '1号入住的，当时没房等了接近1个小时。可能房间紧张打扫的不彻底有头发。 其他都很好的很温馨  对了隔音有待提高，晚上听到隔壁有叫床声', '短评打分': 5}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,服务人员也比较热情,就是暖气太热了,另外就是酒店周围有个菜市场,太吵了.', '短评打分': 3}
