{'短评内容': '虽然是特价，但设施很差', '短评打分': 4}
{'短评内容': '挺干净的，挺安静，房间设施不错，晚上还送晚报，很贴心！很满意！', '短评打分': 3}
{'短评内容': '怎么我订的是宽带，可是没有！…我提前来为啥只让住十二个小时？', '短评打分': 5}
{'短评内容': '整体感觉还是比较不错的,物美价廉.整体感觉还是比较不错的,物美价廉.整体感觉还是比较不错的,物美价廉', '短评打分': 5}
{'短评内容': '设施很老旧了，离火车站也不近，附近吃东西也不算方便', '短评打分': 1}
{'短评内容': '设施挺旧的,毛巾有味道!感觉没有消毒好!', '短评打分': 1}
{'短评内容': '一般般啦！一般般啊！一般般啦！一般般啦！', '短评打分': 5}
{'短评内容': '房间很舒适，服务态度好', '短评打分': 3}
{'短评内容': '房间的卫生一般，只是床上的被单看起来比较新较干净，还可以接受，其它只是一般', '短评打分': 1}
{'短评内容': '已入住二间房', '短评打分': 3}
{'短评内容': '酒店的性价比 很不错  但有点旧了  总的来说还是推荐', '短评打分': 5}
{'短评内容': '不错，比南疆，延安要好，房间非常大，就是离飞蛾商城太近了，有点乱', '短评打分': 5}
{'短评内容': '酒店各方面设施都还可以，服务态度好，120特价房比较合算。 ', '短评打分': 5}
{'短评内容': '这个价格，很不错了\n不过临近高架桥，晚上睡觉时有点儿吵', '短评打分': 5}
{'短评内容': '还不错 周边环境很好 设施一般 服务态度也可以 应该会向朋友推荐', '短评打分': 5}
{'短评内容': '感觉一般。不是十分推荐，因为位置在立交桥下，比较吵。', '短评打分': 5}
{'短评内容': '交通很方便！', '短评打分': 5}
{'短评内容': '服务还可以，该酒店价位过高，晚上车辆路过，太吵闹，没休息好，住酒店的车辆还收停车费，并且按次计价。', '短评打分': 3}
{'短评内容': ',服务太度不错,酒店干净整洁，就地理区位上讲,在柳州价位偏高。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '性价比还可以，地理位置一般，周围找吃的很少。总的来说还可以吧', '短评打分': 5}
{'短评内容': '硬件设施很一般有些陈旧.服务很差.服务人员态度也不好.我本人不是很看好这家酒店.', '短评打分': 1}
{'短评内容': '设施比较差。价位同比算比较高。傍边是立交桥。不方便', '短评打分': 1}
{'短评内容': '在柳州来说算是不错了', '短评打分': 5}
{'短评内容': '感觉不好，各方面都不太好，服务也不太好，而且周围很少吃饭的地方，靠近一条商业街，都是批发衣服的， 郁闷。 在立交桥下面，干啥都不方便。', '短评打分': 1}
{'短评内容': '酒店服务很好，下次继续入住该酒店。', '短评打分': 5}
{'短评内容': '酒店有购物中心，买东西很方便，而且价钱跟超市差不多，很实惠', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，交通方便，快捷，是个性价比很高的酒店', '短评打分': 5}
{'短评内容': '我在住时洗了次衣服，有件扣子很松，等衣服送回来时主动就把扣子帮我缝好了，很好', '短评打分': 5}
{'短评内容': '酒店有早晚茶，品种很多，而且茶艺水平不错，服务的水准比较称赞', '短评打分': 5}
{'短评内容': '酒店的设施很齐全，应有尽有，这次陪客户来的ehen成功，赞', '短评打分': 5}
