{'descr': '交通方便 位置优越，周围环境不错 配套设施齐全 机场大巴还是停留站 内部卫生整洁 还配套早餐 性价比很高', 'star': 5}
{'descr': '环境不错，早餐也非常不错，服务态度很好~很喜欢那个地方，如果下次有机会，我还会去那住', 'star': 5}
{'descr': '酒店服务和条件都很好，办理入住更是非常快捷！以后有机会去的话，还会选择该店！\n早餐很丰盛，我住了4天感觉很好！ 就是时间卡的太死了！ 说是九点半，我第一天九点三十二下去，前台就不给我换早餐卷了，有点郁闷，有点不理解！ 那个时间可以的就餐的，一定要卡那么死吗？ 人是活的，规定是死的！ 望下次会改善！！！', 'star': 5}
{'descr': '很好的酒店，以后还来！', 'star': 3}
{'descr': '进去的时候等了一阵子，房间都预定满了~房间很干净，洗澡的地方有一个大玻璃，看的一清二楚，哈哈~很有特色~就是当天没有浴巾，很不方便~多给了我们几条面巾~还买了他们一条新毛巾~总体来说不错~', 'star': 5}
{'descr': '本来定的是酒店大床房，入住后发现该酒店大床房在七楼，太小，第二日改住商务大床房，虽然每间夜多出了18块钱，但房间大多了。酒店的卫生非常好，亲眼看见酒店客房服务员卖力的擦洗房间，感动！值得一提的是酒店自助早餐品种丰富，非常好！', 'star': 5}
{'descr': '服务人员都很热情的~~\n早餐也很不错~~\n以后还会来的说~~~~\n就是毛巾太小了额~~\n还有点掉毛~~', 'star': 5}
{'descr': '房间比较大，住起来比较舒服，停车紧张，周围购物吃饭非常方便。', 'star': 3}
{'descr': '房间干净。', 'star': 3}
{'descr': '挺干净舒适。本来订的是大床房，但入住时没有了大床房，酒店给我们免费升级为商务大床房。服务态度很好。推荐！', 'star': 5}
{'descr': '整体不错，房间空间很大，下次还会安排入住！', 'star': 5}
{'descr': '挺不错的。普通大床房好像挺枪手，有时就定不到了。', 'star': 5}
{'descr': '挺好的~~早餐不错，服务态度也挺好，就是用吹风机什么的还得从前台拿~屋里有就好了~~以后还来~', 'star': 5}
{'descr': '酒店保持快捷酒店的优点 干净舒适便宜 让人意外的是早餐还免费', 'star': 5}
{'descr': '石家庄365酒店里，这家的总体服务是比较突出的', 'star': 5}
{'descr': '比较满意', 'star': 3}
{'descr': '房间 很干净 服务很好 也很卫生 房间也很安静 就是门面 很小 不太好找 呵呵 ', 'star': 5}
{'descr': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', 'star': 5}
{'descr': '环境卫生很好，交通便利，就是临街房间噪音大。', 'star': 3}
{'descr': '石家庄的驿家365中华北大街店，是我住过的几家该连锁酒店里综合起来看最好的', 'star': 5}
{'descr': '感觉不错,卫生服务什么的都还好,店面小了点不容易找', 'star': 5}
{'descr': '普通大床房一个人住宿挺好。一楼餐厅仅为客人用早餐专用，非常到位。总体感觉较好。', 'star': 5}
{'descr': '商务大床房办公桌有点小，不适合商务办公；浴室有点大，卧室有点小，最好是卧室相对大些、浴室相对小些。其它方面挺好。', 'star': 5}
{'descr': '好，酒店不错，性价比高，设施人性化强，早餐也不错，很好。', 'star': 5}
{'descr': '  房间很干净，只是卫生间透明度太高！不太方便情侣以外的人留住。', 'star': 5}
{'descr': '前台的服务非常的好，连保安都很有礼貌，有早餐，还不错，房间的住宿环境还不错，被子很厚，暖和，唯一的缺点就是临街的房间晚上过大卡车有点吵', 'star': 5}
{'descr': '总体来说  还是很不错的  就是网线不是很好 其他都不错', 'star': 5}
{'descr': '房间面积基本可以，20平方左右，床虽然不是很大，但睡在上面很舒服。\n里面的暖气很足，被褥又比较厚，晚上休息的时候，窗户需要打开一些，不然真的很热。\n', 'star': 5}
{'descr': '非常喜欢这里的早餐，房间环境很好，就是有点小', 'star': 5}
{'descr': '设施还可以。', 'star': 3}
{'descr': '门卡不是太好用~网速也一般~别的都不错~早饭还没吃呢，不知道好不好', 'star': 5}
{'descr': '这不错，就是房间小了点。', 'star': 3}
{'descr': '服务速度过慢.....\n餐厅过小........................', 'star': 5}
{'descr': '很舒适的环境。早餐很不错。服务态度也很好。', 'star': 5}
{'descr': '房间干净，价格合理。早餐也不错.......', 'star': 5}
{'descr': '价格合理。比较安静。位置也很不错......', 'star': 5}
{'descr': '干净，挺舒服的床，就是毛巾有点小，热水也挺好的\n', 'star': 5}
{'descr': '早餐很好，房间干净整洁，很有风格，强烈推荐！！！', 'star': 5}
{'descr': '从石家庄北站出来,经过长途汽车北站,可直接走到该酒店,只要问中华北大街即可,出来后向右转,300M就到了,哈哈,该酒店规模有点小,但很新,价钱也不贵,值得推荐.', 'star': 5}
{'descr': '价格实惠，住得也舒适，早餐也还行，综合打4分。。', 'star': 5}
{'descr': '酒店不错，物有所值。最大的优点是寒冷的冬天房间特别暖活。', 'star': 3}
{'descr': '挺好的，标准间宽大，房间也干净卫生，被子的色彩挺有情侣般感觉，就是网络速度太慢。', 'star': 5}
{'descr': '环境可以，服务态度也不错', 'star': 3}
{'descr': '这里很好，卫生，服务态度也很好，下次还来住就是价格方面如果便宜点就好了 \n', 'star': 5}
{'descr': '服务速度有待提高', 'star': 3}
{'descr': '还好吧,就是洗手间不好...', 'star': 3}
{'descr': '除了房间比较小之外，没什么不好的吧，隔音稍微差点，可以接受', 'star': 5}
{'descr': '服务态度很好，房间也很温馨，不错哦~~~~~~~~~~`', 'star': 5}
{'descr': '隔音效果不是很好，希望改进一下！还有就是打扫的干净成都有待提高！', 'star': 5}
{'descr': '大厅里弥漫着下水道泛上来的臭气，电梯里面也是异味。但是房间里面卫生条件不错没有味道。总之性价比还是不错', 'star': 1}
{'descr': '总体不错，服务态度很好，挺干净的。环境优雅，安静。也很温馨，就是有点窄吧，也就是有点小。要是桌子能在大点就好了，而且网线的插口和网线都很松，上网的时候很容易掉。\n卫生间设计的很不错。但是希望洗澡的那个玻璃能是磨砂的，要不然两个不是很熟的人洗澡的时候多尴尬啊。', 'star': 5}
{'descr': '性价比不错，服务态度好，值得推荐，就是隔音不咋样，希望改进', 'star': 5}
{'descr': '很好。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '第二次入住，环境比较干净，房间温馨，还有早餐，价格合理', 'star': 5}
{'descr': '服务还是蛮不错的，没有多余的话语，让人不会感到反感，房间简洁，温暖，只是有些小，住一晚还好，待的时间久了会觉得有些压抑，总体很不错，比较推荐~~', 'star': 5}
{'descr': '新建的。卫生，服务及价格合理。交通便利。', 'star': 5}
{'descr': '服务台态度好，房间也舒适。只是没有柜子类放东西的地方。还有电梯里面有异味。算满意了总体', 'star': 3}
{'descr': '交通便利 环境很好！ 服务优质，笑脸相迎！', 'star': 5}
{'descr': '条件不错。服务态度，环境设施都可以。。。。。', 'star': 5}
{'descr': '卫生还需加强1111111111111111!!!!!!!!!!!!', 'star': 5}
{'descr': '给的是715房间，猜测是在最边上的缘故，房间挺袖珍的。但是房间里很干净、很暖和，布局我也很喜欢。每次住驿家365都感觉很不错，期待天亮的早餐ing~', 'star': 5}
{'descr': '还好，早餐吃的的挺好。环境也挺好的，升级了大床房', 'star': 5}
{'descr': '酒店服务不错，设施很好，就是暖气有小桥流水的声音。', 'star': 5}
{'descr': '住的是顶楼，有点像阁楼，房间非常袖珍，还好服务员比较热情，所以可以忍受了。', 'star': 5}
{'descr': '还算不错，只是暖气水声太大，影响睡眠，价格方便还算便宜，早餐不错。', 'star': 5}
{'descr': '这家酒店价格较低，还包含早餐，位置不算偏', 'star': 5}
{'descr': '酒店很好，卫生整洁，设施很好，就是暖气有噪音，希望能处理一下。', 'star': 5}
{'descr': '很好，不错', 'star': 3}
{'descr': '服务热情，环境舒适，价格比较适中........................', 'star': 5}
{'descr': '房间挺干净，设施挺齐全，服务也很好，只是暖气管里有流水声影响休息，希望店家及时消除噪音。', 'star': 5}
{'descr': '环境不错，价格实惠', 'star': 3}
{'descr': '星的，房间设施不错，值得推荐，很好，面积也可以 \n', 'star': 5}
{'descr': '房间干净，服务态度好，就是隔音不好，外面声音较大。', 'star': 5}
{'descr': '值得推荐的一家店哦~~~很不错，貌似一直在定这家店~~', 'star': 5}
{'descr': '不错不错，交通也比较便利吧，只是门店有些小，不太显眼', 'star': 5}
{'descr': '挺好的，一直住这家酒店，环境也不错，服务很好', 'star': 5}
{'descr': '还不错，尤其是早点比较丰富，两次去石家庄都去了这家酒店，周围也比较方便，对面就有超市，饭店也很多~~~', 'star': 5}
{'descr': '在快捷酒店里算是比较干净和逸人的，室内很暖和，冬天住不会冷，交通也比较便利，价格不贵，适合出差小住，蛮好的~~！', 'star': 5}
{'descr': '酒店环境还可以，暖气不错，就是外面有点吵', 'star': 5}
{'descr': '服务很好，房间虽小却一应俱全，很温馨，特别推荐他家的早餐，营养丰富呢~呵呵，给我留下美好的印象~', 'star': 5}
{'descr': '装修还不错，只是狭小了点 不过很温馨 对得起这个价格', 'star': 5}
{'descr': '酒店不错~~！！！！水很热，洗澡很舒服！！！！！~~~~~~服务很周到！', 'star': 5}
{'descr': '早餐比较简单。', 'star': 3}
{'descr': '位置 环境 服务 都还不错  位置 环境 服务 都还不错', 'star': 5}
{'descr': '住了第二次了，方便，这次住的是双人标间，不错，推荐早餐', 'star': 5}
{'descr': '酒店不错，交通便利，设施很好，网速很快。', 'star': 3}
{'descr': '风雨交加的中午几经辨认才找到酒店，店门太不显眼了，但里面却不错，装修得挺有档次，只是因刚装修不久化学味道较重。交通挺方便，到市中心和火车站的公交就在斜对面，对面还有几家餐饮店和一家大卖场（世纪年华）。店内早餐不错，挺有洋味，可惜餐厅太小。总体感觉挺好的。', 'star': 5}
{'descr': '酒店很满意。就是纯净水好像很久没换了。', 'star': 3}
{'descr': '店面很好找，中华北大街华联对面，进门第一感觉蛮不错，前台很温情，但不多问，这点很让人放心，刷卡登记很方便，拿到房卡上楼，房间很好找，楼道也很干净，开门，插卡，墙漆很温暖，床很舒服，厕所居然是透明的，很搞，一晚没人打扰，蛮好的，就是九点多出门的时候，在楼道里居然听到了很夸张的叫床声，让人感觉有些诧异，回荡在整个楼道...早餐忘了吃，要是这个价格能再降两成，就好了。总体来说，比较满意，还是可以尝试下的', 'star': 5}
{'descr': '服务热情，房间干净整洁，早餐很丰盛，如果早餐券是在订房时给顾客会比较方便，房间里的电视频道为什么没有江苏卫视？我认为应该多增加点电视频道！', 'star': 5}
{'descr': '酒店硬件设施很不错，如果网络速度再快一点就好上加好了！总的来说还是不错的！', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '店面不大还算干净,服务蛮不错,早餐能多点青菜就更好了.很好,下次还来住', 'star': 5}
{'descr': '房间打扫的很干净，可是有很大的烟味，应该要及时通风', 'star': 5}
{'descr': '驿家的特点就是简单干净，这是我选它的主要原因。前台人员态度很亲切。这里很不错', 'star': 5}
{'descr': '酒店很干净，网速也不错。就是早餐太简单。', 'star': 3}
{'descr': '酒店很新，设施也不错，出行很方便，不错的酒店', 'star': 5}
{'descr': '房间总体很好，住的很舒服。只是房间有些干燥！', 'star': 3}
{'descr': '性价比不错。房间有点小。早餐不错，在其他同类的快捷酒店里算不错了。', 'star': 5}
{'descr': '性价比还是可以的，商务大床房那个被子太重了，压得慌。我住的房间卫生情况一般，没有让人耳目一新，设施价格低也就一般了。位置还不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '交通方便交通方交通方便交通方便交交通方便通方便便', 'star': 5}
{'descr': '挺好的。就是浴室是透明的，不太好，最好搭个帘子。', 'star': 5}
{'descr': '基本满意，只是房间有些干燥', 'star': 5}
{'descr': '性价比很高，交通便利，服务和早餐都不错。', 'star': 5}
{'descr': '其他都很好，就是早餐就餐时，餐点一切准备好却被告知需要出示早餐券，让人有点尴尬，幸亏餐厅在一楼，如果在楼上，来回这么一跑，估计也没什么胃口再吃下去了；我想每位顾客第1次早餐时都不知道需要到前台领取早餐券吧，如果在房间有简单明了的菜单框以及早餐提示，这样会更方便顾客的就餐，再或者早餐直接刷卡式就餐；', 'star': 5}
{'descr': '购物很方便，马路对面就是大超市，旁边是北斗星饭店，河北名菜均可吃到。', 'star': 3}
{'descr': '中秋节早餐还有月饼', 'star': 5}
{'descr': '房间设计不错，服务也挺好，就是洗澡液是袋装的。', 'star': 5}
{'descr': '房间很干净，如果有机会下次还会去住，早餐也可以', 'star': 5}
{'descr': '  房间虽小可是布置很温馨也有窗户 性价比挺高 下次还会考虑入住', 'star': 5}
{'descr': '酒店位置很好找，房间布局不错，床单很温馨。', 'star': 5}
{'descr': '环境不错', 'star': 5}
{'descr': '感觉比较温馨', 'star': 3}
{'descr': '好整洁，餐厅小些', 'star': 5}
{'descr': '挺舒服的！服务态度不错，卫生环境较好，不偏僻，很好找，对面还有大型超市！', 'star': 5}
{'descr': '管理很正规，只是正好赶上考试的人多，造成早餐餐位供应不上，但是早餐确实不错，还是送的，服务人员态度很好。房间隔音不好，10号晚上一个房间的恋人吵架，全层楼都没法睡觉', 'star': 5}
{'descr': '非常好 很干净 也很温馨  早餐也很好吃', 'star': 3}
{'descr': '我蛮喜欢的，干净，服务周到，早餐很好哦~~', 'star': 3}
{'descr': '+很干净,早餐不错。如果不是新装修有气味,就好了。', 'star': 3}
{'descr': '+内容', 'star': 5}
{'descr': '＋房间太小，别的都还好啦。', 'star': 3}
{'descr': '房间太小了，其他的都还好啦。还是更喜欢市政府西院那家店', 'star': 5}
{'descr': '酒店太小！而且最尴尬的是酒店的厕所是透明的，从床上能看见', 'star': 3}
{'descr': '隔音不是很好，卫生条件，服务态度，性价比都比较满意。', 'star': 5}
{'descr': '服务周到，热情，早餐很好吃，大床很舒服，位置也好不错~~', 'star': 5}
{'descr': '床太小，房间也不是很隔音', 'star': 5}
{'descr': '房间有点小.但是这个价位还含双早已经很不错了.支持一下!', 'star': 5}
{'descr': '服务设施齐全，且人性化，连水杯、口杯、面巾都是两种颜色的，可以防止混用，房间特干净，人员服务态度特好，每个服务人员见面时都热情的打招呼。入住这样的酒店超值！', 'star': 3}
{'descr': '挺好的 门脸不大 但非常干净   还赠早餐 东西很好吃', 'star': 5}
{'descr': '服务员服务效率高，快速，准确。酒店在房间放置的一次性小毛巾是免费送给顾客的，可以带走。', 'star': 3}
{'descr': '酒店服务员服务态度不错，早餐也比较丰富。', 'star': 3}
{'descr': '房间稍小，服务员的服务态度还是中规中矩。', 'star': 5}
{'descr': '环境什么都挺不错的 就是不好找 出租车司机都不知道在哪儿 店里的环境和服务倒是很好 而且早餐很丰盛 ', 'star': 5}
{'descr': '酒店很干净不错', 'star': 5}
{'descr': '位置好，早餐好，非常方便，就是网速有些慢，希望能解决，下次还会去住', 'star': 3}
{'descr': '性价比很高，主要是有免费早餐，而且早餐还比较丰富！', 'star': 5}
{'descr': '整体环境不错，交通、食宿、泊车都很方便，性价比还可以，驿家365的标示很明显，早餐也不错。', 'star': 5}
{'descr': '整体环境不错，交通和食宿都很方便，性价比还可以。', 'star': 3}
{'descr': '感觉还行  不过晚上不知道为什么还停了会电  早餐也可以  总体来说还行', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '住着还算不错，相对来说性价比算是高的，位置还是比较方便，结账时不查房出乎意料', 'star': 5}
{'descr': '早餐不错，位置非常好，就是隔音有些差，还经常能听到隔壁做爱的叫声，实在忍受不了。', 'star': 5}
{'descr': '房间宽敞，价格适中，服务较好，总体感觉不错。但是我在住的时候房间有异味，酒店告知是地板保养所致气味，希望下次住的时候没有异味。谢谢！', 'star': 5}
{'descr': '服务态度不错，免费的早餐也挺好的，交通比较便利', 'star': 5}
{'descr': '整体环境不错，临中华大街，饭店和小吃也很多，附近还有一个广场，感觉不错。', 'star': 5}
{'descr': '环境好，服务态度也好', 'star': 5}
{'descr': '位置还可以，值得推荐', 'star': 3}
{'descr': '噪音大，不太卫生！', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '服务较好，交通便利', 'star': 3}
{'descr': '房间卫生不错，服务比较热情', 'star': 3}
{'descr': '离火车站比较近，周边有永和豆浆等吃饭的地，很方便 ', 'star': 5}
{'descr': '地点有点远，不过城市不大还算可以\r\n各方面都挺好\r\n可以接受，下次还住这', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '整个酒店感觉还不错，服务员态度挺好。酒店的装修风格保持了365的特点，透明卫生间和洗漱间，夫妻居住感觉良好（不排除同事的尴尬）。设施来说水龙头、坐便、撒花品牌不突出，不过这个价位来说还是不错的，使用比较方便。美中不足，房间虽然有窗户，但是窗户极小，比家里卫生间的也不大。店方告之是因为特价房的原因，但是格局也有点小。总体来说和价位来说还凑合。', 'star': 1}
{'descr': '酒店还不错吧，当时去的时候位置不是太好找附近的标志物也不是很明显，酒店里面还不错卫生和设施都还是挺好的，价格也很适中，服务态度都还是挺不错的。房间也很舒适还是很不错的酒店。', 'star': 5}
{'descr': '在石家庄这样的大城市，以这样的价位入住这样条件的酒店很值。服务人员很热情，每个人都面带微笑，最重要的一点是卫生条件好，非常干净。下次来石家庄，还会住在这里。', 'star': 5}
{'descr': '全新的刚开业，很干净。', 'star': 5}
{'descr': '服务很好', 'star': 5}
{'descr': '酒店在石家庄市的一条主干道上，周边有河北省二院、大超市、饭店也不少。酒店开业有一段时间啦，卫生、服务都不错，装修得气味也没有啦，还有免费停车场。性价比很高！！\r\n特别提醒：石家庄很多路都在大修，去之前最好给酒店打个电话问清怎么走，会省很多时间。这家店门前道路畅通没有修路！！嘻嘻', 'star': 5}
{'descr': '再次入住该店 非常不错，服务态度依然良好，应该是开业了一段时间磨合的更好，服务也更快捷了，早餐更丰富了。虽然活动期过了 不过依然很超值，以后还会住', 'star': 5}
{'descr': '酒店很不错！', 'star': 5}
{'descr': '各方面都不错，不像之前说的没有电梯卫生差的事情，各方面设施还是不错的。服务员态度都很好，早餐很丰富，卫浴的水量很大很舒服，床垫也舒适，就是其他地方的连锁不多，不然去其他地方还会订驿家365的', 'star': 5}
{'descr': '刚刚装完修，充当了人体吸尘器，呛得很，刺鼻子。而且上5楼还没有电梯。很倒霉去那里住。', 'star': 1}
{'descr': 'wu', 'star': 5}
{'descr': '酒店是新开的，很多设施不到位。房间里有较浓烈的油漆和家具味。酒店有7层，只能靠走路上去，电梯据称是修理了很久还没有好。第7层的楼梯是铁制镂空的，行走在上面有恐惧感。卫生还可以。', 'star': 1}
