{'短评内容': '房间较小，价格偏高，早餐很简单', '短评打分': 3}
{'短评内容': '酒店位置不错，房间偏小，设施略显陈旧。前台服务业务水平有待提高。', '短评打分': 5}
{'短评内容': '酒店位置不错,房间还凑合,电视太弱智了!早餐太简单!', '短评打分': 5}
{'短评内容': '房间小，床小。被子太差。位置还行。价钱凑合', '短评打分': 5}
{'短评内容': '老四星酒店，设备稍微旧了点，适合中年以上领导干部入住，也适合我的客户。年轻人大概不会喜欢吧。位置比较便利，离国贸比较近，相对来说价格高了点。', '短评打分': 5}
{'短评内容': '酒店位置很好，在国贸对面，很繁华，非常方便', '短评打分': 5}
{'短评内容': '条件可以', '短评打分': 3}
{'短评内容': '位置不错，交通方便，服务员态度还算热情，早餐一般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '价格实惠,卫生干净,地理位置佳,出行方便.', '短评打分': 5}
{'短评内容': '住着还可以，电梯有点慢。', '短评打分': 3}
{'短评内容': '还行就是服务水平有待提高', '短评打分': 3}
{'短评内容': '已入住.满意.', '短评打分': 3}
{'短评内容': '硬件和环境都不错，唯一需要改进的就是卫生间的隔断是磨砂玻璃的，如果有外人在，上厕所会很尴尬的，呵呵', '短评打分': 5}
{'短评内容': '位置不错，早餐比较丰富，卫生不错，服务也不错！！！！', '短评打分': 5}
{'短评内容': '省政府的对面，办事方便，市中心啊！酒店感觉一般，还算可以', '短评打分': 5}
{'短评内容': '正好到省政府办事，很方便。总体都还可以，下次还住，就是价格高了点。', '短评打分': 5}
{'短评内容': ' 入住感觉很好，就在国贸对面。', '短评打分': 3}
{'短评内容': '＋煤炭大厦的服务员需要在低碳环境下如何提高服务水平再进行培训，太浪费了，收拾房间时一次性物品的浪费太可惜了！很多东西根本无须更换！', '短评打分': 3}
{'短评内容': '设施可以，住着也可以，有点冷，早饭不错花样不少。', '短评打分': 5}
{'短评内容': '房间太小，床单单薄', '短评打分': 3}
{'短评内容': '信价比还可 交通方便', '短评打分': 3}
{'短评内容': '国营酒店，装修不错，可毕竟楼太老，房间很小。位置不错，性价比不高', '短评打分': 3}
{'短评内容': '基本还可以，毕竟比较起太原的其他酒店来价格还是有优势，老酒店了，设施太旧，地毯看上去比较阴暗，房间里的味道也有些，看在价格份上，还可以忍受', '短评打分': 5}
{'短评内容': '＋已入住\n\n程耀仲', '短评打分': 5}
{'短评内容': '房间小，服务差，不管是前台还是餐厅都喜欢扎堆聊天，根本不管客人，你不找他们，他们绝不会主动和你打招呼。这样的服务够得上三星吗？还不如一般快捷酒店', '短评打分': 1}
{'短评内容': '老旧的，卫生间很大味道，和服务员说了也没用，设施也落后了，就是位置方便，但门口打车不方便', '短评打分': 5}
{'短评内容': '电梯巨慢，房间很小，家具比较陈旧，可地点好，有什么办法呢', '短评打分': 1}
{'短评内容': '房间重装过，还不错。就是小了点儿。', '短评打分': 5}
{'短评内容': '很温馨不过房间太小，没早餐，性价比一般把', '短评打分': 5}
{'短评内容': '一切都不错，但是早餐较差，数量少，质量次', '短评打分': 5}
{'短评内容': '设施有些陈旧.不过条件还可以.位置非常好比较方便我出行办事.整体水平还不错.', '短评打分': 5}
{'短评内容': '价格偏高，早餐较差，房间很小。地理位置很好，服务态度不错！', '短评打分': 3}
{'短评内容': '地理位置很好，在国贸正对面。住的单人间，房间比较小，但是设施很好，液晶、toto洁具等。设施中唯一不好的是毛巾，很差。感觉用了很久，很硬，有的还有破损了，发灰白色。早餐中规中矩，有煎蛋、馄饨、方便面、西瓜等。另外，网上预定的优惠生成赠送游泳，前台没有告知。综上，相对于258的价格，感觉有些偏高。', '短评打分': 5}
{'短评内容': '房间面积小，卫生挺干净，服务员态度一般，设施有些陈旧，地理位置交通比较方便，性价比一般。', '短评打分': 5}
{'短评内容': '房间还是挺一般的，酒店的位置还是挺好找的，服务态度的话基本上没有什么，价格也是挺一般的，很一般的酒店。', '短评打分': 1}
{'短评内容': '房间挺小的而且蚊子挺多，我选择这家酒店是因为距离我办事的地方近.位置好一些，其它各方面我觉得挺一般的.', '短评打分': 1}
{'短评内容': '房间设施不错，虽然酒店挺老的，但是挺干净.因为就近找的，所以距离我办事的地点比较近，位置我很满意.二楼有个餐厅价格略高不过味道还不错.', '短评打分': 5}
{'短评内容': '房间设施不错，虽然酒店挺老的，但是挺干净.因为就近找的，所以距离我办事的地点比较近，位置我很满意.二楼有个餐厅价格略高不过味道还不错.', '短评打分': 5}
{'短评内容': '整体感觉挺一般的,酒店的时间比较长了,地基比较老了,性价比不是很好.', '短评打分': 1}
{'短评内容': '之前也总是住这家,各方面都还挺不错,交通也挺便利的', '短评打分': 5}
