{'短评内容': '没打扫干净，我也是服了', '短评打分': 3}
{'短评内容': ' 环境不错～ 房间有点小，隔音不是太好。其它的都挺满意…', '短评打分': 3}
{'短评内容': '服务态度很好，房间很干净，设施不错，早饭要早点去才有好吃的，工作人员都非常友好', '短评打分': 5}
{'短评内容': '酒店比较安静、服务不错，就是网络太不给力了，手机信号是有是无！可能是一楼的原因，总的说睡觉满好滴。', '短评打分': 3}
{'短评内容': '酒店装修挺新的，位置也不错，离极地海洋世界挺近的，就是价钱不能少，也不能用翼龙优惠券挺郁闷的。', '短评打分': 5}
{'短评内容': '整洁的环境，方便的交通，早饭也很干净好吃。', '短评打分': 3}
{'短评内容': '整体环境及设施不错。只是隔音有点差，晚上有些吵。', '短评打分': 5}
{'短评内容': '青岛的酒店价格是比较贵的，性价比还好，但有一点，隔音效果我住的那间确实不好。', '短评打分': 5}
{'短评内容': '不错的酒店，还会继续选择汉庭', '短评打分': 3}
{'短评内容': '很好的酒店。就是房间有点小。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '室内环境还是不错的，房间较小，不过温馨~自带电吹风，淋浴还是比较给力的，不过地理位置不太好，离市区有些远。好在青岛城区本来就小，打车一般就是起步价。有特价房可以考虑，原价的话。。。', '短评打分': 1}
{'短评内容': '挺干净，位置边不错，房间设施齐全', '短评打分': 3}
{'短评内容': '环境不错，安静。工作人员也不错，热情负责。汉庭的性价比还是很高的。', '短评打分': 5}
{'短评内容': '特价访很便宜，卫生安静，美中不足的地方是宽带速度较差。', '短评打分': 5}
{'短评内容': '外置不错，周围繁华，用餐，购物，旅游都很方便。', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，设施也比较齐全，服务态度不错，就是房间小点，不过住起来还不错。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '大床很舒服，房间很干净，就是走廊里略有异味', '短评打分': 5}
{'短评内容': '干净 舒适 地方偏了一些~ 服务挺好的 ~', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '   整体不错，干净卫生，距离办理业务的地方也很近。', '短评打分': 5}
{'短评内容': '住过的最棒的汉庭，位置稍有点偏！！服务什么的都很不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间比较整洁，服务人员态度很好，就是房间有点偏小！', '短评打分': 5}
{'短评内容': '   本以为汉庭快捷会比较便宜，干净，结果很出乎意外。强烈推荐爱情海商务酒店 才199 酒店在30层，可观海景，都可以看见栈桥。环境比汉庭好很多。', '短评打分': 1}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '路是单行线，不好找，打车的司机都是不知道，其他都还可以！', '短评打分': 5}
{'短评内容': '设施比较简单，但比较干净，性价比较高，但最遗憾的是房间过道里一直有异味，建议做好通风工作，装饰可以再温馨一点。', '短评打分': 5}
{'短评内容': '酒店非常安静，位置也很好，做公交很方便，性价比高', '短评打分': 5}
{'短评内容': '效率很高', '短评打分': 5}
{'短评内容': '经常来青岛，对这里的酒店的住宿不敢恭维，这次紧急情况下定了青岛大学这边的汉庭，进入房间竟然有小小的惊喜！可能是新装修没多久吧，房间装饰简单大方，床单被罩洗浴间非常地干净；电视是海信地（青岛嘛！：），壁挂式，空调是美的地，也是最新式的；我问了一下，应该是每个房间都有窗户，可以开启的部分还贴心地安了窗帘式的防虫网，本来比较担心房间没有窗户；在离香港中路上不远的地方；大概是因为在学校附近，接待人员疑似大', '短评打分': 5}
