{'短评内容': '酒店地理位置优越，就在火车站旁边，前台服务态度很好。', '短评打分': 5}
{'短评内容': '总得来说新世纪不错，但住的那天天气冷，觉得房间暖气不足。\n', '短评打分': 5}
{'短评内容': '在南京火车站边，交通非常方便。服务态度可以，值得推荐。', '短评打分': 3}
{'短评内容': '房间暖气严重不热,真的有些对不起4星的称号和400元的价格!', '短评打分': 5}
{'短评内容': '价恪贵，设施陈旧，性价比低。', '短评打分': 3}
{'短评内容': '交通位置好，服务不错。早餐一般。价格似乎高了些。', '短评打分': 5}
{'短评内容': '天气冷', '短评打分': 3}
{'短评内容': '早餐还不错，离火车站很近，房间设施有点陈旧了。', '短评打分': 5}
{'短评内容': '我入住的行政客房单人间，房间卫生还可以。就是觉得价格有点高，我去年也住过一次，那次价格好像比这个便宜。', '短评打分': 5}
{'短评内容': '酒店实在太旧了，电源插座也不够，对于需要使用电脑、手机充电的商务客人来说实在太不方便了。一句话，最多只够三星级！', '短评打分': 3}
{'短评内容': '南京酒店的水平实在不敢恭维 说实话 还不如2线城市的好 作为一个旅游城市 无法接受', '短评打分': 5}
{'短评内容': '新世纪大酒店的硬件设施很好，服务态度很好，有机会来南京还住这里', '短评打分': 5}
{'短评内容': '位置在南京火车站边上，设施有点老，但是还行，服务态度不错，总之性价比不错，值得推荐。', '短评打分': 3}
{'短评内容': ' 条件不错。', '短评打分': 3}
{'短评内容': '靠近南京火车站，交通非常方便。设备老了些，但是服务态度不错。', '短评打分': 3}
{'短评内容': '酒店太老，设施陈旧，外面停车场还收费，少见！', '短评打分': 1}
{'短评内容': '没想到南京火车站附近这么不热闹啊，我们为了找个吃饭的地方还真是历尽千辛万苦，呵呵，酒店设施和服务还可以，就是被子不太舒服，毛巾也旧旧的，干净还是蛮干净的，早餐也算OK，订的时候还说没早餐，是想给客人惊喜吗？可以免费打国内长途这个很好。', '短评打分': 1}
{'短评内容': '服务质量很好', '短评打分': 3}
{'短评内容': '还可以，离车站和展览馆比较近，叫车服务做的很好', '短评打分': 5}
{'短评内容': '离火车站很近，旁边就是玄武湖，非常漂亮。美中不足，早餐差了些', '短评打分': 5}
{'短评内容': '酒店不错，房间送的鲜花很漂亮，让人感觉很舒服！\r\n并至如归的感觉！', '短评打分': 5}
{'短评内容': 'Good hotel with price with service and position', '短评打分': 5}
{'短评内容': '环境确实不错，交通业方便，推荐入住。就是贵了点，其他都不错。', '短评打分': 5}
{'短评内容': '这家酒店非常不错。', '短评打分': 5}
{'短评内容': '酒店不错，可以免费打长途！', '短评打分': 5}
{'短评内容': '成功入住', '短评打分': 5}
{'短评内容': '还不错，房间还大的。', '短评打分': 5}
{'短评内容': '设施陈旧了些,但有游泳池还是不错的，交通也可以\r\n', '短评打分': 5}
{'短评内容': '房间很大很超值', '短评打分': 5}
{'短评内容': '第二次住这家宾馆了，服务设施都好,以后还会再来的', '短评打分': 5}
{'短评内容': '+内容', '短评打分': 5}
{'短评内容': '舒适的环境，温馨的服务让人有宾至如归的感受', '短评打分': 3}
{'短评内容': '挺好的，看起来虽然有点旧，但还算干净，电视是老古董，卫生纸质量不错，这是我评价一个酒店的小标准呵呵，有免费的国内长途……', '短评打分': 5}
{'短评内容': '交通比较方便，步行到火车站，地铁不用10分钟，设施就旧些，是时候重新装修了。', '短评打分': 3}
{'短评内容': '内部环境一般', '短评打分': 5}
{'短评内容': '酒店离火车站很近，但是周边环境不怎么样。', '短评打分': 1}
{'短评内容': '基本不错。', '短评打分': 5}
{'短评内容': '设施太旧了', '短评打分': 5}
{'短评内容': '很喜欢', '短评打分': 5}
{'短评内容': '离火车站很近，机场到酒店的大巴也很方便，地段确实不错。价格有点高。', '短评打分': 5}
{'短评内容': '位置很好，走路就到火车站，地铁，公交都方便，大厅气派，但房间偏旧，服务可以', '短评打分': 5}
{'短评内容': '离火车站近，步行可到。高层景色好，可看到玄武湖美景。', '短评打分': 5}
{'短评内容': '很差！', '短评打分': 3}
{'短评内容': '交通方便。但与附近其它宾馆相比，停车费太高。', '短评打分': 5}
{'短评内容': '再也不住了！！！ 太差了。。。 \r\n400多的房间 电视只有20寸，还不能打开。。。\r\n叫了2次服务员。。\r\n乖。。。HAN 就一个字！！\r\n\r\n设施也非常的陈旧！！！ 浴缸都变色了。。', '短评打分': 1}
{'短评内容': '实施陈旧了些，环境不错，值得一住', '短评打分': 5}
{'短评内容': '每次选住，主要是因为位置好，就在火车站旁边。但有些房间的设施太旧了，最多只有三星级的标准。', '短评打分': 5}
{'短评内容': '位置很好，对乘火车的旅客很方便', '短评打分': 5}
{'短评内容': '地理位置从交通上来看很好，靠火车站、地铁与公交也很方便，南临玄武湖、但是楼宇是东西朝向无法领略湖光山色，装修及设施略显陈旧、部分设备老化以及不够人性化，服务还是蛮热情，如果价格再低一些就好了、毕竟那个地方多是贪图出行方便来住的多，也不是什么商务区。', '短评打分': 5}
{'短评内容': '该酒店离南京火车站很近, 无须打车,步行10分钟就能到酒店.\r\n就是早餐品种不太丰富', '短评打分': 5}
{'短评内容': '网上预订与门市打折价是一样的。', '短评打分': 5}
{'短评内容': '我觉得非常好，价格有点小贵', '短评打分': 3}
{'短评内容': '我觉得房间啊，设施啊各方面并像有些点评说的那么旧，除了价格有些小高之外，其他挺好的。床也很舒服。', '短评打分': 5}
{'短评内容': '不错的位置，窗前就是玄武湖面，和酒吧街。内部设施也很齐全。', '短评打分': 5}
{'短评内容': '位置还可以，出行也比较方便，设施一般，个人认为还是值得住的', '短评打分': 5}
{'短评内容': '服务不错。位置虽靠近火车站，但隔外部音很好。\r\n', '短评打分': 5}
{'短评内容': '不错，推荐入住。', '短评打分': 3}
{'短评内容': '这家酒店之前也有住过,不过这次住的不是很满意,前台服务也不是很好,而且房间里的烟味很大,处理后效果也不是很理想.', '短评打分': 3}
{'短评内容': '房间有很重的烟味 ', '短评打分': 1}
{'短评内容': '酒店停车不应收很高的停车费！', '短评打分': 1}
{'短评内容': '酒店离地铁很近，环境很好，因为去的时候已经没有单间了，酒店免费升级了行政间，非常舒适，下次去还会入住。', '短评打分': 5}
{'短评内容': '酒店离火车站、汽车站都不远，房间环境也不错，服务周到，我挺满意的 ', '短评打分': 3}
{'短评内容': '住起来很舒适,卫生也很干净,设施完善,地理位置优越,服务很到位,值得推荐的一家酒店', '短评打分': 3}
{'短评内容': '房间的卫生打扫的很干净,设施也比较齐全,呆着很舒适,就是酒店的位置稍微有点偏,不太好找了,其它的也都可以.', '短评打分': 3}
{'短评内容': '上次主要是因为在周围办事，才住这的，酒店感觉不行，环境不太好服务一般，总的来说性价比不好', '短评打分': 1}
{'短评内容': '我觉得这家酒店设施方面有些陈旧了.服务和卫生方面还可以了,周边靠近火车站交通方面还是蛮方便的,整体感觉价格方面还是比较合适的.', '短评打分': 5}
{'短评内容': '位置比较好,但是酒店整体很旧,价格有些偏高性价比不太好.在南京来说这家酒店整体感觉还是很一般的酒店.', '短评打分': 1}
{'短评内容': '位置有些偏,要求无烟房处理的不好,其他方面都不错,价格也很合理.', '短评打分': 5}
{'短评内容': '除了酒店的价格稍微贵了一些，其他还不错，服务也蛮周到的', '短评打分': 5}
{'短评内容': '酒店最大的优势是离火车站非常近，走路3分钟就到。如果价格再优惠些，就更具有优势了。', '短评打分': 5}
{'短评内容': '酒店的外观还可以，但是酒店的房间不太像四星级的标准，大堂装修还不错，价格算实惠，位置稍微有些偏。', '短评打分': 5}
{'短评内容': '位置交通方便,早饭没有什么好的', '短评打分': 1}
{'短评内容': '地量位置不错,停车也方便,就是健身房没有管理起来,有点遗憾', '短评打分': 5}
{'短评内容': '酒店的服务卫生还是不错的，价格也挺实惠，就是设施老旧些。', '短评打分': 5}
{'短评内容': '酒店环境不错,在湖的旁边,人员服务很周到,都非常满意,只觉得价格有些高', '短评打分': 5}
{'短评内容': '房间内的设施和装修没有特色，很普通的感觉', '短评打分': 1}
{'短评内容': '酒店很一般般，还不赠送早餐，也没什么服务，卫生也不是很好，下次不会在去了', '短评打分': 1}
{'短评内容': '酒店的价格合理，而且舒服，离火车站近，但是离市中心有点远。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '还不错！就是隔音不好，房间比较小点．总体还是不错的！', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我住的商务间,卧室居然一头大一头小,晚上躺在床上别扭死了,另外家具太旧了', '短评打分': 5}
{'短评内容': '真的不错,现在电脑比原来快多了,好像是才升级的.服务员的态度也很好,我下次来还会来住的.&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '￥280我就去', '短评打分': 3}
{'短评内容': '底楼的自主午餐很不错！', '短评打分': 3}
{'短评内容': '总台结帐小姐的态度不错哦', '短评打分': 3}
{'短评内容': 'I LOVE NENTURY HOTEL!', '短评打分': 3}
{'短评内容': '蛮好的，别听那些人瞎讲，他们还住不起呢？只知道吹！', '短评打分': 3}
