{'短评内容': '贵歌词长宽高此处G8次看G8好看v，i好好哦', '短评打分': 5}
{'短评内容': '酒店还行但房间还是太小了', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '入住的是日式房,房间很不错,一个人住的话空间足够了,房间的布置很别致,住着很开心。', '短评打分': 3}
{'短评内容': '交通很方便 就在地铁站旁边 就是房间小了一点 但很干净 舒服', '短评打分': 5}
{'短评内容': '环境还可以,交通方便,还提供早餐,服务员水平高。', '短评打分': 3}
{'短评内容': '酒店位置很好,交通便利,酒店服务和卫生都还不错........', '短评打分': 5}
{'短评内容': '挺干净的~空调也给力~但隔音一般般~早上走廊的声音挺大~', '短评打分': 5}
{'短评内容': '下次还会预定这家酒店  真的好喜欢。。。', '短评打分': 5}
{'短评内容': '酒店不错。就是离市中心有点远！还好出门就有地铁！', '短评打分': 5}
{'短评内容': '\n房间还可以，精致小有情调，窗户隔音也还可以。就是洗手间设计不是非常完善，不过因为挺新的，加上大幅油画，还是挺有情调。\n\n服务员态度一般。', '短评打分': 5}
{'短评内容': '房間很不錯 還送30塊現金券 很划算 就是位置有一點點偏  不過去天河也算近', '短评打分': 5}
{'短评内容': '卫生还算干净，如果只是睡觉的话还是可以的。', '短评打分': 5}
{'短评内容': ' 环境不错 交通方便', '短评打分': 3}
{'短评内容': '很喜歡這家店的風格  就是地理位置不太好', '短评打分': 5}
{'短评内容': '入住的日式精品房，缺点：房子真~~~小！！比大家想象中的12平米要小。就是在一个大约8平米的平台上放一张床垫（倒不用担心睡着睡着会掉床底下），无窗。隔音效果差（我注意到门缝装了隔音条，但是门下那么大一条缝，外面走路说话都听得清清楚楚），而所谓的日式装修就是墙上挂着日本春宫图，汗~~~  太不河蟹鸟。。。\n\n优点：免费停车，楼下有好几家餐厅，很方便。床垫不错，睡得很舒服，而且因为无窗，看不到天空是黑', '短评打分': 5}
{'短评内容': '房间是给朋友定的、、、朋友说房间虽然小，但感觉好好，好温馨好喜欢、、、', '短评打分': 5}
{'短评内容': '还不错啊，挺舒服的', '短评打分': 3}
{'短评内容': '虽然是小了点，但挺干净的，住起来挺舒服的，不错', '短评打分': 5}
{'短评内容': ' 房间小了点，但很舒服，也比较干净', '短评打分': 3}
{'短评内容': '环境不错，交通方便。房间小了点。不过房间卫生不错。可能唯一让我朋友不满的是厕所是透明。她不习惯', '短评打分': 5}
{'短评内容': '入住的高级大床房。酒店设计蛮新颖，但是房间内置放物品的地方太小，只有靠着电视墙壁那么一点点地方。房间临街道，不隔音，早上比较吵闹，睡不好。建议选择不临街的房型。', '短评打分': 5}
{'短评内容': '还不错，就系小了一点。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间环境还不错，就是房间稍微小了点，而且空气流通性不是很好。但总体来说，住的还是比较舒服的。', '短评打分': 5}
{'短评内容': 'bucuo,hen ganjing ,jiaotong fangbian', '短评打分': 5}
{'短评内容': '很不错的酒店，最后价格有点涨了。真正颗粒', '短评打分': 5}
{'短评内容': '酒店设计比较简洁，风格还不错，离地铁站很近，只是隔音差点，房间不大，总体还不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '酒店相当给力，日本精品榻榻米很好住，也挺有情调滴，床很软，舒服，地理位置也不错，就在地铁口旁边，就是早餐太烂了，没几个品种，味道还不太好，别吃。。。。', '短评打分': 5}
{'短评内容': '很好啊，超级方便呢。旁边是地铁站，又有很多饭店自助餐。非常满意，以后都锁定这家了', '短评打分': 5}
{'短评内容': '服务好，交通便捷，环境卫生，精品酒店的档次，性价比高，下次可以在入住。', '短评打分': 5}
{'短评内容': '房间装饰比较温馨，条件也不错，唯一不足就是房间不隔音，一到凌晨5点左右外面车辆声很大，比较影响睡眠~~不过交通很方便，希望能改进下隔音的问题~~', '短评打分': 5}
{'短评内容': '1：酒店真的交通很方面，步行3分钟就是地铁站和公交车站，我是天何客运站下车的，直接做公交车3站就到了。2：酒店服务很不错，早上8点多就入住了。3：房间有点小，但是配套设施还不错，有独立的风筒；就是浴室是透明的，好尴尬啊~~~~', '短评打分': 5}
{'短评内容': '很好，非常满意！！！就算小我也非常满意，因为周围很方便，配置很齐全，但是早餐那边收券的小姐态度十分不好，狗眼看人低，希望换掉她！！一大早因为她心情变得不好', '短评打分': 5}
{'短评内容': '太小了，加上没有窗户 空气不流通，空间真的很小！', '短评打分': 1}
{'短评内容': '＋环境超好…我很喜欢…每个房间都有不一样的油画…很美…', '短评打分': 3}
{'短评内容': '一般性,房间小的一比', '短评打分': 3}
{'短评内容': '房间有些小，早餐还可以，170的价格可以接受。', '短评打分': 3}
{'短评内容': '酒店卫生条件不错，服务不错，离地铁站很近，不过房间较小。靠近马路的房间很吵。', '短评打分': 5}
{'短评内容': '感觉还行，给个好评吖…', '短评打分': 3}
{'短评内容': '＋酒店还可以，房间整洁明亮，让人觉得舒服。负责清洁的人员也是相当热情。我住的标准大床房，房间确实是小了些，但跟这个价格挺吻合的了。早餐免费，也正因为免费，所以就真是很简单。不追求滋味的话，是可以吃饱的。', '短评打分': 3}
{'短评内容': '好，交通方便，附件吃的东西也很多，卫生很好', '短评打分': 5}
{'短评内容': '隔音效果不怎么好，还有就是空间比较小。但是总的来说，还是挺不错的。', '短评打分': 5}
{'短评内容': '\n是我去过的酒店最喜欢的一个了，和老公去两个都很满意，下次来广州还是选择住这里*^O^*遗憾的是起不来去试一下早餐……', '短评打分': 5}
{'短评内容': '房间小，大床房一般，空调不给力,早餐也比较少。', '短评打分': 5}
{'短评内容': '比较干净，就是小了点。空调的效果很好，冷死了，哈哈。早餐的种类不算很多，不过值得肯定的是出入交通很方面，出门就是地铁口。', '短评打分': 5}
{'短评内容': '感觉还是满精致的，在燕塘地铁c出口边上出行还是很方便，日式精品房有些小，无窗，但是很紧凑，氛围很好，赞一个。', '短评打分': 5}
{'短评内容': '房间有点小，但还算干净，烧水壶有点破旧，容易坏，服务态度还行，只是办事效率比较慢！', '短评打分': 3}
{'短评内容': '房间太小，连张放本本的写字台也没有，小的可怜的房间！！', '短评打分': 1}
{'短评内容': '就是隔音差了一点，其他都很不错~尤其喜欢日式的那种感觉。', '短评打分': 5}
{'短评内容': '新开酒店，很干净。', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '还可以，只是隔音有点差，建议加装隔音条至窗户和门。', '短评打分': 5}
{'短评内容': '几靓，就系冲凉嘎地方细左d', '短评打分': 3}
{'短评内容': '   房间很干净~给人感觉很舒服… 不错的选择', '短评打分': 3}
{'短评内容': '不错的酒店，比较有特色，服务和硬件都还不错，而且出行交通方便，赞一个。', '短评打分': 5}
{'短评内容': '房间很干净，交通也方便。很好。', '短评打分': 3}
{'短评内容': '经济型酒店，还算干净。离地铁口很近，楼下有几间快餐店。', '短评打分': 5}
{'短评内容': ' 房间还行，就是玻璃不隔音，住11楼还被楼下锅炉吵着睡不着，还有门口就是个收费站，外地车入住进城每次还收10元。。。', '短评打分': 1}
{'短评内容': '装修很不错！！壁画每一间房都不一样，很有新鲜感。不足：空调没有暖气，冬天冷，隔音效果很不好。', '短评打分': 5}
{'短评内容': '干净    很满意风格  就是房间稍小,价格比心目中给的定位贵20.', '短评打分': 5}
{'短评内容': '第三次入住 一如既往的好  干净舒适  而且交通便利 离地铁很近', '短评打分': 5}
{'短评内容': '酒店很好，很干净。值得入住', '短评打分': 3}
{'短评内容': '房间卫生不错！就是电梯太垃圾啦！！让人没安全感', '短评打分': 5}
{'短评内容': '酒店很不错 放假虽然不是什么很豪华的装修 但是很干净也很漂亮 浴室的设备也很好  洗澡很舒服  前台人员态度也很好  ', '短评打分': 5}
{'短评内容': '适合旅游出差居住。小儿精致，干净利落。不错。', '短评打分': 5}
{'短评内容': '不错！感觉很好，给人一种清爽的感觉，适合旅行出差居住！', '短评打分': 5}
{'短评内容': '房间环境很满意,但隔音效果非常差,一整晚都听到别人讲话的声音和开水喉的声音,真是惨', '短评打分': 5}
{'短评内容': '交通方便，离地铁很近，而且公交257就在地铁站附近，去桂花岗皮具市场都是顺路，而且终点是火车站，很好，新酒店卫生也不错，很喜欢，不过就是电梯，只有一部可以使用，每次都要等很久，隔音日式就差点，豪华单人房就还不错，值得推荐，出差购物不错，隔壁就是KFC', '短评打分': 5}
{'短评内容': '很温馨。。但是有点小。。  感觉不错\n 很不错噢', '短评打分': 5}
{'短评内容': '非常好，性价比很高', '短评打分': 3}
{'短评内容': '出行比较方便，感觉还不错····很好，很强大', '短评打分': 5}
{'短评内容': '服务态度挺好的，交通方便快捷，附近吃饭也挺方便的，我喜欢这酒店的名字，春天里', '短评打分': 5}
{'短评内容': '酒店环境不错,装修风格简单新清,服务态度也挺好，房間很新，乾淨，住得很舒服，酒店很近地鐵站，所以交通非常方便。', '短评打分': 5}
