{'短评内容': '经常来住的，还是一如即往的好。', '短评打分': 5}
{'短评内容': '不错的地方，就是不是太豪华。。。不过这个档次的这样就算不错了，。。', '短评打分': 5}
{'短评内容': '房间很大，还不错', '短评打分': 3}
{'短评内容': '虽然好像说是2星的酒店，但是和三星的一样好，我住的商务单间，电脑网速很快啊！地理位置也还可以，出门就有快餐和超市什么的，离烟水亭很近，唯一美中不足的是床铺什么的略显得旧一些！总体上来说很好啦！希望价位能再低一点哦！那样就更好了！\n', '短评打分': 5}
{'短评内容': ' 整体来说还不错  就是浴室浴巾太差了  破破的  还很粗  不好用\r\n\r\nKK', '短评打分': 3}
{'短评内容': '交通、饮食、购物、观湖景均十分好！离步行街非常近，离长江大堤近，离南湖近，对于了解九江风土人情，习俗非常方便！缺点，靠街边房晚上有点闹。', '短评打分': 5}
{'短评内容': '位置还不错，价格还算合理。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '  房间比较小，比较陈旧，感觉不是很舒适，交通也不是很便利，但服务员态度很好。', '短评打分': 5}
{'短评内容': '非常舒适,价格理想,地点也非常好.房间整洁干净.唯一房间内枕头,毛巾,等用具比较破旧.', '短评打分': 5}
{'短评内容': '酒店有点霉味，换了几间还是有点，最后无奈只好住下，服务员态度很好，服务周到，但不能多开发票。', '短评打分': 1}
{'短评内容': '酒店地理位置不错，在九江市中心。不过有些设施还不是很全。', '短评打分': 3}
{'短评内容': '地处在九江市中心，逛街休闲比较方便。附近就是长江和九江的甘棠湖，还有九江的步行街。房间还比较舒适，工作人员服务态度也比较好。', '短评打分': 5}
{'短评内容': '周边环境很好，酒店客房卫生欠佳，设施较少，性价比不高', '短评打分': 5}
{'短评内容': '停车位太少，其他非常好！靠马路边，晚上有点吵，购物，打车，吃饭，散步非常方便。', '短评打分': 5}
{'短评内容': '卫生良好，服务很周，下次来九江还会住这里', '短评打分': 3}
{'短评内容': '卫生良好，服务很周，下次来九江还会住这里', '短评打分': 3}
{'短评内容': '服务蛮好，位置也不错。下次还住在这里！', '短评打分': 5}
{'短评内容': '九江福泰118烟水亭店相当凑合了，卫生，设施，性价比只能说凑合，豪华套房客厅非常小，沙发很脏，洗手间门框都坏掉了，设施都比较陈旧，花洒都是根部漏水的，浴巾都烂掉了，哎~~~~ \r\n说点好的方面，位置不错，周围吃喝玩乐很方便，睡觉还是很安静的，洗澡水温也还好，水量很足。', '短评打分': 3}
{'短评内容': '相当凑合了，卫生，设施，性价比只能说凑合，豪华套房客厅非常小，沙发很脏，洗手间门框都坏掉了，设施都比较陈旧，花洒都是根部漏水的，浴巾都烂掉了，哎~~~~\r\n说点好的方面，位置不错，周围吃喝玩乐很方便，睡觉还是很安静的，洗澡水温也还好，水量很足。\r\n', '短评打分': 1}
{'短评内容': '还可以，就是不能多开票。离长江不远，但是被其他建筑挡住，看不到江景。', '短评打分': 3}
{'短评内容': '还可以，就是不能多开票。离长江不远，但是被其他建筑挡住，看不到江景。', '短评打分': 3}
{'短评内容': '还可以，就是不能多开票。离长江不远，但是被其他建筑挡住，看不到江景。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '酒店位置较好，闹中取静，距离长江边和内湖边都很近，住宿的舒适度也不错，顶！', '短评打分': 5}
{'短评内容': '房间隔音效果挺差，开始住的一间进去卫生间味道挺重，不过我们提出换后前台马上换了，服务态度不错，价格同比其他同等酒店稍偏高了一点', '短评打分': 5}
{'短评内容': '前台服务态度不错，整体环境也可以。', '短评打分': 3}
{'短评内容': '感觉不错。', '短评打分': 3}
{'短评内容': '感觉不错，可能是这段时间住客不是很多，没有感觉到吵闹。房间配置也很不错。', '短评打分': 5}
{'短评内容': '一般，如要去周瑜点将台的话，可以住这里', '短评打分': 5}
{'短评内容': '左大江，右甘棠，去琵笆亭，锁江楼，浔阳楼都方便。', '短评打分': 5}
{'短评内容': '服务周到，热情，位置好，离烟水亭一步之遥。尤其是楼下的富泰咖啡的牛肉比萨很好吃。', '短评打分': 5}
{'短评内容': ' 总体还是可以的 硬件有待提高 ~！还是挺舒服的~！！顶一个', '短评打分': 5}
{'短评内容': '地理位置不错，二楼餐厅味道很好。但经过几年的使用，看得出原来装修偷工减料，地毯很脏、墙体有裂缝。服务一般。常有本地人来打麻将，所以会比较吵。晚上会有骚扰电话打进来，也有人顺便在酒店里开工。楼下那个买服装店播放广告很吵。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置是很好的，房间的设施也很新。但是这个价钱就高了。房间小，居然还是个没有窗子的房间。服务人员的素质有待提高，效率慢。晚上走廊上很吵。', '短评打分': 1}
{'短评内容': '价格有点偏贵，位置和卫生还不错\r\n    设施档次希望能再提高些\r\n总体还可以的', '短评打分': 5}
{'短评内容': '地理位置好,离烟水亭很近.房间不配电脑.', '短评打分': 5}
{'短评内容': '酒店条件还可以,价格有些偏贵,周围有很多,和这条件差不多的,都比这家便宜.', '短评打分': 3}
{'短评内容': '服务一般，有的房间卫生不太好，我第一天住的就是，地毯比较脏，第二天换了房间，明显感觉卫生要好的多，房间隔音不太好，隔壁有人打麻将都能听的清楚，位置很有优势，特别方便', '短评打分': 3}
{'短评内容': '地理位置不错，购物、休闲都很方便，二楼的餐厅味道很好，价格也合理，值得推荐。\r\n酒店服务一般，床有点软，睡起来腰酸背痛，部分房间隔音不好，遇到隔壁有人打麻将有些吵。\r\n上网速度一般。', '短评打分': 5}
{'短评内容': '酒店整体感觉还不错,干净舒适,价格也不错；挺满意的.', '短评打分': 5}
{'短评内容': '酒店就是服务稍差一点，在环境，硬件等其他方面都是不错的，而且在市中心交通也比较方便，挺好的。', '短评打分': 5}
