{'descr': '隔音不是一般的差', 'star': 3}
{'descr': '酒店内环境还不错，就是太偏了。距离玄武湖要近1个小时的公交车程，距新街口和夫子庙近半个小时车程，而且离公交站台还有至少500米的路程。当初找得好辛苦\n', 'star': 5}
{'descr': '酒店非常好，各方面都做得比较好，就是地址有点偏，找了一会儿，还有就是火车的声音比较吵。。', 'star': 5}
{'descr': '酒店非常好，各方面都做得比较好，就是地址有点偏，找了一会儿，还有就是火车的声音比较吵。。', 'star': 5}
{'descr': '环境挺好  服务也不错 就是位置有点偏 晚上过火车可能有点吵 其他都还好~~~', 'star': 5}
{'descr': '真是好地方呀！！很卫生~服务很人性化，去南京游玩很好的地方', 'star': 5}
{'descr': '很好，很舒服，价格也合适。下次还来。', 'star': 3}
{'descr': '酒店还不错 比较干净 设施也完备  只是地方有点偏 第一次去找了好久 ', 'star': 5}
{'descr': '挺舒服的 圆床很可爱', 'star': 3}
{'descr': '还可以吧，比较干净，就是晚上睡觉下面的火车确实有点吵。再就是不知道是酒店系统坏了还是有人恶作剧或者什么原因，火警警报总是误响，其他都还行', 'star': 5}
{'descr': ' 除了地理位置，其他都好', 'star': 3}
{'descr': '环境不错,就是旁边有火车经常经过.总体性价比比较高。', 'star': 3}
{'descr': '很不错的酒店，服务和环境都挺不错的，还有转魔方得咖啡是真的哦~缺点就是位置太偏不好找，店内到处都是镜子挺恐怖的~总体还不错，顶一个', 'star': 5}
{'descr': '总体说酒店的性价比在南京算不错的，装修比较精致，设施也基本不错，只是如果你是有洁癖的习惯最好先检查一下床单和被罩，我们入住的屋子被单上有一大块黄色的印记，后来要求换被子了。基本还算满意！', 'star': 5}
{'descr': '房间舒适，特别干净，价格实惠，但房间的隔音效果好像不怎么好（火大），还有在房间里可以透视到马桶(害羞)。', 'star': 5}
{'descr': '房间装修很好，而且干净整洁，浴室24小时有热水，性价比高，住的很舒服！', 'star': 5}
{'descr': '还可以，挺干净整洁，就是没有窗户，这么一个缺点', 'star': 5}
{'descr': '挺整洁的，不错哦，价格也很合理哦，值得一住的。。。                                                                                           ', 'star': 5}
{'descr': '房间很干净，很宽敞，还不错，物有所值！！！！！', 'star': 5}
{'descr': '住的超级大床房，圆床睡着很舒服，前台服务态度很好，卫生打扫的也很干净，关于火车的声音不是很严重 只是偶尔能听到很小的声音，不会影响休息。屋子里布置的很温馨，总之以后需要的话还会选择桃子的', 'star': 5}
{'descr': '还行，就是地点有点偏，火车经过时声音较大。', 'star': 5}
{'descr': '交通便利，周边环境也不错。服务快捷，周到，细致。', 'star': 5}
{'descr': '房间有点吵，隔音效果不太好，不过床还是睡得很舒服的，离着机场大巴也就走路10分钟的距离，比较方便', 'star': 5}
{'descr': '环境好，服务到位，交通方便，周边比较繁华。', 'star': 5}
{'descr': '比较满意，就是电梯不是很方便，卫生间设施不错，电视机信号不清楚，没有几个台', 'star': 5}
{'descr': '/住宿满意，服务周到。', 'star': 3}
{'descr': '环境还不错，房间及设施很干净，服务员态度也很好，只是没有吹风机，总之入住满意', 'star': 5}
{'descr': '所住过的如家中服务最差的一个', 'star': 3}
{'descr': '还可以~~ 。其它都还挺好的 \n交通很便利', 'star': 5}
{'descr': '还可以~~ 就是没暖气。但是其它都还挺好的 \n', 'star': 5}
{'descr': '\u3000比较满意', 'star': 3}
{'descr': '不错，就是有点老，其它的还行吧，交通买东西挺方便的', 'star': 5}
{'descr': '很干净，很温馨，还会来', 'star': 3}
{'descr': '如家快捷酒店（北京惠新东桥店）性价比高，会向朋友推荐这酒店，床也很好。呵呵。 \n', 'star': 5}
{'descr': '很不错。房间很干净，喜欢这里。如家，使我们商旅人士的家。\n', 'star': 5}
{'descr': '住过好多次如家，房间不大，但还算舒适温馨。最近2次住都是大床房，感觉被子不大干净，不如标准间好。还有就是这家的饭菜实在是太差了。', 'star': 1}
{'descr': '不错，值的入住，房间就是有点小，其他都挺好，交通方便', 'star': 5}
{'descr': '居然大早晨的在隔壁施工，那么大的电钻声，不管喝服务员说还是和前台说都不管用，而且还要求我们离开房间，太可怕了，而且在网上订的房间时208元，但是结账的时候坚持收220元，我不知道算不是一种欺骗，这家如家的服务态度是我见过最差的，没有之一', 'star': 1}
{'descr': '距离公司很近，每次都住这里，以前不返券，这次返券，但是房价也涨了。还是以前的房价比较好。', 'star': 5}
{'descr': '床单是粉红色的 地方很大 旁边就是几家小吃店 跟水立方啊什么的都很近 就是借了两次吹风机都没借到 不知道是吹风机少还是大家都要用  总之还可以', 'star': 5}
{'descr': '服务不错，人也不错，地址也不错，不知道价格能再优惠就更好了，环境安静', 'star': 5}
{'descr': '如家酒店，我认为一直都是很好的，干净、舒适，价格不贵。以后还会住如家。需要改进的是饭菜非常一般，我基本上都是在外面吃。', 'star': 5}
{'descr': '打车到鸟巢15元', 'star': 5}
{'descr': '来京出差，主要是离总公司近。发觉楼道里味道较大。', 'star': 3}
{'descr': '离公司位置较近，房间还可以。就是觉得楼道的味道较重', 'star': 5}
{'descr': '边上有很多美食，交通还挺方便的。去鸟巢也很方便是。离国家会议中心很近，若有展会住这里不错的。', 'star': 5}
{'descr': '在北京算是性价比不错的。\r\n我住的房间可能刚装修过，有一股油漆的味道。', 'star': 5}
{'descr': '如家，不错的酒店。干净、舒适。', 'star': 5}
{'descr': '惠新东桥店规模还不小，交通也便利，公交车很多，地铁的话要走一段路.房间内不算大，但很干净!值得表扬的是服务态度很好!', 'star': 5}
{'descr': '如家的积分制度应该按照实际消费额或者天数进行计算，住那么多天只能积分一次，不合理', 'star': 1}
{'descr': '在这样的位置有这样的价格和设施服务，总的来说是很不错的！', 'star': 5}
{'descr': '很一般', 'star': 1}
{'descr': '卫生很好，服务热情，交通还比较方便。就是临街有些吵。', 'star': 5}
{'descr': '第一次住如家惠新东桥店，离公司很近，方便。不过在马路边有些吵。卫生还算干净。服务不错，有要求能及时满足。下回还会住这里。', 'star': 5}
{'descr': '如家一直都是很不错的，干净、舒适，给人以安静的感觉，价格也不贵。', 'star': 5}
{'descr': '不是很喜欢房间的设计，靠路边有些吵', 'star': 3}
{'descr': '服务员态度很好，但我觉得内部的装饰没锦江的好。隔音效果不够好。', 'star': 1}
{'descr': '员工有点儿忙不过来~~等房间用了40分钟', 'star': 3}
{'descr': '入住2天，总的感觉还可以，就是头一天晚上11时左右有人敲门，没有报名，就没敢开门。还有，早上出去告诉服务员把房间卫生打扫一下，结果下午2点回来时房间没有打扫，在我们的要求下三点左右才打扫。前台服务人员素质不错，来有迎语，走有送话。希望巩固优点，克服不足，再次到京我还会入住该酒店。', 'star': 5}
{'descr': '周围都是家属区，离四环步行要7、8分钟，没有直达公交车。阳光不是很好，楼道比较昏暗、狭窄。', 'star': 5}
{'descr': '前台人员太少~客房服务人员也太少，等了很久才能等到把房间打扫干净', 'star': 1}
{'descr': '酒店的环境挺好的，价格也不是很贵，位置也不错', 'star': 5}
{'descr': '去北京旅游时选择的这家酒店,交通比较方便,适合自己出行选择', 'star': 5}
{'descr': '服务不好,态度不好.酒店负责人解决问题态度不好, 酒店附近施工把客人衣服给我们弄脏了.这件事情给我们解决的不满意,主要是负责人态度不好.当时酒店内部外部都在部分装修.', 'star': 1}
{'descr': '这个酒店位置还可以，在经济连锁酒店来说如家算是贵点的，但是这个店他的房间很狭小，卫生间的地也不是很干净，感觉很不舒服。', 'star': 1}
{'descr': '酒店的环境很好，设施也不错，就有个缺点是一个房间只有一条宽带上网线，如果两人住一个房间，不能同时上网', 'star': 5}
{'descr': '奥运期间去的，看比赛很方便，尤其是晚上看完比赛回酒店路程比较近，不过平时去玩到旅游景点可能会有点远，旁边超市和饮食店比较多，还是挺方便的', 'star': 5}
{'descr': '酒店的服务卫生还是不错的。价格稍微偏高些了。', 'star': 5}
{'descr': '住了两次这家酒店，感觉还可以，就是早餐很一般，其他都比较不错，交通也很方便', 'star': 5}
{'descr': '和儿子去看残奥会时入往该酒店，感觉还比较方便，在地铁5号线惠新西街北口下车后步行15分钟可以到达，打车去鸟巢十几块钱就到了。附近有家海鲜店很不错。', 'star': 5}
{'descr': '奥运会期间去的，酒店也就一般了，不过卫生可以，离地铁有2里路吧，附近有个什么华堂商场', 'star': 3}
