{'短评内容': '酒店位置好，非常方便，房间很不错', '短评打分': 5}
{'短评内容': '还没达到非常好的水平，不过在我住过的经济酒店里面算不错了，安保和送的早餐都不错，卫生间也不错，送的早餐一般。服务员的态度不够热情。推荐一下新概念酒店，不过好像暂时只有东莞和湛江有....', '短评打分': 5}
{'短评内容': '很好，环境很舒适，下次来会再住的。', '短评打分': 5}
{'短评内容': '每次来都住，很不错，旁边不远就是逸仙湖公园，很不错', '短评打分': 5}
{'短评内容': '很干净、很不错的一家便捷酒店，下次来了还选择这家', '短评打分': 5}
{'短评内容': '房间走的曲里拐弯的，但很安静，很不错！下次还会入住啊', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 5}
{'短评内容': '卫生不错&#183;&#183;&#183;房间还蛮大&#183;&#183;前台速度能加快就更好啦！！！', '短评打分': 5}
{'短评内容': '第二次入住了，挺好的。房间很大。', '短评打分': 5}
{'短评内容': '蛮舒服的     环境好', '短评打分': 5}
{'短评内容': '服务生结账速度超慢', '短评打分': 5}
{'短评内容': '房间挺大，但设施一般，这个价格在中山来说偏高，性价比不行', '短评打分': 3}
{'短评内容': '一般般，性价比不高，较为简陋', '短评打分': 1}
{'短评内容': '出差的必选，很好', '短评打分': 3}
{'短评内容': '地点可以。价钱稍贵。房间没有吹风筒不太方便。', '短评打分': 5}
{'短评内容': '这家城市客栈餐厅做的饭很好吃，大家有机会可以尝试一下，哈哈！', '短评打分': 5}
{'短评内容': '酒店内的环境还不错，但外面装饰就旧了一点', '短评打分': 5}
{'短评内容': '中规中矩的酒店，还可以。', '短评打分': 5}
{'短评内容': '这次房间的空调坏了，要换房，总体还可以', '短评打分': 3}
{'短评内容': '这次不错', '短评打分': 5}
{'短评内容': '位置还行。酒店设置和装修都挺有风格，理想的选择。', '短评打分': 5}
{'短评内容': '整体感觉是不错的。', '短评打分': 5}
{'短评内容': '很好，每次出差都住', '短评打分': 3}
{'短评内容': '本次入住感觉好些， 因上次入住时是元月， 天气较冷，而南方不供暖，酒店的被子不够暖和。', '短评打分': 3}
{'短评内容': '交通很方便，附近有特色商业购物中心，楼下的餐厅很不错，外卖的价钱不算很贵，，，房间很舒适，，就是床小了一点，，电视小了一点', '短评打分': 5}
{'短评内容': '入住的房间因临街, 早上很吵,其他OK', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '很不错的酒店，以后还会住', '短评打分': 5}
{'短评内容': '整体不错，不过比上一次住的房小了，而且洗手间都是全玻璃的，不太方便。', '短评打分': 5}
{'短评内容': '没有想象中好！房间大小还行，但床上用品看上去比较旧，也可能是白色的缘故。离市中心到是挺近，但周围的道路太狭窄了……', '短评打分': 5}
{'短评内容': '房间大，椅子软，楼下便利店。就一个字：方便实用！', '短评打分': 5}
{'短评内容': '服务热情，卫生好。楼下就有超市，交通也方便。不足之处是临马路的房间隔音需改进。', '短评打分': 5}
{'短评内容': '几乎每次去中山  都会住这家酒店 推荐', '短评打分': 5}
{'短评内容': '城市客栈的店在设施和服务方面都比其它的连锁酒店好。', '短评打分': 5}
{'短评内容': '推荐  几乎每次去中山都是选择这个酒店  房间装修什么的都挺好的  自助早餐也还不错 唯一不足的就是空调只能制冷  不能供暖  而且酒店被子超薄 每次去都要多要一床才可以', '短评打分': 5}
{'短评内容': '相当不错。。。比较满意', '短评打分': 3}
{'短评内容': '位置好，靠近公园', '短评打分': 5}
{'短评内容': '房间还挺大，干净卫生，还可以。。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '总体的性价比还好也很干净，就是很难打车出行不太方便，不过宾馆带餐厅可以在房间点餐还是很方便的！', '短评打分': 5}
{'短评内容': '这个价位可能去motel168比较好', '短评打分': 5}
{'短评内容': '不错的酒店，很好的服务，不错的自助早餐。就是价钱有点贵~~', '短评打分': 5}
{'短评内容': '周边环境一般，设施不好，没暖气，热水不够热，洗澡冷，早餐很差，没有专用的停车场。隔音和隔温都非常差，睡不好。', '短评打分': 1}
{'短评内容': '房间很干净，也很大。就是没有停车位。虽然是南方，也希望冬天能有暖器啦。', '短评打分': 5}
{'短评内容': '酒店停车场位极少, 要到附近的商场停车, 不方便.\r\n但其他还是挺不错的.', '短评打分': 3}
{'短评内容': '可能是习惯于有供暖, 南方基本没有, 故酒店配置的一床棉被感觉不够暖和.\r\n太晚了, 又没请服务生帮忙, 睡眠不好, 可房间挺安静的.', '短评打分': 5}
{'短评内容': '上次去住很好，这次特意重新住的，但是，这次发现该酒店标准房都座落在马路边，非常吵！', '短评打分': 1}
{'短评内容': '房间、洗手间都很卫生。床垫都很新，很舒服。其他配套如停车位、地点都不错，178元还包早餐。算不错的性价比了', '短评打分': 3}
{'短评内容': '房间、洗手间都很卫生。床垫都很新，很舒服。其他配套如停车位、地点都不错，178元还包早餐。算不错的性价比了', '短评打分': 5}
{'短评内容': '离大信比较近', '短评打分': 5}
{'短评内容': '房间没有备用被子，毛巾很陈旧了', '短评打分': 5}
{'短评内容': 'breakfast is not satisfactory\r\n早餐不行\r\n我后来还找到更多地理位置在石岐更好更便宜的hotel', '短评打分': 1}
{'短评内容': '很便宜很干净，房间很大', '短评打分': 5}
{'短评内容': '房间很大，服务很好！', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，卫生服务也很好，价格合理适中，出行交通也很方便，值得推荐入住。', '短评打分': 3}
{'短评内容': '各方面都还不错，早餐味道也很好，价格上不算贵，但是相比中山当地其他酒店138的价格还是贵了些，如果不在意这几十元的话还是值得推荐的', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': 'hao', '短评打分': 5}
{'短评内容': '卫生不错，床比较舒服，有洗衣服务！可惜停车位不多！价钱对比同级的略贵！', '短评打分': 5}
{'短评内容': '还好。', '短评打分': 5}
{'短评内容': 'The hotel is quite good and the price is reasonable.', '短评打分': 5}
{'短评内容': '位置：酒店位于旧城区，所以各种生活设施都比较成熟；同时又离大福源很近（步行约6分钟），娱乐购物都方便。\r\n价格：十一期间入住，高级单人房151元/晚，可以用20元的券。\r\n房间：常规的快捷式酒店装修，灯光挺足的。但房间有一块木板有明显的被水泡过的污渍，这个不好。。。\r\n服务：只有跟前台和餐厅服务员接触过，还蛮亲切的。\r\n早餐：简单的中式早餐，能吃饱，干净卫生就够了。\r\n\r\n可以刷卡。对食宿要求不太', '短评打分': 5}
{'短评内容': '卫生和服务还是很不错的，但位置有些偏不太好找，不过从酒店的设施和价格上来比还是很符合的，如果在此基础上再能优惠一点就更好了。', '短评打分': 3}
{'短评内容': '我喜欢住城市客栈', '短评打分': 5}
{'短评内容': '环境很好,房间挺大的.就是隔音差点', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '整体感觉很好，性价比还是比较高的，交通位置也很方便，值得推荐给大家入住啦。', '短评打分': 3}
{'短评内容': '空间不错,只是卫生间有点不太干净,不过值得推荐', '短评打分': 5}
{'短评内容': '酒店靠在路边的房间太吵了,会影响到休息；其他条件环境还是不错的；交通也是比较方便的；', '短评打分': 5}
{'短评内容': '酒店的卫生比较一般,服务还可以,价格有些偏贵,地理位置还算方便.', '短评打分': 5}
{'短评内容': '卫生服务还不错，设施比较一般，价格也还可以', '短评打分': 5}
{'短评内容': '服务还不错，周边交通也顺畅，价格还比较合理，主要是酒店没有配备没有停车场，都是停在路边的，这个不好', '短评打分': 5}
{'短评内容': '酒店的硬件和环境服务都还可以，而且我开车过去的，算是挺方便的，就是价格稍微高点。', '短评打分': 5}
{'短评内容': '酒店没有停车场，很不方便！', '短评打分': 5}
{'短评内容': '整体感觉酒店还是比较不错的,价格也比较合适.', '短评打分': 5}
{'短评内容': '总的来说，整体上还是不错的，希望配套设施更加完善，中午超过退房时间退房的收费不合理，不能按照半天价钱收费，这样的话，很有霸王条款的‘味道’......', '短评打分': 5}
{'短评内容': '酒店人员的服务确实很好，我们住的高级双人间感觉环境设施也挺不错的，但是石岐这个地方公交本来就不是特别发达，出入基本就是打车，而且这个酒店本身还有一些价格更为优惠的房间，但是没有订上，感觉在当地来说价格还是稍微有点高。', '短评打分': 5}
{'短评内容': '    该客栈刚刚开业不久，很多设施还不够完善，硬件方面必须加强，比如：衣柜、灯光系统、浴室...\r\n服务给予优秀评价，希望不断完善！    ', '短评打分': 1}
{'短评内容': '酒店位于市中心,去哪里都很方便,环境硬件设施都还不错,都很满意,我经常会入住这家酒店,酒店的价格比较优惠.', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错,位置出行交通也很方便,价格便宜实惠.', '短评打分': 5}
{'短评内容': '环境不错,服务也特别周到。唯一觉得不太方便的是酒店在一个小路上，外出的时候公交车不方便，打车还可以', '短评打分': 5}
{'短评内容': '我订的是特价房，价格很实惠，房间又干净，整体的服务环境都不错，就是房间稍微小了一点，要是再大点就更好了。', '短评打分': 5}
{'短评内容': '酒店的配套设施不齐全,卫生间窄小  没有柜子,位置出行很方便,位置很好.整体来讲性价比不高的酒店.', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
