{'短评内容': '房间什么不错就是电梯感觉快不行了', '短评打分': 5}
{'短评内容': '环境不错，房间大，就是洗澡水步行，晚上水温不高！机顶盒遥控是坏的', '短评打分': 5}
{'短评内容': '酒店性价比比较高，环境和服务都不错，下次还要入住', '短评打分': 5}
{'短评内容': '第二次入住，感觉还可以，就是卫生间旧了点', '短评打分': 3}
{'短评内容': '酒店还不错，很干净，下次有机会还会住那里', '短评打分': 5}
{'短评内容': '热水不够热，其他还不错', '短评打分': 3}
{'短评内容': '环境好，很安静，很干净，态度好，硬件软件都不错1!', '短评打分': 5}
{'短评内容': '首先说交通还是挺方便的，出门在外还是方便为先！酒店也挺干净的，并没有遇上限电，就算遇上了，人家酒店说自备发电机！网速也可以！订了两晚，实际住了三晚！挺不错的！', '短评打分': 5}
{'短评内容': '还挺干净的', '短评打分': 3}
{'短评内容': '半夜经常打电话问是否要按摩服务！住了两天全都十二点多没热水！必须给前台打电话才有，水流细的可怜，昨晚厕所灯泡还灭了工程部的人说了如果要是再不亮用台灯照着点我们要下班了！', '短评打分': 3}
{'短评内容': '酒店周边有很多吃饭的地方，离北部湾广场走大概10分钟左右，店内住宿干净，房间还算大，晚上睡觉也很安静，服务员态度很好！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '环境不错，交通便利，而且床睡着很舒服，相比北海同类酒店个人觉的价位能再优惠一点就更好了，下次还会考虑入住', '短评打分': 5}
{'短评内容': '位于市中心,价格适中,服务也可以,就是简陋了点,对于要求不高的人来说是比较经济的选择.', '短评打分': 5}
{'短评内容': '还可以吧，是帮朋友的朋友临时订的，还没见有什么特别不好的反应', '短评打分': 5}
{'短评内容': '晚上很安静,酒店设施很齐全,但运气不好,刚住进去,电梯就坏了,我们住在6楼,拧着礼行箱很累人,第二天退房电梯还是坏的.', '短评打分': 5}
{'短评内容': '性价比蛮高的酒店。。。下次出差还入住~~~~~', '短评打分': 5}
{'短评内容': '深夜入住（从北海万家快捷宾馆转过来的，北海万家快捷宾馆蟑螂太多而且不给解决问题），农垦酒店性价比满高的，服务态度也挺好的', '短评打分': 5}
{'短评内容': '酒店周边环境挺好，空气质量不错，房间硬件设施齐全，服务很好，特别的周到，卫生间洗漱用品齐全，价格便宜。不错的酒店', '短评打分': 5}
{'短评内容': '服务态度很好，随叫随到，房间硬件齐全，就是太陈旧，卫生条件蛮不错的，价格也很实惠', '短评打分': 5}
{'短评内容': '房间很好，住着还算舒服，硬件齐全就是太陈旧，卫生条件不错，打扫的很干净，位置出行方便，总之感觉都很好的', '短评打分': 5}
{'短评内容': '房间布置的很简洁，卫生间和床品打扫的挺干净，住宿环境不错，价格经济实惠，位置很好，在市中心，出行购物都方便', '短评打分': 5}
{'短评内容': '位置不错，就在市中心，出行还是挺方便的，房间打扫的干净整洁，住着还算放心', '短评打分': 5}
{'短评内容': '很好的酒店，位置不错，周边出行购物都方便，房间卫生条件很好，干净整洁，服务到位，性价比挺高', '短评打分': 5}
{'短评内容': '这里的服务很好，服务员周到热情，随叫随到，房间卫生条件很好，多是按时打扫房间的，住宿环境还行吧', '短评打分': 3}
{'短评内容': '酒店的卫生和服务都很到位，我们住着挺满意的，而且位置很好，距离市中心不远，周边出行方便，住宿环境还是挺好的', '短评打分': 5}
{'短评内容': '位置很好，周边逛街，吃饭，停车都蛮方便的，房间硬件很齐全，服务也特别的到位，价格不高，住着还行', '短评打分': 5}
{'短评内容': '很一般的酒店，环境还可以，房间硬件齐全，就是比较陈旧，床睡着不是很舒服，其他都凑合', '短评打分': 3}
